	partition_group
ADAMTS2	0
ADAMTSL2	0
ADORA2A	0
AKR1B1	0
AMER3	0
ANKRD65	0
ATOH8	0
ATP6V0E2	0
AX747850	0
BAI1	0
BGN	0
BHMT	0
BTBD17	0
C2CD4A	0
C2CD4B	0
CA8	0
CACNB2	0
CACNG4	0
CADM3	0
CBFA2T3	0
CHGB	0
CHRNA5	0
CLPS	0
CNPY1	0
CPA1	0
CRISP3	0
CRLF1	0
CTXN1	0
DACT1	0
DNAJC12	0
DPEP1	0
DSCAML1	0
DUSP26	0
EML1	0
FABP5	0
FAM167A	0
FCGBP	0
FLJ00385	0
FSTL5	0
FUT7	0
GFRA1	0
GGT5	0
GPR142	0
GRIK3	0
GYLTL1B	0
HEPACAM2	0
HES6	0
HEYL	0
IFI6	0
IGFBPL1	0
IGHG1	0
IGSF21	0
IMPG1	0
JAKMIP2	0
JPH4	0
KCNJ11	0
KCNK3	0
KCNN3	0
KIF19	0
KIT	0
KSR2	0
LGI3	0
LINC00494	0
LINC00643	0
LINC00939	0
LOC100131257	0
LOC100652999	0
LOC400891	0
LOC646903	0
LOC728392	0
LRFN1	0
LY6H	0
MALAT1	0
MAP1A	0
MARCH4	0
MIR29C	0
MMP2	0
NAALADL1	0
NAT8L	0
NEURL	0
NEUROD1	0
NKD1	0
NKX2-2	0
NPTXR	0
P2RX6	0
PCSK1N	0
PDE2A	0
PDZD4	0
PDZRN3	0
PPM1E	0
PRR18	0
PTP4A3	0
RAB26	0
RBP1	0
REM2	0
RFX6	0
RGS14	0
RGS9	0
RPRML	0
SCG2	0
SCGB1C1	0
SCT	0
SERF2-C15ORF63	0
SLC30A4	0
SLC6A17	0
SPARC	0
SPON2	0
SSTR5	0
SYT4	0
TAC1	0
TDRD6	0
TFCP2L1	0
TMEM198	0
TMEM59L	0
TMEM8C	0
TP73	0
TPST2	0
TSPAN11	0
TTC7B	0
TUB	0
TUBA3FP	0
TUBB2C	0
UCP2	0
UNC13A	0
VSTM2L	0
VWA5B2	0
WNK2	0
ADAM12	1
AK125301	1
ANKRD13B	1
APBB1	1
AVPR1B	1
BC022892	1
BSN	1
CACNA1C	1
CADM2	1
CAMK2N2	1
CHGA	1
CLGN	1
CLIP3	1
DHRS2	1
DUSP2	1
FAM135B	1
FW340027	1
GAP43	1
GATA2	1
GHRL	1
GNAO1	1
GPBAR1	1
GPC6	1
GPR162	1
HOPX	1
IGSF10	1
ISL1	1
KCNMB2	1
LOC389332	1
MAFB	1
MAP2	1
MEP1B	1
MIAT	1
MMRN1	1
MUC16	1
NCAM1	1
NEFM	1
NFAT5	1
NHSL2	1
NKTR	1
PALMD	1
PCSK1	1
PEX5L	1
PLCXD3	1
PPP1R16B	1
PTPRN	1
RTN4RL1	1
RUNX1T1	1
SCG3	1
SCN3A	1
SGCD	1
SH2D3C	1
SH3RF3-AS1	1
SLC16A12	1
SLC8A1	1
SNAP25	1
SSTR1	1
SSTR2	1
ST18	1
ST6GALNAC5	1
ST8SIA5	1
STARD9	1
SULT1C2P1	1
SYP	1
TCTEX1D4	1
TMEFF2	1
TMEM132B	1
TMEM178B	1
TMEM190	1
TMEM196	1
TMEM200A	1
TMEM212	1
TMEM61	1
TMPRSS6	1
UCN3	1
VCAN	1
ZG16	1
ZNF117	1
AB007962	2
ABCC8	2
ACBD7	2
ACTL6B	2
ADAMTSL1	2
ADCY2	2
AK125858	2
ALAS2	2
APLP1	2
ARX	2
BAALC	2
C1QL1	2
C7	2
CABP7	2
CACNA2D1	2
CALY	2
CELA3A	2
CELA3B	2
CERKL	2
CFC1	2
CHRM4	2
CLCA1	2
CNGA3	2
CNIH2	2
CPB1	2
CPLX1	2
CPT1C	2
DLL1	2
DOK6	2
F10	2
FAM110B	2
FAXC	2
FRMPD4	2
GABBR2	2
GAD2	2
GFRA3	2
GIP	2
ID4	2
KCNJ2	2
KCNJ3	2
KIF1A	2
KLK12	2
LIMCH1	2
LMX1A	2
LMX1B	2
LSP1	2
LZTS1	2
MAGEA5	2
MAP6	2
MLN	2
NDRG4	2
NEAT1	2
NOL4	2
OR51E1	2
PAK6	2
PAPPA2	2
PAX4	2
PCYT1B	2
PDE8B	2
PGF	2
PLCE1-AS1	2
PYY	2
RAB3C	2
REEP2	2
RGS11	2
S100A1	2
SAMD14	2
SCG5	2
SEMA6B	2
SERPINA10	2
SEZ6	2
SLC26A7	2
SLC38A3	2
SPC25	2
SPINK4	2
SSTR5-AS1	2
STX1A	2
STXBP5L	2
SULT2A1	2
SUSD2	2
SVOP	2
TAGLN3	2
THBS4	2
TOX	2
TPPP3	2
TUBB2B	2
USP32P2	2
USP41	2
WDR17	2
ZCCHC18	2
ZDHHC8P1	2
AB074188	3
AEBP1	3
AF070581	3
AF131837	3
AK022997	3
AK024119	3
AK054990	3
AK092048	3
AK094786	3
AK095045	3
AK096718	3
AK123868	3
AK126318	3
AK126532	3
AK311257	3
AL109792	3
ARHGEF25	3
ASIC5	3
ASXL3	3
ATCAY	3
AX746823	3
BAIAP3	3
BC033961	3
BEX1	3
CACNA1B	3
CAMK2B	3
CCL19	3
CES1	3
CHRNA3	3
CHST9	3
CLEC4G	3
CR627225	3
CRISPLD1	3
CRYBA2	3
CSH2	3
DACH1	3
DBC1	3
DCX	3
DIRAS1	3
DLL3	3
ECEL1	3
ERO1LB	3
FAM105A	3
FAM153A	3
FAM179A	3
FAM181B	3
FAM57B	3
FBN1	3
FBXL16	3
FFAR1	3
FFAR3	3
FHL1	3
GABRB3	3
GAST	3
GDAP1L1	3
GPR112	3
GPR119	3
GPR123	3
GPR64	3
GRAP2	3
GUCY1A3	3
HLA-DQA2	3
HMP19	3
INA	3
INS-IGF2	3
INSM1	3
KCNA6	3
KCNMA1	3
KCNMB2-IT1	3
KIAA2022	3
KIF5C	3
LIMD2	3
LINC00617	3
LINC00890	3
LINC00907	3
LOC100216479	3
LOC100505716	3
LOC100507351	3
LOC283731	3
LOC642366	3
LOC727896	3
LPPR3	3
LPPR5	3
MAPK8IP2	3
MUC5AC	3
MYT1	3
NOV	3
NPAS3	3
NPTX2	3
NPY	3
NTS	3
NXF2	3
PAK3	3
PCDH17	3
PGA5	3
PTCHD2	3
RAB39B	3
RGAG4	3
SEPT3	3
SEPT5-GP1BB	3
SIM1	3
SLC12A5	3
SMTNL2	3
STMN3	3
SUCNR1	3
TACR3	3
TDO2	3
TMEFF1	3
TMEM35	3
TNP1	3
TSPAN7	3
UBE2QL1	3
UCHL1	3
VN1R1	3
WISP1	3
XKR7	3
ZCCHC12	3
ZNF853	3
ACOT7	4
ACSS3	4
AGT	4
AK130076	4
AK5	4
AKT3	4
AMPH	4
ANK2	4
AP3B2	4
ARNT2	4
AX746640	4
AX747264	4
B3GAT1	4
BOC	4
BRS3	4
BRSK1	4
BRSK2	4
CACNA1H	4
CAMKV	4
CCDC146	4
CCDC74B	4
CD200	4
CDHR3	4
CDKN1C	4
CDRT4	4
CELF3	4
CEND1	4
CERS1	4
CHRNB2	4
CHST10	4
COL14A1	4
CPE	4
CR627394	4
CRMP1	4
DCHS1	4
DDN	4
DNAH11	4
DNAPTP1	4
DOCK8	4
DPP10	4
DPYSL4	4
EFNB3	4
ELAVL3	4
ELOVL4	4
ENPP2	4
ETV1	4
FAM131B	4
FAM13A-AS1	4
FEV	4
FGF14	4
FSD1	4
GDF1	4
GLYATL3	4
GNG2	4
GPR148	4
GRIN1	4
HECW2	4
HHEX	4
ISLR2	4
ITGBL1	4
JAM3	4
KCNH3	4
KCNH6	4
KCNH8	4
KCNK16	4
KCTD12	4
KIF5A	4
LIN7A	4
LINC00261	4
LRP4-AS1	4
LRRTM3	4
MAPK8IP1	4
MIR7-3HG	4
MLLT11	4
MPP1	4
MPP2	4
MTUS2	4
MUC5B	4
MYBPC2	4
NACAD	4
NAV3	4
NCALD	4
NEGR1	4
NFASC	4
NOVA2	4
NPM2	4
PAX6	4
PBOV1	4
PCSK2	4
PGA3	4
PGA4	4
PGM5	4
PLXNC1	4
PNMAL1	4
PPP1R1A	4
PRKCG	4
PRKXP1	4
RAPGEF4	4
RASD1	4
RET	4
RGS4	4
RIIAD1	4
RRAGD	4
RTN1	4
RUNDC3A	4
SCGB1A1	4
SCGN	4
SCN3B	4
SGSM1	4
SLC18A1	4
SLC25A53	4
SPDYE7P	4
SPIB	4
SPOCK3	4
SPTBN4	4
SST	4
ST8SIA3	4
STMN2	4
STMN4	4
SUMO1P3	4
SV2A	4
SYN1	4
SYT14	4
SYT5	4
TAF9B	4
TMEM158	4
TPH1	4
TRPC7	4
TSSK4	4
UNC79	4
VGF	4
WNK3	4
ACE	5
AK125871	5
AK126286	5
ASCL1	5
ASCL2	5
ASIC4	5
CACNA1A	5
CADPS	5
CDH22	5
CDK5R1	5
CHST8	5
CRIP2	5
CSF1R	5
DDC	5
DNER	5
EFCC1	5
ELFN1	5
FAM171A2	5
FAT3	5
FER1L6-AS1	5
FFAR2	5
GCK	5
GNG4	5
H1FX-AS1	5
KCNB2	5
KCNH2	5
KCNH7	5
KCNJ6	5
KCNK17	5
KIAA1324	5
KLHL32	5
LGR6	5
LOC100272216	5
MANEAL	5
MBOAT4	5
NRXN2	5
PAK7	5
PCED1B-AS1	5
PELI3	5
PLEKHB1	5
PODXL2	5
PSD	5
PTGDR2	5
RGS16	5
RIMBP2	5
SCUBE1	5
SDK2	5
SH3RF3	5
SMOC1	5
SSTR3	5
SV2B	5
TEKT2	5
TMEM151A	5
TRPM2	5
ABCC9	6
AF086346	6
AGAP11	6
AK026392	6
AK027840	6
AK054970	6
AK055017	6
AK097012	6
AK123654	6
AK123889	6
AK124970	6
AK293147	6
AL831889	6
AL832937	6
ATP1A3	6
AX747158	6
BC041654	6
CDK5R2	6
CPLX2	6
DQ588114	6
E10222	6
FKSG51	6
GALNT16	6
GOLGA6L9	6
GRIK5	6
HNRNPU-AS1	6
IFNE	6
LINC00202-1	6
LOC100216546	6
LOC284581	6
MAPK4	6
NR2F2-AS1	6
PTPN22	6
QDPR	6
SFRP1	6
TBC1D3C	6
TUBB4A	6
ZNF519	6
ZNF846	6
