Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2018	fatty acid elongase activity (GO:0009922)	1/7	0.008023389804178622	0.12148772547888995	0	0	151.29545454545453	730.0602205833902	ELOVL4
GO_Molecular_Function_2018	fatty acid synthase activity (GO:0004312)	1/10	0.01144311994957642	0.12148772547888995	0	0	100.84848484848484	450.82969906826037	ELOVL4
GO_Molecular_Function_2018	eukaryotic initiation factor 4E binding (GO:0008190)	1/10	0.01144311994957642	0.12148772547888995	0	0	100.84848484848484	450.82969906826037	HHEX
GO_Molecular_Function_2018	G-protein coupled photoreceptor activity (GO:0008020)	1/13	0.01485157498633772	0.12148772547888995	0	0	75.625	318.35473282514334	ELOVL4
GO_Molecular_Function_2018	MAP kinase activity (GO:0004707)	1/14	0.015985227036696047	0.12148772547888995	0	0	69.8041958041958	288.7164567086745	MAPK10
GO_Molecular_Function_2018	DNA binding, bending (GO:0008301)	1/17	0.019378702334968384	0.12273178145479975	0	0	56.70738636363637	223.63015065372352	HHEX
GO_Molecular_Function_2018	TBP-class protein binding (GO:0017025)	1/21	0.023885928992722683	0.12966647167478024	0	0	45.35681818181818	169.38348350725926	HHEX
GO_Molecular_Function_2018	ligand-gated channel activity (GO:0022834)	1/31	0.03506747333209365	0.16657049832744486	0	0	30.222727272727276	101.26068146954859	NCALD
GO_Molecular_Function_2018	RNA polymerase II transcription coactivator activity (GO:0001105)	1/39	0.04392439537404202	0.1854585582459552	0	0	23.85047846889952	74.53955237955424	MED12L
GO_Molecular_Function_2018	transcriptional activator activity, RNA polymerase II transcription factor binding (GO:0001190)	1/50	0.05597578058787951	0.20463766916971646	0	0	18.4860853432282	53.29235549319145	MED12L
GO_Molecular_Function_2018	repressing transcription factor binding (GO:0070491)	1/53	0.05923722002281265	0.20463766916971646	0	0	17.416958041958047	49.22389770074136	HHEX
GO_Molecular_Function_2018	PDZ domain binding (GO:0030165)	1/62	0.06895699900429587	0.21836383018027025	0	0	14.840536512667661	39.687633805849565	CIT
GO_Molecular_Function_2018	ligand-gated ion channel activity (GO:0015276)	1/68	0.07538340752257526	0.22035149891214306	0	0	13.507462686567164	34.91906148131729	NCALD
GO_Molecular_Function_2018	RNA polymerase II transcription cofactor activity (GO:0001104)	1/84	0.09231373307752724	0.25056584692471684	0	0	10.894852135815992	25.9576646289328	MED12L
GO_Molecular_Function_2018	ion channel activity (GO:0005216)	1/93	0.10170630850221997	0.2513958388812925	0	0	9.824604743083004	22.455764507416482	NCALD
