	ADNP	AEBP1	AKNA	ARNT2	ARX	ASCL1	ASCL2	ATF5	ATF6	ATOH8	CBX2	CCDC17	CSRNP3	CXXC4	DACH1	DPF3	DZIP1	E2F7	EBF3	EGR3	ELF4	ETS1	ETV1	FEV	FOXA1	FOXA2	FOXD4L5	FOXJ1	FOXP2	GATA2	GATA4	GATA6	GLIS2	GRHL3	HES4	HES6	HEY1	HEYL	HHEX	HIC1	HIF1A	HLF	HMBOX1	HMGN3	HOMEZ	HOXB9	HSF2	INSM1	ISL1	JAZF1	KCNIP3	LHX1	LMX1A	LMX1B	LTF	MAFA	MAFB	MAFF	MLXIPL	MXI1	MYRF	MYSM1	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NKX2-2	NKX6-1	NPAS3	NR4A2	NR4A3	ONECUT1	ONECUT2	ONECUT3	PAX4	PAX6	PBX1	PBX3	PDX1	PLAG1	POU2F2	POU5F1	POU6F1	PRDM16	PROX1	RFX2	RFX3	RFX6	RORC	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TEAD1	TEAD2	TET1	TFCP2L1	TGIF2	TP73	TSHZ1	ZBTB25	ZBTB4	ZFHX2	ZFP2	ZFP28	ZFP62	ZFP69B	ZFP82	ZFP90	ZFP92	ZNF117	ZNF382	ZNF492	ZNF514	ZNF518A	ZNF519	ZNF788	ZNF846	ZNF853	ZNF883
AADAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30771	0	0.42201	0	-0.86512	0.92912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84164	0	0	0	0	0	0	0	0	0.89229	0	0	0	0	0	-0.66889	0	0	0	0	0	0	0	0	0	-0.59793	0	0	0	0	0	-0.45133	0.91422	0	-0.83421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45836	0	0.42483	0	0
AB007962	0	0	0	0	0	0	0	0	-0.46595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32193	0	0	0	0	0	0.74636	0.98474	0	0	0	0	0	0	0	0	0
AB073649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.91816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.85284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.97457	0	0	0	0.84926	0	0
AB074188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.96329	0	0	0	0	0	0	0	0	0	0.99015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.48844	0	0	0	0	0	0	0	0
ABCA9	0	0	0	0	0	-0.39432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.50008	0	0	0	-0.56845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.53774	0	0.50262	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3534	-0.63659	-0.70385	0	0.52193	0	0.4358	0.40489	-0.33496	0	0	0.85979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52145	0	0	0	0	0	0	0.56206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC4	0	0	0	-0.45435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.51065	0	0	0	0	0.47493	0	0	0.93965	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35737	0.52042	0	0	0	0	0	0	0	0	0	0	0.59027	0	0	0	-0.96329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.79559	0	0	0.52042	0	0	0	0.73381	0	0	0	0	0	0	0	0	0	-0.66571	0	0	0	-0.3499	0	0	0	0	0	0	0.81577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40695	0	0
ABCC8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33039	0	0	0	0.8888	0	0	0	0	0	0	0.92912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30826	-0.59213	0	0	0	0.92229	0	0	0	0	0	0	0.41573	0.99225	0	0	0	0.68562	0	0	0	0	0	0	0.78276	0	0	0	0	0	0	0	0	0	0	0	0.56103	0	0	0	0	0	0.63607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.80203	0	0	0	0	0	0	0	0	0	-0.33385	0	0
ABCC9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.48844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.53476	0.62006	0.64068	0	0	0.92912	0	0.79936	0	0
ABLIM2	0	0	0	0	0	0	0.65526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.90127	0	-0.74438	0	0	0	0	0	0	0	0	0	0.74076	0	0	0	0	0	0	0	0	0	0.40123	0	0	0	-0.57902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.74227	0.93123	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52976	0.95423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43794	0	0	0	0	-0.59734	0	0	0	0	0	0	0	0	0	0	0	0
ACBD7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.31323	0	0	0	0.96869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.97143	0	0	0	0	0	0	0	0.35642	0	0	0	0	0	-0.45487	0	0	0	0	0	0	0	0	0.43174	0	0	0	-0.64565	0	0	0	0	0	0	0.82431	0	0	0	0.93123	0	0	0	0.82932	0	0	0	0	0	0	0	0	0	0	-0.94557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.86198	0.31621	0	0	0	0	-0.61236	0	0
ACE	0	0	-0.45368	0	0	-0.68069	-0.34168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.91422	0	0	0	0	0	0	0	0	0	0.81108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67207	-0.81108	0	0	0	0	0.412	0	0	0	0	0	0	0	0	0	0	0	0	-0.45248	0	0	0	0.73345	0	0	0	0.63496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.33015	0.62082	0	0	0.86198	0	0	0	0	0	0	0	0	0	0	0	0	0	0.94779	0	0	0	-0.7182	0	0	0	0	0	0	0	0	0.61128	0	0	0	0	0	0	0	-0.63607	0	0	0	0	0	0	0	0	0.68085	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.43794	0	0	-0.32956	0	0.83548	0	0	0	0	0	0	0	0	0	0	0	0.36508	-0.4004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.83262	0	0	0	0	0	0	0
ACSL6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.77326	0	0	0	0	0	0	-0.45729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46051	0	0	0	0.9654	0	0	0	0	0	0	0	0	0	0	0	-0.38153	0	0	0	0	0.74859	0.4677	0.81327	0	0	0	0	-0.8447	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.30731	0.52094	0	0	0	0	0	0	0.3507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3526	0	0
ACSS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.95423	0	0	0.65228	0	0	0.98196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.74227	0	0	0.3325	0	0	0	-0.67938	0	0	0	0	0	0	0	0	-0.54271	0.89901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.8087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7346	0.63758	0.49642	0	0	0	0	0	0.76726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTG1P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.58355	0	0	0	0	0	0	0	0	0	0	0.5497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.63091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41144	0	0	0	0	0	0	0	0	0	0	0	0	0.36726	0	0	0	0	0	0	0	0	0	0	0	0	0	0.90882	0	0	0
ACTL6B	0	0	0	0	0.8447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.90703	-0.68395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.71855	0.80513	0	-0.97143	-0.89901	0	0	0	0	0	0	0	0	0.99468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56615	0	0	0.60942	0.59861	0	0	0	0	0	0	0	0	0	0	-0.99468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN3	0	0	0	0	0.64756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.6948	0	0	0	0	0	0	0	0	0	-0.83798	-0.42372	0	0	0	0	0	0	0	0	-0.50008	0	0	0	0	0	0	0	0	0	0	0	0	-0.47684	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92018	0	0	0	0	0	0	0	0	0	-0.55622	0	0.9501	0	0	0	0	0	0	0	0	0	0	0.88498	0	0	0	0	0	0	0	0	0	0	0.9501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.45284	0	0
ADAM12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.57263	0	0	0	0.7379	0.56694	0	0.56071	0	0	0.4623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37954	0	0	-0.89229	0	-0.75717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78637	0	0	0	0	0	0.69102	0	0	0.34867	0	-0.74227	0	0	0	0	0	0	0	0	-0.64843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM20P1	0	0	0	0	0	0	0	0	0	0	0	0.871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.74589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.87847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.68935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.871	0	0	0	0	0	0	0.50195	0	0
ADAMTS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99317	0	-0.94779	0	0	0	0	0	0	0	0	0.91422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTSL1	0	0	0	0	-0.93123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.83925	0	0	0	0	-0.93548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.94779	-0.48097	0	0	0.55117	0	0	0	0	0	0	0	0	0.79472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.68935	0	0	0	0	0	0	0	0	0	0	0	-0.41843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5965	0	0
ADAMTSL2	0	0	0	0	0	0	0.41526	0	0	0	0	0	0	0	0	0	0	0	-0.8054	0	0	0	0.86512	0	0	0	-0.5526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77616	0.89019	0	0	0	0	0	0	0.84076	0	0	0	-0.45574	0.74772	0	0	0	0	0	0	0	0	0	0	0.33306	0	0	0	0	0	0	0	0	0	0	0.88085	0	0	0.79229	0	0	0	0	0	0	0	0.75395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADCY1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.69102	0	0	0	0	0	0	0	0	0	0	-0.76639	0	0	0	0	0	-0.76468	0	0	0	0	0	0	0.5526	0	0	0.79174	0	0	0	0	0	0	0	0	0	-0.68995	0.64565	0	0	0	0	0	0	0	0	0	0	0	0	0.86512	0	0	0.43743	0	0	0	0	0	0	0	0	0	0	0	0.84342	0.7058	0	0	0	0	0.94172	0	0	0	0	0	0.72706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADCY2	0	0	0	0	-0.97457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.97143	0	-0.85431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.74164	0	0	0	0	0	0.97942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.65459	0	0	0	0.32038	0.84164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.60981	0	0	-0.97799	0	0	-0.86909	-0.3238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADCY5	0	0	0	0	0	0	0.42642	0	0	0	0	0	0	0	0	0	0	0	0	0.6271	0	0	0	0	0	0	0	0	0	0.49825	0	-0.66889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.48756	0.90882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.93123	0.74986	0	0	0	0	0.871	0	0.36746	0	0	0	0	0	0	0	0.5586	0.40747	0	0	0	0.35518	0	0	0	0	0	0	0	0.54541	0	0	0	0	0	0	0	0	0	0.70969	0	0	0	0	0	0	0	0	0	0	-0.51498	0	0
