TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
RFX6	ST18	0.99996	51	0.997	rgb(228, 27, 29)	2	None
RFX6	CNIH2	0.9998	50.99	0.994	rgb(228, 27, 29)	1.9998	None
RFX6	DACH1	0.9998	50.99	0.986	rgb(228, 29, 31)	1.9998	None
RFX6	KCNH6	0.9998	50.99	0.991	rgb(228, 28, 30)	1.9998	None
RFX6	TOX	0.9998	50.99	0.987	rgb(228, 28, 30)	1.9998	None
ARX	DOK6	0.9996	50.99	0.992	rgb(228, 27, 29)	1.9998	None
ASCL1	GCH1	0.9996	50.99	0.992	rgb(228, 28, 30)	1.9998	None
INSM1	PGA5	0.9996	50.99	0.987	rgb(228, 29, 31)	1.9998	None
RFX6	NEUROD1	0.9996	50.99	0.993	rgb(228, 27, 29)	1.9998	None
RFX6	NKX2-2	0.9996	50.99	0.989	rgb(228, 28, 30)	1.9998	None
ETS1	GSTM2	-0.99956	50.98	-9.8E-01	rgb(  5, 88,254)	1.9996	None
NEUROG3	RFX6	0.99917	50.98	0.977	rgb(228, 30, 32)	1.9996	None
NEUROG3	SSTR2	0.99917	50.98	0.985	rgb(228, 29, 31)	1.9996	None
RFX6	CDK5R2	0.99917	50.98	0.978	rgb(228, 30, 32)	1.9996	None
RFX6	CELF3	0.99917	50.98	0.978	rgb(228, 30, 32)	1.9996	None
RFX6	KIF1A	0.99917	50.98	0.982	rgb(228, 29, 31)	1.9996	None
RFX6	LOC728392	0.99917	50.98	0.983	rgb(228, 29, 31)	1.9996	None
RFX6	NFASC	0.99917	50.98	0.984	rgb(228, 29, 31)	1.9996	None
RFX6	PCSK1N	0.99917	50.98	0.983	rgb(228, 29, 31)	1.9996	None
RFX6	SYT4	0.99917	50.98	0.982	rgb(228, 29, 31)	1.9996	None
RFX6	TMEM200A	0.99917	50.98	0.977	rgb(228, 30, 32)	1.9996	None
ARX	MMRN1	0.99869	50.97	0.975	rgb(228, 31, 33)	1.9994	None
E2F7	ADNP	0.99869	50.97	0.967	rgb(228, 32, 34)	1.9994	None
FEV	SLC18A1	0.99869	50.97	0.968	rgb(228, 32, 34)	1.9994	None
MYRF	RAD51L3-RFFL	-0.99869	50.97	-9.7E-01	rgb(  6, 88,254)	1.9994	2,2
NFAT5	TBC1D8B	0.99869	50.97	0.971	rgb(228, 32, 34)	1.9994	None
PDX1	SSTR5	0.99869	50.97	0.965	rgb(228, 33, 35)	1.9994	None
RFX6	BTBD17	0.99869	50.97	0.965	rgb(228, 33, 35)	1.9994	None
RFX6	CA8	0.99869	50.97	0.971	rgb(228, 32, 34)	1.9994	None
RFX6	IGFBPL1	0.99869	50.97	0.966	rgb(228, 33, 34)	1.9994	None
RFX6	MARCH4	0.99869	50.97	0.966	rgb(228, 32, 34)	1.9994	None
SOX4	CYP27A1	0.99869	50.97	0.972	rgb(228, 31, 33)	1.9994	None
TEAD1	CACNA2D1	0.99869	50.97	0.975	rgb(228, 31, 33)	1.9994	None
DACH1	AK092048	0.99825	50.97	0.975	rgb(228, 31, 33)	1.9994	2,2
RFX6	AMER3	0.99825	50.97	0.974	rgb(228, 31, 33)	1.9994	None
RFX6	ASIC4	0.99825	50.97	0.968	rgb(228, 32, 34)	1.9994	None
RFX6	GCK	0.99825	50.97	0.969	rgb(228, 32, 34)	1.9994	None
RFX6	MAP2	0.99825	50.97	0.966	rgb(228, 33, 34)	1.9994	None
RFX6	MAP6	0.99825	50.97	0.97	rgb(228, 32, 34)	1.9994	None
RFX6	NOL4	0.99825	50.97	0.966	rgb(228, 33, 34)	1.9994	None
RFX6	PDE2A	0.99825	50.97	0.975	rgb(228, 31, 33)	1.9994	None
RFX6	PSD	0.99825	50.97	0.973	rgb(228, 31, 33)	1.9994	None
RFX6	SCGB1A1	0.99825	50.97	0.966	rgb(228, 33, 34)	1.9994	None
RFX6	SCGN	0.99825	50.97	0.974	rgb(228, 31, 33)	1.9994	None
ARX	SVOP	0.99801	50.96	0.963	rgb(228, 33, 35)	1.9992	None
GATA2	FAM171B	0.99801	50.96	0.957	rgb(228, 34, 36)	1.9992	None
HMBOX1	RNF213	0.99801	50.96	0.959	rgb(228, 34, 36)	1.9992	None
NEUROD1	KCNIP3	0.99801	50.96	0.957	rgb(228, 34, 36)	1.9992	None
NEUROD1	SCG2	0.99801	50.96	0.961	rgb(228, 34, 35)	1.9992	None
ZNF514	BX641154	0.99801	50.96	0.961	rgb(228, 33, 35)	1.9992	2,2
ARX	FEV	0.99774	50.95	0.95	rgb(227, 36, 38)	1.999	None
FEV	BRS3	0.99774	50.95	0.952	rgb(227, 35, 37)	1.999	None
FEV	HMP19	0.99774	50.95	0.951	rgb(227, 35, 37)	1.999	2,2
FEV	TMEFF1	0.99774	50.95	0.947	rgb(227, 36, 38)	1.999	None
FOXP2	COL21A1	0.99774	50.95	0.948	rgb(227, 36, 38)	1.999	None
PLAG1	HOOK3	0.99774	50.95	0.946	rgb(227, 36, 38)	1.999	None
PLAG1	RNPC3	0.99774	50.95	0.949	rgb(227, 36, 38)	1.999	None
ATOH8	TMEM8C	0.9973	50.96	0.961	rgb(228, 33, 35)	1.9992	2,2
NEUROD2	PLEKHB1	0.9973	50.96	0.963	rgb(228, 33, 35)	1.9992	None
RFX6	AGT	0.9973	50.96	0.958	rgb(228, 34, 36)	1.9992	None
RFX6	CPLX2	0.9973	50.96	0.965	rgb(228, 33, 35)	1.9992	None
