TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
RFX6	ST18	0.9999	51	0.995	rgb(228, 27, 29)	2	None
NEUROG3	RFX6	0.9994	50.99	0.992	rgb(228, 28, 30)	1.9998	None
RFX6	CDK5R2	0.9994	50.99	0.987	rgb(228, 28, 30)	1.9998	None
RFX6	CNIH2	0.9994	50.99	0.993	rgb(228, 27, 29)	1.9998	None
RFX6	MAP2	0.9994	50.99	0.995	rgb(228, 27, 29)	1.9998	None
RFX6	MIAT	0.9994	50.99	0.989	rgb(228, 28, 30)	1.9998	None
ARX	DOK6	0.99871	50.99	0.993	rgb(228, 27, 29)	1.9998	None
ASCL1	GCH1	0.99871	50.99	0.987	rgb(228, 28, 30)	1.9998	None
ASCL1	SV2B	0.99871	50.99	0.987	rgb(228, 28, 30)	1.9998	None
INSM1	PGA5	0.99871	50.99	0.987	rgb(228, 29, 31)	1.9998	None
RFX6	NEUROD1	0.99871	50.99	0.993	rgb(228, 27, 29)	1.9998	None
RFX6	NKX2-2	0.99871	50.99	0.989	rgb(228, 28, 30)	1.9998	None
RFX6	PDZRN3	0.99871	50.99	0.989	rgb(228, 28, 30)	1.9998	None
ETS1	GSTM2	-0.99851	50.98	-9.8E-01	rgb(  5, 88,254)	1.9996	None
TEAD1	CACNA2D1	0.99851	50.98	0.975	rgb(228, 31, 33)	1.9996	None
ARX	MMRN1	0.99752	50.97	0.975	rgb(228, 31, 33)	1.9994	None
ETV1	SV2A	0.99752	50.97	0.974	rgb(228, 31, 33)	1.9994	None
FEV	SLC18A1	0.99752	50.97	0.968	rgb(228, 32, 34)	1.9994	None
NFAT5	TBC1D8B	0.99752	50.97	0.971	rgb(228, 32, 34)	1.9994	None
PDX1	SSTR5	0.99752	50.97	0.965	rgb(228, 33, 35)	1.9994	None
RFX6	BTBD17	0.99752	50.97	0.965	rgb(228, 33, 35)	1.9994	None
RFX6	CA8	0.99752	50.97	0.971	rgb(228, 32, 34)	1.9994	None
RFX6	DUSP26	0.99752	50.97	0.97	rgb(228, 32, 34)	1.9994	None
RFX6	IGFBPL1	0.99752	50.97	0.966	rgb(228, 33, 34)	1.9994	None
RFX6	MARCH4	0.99752	50.97	0.966	rgb(228, 32, 34)	1.9994	None
NEUROG3	PROX1	0.99593	50.98	0.976	rgb(228, 31, 33)	1.9996	None
NEUROG3	SSTR2	0.99593	50.98	0.978	rgb(228, 30, 32)	1.9996	None
RFX6	CD200	0.99593	50.98	0.976	rgb(228, 31, 32)	1.9996	None
RFX6	CELF3	0.99593	50.98	0.979	rgb(228, 30, 32)	1.9996	None
RFX6	DACH1	0.99593	50.98	0.98	rgb(228, 30, 32)	1.9996	None
RFX6	KCNH6	0.99593	50.98	0.98	rgb(228, 30, 32)	1.9996	None
RFX6	NOL4	0.99593	50.98	0.98	rgb(228, 30, 32)	1.9996	None
RFX6	PDE2A	0.99593	50.98	0.978	rgb(228, 30, 32)	1.9996	None
RFX6	PSD	0.99593	50.98	0.983	rgb(228, 29, 31)	1.9996	None
RFX6	SAMD14	0.99593	50.98	0.978	rgb(228, 30, 32)	1.9996	None
RFX6	SCGN	0.99593	50.98	0.983	rgb(228, 29, 31)	1.9996	None
RFX6	SFRP1	0.99593	50.98	0.976	rgb(228, 31, 33)	1.9996	None
RFX6	SPTBN4	0.99593	50.98	0.984	rgb(228, 29, 31)	1.9996	None
RFX6	SVOP	0.99593	50.98	0.979	rgb(228, 30, 32)	1.9996	None
RFX6	SYT4	0.99593	50.98	0.983	rgb(228, 29, 31)	1.9996	None
RFX6	TMEM200A	0.99593	50.98	0.975	rgb(228, 31, 33)	1.9996	None
ARX	SVOP	0.99513	50.96	0.963	rgb(228, 33, 35)	1.9992	None
FEV	HLA-DQA2	0.99513	50.96	0.963	rgb(228, 33, 35)	1.9992	2,2
HMBOX1	RNF213	0.99513	50.96	0.964	rgb(228, 33, 35)	1.9992	None
NEUROD1	KCNIP3	0.99513	50.96	0.957	rgb(228, 34, 36)	1.9992	None
NEUROD1	SCG2	0.99513	50.96	0.961	rgb(228, 34, 35)	1.9992	None
RFX6	LOC728392	0.99513	50.97	0.969	rgb(228, 32, 34)	1.9994	None
RFX6	TOX	0.99513	50.96	0.959	rgb(228, 34, 36)	1.9992	None
ZNF514	AX746764	0.99513	50.96	0.957	rgb(228, 34, 36)	1.9992	2,2
FEV	HMP19	0.99454	50.95	0.951	rgb(227, 35, 37)	1.999	2,2
FEV	TMEFF1	0.99454	50.95	0.947	rgb(227, 36, 38)	1.999	None
GATA2	FAM171B	0.99454	50.95	0.947	rgb(227, 36, 38)	1.999	None
PLAG1	FW340055	0.99454	50.95	0.95	rgb(227, 36, 37)	1.999	2,2
