TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
NEUROG3	RFX6	1	50.99	0.992	rgb(228, 28, 30)	2	None
RFX6	CDK5R2	1	50.99	0.987	rgb(228, 28, 30)	2	None
RFX6	CNIH2	1	50.99	0.993	rgb(228, 27, 29)	2	None
RFX6	MAP2	1	50.99	0.995	rgb(228, 27, 29)	2	None
RFX6	MIAT	1	50.99	0.989	rgb(228, 28, 30)	2	None
NEUROG3	PROX1	0.99719	50.98	0.976	rgb(228, 31, 33)	1.9998	None
NEUROG3	SSTR2	0.99719	50.98	0.978	rgb(228, 30, 32)	1.9998	None
RFX6	CD200	0.99719	50.98	0.976	rgb(228, 31, 32)	1.9998	None
RFX6	CELF3	0.99719	50.98	0.979	rgb(228, 30, 32)	1.9998	None
RFX6	DACH1	0.99719	50.98	0.98	rgb(228, 30, 32)	1.9998	None
RFX6	KCNH6	0.99719	50.98	0.98	rgb(228, 30, 32)	1.9998	None
RFX6	NOL4	0.99719	50.98	0.98	rgb(228, 30, 32)	1.9998	None
RFX6	PDE2A	0.99719	50.98	0.978	rgb(228, 30, 32)	1.9998	None
RFX6	PSD	0.99719	50.98	0.983	rgb(228, 29, 31)	1.9998	None
RFX6	SAMD14	0.99719	50.98	0.978	rgb(228, 30, 32)	1.9998	None
RFX6	SCGN	0.99719	50.98	0.983	rgb(228, 29, 31)	1.9998	None
RFX6	SFRP1	0.99719	50.98	0.976	rgb(228, 31, 33)	1.9998	None
RFX6	SPTBN4	0.99719	50.98	0.984	rgb(228, 29, 31)	1.9998	None
RFX6	SVOP	0.99719	50.98	0.979	rgb(228, 30, 32)	1.9998	None
RFX6	SYT4	0.99719	50.98	0.983	rgb(228, 29, 31)	1.9998	None
RFX6	TMEM200A	0.99719	50.98	0.975	rgb(228, 31, 33)	1.9998	None
FOXA1	C7	0.99439	50.97	0.971	rgb(228, 32, 33)	1.9996	None
FOXA1	ITPR1	0.99439	50.97	0.967	rgb(228, 32, 34)	1.9996	None
NEUROG3	GPR142	0.99439	50.97	0.971	rgb(228, 31, 33)	1.9996	None
NEUROG3	KIF19	0.99439	50.97	0.965	rgb(228, 33, 35)	1.9996	None
NEUROG3	PDE8B	0.99439	50.97	0.966	rgb(228, 33, 34)	1.9996	None
RFX6	BOC	0.99439	50.97	0.965	rgb(228, 33, 35)	1.9996	None
RFX6	CERKL	0.99439	50.97	0.972	rgb(228, 31, 33)	1.9996	None
RFX6	DPP10	0.99439	50.97	0.973	rgb(228, 31, 33)	1.9996	None
RFX6	GNG2	0.99439	50.97	0.974	rgb(228, 31, 33)	1.9996	None
RFX6	JAM3	0.99439	50.97	0.974	rgb(228, 31, 33)	1.9996	None
RFX6	KCNH2	0.99439	50.97	0.975	rgb(228, 31, 33)	1.9996	None
RFX6	KCNMA1	0.99439	50.97	0.967	rgb(228, 32, 34)	1.9996	None
RFX6	LINC00643	0.99439	50.97	0.97	rgb(228, 32, 34)	1.9996	None
RFX6	LOC728392	0.99439	50.97	0.969	rgb(228, 32, 34)	1.9996	None
RFX6	MARCH4	0.99439	50.97	0.966	rgb(228, 32, 34)	1.9996	None
RFX6	RTN1	0.99439	50.97	0.967	rgb(228, 32, 34)	1.9996	None
RFX6	SLC8A1	0.99439	50.97	0.97	rgb(228, 32, 34)	1.9996	None
RORC	FAM161A	-0.99439	50.97	-9.7E-01	rgb(  6, 88,254)	1.9996	None
ZNF514	SNX29P2	0.99439	50.97	0.971	rgb(228, 32, 33)	1.9996	2,2
E2F7	BRSK2	-0.99158	50.96	-9.6E-01	rgb(  8, 90,254)	1.9994	None
FOXA1	CCDC40	0.99158	50.96	0.956	rgb(228, 34, 36)	1.9994	None
FOXJ1	TGIF2	-0.99158	50.96	-9.6E-01	rgb( 10, 91,253)	1.9994	None
NEUROD2	STARD9	0.99158	50.96	0.958	rgb(228, 34, 36)	1.9994	None
NEUROG3	ABCC8	0.99158	50.96	0.963	rgb(228, 33, 35)	1.9994	None
NEUROG3	CABP7	0.99158	50.96	0.957	rgb(228, 34, 36)	1.9994	None
NEUROG3	CRYBA2	0.99158	50.96	0.96	rgb(228, 34, 35)	1.9994	None
NEUROG3	MAPK4	0.99158	50.96	0.962	rgb(228, 33, 35)	1.9994	None
NEUROG3	NKD1	0.99158	50.96	0.957	rgb(228, 34, 36)	1.9994	None
NEUROG3	SPARC	0.99158	50.96	0.964	rgb(228, 33, 35)	1.9994	None
NEUROG3	TMEM132B	0.99158	50.96	0.96	rgb(228, 34, 35)	1.9994	None
NEUROG3	TUBB4A	0.99158	50.96	0.962	rgb(228, 33, 35)	1.9994	None
RFX6	CPLX2	0.99158	50.96	0.958	rgb(228, 34, 36)	1.9994	None
RFX6	DUSP26	0.99158	50.96	0.961	rgb(228, 33, 35)	1.9994	None
RFX6	FEV	0.99158	50.96	0.961	rgb(228, 33, 35)	1.9994	None
RFX6	GCK	0.99158	50.96	0.963	rgb(228, 33, 35)	1.9994	None
RFX6	KCTD12	0.99158	50.96	0.962	rgb(228, 33, 35)	1.9994	None
RFX6	KIF1A	0.99158	50.96	0.965	rgb(228, 33, 35)	1.9994	None
RFX6	LAPTM5	0.99158	50.96	0.957	rgb(228, 34, 36)	1.9994	None
RFX6	MTSS1	0.99158	50.96	0.956	rgb(228, 34, 36)	1.9994	None
RFX6	PCSK1	0.99158	50.96	0.958	rgb(228, 34, 36)	1.9994	None
RFX6	RAPGEF4	0.99158	50.96	0.964	rgb(228, 33, 35)	1.9994	None
RFX6	TOX	0.99158	50.96	0.959	rgb(228, 34, 36)	1.9994	None
RFX6	VSTM2L	0.99158	50.96	0.96	rgb(228, 34, 36)	1.9994	None
SOX4	BAMBI	-0.99158	50.96	-9.6E-01	rgb( 10, 91,253)	1.9994	None
DACH1	AK092048	0.99158	50.96	0.955	rgb(228, 35, 36)	1.9994	2,2
MYSM1	BC005905	0.99158	50.96	0.961	rgb(228, 33, 35)	1.9994	2,2
E2F7	C1QL1	-0.98877	50.95	-9.5E-01	rgb( 10, 91,253)	1.9992	None
FOXA1	TMOD2	0.98877	50.95	0.947	rgb(227, 36, 38)	1.9992	None
NEUROD2	C1QL1	0.98877	50.95	0.945	rgb(227, 36, 38)	1.9992	None
NEUROG3	AK5	0.98877	50.95	0.947	rgb(227, 36, 38)	1.9992	None
NEUROG3	CSF1R	0.98877	50.95	0.948	rgb(227, 36, 38)	1.9992	None
NEUROG3	ENPP2	0.98877	50.95	0.955	rgb(228, 35, 37)	1.9992	None
NEUROG3	PLCG2	0.98877	50.95	0.954	rgb(227, 35, 37)	1.9992	None
NEUROG3	PPP1R1A	0.98877	50.95	0.945	rgb(227, 36, 38)	1.9992	None
NEUROG3	TMEM61	0.98877	50.95	0.949	rgb(227, 36, 38)	1.9992	None
ONECUT2	SNAP25	-0.98877	50.95	-9.5E-01	rgb( 10, 91,253)	1.9992	None
PAX6	POU2F2	-0.98877	50.95	-9.5E-01	rgb( 10, 91,253)	1.9992	None
POU2F2	STMND1	0.98877	50.95	0.951	rgb(227, 35, 37)	1.9992	None
RFX6	ANK2	0.98877	50.95	0.948	rgb(227, 36, 38)	1.9992	None
RFX6	FAM167A	0.98877	50.95	0.947	rgb(227, 36, 38)	1.9992	None
RFX6	GATA2	0.98877	50.95	0.948	rgb(227, 36, 38)	1.9992	None
RFX6	GHRL	0.98877	50.95	0.95	rgb(227, 36, 37)	1.9992	None
RFX6	NFASC	0.98877	50.95	0.953	rgb(227, 35, 37)	1.9992	None
RFX6	RAP1GAP2	0.98877	50.95	0.948	rgb(227, 36, 38)	1.9992	None
RFX6	RIMBP2	0.98877	50.95	0.946	rgb(227, 36, 38)	1.9992	None
RFX6	SCGB1A1	0.98877	50.95	0.95	rgb(227, 35, 37)	1.9992	None
RFX6	SYT5	0.98877	50.95	0.954	rgb(227, 35, 37)	1.9992	None
RFX6	TPST2	0.98877	50.95	0.949	rgb(227, 36, 38)	1.9992	None
ZNF514	BX641154	0.98877	50.95	0.95	rgb(227, 36, 38)	1.9992	2,2
NEUROD2	PGA5	0.98596	50.94	0.939	rgb(227, 38, 40)	1.999	None
NEUROG3	ATP8B2	0.98596	50.94	0.941	rgb(227, 37, 39)	1.999	None
NEUROG3	ID4	0.98596	50.94	0.942	rgb(227, 37, 39)	1.999	None
NEUROG3	INSM1	0.98596	50.94	0.94	rgb(227, 37, 39)	1.999	None
NEUROG3	ST18	0.98596	50.94	0.944	rgb(227, 37, 39)	1.999	None
ONECUT2	KLK12	-0.98596	50.94	-9.4E-01	rgb( 14, 93,253)	1.999	None
RFX2	ADAM12	0.98596	50.94	0.945	rgb(227, 37, 38)	1.999	None
RFX6	CA8	0.98596	50.94	0.94	rgb(227, 37, 39)	1.999	None
RFX6	CACNG4	0.98596	50.94	0.938	rgb(227, 38, 40)	1.999	None
RFX6	KCNK16	0.98596	50.94	0.942	rgb(227, 37, 39)	1.999	None
RFX6	MIR7-3HG	0.98596	50.94	0.943	rgb(227, 37, 39)	1.999	None
RFX6	RTN4RL1	0.98596	50.94	0.944	rgb(227, 37, 39)	1.999	None
RFX6	SIM1	0.98596	50.94	0.943	rgb(227, 37, 39)	1.999	None
TEAD1	RAB3C	-0.98596	50.94	-9.4E-01	rgb( 14, 93,253)	1.999	None
E2F7	GGT5	0.98316	50.93	0.935	rgb(227, 38, 40)	1.9988	None
FEV	UBE2S	0.98316	50.93	0.926	rgb(227, 40, 42)	1.9988	None
FOXA1	PLCXD3	0.98316	50.93	0.932	rgb(227, 39, 41)	1.9988	None
FOXA1	PPP1R14A	-0.98316	50.93	-9.3E-01	rgb( 16, 95,252)	1.9988	None
NEUROD2	CADPS	0.98316	50.93	0.925	rgb(227, 40, 42)	1.9988	None
NEUROD2	CHGA	0.98316	50.93	0.932	rgb(227, 39, 41)	1.9988	None
NEUROG3	MDK	0.98316	50.93	0.933	rgb(227, 39, 41)	1.9988	None
NEUROG3	MEX3B	0.98316	50.93	0.933	rgb(227, 39, 41)	1.9988	None
NEUROG3	PCBP4	0.98316	50.93	0.93	rgb(227, 39, 41)	1.9988	None
NEUROG3	RUNX1T1	0.98316	50.93	0.93	rgb(227, 39, 41)	1.9988	None
RFX6	AGT	0.98316	50.93	0.927	rgb(227, 40, 42)	1.9988	None
RFX6	CACNA1A	0.98316	50.93	0.93	rgb(227, 39, 41)	1.9988	None
RFX6	CHST8	0.98316	50.93	0.931	rgb(227, 39, 41)	1.9988	None
RFX6	CPA1	0.98316	50.93	0.931	rgb(227, 39, 41)	1.9988	None
RFX6	EFNB3	0.98316	50.93	0.93	rgb(227, 39, 41)	1.9988	None
RFX6	GNG4	0.98316	50.93	0.931	rgb(227, 39, 41)	1.9988	None
RFX6	KCNH8	0.98316	50.93	0.932	rgb(227, 39, 41)	1.9988	None
RFX6	LMX1A	0.98316	50.93	0.928	rgb(227, 40, 42)	1.9988	None
RFX6	MAP1B	0.98316	50.93	0.933	rgb(227, 39, 41)	1.9988	None
RFX6	MYT1	0.98316	50.93	0.929	rgb(227, 40, 41)	1.9988	None
RFX6	OR51E1	0.98316	50.93	0.931	rgb(227, 39, 41)	1.9988	None
RFX6	SCGB1C1	0.98316	50.93	0.934	rgb(227, 39, 41)	1.9988	None
SIX2	SLITRK6	0.98316	50.93	0.928	rgb(227, 40, 42)	1.9988	None
ZNF382	PGM5	-0.98316	50.93	-9.3E-01	rgb( 16, 95,252)	1.9988	None
ZNF492	CITED2	-0.98316	50.93	-9.3E-01	rgb( 14, 94,253)	1.9988	None
ZNF519	EGFR	0.98316	50.93	0.927	rgb(227, 40, 42)	1.9988	None
SIM1	GUCY1B3	0.98316	50.93	0.929	rgb(227, 39, 41)	1.9988	2,2
ZNF514	AL137655	0.98316	50.93	0.926	rgb(227, 40, 42)	1.9988	2,2
ZNF514	DQ598910	0.98316	50.93	0.931	rgb(227, 39, 41)	1.9988	2,2
ZNF514	LOC400927	0.98316	50.93	0.93	rgb(227, 39, 41)	1.9988	2,2
ELF4	MDN1	-0.98035	50.92	-9.2E-01	rgb( 17, 96,252)	1.9986	None
FOXA1	PODXL2	0.98035	50.92	0.921	rgb(227, 41, 43)	1.9986	None
GATA2	CXXC4	0.98035	50.92	0.922	rgb(227, 41, 43)	1.9986	None
HIF1A	CDHR3	-0.98035	50.92	-9.2E-01	rgb( 18, 96,252)	1.9986	None
LHX1	FGF9	0.98035	50.92	0.918	rgb(227, 42, 44)	1.9986	None
MAFA	LDHD	0.98035	50.92	0.922	rgb(227, 41, 43)	1.9986	None
MAFB	GFRA3	-0.98035	50.92	-9.2E-01	rgb( 18, 96,252)	1.9986	None
NEUROD2	ANKRD13B	0.98035	50.92	0.915	rgb(227, 42, 44)	1.9986	None
NEUROD2	GPC2	0.98035	50.92	0.918	rgb(227, 42, 44)	1.9986	None
NEUROG3	ADORA2A	0.98035	50.92	0.923	rgb(227, 41, 43)	1.9986	None
NEUROG3	DNAJC12	0.98035	50.92	0.915	rgb(227, 42, 44)	1.9986	None
NEUROG3	GGT5	0.98035	50.92	0.918	rgb(227, 42, 44)	1.9986	None
NEUROG3	KCNK3	0.98035	50.92	0.922	rgb(227, 41, 43)	1.9986	None
NEUROG3	NEFM	0.98035	50.92	0.924	rgb(227, 41, 42)	1.9986	None
NEUROG3	OGFRL1	0.98035	50.92	0.922	rgb(227, 41, 43)	1.9986	None
NEUROG3	SAMD5	0.98035	50.92	0.921	rgb(227, 41, 43)	1.9986	None
NEUROG3	SYNM	0.98035	50.92	0.924	rgb(227, 40, 42)	1.9986	None
NEUROG3	VASH2	0.98035	50.92	0.924	rgb(227, 40, 42)	1.9986	None
RFX6	ADAMTS2	0.98035	50.92	0.918	rgb(227, 42, 44)	1.9986	None
RFX6	APBB1	0.98035	50.92	0.921	rgb(227, 41, 43)	1.9986	None
RFX6	BTBD17	0.98035	50.92	0.915	rgb(227, 42, 44)	1.9986	None
RFX6	CACNB2	0.98035	50.92	0.922	rgb(227, 41, 43)	1.9986	None
RFX6	FBXL16	0.98035	50.92	0.923	rgb(227, 41, 43)	1.9986	None
RFX6	GRIK3	0.98035	50.92	0.923	rgb(227, 41, 43)	1.9986	None
RFX6	GRIK5	0.98035	50.92	0.924	rgb(227, 41, 42)	1.9986	None
RFX6	HHEX	0.98035	50.92	0.921	rgb(227, 41, 43)	1.9986	None
RFX6	RET	0.98035	50.92	0.922	rgb(227, 41, 43)	1.9986	None
RFX6	SLC16A12	0.98035	50.92	0.917	rgb(227, 42, 44)	1.9986	None
RFX6	SNED1	0.98035	50.92	0.923	rgb(227, 41, 43)	1.9986	None
RFX6	SPRED3	0.98035	50.92	0.923	rgb(227, 41, 42)	1.9986	None
RFX6	STMN2	0.98035	50.92	0.924	rgb(227, 41, 42)	1.9986	None
RFX6	TNP1	0.98035	50.92	0.921	rgb(227, 41, 43)	1.9986	None
RORC	USP13	-0.98035	50.92	-9.2E-01	rgb( 18, 96,252)	1.9986	None
TGIF2	BAALC	0.98035	50.92	0.916	rgb(227, 42, 44)	1.9986	None
ZNF883	MDN1	0.98035	50.92	0.921	rgb(227, 41, 43)	1.9986	None
ZNF514	FLJ45340	0.98035	50.92	0.924	rgb(227, 41, 42)	1.9986	2,2
ARNT2	CITED2	0.97754	50.91	0.914	rgb(227, 43, 44)	1.9984	None
ELF4	EDAR	-0.97754	50.91	-9.1E-01	rgb( 20, 97,251)	1.9984	None
ETS1	ANKRD36C	-0.97754	50.91	-9.1E-01	rgb( 19, 96,252)	1.9984	None
FOXP2	S100A1	-0.97754	50.91	-9.1E-01	rgb( 20, 97,251)	1.9984	None
HMBOX1	ATP13A4	0.97754	50.91	0.913	rgb(227, 43, 45)	1.9984	None
HMBOX1	PMP22	-0.97754	50.91	-9.1E-01	rgb( 20, 97,252)	1.9984	None
HMBOX1	SAP30	-0.97754	50.91	-9.1E-01	rgb( 20, 97,252)	1.9984	None
MAFA	CACNA1G	0.97754	50.91	0.908	rgb(227, 44, 45)	1.9984	None
NEUROD2	NTRK1	0.97754	50.91	0.908	rgb(227, 44, 45)	1.9984	None
NEUROD2	PGA4	0.97754	50.91	0.912	rgb(227, 43, 45)	1.9984	None
NEUROG3	HEPACAM2	0.97754	50.91	0.911	rgb(227, 43, 45)	1.9984	None
NEUROG3	NKAIN1	0.97754	50.91	0.911	rgb(227, 43, 45)	1.9984	None
NEUROG3	PTCH1	0.97754	50.91	0.906	rgb(227, 44, 46)	1.9984	None
NEUROG3	SRSF12	0.97754	50.91	0.91	rgb(227, 43, 45)	1.9984	None
RFX6	DDN	0.97754	50.91	0.91	rgb(227, 43, 45)	1.9984	None
RFX6	EML1	0.97754	50.91	0.906	rgb(227, 44, 46)	1.9984	None
RFX6	EPHA4	0.97754	50.91	0.915	rgb(227, 42, 44)	1.9984	None
RFX6	FRMPD4	0.97754	50.91	0.915	rgb(227, 42, 44)	1.9984	None
RFX6	GAD2	0.97754	50.91	0.91	rgb(227, 43, 45)	1.9984	None
RFX6	LOC646903	0.97754	50.91	0.91	rgb(227, 43, 45)	1.9984	None
RFX6	MAP6	0.97754	50.91	0.913	rgb(227, 43, 44)	1.9984	None
RFX6	NAV3	0.97754	50.91	0.911	rgb(227, 43, 45)	1.9984	None
RFX6	OR51E2	0.97754	50.91	0.906	rgb(227, 44, 46)	1.9984	None
RFX6	PAX6	0.97754	50.91	0.912	rgb(227, 43, 45)	1.9984	None
RFX6	PELI3	0.97754	50.91	0.907	rgb(227, 44, 46)	1.9984	None
RFX6	PRKCG	0.97754	50.91	0.911	rgb(227, 43, 45)	1.9984	None
RFX6	SIX2	0.97754	50.91	0.913	rgb(227, 43, 44)	1.9984	None
RFX6	TUBB3	0.97754	50.91	0.907	rgb(227, 44, 46)	1.9984	None
SMAD9	PDZD4	0.97754	50.91	0.913	rgb(227, 43, 45)	1.9984	None
SMAD9	TMEM196	0.97754	50.91	0.906	rgb(227, 44, 46)	1.9984	None
TEAD1	HECW2	-0.97754	50.91	-9.1E-01	rgb( 20, 97,252)	1.9984	None
TEAD1	TMOD2	-0.97754	50.91	-9.1E-01	rgb( 19, 97,252)	1.9984	None
TEAD1	ZG16	-0.97754	50.91	-9.1E-01	rgb( 19, 96,252)	1.9984	None
TFCP2L1	MLLT11	0.97754	50.91	0.907	rgb(227, 44, 46)	1.9984	None
TGIF2	CHGA	0.97754	50.91	0.912	rgb(227, 43, 45)	1.9984	None
TGIF2	PGA5	0.97754	50.91	0.911	rgb(227, 43, 45)	1.9984	None
ZNF519	RFX3	0.97754	50.91	0.909	rgb(227, 43, 45)	1.9984	None
CCDC17	BX649158	0.97754	50.91	0.91	rgb(227, 43, 45)	1.9984	2,2
MYT1	AL109792	0.97754	50.91	0.906	rgb(227, 44, 46)	1.9984	2,2
ZNF514	AB073649	0.97754	50.91	0.908	rgb(227, 44, 45)	1.9984	2,2
E2F7	FXYD6	-0.97474	50.9	-9.0E-01	rgb( 22, 99,251)	1.9982	None
E2F7	ST8SIA3	-0.97474	50.9	-9.0E-01	rgb( 21, 98,251)	1.9982	None
ETS1	RET	-0.97474	50.9	-9.0E-01	rgb( 22, 98,251)	1.9982	None
ETV1	GPR173	0.97474	50.9	0.895	rgb(227, 46, 48)	1.9982	None
ETV1	NAALADL1	0.97474	50.9	0.903	rgb(227, 45, 46)	1.9982	None
FEV	SLC22A17	0.97474	50.9	0.895	rgb(227, 46, 48)	1.9982	None
FOXD4L5	UBN2	0.97474	50.9	0.901	rgb(227, 45, 47)	1.9982	None
FOXJ1	TMPRSS11E	-0.97474	50.9	-9.0E-01	rgb( 22, 99,251)	1.9982	None
GATA4	RAB3C	0.97474	50.9	0.896	rgb(227, 46, 48)	1.9982	None
HMBOX1	ABCC4	0.97474	50.9	0.904	rgb(227, 44, 46)	1.9982	None
HSF2	SSTR5	-0.97474	50.9	-9.0E-01	rgb( 22, 98,251)	1.9982	None
MAFB	CPB1	-0.97474	50.9	-9.0E-01	rgb( 21, 98,251)	1.9982	None
NEUROD2	SSTR3	0.97474	50.9	0.899	rgb(227, 45, 47)	1.9982	None
NEUROG3	CAMK2B	0.97474	50.9	0.898	rgb(227, 45, 47)	1.9982	None
NEUROG3	CDHR1	0.97474	50.9	0.898	rgb(227, 46, 47)	1.9982	None
NEUROG3	LRRTM3	0.97474	50.9	0.897	rgb(227, 46, 47)	1.9982	None
NEUROG3	RASD1	0.97474	50.9	0.901	rgb(227, 45, 47)	1.9982	None
NEUROG3	ST8SIA5	0.97474	50.9	0.901	rgb(227, 45, 47)	1.9982	None
NEUROG3	TP73	0.97474	50.9	0.895	rgb(227, 46, 48)	1.9982	None
NEUROG3	YPEL1	0.97474	50.9	0.899	rgb(227, 45, 47)	1.9982	None
PAX6	GPR173	-0.97474	50.9	-9.0E-01	rgb( 22, 99,251)	1.9982	None
RFX6	APLP1	0.97474	50.9	0.903	rgb(227, 45, 46)	1.9982	None
RFX6	B3GAT1	0.97474	50.9	0.897	rgb(227, 46, 47)	1.9982	None
RFX6	CAMKV	0.97474	50.9	0.899	rgb(227, 45, 47)	1.9982	None
RFX6	ELAVL4	0.97474	50.9	0.902	rgb(227, 45, 47)	1.9982	None
RFX6	GALNT16	0.97474	50.9	0.896	rgb(227, 46, 48)	1.9982	None
RFX6	KCNN3	0.97474	50.9	0.903	rgb(227, 45, 46)	1.9982	None
RFX6	LTBP2	0.97474	50.9	0.899	rgb(227, 45, 47)	1.9982	None
RFX6	PCSK1N	0.97474	50.9	0.896	rgb(227, 46, 48)	1.9982	None
RFX6	QDPR	0.97474	50.9	0.9	rgb(227, 45, 47)	1.9982	None
RFX6	TEKT2	0.97474	50.9	0.905	rgb(227, 44, 46)	1.9982	None
SOX4	PAPPA2	-0.97474	50.9	-9.0E-01	rgb( 22, 98,251)	1.9982	None
SOX4	PDE8B	-0.97474	50.9	-9.0E-01	rgb( 22, 98,251)	1.9982	None
TEAD1	GABRP	0.97474	50.9	0.9	rgb(227, 45, 47)	1.9982	None
TEAD1	SYP	-0.97474	50.9	-9.0E-01	rgb( 23, 99,251)	1.9982	None
TFCP2L1	PARD6A	0.97474	50.9	0.902	rgb(227, 45, 47)	1.9982	None
ZNF846	CDK5R2	-0.97474	50.9	-9.0E-01	rgb( 22, 98,251)	1.9982	None
ZNF883	BC041654	-0.97474	50.9	-9.0E-01	rgb( 22, 98,251)	1.9982	2,2
MYT1	UCHL1	0.97474	50.9	0.902	rgb(227, 45, 47)	1.9982	2,2
