Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2018	aspartic-type peptidase activity (GO:0070001)	1/17	0.008469366280577591	0.08500069181606726	0	0	138.70833333333334	661.8190142974174	PGA5
GO_Molecular_Function_2018	aspartic-type endopeptidase activity (GO:0004190)	1/21	0.01045276151186767	0.08500069181606726	0	0	110.94444444444444	506.0053047065427	PGA5
GO_Molecular_Function_2018	calmodulin-dependent protein kinase activity (GO:0004683)	1/27	0.013421161865694831	0.08500069181606726	0	0	85.3162393162393	367.7917019980768	CAMK2B
GO_Molecular_Function_2018	histone deacetylase binding (GO:0042826)	1/85	0.041705318095063774	0.15030671462497774	0	0	26.33068783068783	83.65592938917332	INSM1
GO_Molecular_Function_2018	transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding (GO:0001078)	1/97	0.047465278302624564	0.15030671462497774	0	0	23.025462962962962	70.17601174086535	INSM1
GO_Molecular_Function_2018	core promoter binding (GO:0001047)	1/97	0.047465278302624564	0.15030671462497774	0	0	23.025462962962962	70.17601174086535	INSM1
GO_Molecular_Function_2018	transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding (GO:0001227)	1/159	0.07673171814609463	0.20827180639654255	0	0	13.946554149085795	35.80694267122304	INSM1
GO_Molecular_Function_2018	RNA polymerase II core promoter proximal region sequence-specific DNA binding (GO:0000978)	1/262	0.1235670702343474	0.2285816133277789	0	0	8.398893146019581	17.561843608876007	INSM1
GO_Molecular_Function_2018	core promoter proximal region sequence-specific DNA binding (GO:0000987)	1/278	0.13064734123185245	0.2285816133277789	0	0	7.907340553549941	16.093443624830282	INSM1
GO_Molecular_Function_2018	transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding (GO:0000982)	1/280	0.13152874576436102	0.2285816133277789	0	0	7.849860613301472	15.923676590358793	INSM1
GO_Molecular_Function_2018	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding (GO:0001228)	1/284	0.13328914247909435	0.2285816133277789	0	0	7.737338044758539	15.59255061922831	GRHL3
GO_Molecular_Function_2018	endopeptidase activity (GO:0004175)	1/354	0.16358073307203908	0.2285816133277789	0	0	6.180988353792888	11.190361898759198	PGA5
GO_Molecular_Function_2018	protein serine/threonine kinase activity (GO:0004674)	1/368	0.16952343905091144	0.2285816133277789	0	0	5.940962761126249	10.543807298582898	CAMK2B
GO_Molecular_Function_2018	transcription regulatory region DNA binding (GO:0044212)	1/374	0.17205865939188072	0.2285816133277789	0	0	5.84361036639857	10.284285688606571	INSM1
GO_Molecular_Function_2018	sequence-specific DNA binding (GO:0043565)	1/394	0.1804591684166676	0.2285816133277789	0	0	5.540571105456602	9.486846978429373	GRHL3
GO_Molecular_Function_2018	RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)	1/460	0.2076394245459761	0.2465718166483466	0	0	4.727910917453401	7.432050154514014	INSM1
GO_Molecular_Function_2018	protein kinase activity (GO:0004672)	1/513	0.22887566045061025	0.2558022087389173	0	0	4.226996527777779	6.233029281963932	CAMK2B
GO_Molecular_Function_2018	protein homodimerization activity (GO:0042803)	1/664	0.28659993262710043	0.3025221511063838	0	0	3.2389810625104745	4.047650982099697	CAMK2B
GO_Molecular_Function_2018	DNA binding (GO:0003677)	1/893	0.36674333731896813	0.36674333731896813	0	0	2.378923766816144	2.3862818468813107	GRHL3
