	partition_group
ADAMTSL2	0
AMBP	0
ANKRD20A8P	0
ASRGL1	0
CHGA	0
CHGB	0
CNGA3	0
CRLF1	0
DYNC1I1	0
ELFN1	0
FAM71E2	0
FJX1	0
GNG4	0
HOPX	0
LINC00643	0
LYPD8	0
MAFA	0
MLLT11	0
MRPL34	0
NREP	0
PTP4A3	0
RAB4B-EGLN2	0
RASD1	0
SCIMP	0
SLC38A5	0
TUBA3FP	0
TUBB3	0
UBL5	0
VSTM2L	0
ABCC8	1
ADORA2A	1
ASXL3	1
BEX1	1
BHMT	1
CBLN1	1
CD99L2	1
DPEP1	1
DPYSL4	1
ENPP2	1
FAM167A	1
HEPACAM2	1
IGFBPL1	1
KCNJ11	1
KLK12	1
LRRN2	1
MUC16	1
NEUROD1	1
PCSK1	1
RAB39B	1
RGS4	1
SCG2	1
SCG3	1
SEPT5-GP1BB	1
SLC6A17	1
SSTR2	1
TMEM200A	1
TMOD1	1
VWA5B2	1
ATOH8	2
BAI1	2
BAI2	2
CCND2	2
CNTN3	2
CTSL2	2
DQ592230	2
EPHB3	2
FLJ00385	2
FRZB	2
HEYL	2
HGFAC	2
IGHG1	2
LINGO1	2
LOC400891	2
LTF	2
MEX3B	2
MUC5B	2
NEUROG3	2
NINJ1	2
NOXO1	2
NPSR1-AS1	2
NPTX1	2
NPW	2
PHLDA2	2
PPP1R3C	2
RASL11B	2
SDPR	2
SEMA6B	2
SH3GL1P1	2
SPON2	2
STMN3	2
SUSD2	2
TMEM59L	2
TUBB4A	2
ZCCHC12	2
AK316092	3
AMPD3	3
CBFA2T3	3
CDH5	3
CHRNB2	3
CLCNKA	3
CLPS	3
CSF1R	3
CXCR7	3
CYMP	3
DPYSL3	3
EVA1A	3
GFRA1	3
HMGB3	3
IGFN1	3
INHBE	3
LRFN1	3
MEX3A	3
MMP11	3
MUC15	3
MUC5AC	3
NPTXR	3
OSBPL6	3
PCBP4	3
PTGDR2	3
RBP1	3
RCOR2	3
SAP30	3
SBK1	3
SCN1B	3
SCUBE1	3
SFTPA2	3
SHF	3
SIDT1	3
SLC51B	3
SOX4	3
TFPI2	3
TMEM70	3
TP73	3
TSPAN11	3
ACTN3	4
AL117485	4
ARHGAP9	4
CDH22	4
CDKN1C	4
CELA3B	4
CORO2B	4
CYP27A1	4
DLL4	4
FLJ38723	4
FUT7	4
GAL	4
GGT5	4
GLT8D2	4
GOLGA7B	4
ID4	4
IL17C	4
KIT	4
LRRC10B	4
MAD2L2	4
NHLH1	4
POM121L9P	4
PPP1R14A	4
PRELP	4
PROX1	4
SH3RF3	4
SLC7A4	4
SSTR1	4
ST18	4
SYP	4
TMEM61	4
AMER3	5
BAALC	5
BCRP3	5
BTBD17	5
CA8	5
CACNA2D1	5
CACNG4	5
CDK5R2	5
CELF3	5
COL22A1	5
CPA1	5
CPLX1	5
CTXN1	5
DNAJC12	5
FAM110B	5
FFAR2	5
FLT1	5
GABBR2	5
GCK	5
GPR142	5
INSRR	5
JAKMIP2	5
JAM3	5
KCNH6	5
KCTD12	5
LINC00310	5
LMX1B	5
LTBP2	5
MAP6	5
MAPK4	5
MSMB	5
NKAIN1	5
NKX2-2	5
NOTUM	5
OR51E1	5
P2RX6	5
PDZRN3	5
PLCG2	5
PTCHD2	5
QDPR	5
RFX6	5
RGS16	5
RGS9	5
RIMBP2	5
SAMD14	5
SCGB1A1	5
SCGN	5
SFRP1	5
SLC16A12	5
SLC18A1	5
SMOC2	5
SPARC	5
SYT5	5
TMEM196	5
TOX	5
TSNAX-DISC1	5
TUBA1A	5
VCAN	5
ZCCHC18	5
ZNRF3-AS1	5
AK5	6
ANKRD65	6
CABP7	6
CACNA1A	6
CCL20	6
CD200	6
CPE	6
CRYBA2	6
FSD1	6
GHRL	6
GNG2	6
HECW2	6
ISL1	6
KIF19	6
KLHL32	6
LRIG1	6
MDK	6
MS4A8	6
MYBPC2	6
MYT1	6
NFASC	6
NKD1	6
OLFML2B	6
PDE2A	6
SPIB	6
SSTR5-AS1	6
TTYH2	6
VSTM4	6
VWCE	6
BCL2	7
C1QL1	7
C2CD4A	7
CACNA1H	7
CELA3A	7
CNIH2	7
COL16A1	7
CYGB	7
DLL1	7
DSCAML1	7
KIF1A	7
LAPTM5	7
LSP1	7
LZTS1	7
PAX4	7
RIIAD1	7
RUNDC3A	7
SLC38A3	7
SOCS1	7
SPINK4	7
USP41	7
AGT	8
C2CD4B	8
CFH	8
GRASP	8
HES4	8
HINT1	8
KCNF1	8
LINC00261	8
MFAP2	8
RAB26	8
SYNGR3	8
TMEM158	8
AKR1B1	9
CADPS	9
CHRNA1	9
CHRNA3	9
CSH1	9
CSH2	9
DACH1	9
DOCK8	9
FAM171A2	9
GNAO1	9
GPC2	9
HES6	9
KCNB2	9
KCNK3	9
LOC145837	9
MMP2	9
NEUROD2	9
PGA3	9
PGA4	9
PMP22	9
PPP1R16B	9
RGAG4	9
SDK2	9
SERPINI1	9
STARD9	9
TAGLN3	9
TMEM35	9
VASH2	9
WNT9A	9
BC041449	10
CAMK2B	10
FAM105A	10
FAM19A5	10
GRHL3	10
INSM1	10
NEURL	10
PCDHB15	10
PCDHB16	10
PGA5	10
