Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Synaptic vesicle cycle	2/78	0.006488895136942576	0.10188465409507724	0	0	18.05172413793104	90.938502840842	SNAP25;STX1A
KEGG_2019_Human	Insulin secretion	2/86	0.007837281084236711	0.10188465409507724	0	0	16.325944170771756	79.16227161319938	SNAP25;STX1A
KEGG_2019_Human	Thiamine metabolism	1/15	0.023007227131928758	0.17548702995425824	0	0	47.51190476190475	179.2123813705957	AK5
KEGG_2019_Human	Maturity onset diabetes of the young	1/26	0.039552819536006416	0.17548702995425824	0	0	26.592	85.8953057509563	ONECUT1
KEGG_2019_Human	SNARE interactions in vesicular transport	1/34	0.051415327328444255	0.17548702995425824	0	0	20.13737373737374	59.76407945997836	STX1A
KEGG_2019_Human	Prion diseases	1/35	0.052888133852117436	0.17548702995425824	0	0	19.544117647058822	57.451424611575966	C7
KEGG_2019_Human	Glycine, serine and threonine metabolism	1/40	0.06021903535976484	0.17548702995425824	0	0	17.034188034188034	47.86209557175929	ALAS2
KEGG_2019_Human	Nicotine addiction	1/40	0.06021903535976484	0.17548702995425824	0	0	17.034188034188034	47.86209557175929	GABRB3
KEGG_2019_Human	Porphyrin and chlorophyll metabolism	1/42	0.06313599453486288	0.17548702995425824	0	0	16.201626016260164	44.75641243015854	ALAS2
KEGG_2019_Human	Glycosphingolipid biosynthesis	1/45	0.06749501152086855	0.17548702995425824	0	0	15.094696969696967	40.690798579955654	ST6GALNAC5
KEGG_2019_Human	Long-term potentiation	1/67	0.09886681344336716	0.2143790661259554	0	0	10.052020202020202	23.260190326629893	PPP1R1A
KEGG_2019_Human	Amphetamine addiction	1/68	0.1002682623878204	0.2143790661259554	0	0	9.901492537313432	22.772502698810968	STX1A
KEGG_2019_Human	Complement and coagulation cascades	1/79	0.1155456581169776	0.2143790661259554	0	0	8.500427350427351	18.344683169954745	C7
KEGG_2019_Human	Peroxisome	1/83	0.12103858786538906	0.2143790661259554	0	0	8.084146341463414	17.070854284931038	PEX5L
KEGG_2019_Human	GABAergic synapse	1/89	0.1292161299361437	0.2143790661259554	0	0	7.530681818181818	15.409799629222073	GABRB3
KEGG_2019_Human	Morphine addiction	1/91	0.1319255791544341	0.2143790661259554	0	0	7.362592592592592	14.91305874036	GABRB3
KEGG_2019_Human	Serotonergic synapse	1/113	0.1611961988204034	0.2326488614914255	0	0	5.909821428571429	10.786210288951333	GABRB3
KEGG_2019_Human	Thyroid hormone signaling pathway	1/116	0.16511287879326791	0.2326488614914255	0	0	5.754782608695653	10.365088149733953	MED12L
KEGG_2019_Human	Purine metabolism	1/129	0.18188160313378351	0.2326488614914255	0	0	5.166927083333333	8.806507089090594	AK5
KEGG_2019_Human	Systemic lupus erythematosus	1/133	0.18697530817141164	0.2326488614914255	0	0	5.0093434343434335	8.399560435360442	C7
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	1/139	0.1945583644683707	0.2326488614914255	0	0	4.790096618357489	7.841498751053612	ONECUT1
KEGG_2019_Human	Adrenergic signaling in cardiomyocytes	1/145	0.20207295471968767	0.2326488614914255	0	0	4.58912037037037	7.338583926220001	PPP1R1A
KEGG_2019_Human	Retrograde endocannabinoid signaling	1/148	0.20580476208856874	0.2326488614914255	0	0	4.494784580498867	7.105478246409347	GABRB3
KEGG_2019_Human	Proteoglycans in cancer	1/201	0.2690145471023502	0.291432426027546	0	0	3.294833333333333	4.3260826331547415	ANK2
KEGG_2019_Human	Ras signaling pathway	1/232	0.3036997777963908	0.31584776890824645	0	0	2.8481962481962477	3.394240010736457	KSR2
KEGG_2019_Human	Neuroactive ligand-receptor interaction	1/338	0.4106744564228846	0.4106744564228846	0	0	1.941839762611276	1.728148947970828	GABRB3
