	partition_group
ABCA9	0
ADCY1	0
AK056486	0
AK5	0
AMER3	0
ANK2	0
ANKRD65	0
ASIC4	0
AVPR1B	0
B3GAT1	0
BEND5	0
BRS3	0
BRSK1	0
BTBD17	0
CA8	0
CABP7	0
CACNA1A	0
CACNB2	0
CACNG4	0
CCDC74B	0
CD200	0
CD300LF	0
CDK5R2	0
CERS1	0
CHGB	0
CLIP3	0
CNGA3	0
CPLX2	0
DDN	0
DNAH11	0
DNAJC12	0
EFNB3	0
EML1	0
EPHA8	0
ETV1	0
FAM131B	0
FAM155B	0
FAM57B	0
FAM71E2	0
FBXL16	0
FEV	0
FFAR2	0
FGF14	0
FSD1	0
GCK	0
GNG2	0
GPR133	0
GPR137C	0
GPR148	0
GPR155	0
GRAMD2	0
GRIK5	0
HECW2	0
HLA-DQA2	0
HOPX	0
INSRR	0
ITGBL1	0
JAKMIP2	0
KCNH3	0
KCNK16	0
KIF19	0
L1TD1	0
LINC00643	0
LOC646903	0
LOC728392	0
LRAT	0
LTBP2	0
MAP3K12	0
MAPK12	0
MAPK8IP1	0
MARCH4	0
MBOAT4	0
MED12L	0
MPP2	0
MS4A8	0
MYBPC2	0
MYBPC3	0
NAT8L	0
NAV3	0
NEGR1	0
NFASC	0
NHSL2	0
NKD1	0
NOL4	0
NPTX2	0
NTNG2	0
OGFRL1	0
OLFML2B	0
PAX6	0
PCSK1N	0
PDE2A	0
PELI3	0
PEX5L	0
PLCG2	0
PLXNC1	0
PPP1R1A	0
PRKCG	0
PRR18	0
PTP4A3	0
RAB3C	0
RASD1	0
RFX6	0
RGS4	0
RGS9	0
RRAGD	0
RSAD2	0
RTN1	0
SCG3	0
SCGN	0
SEPT5-GP1BB	0
SFRP1	0
SLC12A5	0
SLC25A53	0
SPIB	0
SPP1	0
SRCIN1	0
SST	0
ST8SIA3	0
STARD8	0
SYN1	0
SYT14	0
TENM2	0
TMEFF1	0
TMEM200A	0
TNP1	0
TUBA3FP	0
UNC79	0
WDR17	0
WNK3	0
WSCD1	0
XKR7	0
ACSS3	1
ADAMTSL2	1
ADORA2A	1
AK026379	1
ASXL3	1
ATOH8	1
BAI1	1
BEX1	1
BHMT	1
CAMK2B	1
CDH22	1
CHGA	1
CLCN4	1
DLL3	1
DPEP1	1
DUSP26	1
ELOVL4	1
ENPP2	1
FAM105A	1
FAM167A	1
FLJ38723	1
GNG4	1
HEPACAM2	1
IFIT1	1
IGFBPL1	1
INSM1	1
KIT	1
KLK12	1
LOC100129175	1
LOC100507351	1
LOC400891	1
LOC642366	1
LRRC16B	1
LRRN2	1
LRRTM3	1
MAP2	1
NEURL	1
NEUROD1	1
NKX2-2	1
PGA5	1
PROX1	1
SCN3A	1
SGSM1	1
SLC6A17	1
SSTR2	1
ST18	1
SUCNR1	1
SYP	1
TMEM61	1
TTC7B	1
TTLL7	1
TUBB4A	1
UBE2QL1	1
VSTM2L	1
VWA5B2	1
ACBD7	2
ADAM12	2
ADD2	2
AF070581	2
AK022997	2
AK024119	2
AK095045	2
AK123868	2
AL109792	2
AP3B2	2
ASCL1	2
ASIC5	2
ATCAY	2
ATP1A3	2
BC006435	2
BC022892	2
BC033961	2
BC041484	2
CALY	2
CEND1	2
CENPE	2
CIT	2
CLSPN	2
CRISPLD1	2
DBC1	2
DCX	2
DIRAS1	2
DPP10	2
ERO1LB	2
EVL	2
FAM153A	2
FAM181B	2
GCH1	2
