Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Synaptic vesicle cycle	3/78	0.010305123409818574	0.3753724871055645	0	0	7.075	32.368932179597856	UNC13A;CACNA1B;STX1A
KEGG_2019_Human	GABAergic synapse	3/89	0.0147009846734649	0.3753724871055645	0	0	6.166632059800666	26.0222055821182	GABRB3;GNAO1;CACNA1B
KEGG_2019_Human	Morphine addiction	3/91	0.015597427617935453	0.3753724871055645	0	0	6.0258725649350655	25.071542316187703	GABRB3;GNAO1;CACNA1B
KEGG_2019_Human	Nicotine addiction	2/40	0.02217574870434885	0.3753724871055645	0	0	9.244061481136471	35.20837451891862	GABRB3;CACNA1B
KEGG_2019_Human	Cholinergic synapse	3/112	0.026846679458574715	0.3753724871055645	0	0	4.859764089121886	17.58074640543764	GNAO1;CACNA1B;KCNJ2
KEGG_2019_Human	Serotonergic synapse	3/113	0.0274662795443096	0.3753724871055645	0	0	4.815340909090909	17.31016932254417	GNAO1;GABRB3;CACNA1B
KEGG_2019_Human	Dopaminergic synapse	3/131	0.039911197714703084	0.46480272470954	0	0	4.134416852678571	13.317363302295927	GNAO1;KIF5C;CACNA1B
KEGG_2019_Human	Viral myocarditis	2/59	0.045346607288735616	0.46480272470954	0	0	6.1568079490762315	19.04559233441176	SGCD;HLA-DQA2
KEGG_2019_Human	Retrograde endocannabinoid signaling	3/148	0.053858903270150416	0.49071445201692604	0	0	3.646551724137931	10.652990823408773	GNAO1;GABRB3;CACNA1B
KEGG_2019_Human	Insulin secretion	2/86	0.08776560317489009	0.6132279699570629	0	0	4.1721449641803625	10.151185910579057	STX1A;GIP
KEGG_2019_Human	Neuroactive ligand-receptor interaction	4/338	0.1306964545553759	0.6132279699570629	0	0	2.1094028159896423	4.292376930516338	GABRB3;PYY;GRIK3;GIP
KEGG_2019_Human	Toxoplasmosis	2/113	0.13785028240993086	0.6132279699570629	0	0	3.152993701666268	6.247931623024014	GNAO1;HLA-DQA2
KEGG_2019_Human	Glutamatergic synapse	2/114	0.13981022625708173	0.6132279699570629	0	0	3.12468394437421	6.147719741087736	GNAO1;GRIK3
KEGG_2019_Human	Asthma	1/31	0.16380928941211412	0.6132279699570629	0	0	5.8055555555555545	10.502554195166498	HLA-DQA2
KEGG_2019_Human	Propanoate metabolism	1/32	0.16862484312343312	0.6132279699570629	0	0	5.6179966044142615	10.00047718647868	LDHAL6A
KEGG_2019_Human	SNARE interactions in vesicular transport	1/34	0.1781736283799067	0.6132279699570629	0	0	5.276980329611908	9.102773991144383	STX1A
KEGG_2019_Human	Prion diseases	1/35	0.18290717022337427	0.6132279699570629	0	0	5.121517027863777	8.700312880797469	NCAM1
KEGG_2019_Human	Allograft rejection	1/38	0.1969462361944738	0.6132279699570629	0	0	4.705547652916074	7.645689113363738	HLA-DQA2
KEGG_2019_Human	Pyruvate metabolism	1/39	0.2015725787375284	0.6132279699570629	0	0	4.581486611265005	7.3377353927109885	LDHAL6A
KEGG_2019_Human	Cell adhesion molecules (CAMs)	2/145	0.20298238695931595	0.6132279699570629	0	0	2.4434680363883903	3.8964422604904407	NCAM1;HLA-DQA2
KEGG_2019_Human	Graft-versus-host disease	1/41	0.21074614850690934	0.6132279699570629	0	0	4.351973684210527	6.776462390446478	HLA-DQA2
KEGG_2019_Human	Tryptophan metabolism	1/42	0.21529367401388516	0.6132279699570629	0	0	4.245614035087719	6.520211337740115	TDO2
KEGG_2019_Human	Oxytocin signaling pathway	2/153	0.2198089948046319	0.6132279699570629	0	0	2.313075074723085	3.504300214921422	GNAO1;KCNJ2
KEGG_2019_Human	Type I diabetes mellitus	1/43	0.2198152241346445	0.6132279699570629	0	0	4.144319131161237	6.278510765338483	HLA-DQA2
KEGG_2019_Human	Glycosphingolipid biosynthesis	1/45	0.2287809855667664	0.6132279699570629	0	0	3.955542264752791	5.834385791279516	ST6GALNAC5
KEGG_2019_Human	Type II diabetes mellitus	1/46	0.2332254885949045	0.6132279699570629	0	0	3.867446393762183	5.630033274608175	CACNA1B
