	partition_group
6	['AF131837', 'ISL1', 'SGCD', 'MIAT', 'TMEM196', 'HLA-DQA2', 'PTCHD2', 'SEPT5-GP1BB', 'GNAO1', 'SYT4', 'LONRF2', 'MYT1', 'AK024119', 'AL109792', 'CIT', 'TDO2', 'USP13', 'TMEM59L', 'AB074188', 'FAM181B', 'ERO1LB', 'PAK3', 'HMP19', 'ASIC1', 'AF070581', 'KCNIP3', 'UNC13A', 'PLCXD3', 'AK022997', 'DCX', 'NPAS3', 'GPR112', 'CRISPLD1', 'PCSK1', 'BC033961', 'KIF5C', 'SEPT3', 'ASIC5', 'KAL1', 'BEX1', 'AK095045', 'DIRAS1', 'ADAM12', 'LPPR5', 'CLEC4G', 'AK123868', 'GPR64', 'NOV', 'FHL1', 'RIC3', 'FFAR3', 'DBC1', 'PCDH17']
2	['ASCL1', 'SV2B', 'RIMBP2', 'KCNJ11', 'CACNA1A', 'PSD', 'ASCL2', 'RAB36', 'KCNJ6', 'GCK', 'CADPS', 'CRYBA2', 'KLHL32', 'KCNB2', 'KIAA1324', 'KCNH2', 'PTPRN2', 'SSTR3', 'GPC2', 'BAIAP3', 'SCN1B', 'MANEAL', 'MAPK4', 'REEP2', 'PNMAL1', 'KCNMB2', 'SMOC1', 'ABLIM2', 'KCNK17', 'GPR148', 'WDR17', 'SDK2', 'LSAMP', 'NPM2', 'SCUBE1', 'STMN3', 'NPTXR', 'SH3RF3', 'CHST8', 'PPM1E', 'TMEM151A', 'MTUS2', 'PDGFD', 'GPR173', 'PODXL2', 'BTBD11', 'DDC', 'MAP1A', 'SOGA3', 'RGS16', 'PAK6', 'CDK5R1']
5	['GSTM2', 'SV2A', 'ARNT2', 'WNK2', 'ELAVL4', 'BOC', 'NR4A3', 'RNF157-AS1', 'STMND1', 'MCF2L', 'CELSR3', 'CCDC40', 'CACNA1H', 'CAMKV', 'AADAT', 'TMEM151B', 'MAP1B', 'LINC00261', 'ADCY5', 'CLGN', 'MMP2', 'SCN3B', 'CDH22', 'ZDHHC8P1', 'AKT3', 'ADAMTSL1', 'SDK1', 'CHST10', 'DPYSL4', 'QSOX2', 'CHRNA5', 'PRICKLE2', 'FAM161A', 'SLC35F3', 'DCHS1', 'CHRNB2', 'NCAM1', 'EVL', 'CELF5', 'GPR83', 'AK311213', 'RAB39B', 'TPPP3']
8	['HHEX', 'TTR', 'DACH1', 'AK092048', 'ELOVL4', 'LIN7A', 'TPH1', 'FAM105A', 'RPRML', 'GFRA1', 'CHRNA3', 'GLYATL3', 'CSH1', 'RGAG4', 'CDHR3', 'CADM2', 'NCALD', 'CCDC154', 'DQ583756', 'DTX3', 'MAPK10', 'FAM101B', 'INA', 'SGSM1', 'CSH2', 'HBT8', 'ARHGEF25', 'TMEM35']
3	['KCNH6', 'CHGA', 'CDK5R2', 'ETV1', 'GATA2', 'FAM171B', 'SLC8A1', 'GPR137C', 'SCGB1A1', 'SCG5', 'SST', 'MAFB', 'ABCC8', 'CHGB', 'GHRL', 'ELAVL3', 'ANKRD13B', 'LINC00643', 'SLC16A12', 'MLLT11', 'PDE8B', 'AVPR1B', 'KCNMA1', 'FSTL5', 'CCDC74B', 'CACNA1C', 'KCNH3', 'SPOCK3', 'SRCIN1', 'GNG4', 'PPP1R16B', 'KCNJ3', 'SNED1', 'UCN3', 'IGSF10', 'KIF5A', 'CDKN1C', 'GPBAR1', 'CTPS1', 'RTN4RL1', 'BASP1', 'RAB3C', 'GPC6', 'GPR162', 'PAK7', 'SPEG', 'CLSTN2', 'CFC1', 'FAM227A', 'SLC7A14', 'LINC00890', 'TMEM190', 'CERKL', 'TSPAN11', 'CHD5', 'MYO3A', 'COL14A1', 'NTS', 'FAM179A', 'PCDH20', 'RASD1', 'AK311257', 'GAST', 'CES1', 'AX747090']
7	['MAP2', 'RAP1GAP2', 'AGT', 'SSTR5-AS1', 'NFASC', 'TMEM132B', 'NKD1', 'ASIC4', 'SPIB', 'UNC79', 'KCNH8', 'CPE', 'SMAD9', 'SAMD11', 'BRSK2', 'TMOD2', 'ANKRD65', 'XKR7', 'BSN', 'GAD2', 'WNK3', 'CCDC74A', 'NCS1', 'SLC7A2', 'SEZ6', 'SYT14', 'PDE2A', 'CRMP1', 'CBFA2T3', 'PGA4', 'RUNX1T1', 'ADCY1', 'MBOAT4', 'MAST1', 'FABP5', 'OGFRL1', 'SCT', 'RPLP0P2', 'FAM167A', 'FKBP7', 'ISLR2', 'COL22A1', 'BGN', 'CD200', 'PDZD4', 'GRB14', 'RGS9', 'SLC12A5', 'GDAP1L1']
4	['OR51E1', 'ARX', 'MMRN1', 'ID4', 'COL21A1', 'SCG2', 'LMX1A', 'GFRA3', 'SLC18A1', 'GABBR2', 'PDZRN3', 'LMX1B', 'BAALC', 'TOX', 'SVOP', 'CPB1', 'KIAA2022', 'NOL4', 'GIP', 'ITPR1', 'MAP6', 'STMN2', 'TAGLN3', 'CPT1C', 'RGS5', 'PTPRN', 'RGS11', 'H1FX-AS1', 'SLC26A7', 'FRMPD4', 'ADCY2', 'LINC00617', 'VCAN', 'CACNA2D1', 'PCSK2', 'ST8SIA5', 'LIMCH1', 'SHC3', 'PAPPA2', 'MEP1B', 'CLCA1', 'ACTL6B', 'LRRC49', 'CYP4F24P', 'SAMD14', 'NACAD', 'LEFTY1', 'CELF3', 'NEFL', 'LGR6', 'FAT3', 'ICA1L', 'CHST9', 'MLN', 'AK096718', 'CACNA1B', 'APLP1', 'CALY', 'SERPINA10', 'HSPA12A', 'FBN1', 'DOK6', 'S100A1', 'DGKB', 'LGI3', 'KCNAB2', 'AK054990', 'TMEM132C', 'GRIK3', 'HCP5', 'EPHA4', 'LOC100216479', 'MAPK8IP2', 'MIR137HG', 'LOC283731', 'KCNJ2']
9	['PGM5', 'ONECUT1', 'AK5', 'STX1A', 'GDAP1', 'MED12L', 'C7', 'ANK2', 'SNAP25', 'USH2A', 'KSR2', 'PPP1R1A', 'ST6GALNAC5', 'AK056486', 'TTLL6', 'ALAS2', 'PALMD', 'NHSL2', 'PEX5L', 'KIRREL3', 'AK094786', 'TMEFF2', 'KCNH7', 'GPR116', 'AK128153', 'JAKMIP2', 'GABRB3', 'NAV3', 'GPR142', 'LOC441204', 'BC020343']
0	['RFX6', 'RGS4', 'JAM3', 'MARCH4', 'CA8', 'LOC728392', 'FEV', 'TUB', 'GNG2', 'AMER3', 'KCNK16', 'NEGR1', 'KCTD12', 'SYT5', 'PCYT1B', 'SPTBN4', 'B3GAT1', 'GPR133', 'PCSK1N', 'FBXL16', 'NEFM', 'DZIP1', 'DOCK8', 'GRIN1', 'MIR7-3HG', 'PRR18', 'FAM131B', 'STXBP5L', 'NPTX2', 'PAX6', 'SPAG8', 'DHRS2', 'MTSS1', 'CNGA3', 'EFNB3', 'SYN1', 'CERS1', 'PGA3', 'TEKT2', 'NALCN', 'ACSS3', 'AP3B2', 'FAM57B', 'CPLX2', 'RTN1', 'PRKCG', 'GRIK5', 'SLC25A53', 'RPS6KL1', 'ITGBL1', 'HIC1', 'LRRC16B', 'VGF', 'PTP4A3', 'FAM155B', 'MAP3K12', 'ATP1A3', 'ST8SIA3', 'TMEFF1', 'FGF14', 'ZNF853', 'CELF4', 'LY6H', 'SCGN', 'KNDC1', 'TMEM145', 'SAMD5', 'LINC00907', 'RET', 'CHL1', 'EYA4', 'CRIP2', 'TRAM1L1', 'MAPK8IP1', 'DTX1', 'PELI3', 'NTNG2', 'PLXNC1', 'FLJ35024', 'FAXC', 'MURC', 'GRAMD2']
1	['ST18', 'INSM1', 'PGA5', 'NEUROD1', 'NKX2-2', 'IGFBPL1', 'SCG3', 'SSTR2', 'VWA5B2', 'CNIH2', 'SCN3A', 'UBE2QL1', 'HEPACAM2', 'NEUROG3', 'C2CD4A', 'ATOH8', 'GPR119', 'ENPP2', 'LOC100507351', 'DUSP26', 'HES6', 'LOC642366', 'BTBD17', 'DSCAML1', 'SLC6A17', 'KIF1A', 'LRRTM3', 'ASXL3', 'PAX4', 'ADAMTSL2', 'CAMK2B', 'SPON2', 'DPP10', 'SUCNR1', 'KCNE4', 'BHMT', 'STARD9', 'CABP7', 'CELA3A', 'GALNT16', 'TMEM200A', 'CACNB2', 'USP41', 'TUBA3FP', 'C1QL1', 'SPINK4', 'FFAR1', 'VASH2', 'KIF19', 'ELFN1', 'SYP', 'RUNDC3A', 'DNAJC12', 'CLPS', 'HECW2', 'ADAMTS2', 'DKK3', 'KLK12', 'DLL1', 'DACT1', 'LINC00494', 'CELA3B', 'CACNG4', 'GRAP2', 'KCNK3', 'FFAR2', 'KCNN3', 'RAPGEF4', 'CLCN4', 'CPLX1', 'LOC400891', 'LZTS1', 'SSTR1', 'SFRP1', 'BAI1', 'LRRN2', 'TTLL7', 'ACSL6', 'F10', 'VSTM2L', 'TUBB4A', 'NPSR1-AS1', 'NEURL', 'INS-IGF2', 'TTC7B', 'KIT', 'MPP2', 'SLC38A3', 'GOLGA6L5']
