	ADNP	AEBP1	AKNA	ARNT2	ARX	ASCL1	ASCL2	ATF5	ATF6	ATOH8	CBX2	CXXC4	DACH1	DZIP1	EGR3	ELF4	ETS1	ETV1	FEV	FOXA1	FOXA2	FOXP2	GATA2	GATA4	GATA6	GLIS2	GRHL3	HES4	HES6	HEYL	HHEX	HIC1	HIF1A	HMGN3	HOMEZ	HOXB9	HSF2	INSM1	ISL1	JAZF1	KCNIP3	LHX1	LMX1A	LMX1B	LTF	MAFA	MAFB	MAFF	MLXIPL	MXI1	MYRF	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NKX2-2	NKX6-1	NPAS3	NR4A2	NR4A3	ONECUT1	ONECUT2	ONECUT3	PAX4	PAX6	PBX1	PDX1	POU2F2	POU6F1	PRDM16	PROX1	RFX2	RFX3	RFX6	RORC	SIM1	SMAD9	SOX4	SPIB	ST18	TEAD1	TEAD2	TFCP2L1	TGIF2	TP73	TSHZ1	ZBTB4	ZFHX2	ZFP2	ZFP28	ZFP62	ZFP82	ZFP90	ZFP92	ZNF117	ZNF382	ZNF492	ZNF519	ZNF846	ZNF853
AADAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.76738	-0.43212	-0.60541	0.93102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.91004	0	0	0	0	0	0	0	0	0	0	0	-0.31043	0	0	-0.49807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB007962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.89859	0	0	0	0	0
AB074188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.81416	0	0	0	0	0	0	0	0	0.91887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.24324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.14983	0	0	0	0	0.056291	-0.4753	0	-0.73951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.74986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.42688	0	0	0	0	0	0	0	0	0	0	0	0	-0.71703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0034492	0
ABCC8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.61327	0	0	0	0	0.76118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47958	0	0	0	0	0	0	0.98372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5694	0	0	0	0	0	0	0	0	0	0	-0.74986	0
ABCC9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.31747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95185	0	0	0.82354	0.95944	0
ABLIM2	0	0	0	0	0	0.7987	0.40466	0	0	0	0	0	0	0	0	-0.1944	0	0	0	0	0	0	0.90549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.65508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.68198	0	0	0	0	0	0	0	0
ACBD7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.11686	0	0	0	0	0.91391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043046	0	0	0	0	0	0	0	0	-0.7878	0	0	0	0	0	-0.88411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.53394	0	0	0	0
ACE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.01973	0	0	0	0	0	0	0.81885	0	0	0	0	0	0	0	0	-0.22655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT7	0	0	0	0	-0.55753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.61327	0	0	0	0	0	0	0	0	0	0	0.88866	0	0	0	0	0	0	0	0	0	0	0.63976	0	0	0	0	-0.29967	0	0	-0.45944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.83444	0	0	0.81002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.63383	0
ACSL6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.60541	0	0	0.48938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.73951	0	0	0	0	0	0	0	0.10168	0	0	0	0	0	-0.40811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.42908	0	0	0.91391	0	0	0	0	0	0	0	0	0	0	0	0	-0.45723	0	0	0	0	-0.31457	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10762	0	0	0	0	0	0	0	0	0	0.13507	0.47875	0	0	0	0	-0.53394	0	0	0	0	0	0	0	0	0	0	0	0.46978	0.50759	0	-0.14597	0	0	0	0.33582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL6B	0	0	0	0	-0.89432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.89432	-0.73482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.30974	0.488	0	0	0.37652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.76738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.01973	0	0	0	0	0	0	0	-0.58375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57809	-0.38893	0	0	0	0	0	0	0	0	0	0	0	0	0.80491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.71164	0	0	0	0	0	0	0	0.96289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3016	0	0	0	0	0.1875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.099338	0	0	-0.26118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.42177	0	0	0	0	0	0	-0.66722	0	0	0	0	0	0	0	0	0	0	0	0
ADAM20P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.90204	0	0	0	0.28615	0
