TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
RFX6	ST18	0.99986	51	0.995	rgb(228, 27, 29)	2	None
ASCL1	SV2B	0.99931	50.99	0.987	rgb(228, 29, 31)	1.9998	None
INSM1	PGA5	0.99931	50.99	0.987	rgb(228, 29, 31)	1.9998	None
RFX6	NEUROD1	0.99931	50.99	0.993	rgb(228, 27, 29)	1.9998	None
RFX6	NKX2-2	0.99931	50.99	0.992	rgb(228, 28, 30)	1.9998	None
NEUROD1	IGFBPL1	0.99793	50.99	0.988	rgb(228, 28, 30)	1.9998	None
NEUROD1	NEUROD1	0.99793	50.99	0.985	rgb(228, 29, 31)	1.9998	None
NEUROD1	RGS4	0.99793	50.99	0.986	rgb(228, 29, 31)	1.9998	None
NEUROD1	SCG3	0.99793	50.99	0.986	rgb(228, 29, 31)	1.9998	None
NEUROD1	SSTR2	0.99793	50.99	0.988	rgb(228, 28, 30)	1.9998	None
NEUROD1	VWA5B2	0.99793	50.99	0.991	rgb(228, 28, 30)	1.9998	None
RFX6	CNIH2	0.99793	50.99	0.985	rgb(228, 29, 31)	1.9998	None
RFX6	JAM3	0.99793	50.99	0.987	rgb(228, 29, 31)	1.9998	None
RFX6	KCNH6	0.99793	50.99	0.991	rgb(228, 28, 30)	1.9998	None
RFX6	OR51E1	0.99793	50.99	0.989	rgb(228, 28, 30)	1.9998	None
ETS1	GSTM2	-0.99724	50.98	-9.8E-01	rgb(  5, 88,254)	1.9996	None
NEUROD1	CHGA	0.99724	50.98	0.984	rgb(228, 29, 31)	1.9996	None
NEUROD1	SCN3A	0.99724	50.98	0.981	rgb(228, 30, 32)	1.9996	None
NFAT5	GPM6B	0.99724	50.98	0.978	rgb(228, 30, 32)	1.9996	2,2
RFX6	MARCH4	0.99724	50.98	0.979	rgb(228, 30, 32)	1.9996	None
ARX	AF131837	0.99669	50.97	0.972	rgb(228, 31, 33)	1.9994	2,2
ARX	MMRN1	0.99669	50.97	0.975	rgb(228, 31, 33)	1.9994	None
NEUROD1	UBE2QL1	0.99669	50.97	0.971	rgb(228, 32, 34)	1.9994	None
RFX6	CA8	0.99669	50.97	0.971	rgb(228, 32, 34)	1.9994	None
NEUROD1	HEPACAM2	0.99558	50.98	0.978	rgb(228, 30, 32)	1.9996	None
NEUROD1	RIMBP2	0.99558	50.98	0.976	rgb(228, 31, 33)	1.9996	None
NEUROD1	ST18	0.99558	50.98	0.985	rgb(228, 29, 31)	1.9996	None
NEUROG3	C2CD4A	0.99558	50.98	0.976	rgb(228, 31, 33)	1.9996	None
RFX6	CDK5R2	0.99558	50.98	0.981	rgb(228, 30, 32)	1.9996	None
RFX6	LOC728392	0.99558	50.98	0.979	rgb(228, 30, 32)	1.9996	None
RFX6	MAP2	0.99558	50.98	0.98	rgb(228, 30, 32)	1.9996	None
RFX6	RAP1GAP2	0.99558	50.98	0.985	rgb(228, 29, 31)	1.9996	None
ARX	ID4	0.99476	50.96	0.957	rgb(228, 34, 36)	1.9992	None
ATOH8	TMEM8C	0.99476	50.96	0.961	rgb(228, 33, 35)	1.9992	2,2
FOXP2	COL21A1	0.99476	50.96	0.959	rgb(228, 34, 36)	1.9992	None
NEUROD1	GPR119	0.99476	50.96	0.961	rgb(228, 33, 35)	1.9992	None
NEUROD1	SCG2	0.99476	50.96	0.964	rgb(228, 33, 35)	1.9992	None
NFAT5	TMEM212	0.99476	50.96	0.961	rgb(228, 33, 35)	1.9992	None
GATA6	CNOT6L	0.99407	50.97	0.973	rgb(228, 31, 33)	1.9994	None
NEUROD1	AGT	0.99407	50.97	0.972	rgb(228, 31, 33)	1.9994	None
NEUROD1	ENPP2	0.99407	50.97	0.97	rgb(228, 32, 34)	1.9994	None
NEUROD1	NKX2-2	0.99407	50.97	0.968	rgb(228, 32, 34)	1.9994	None
NEUROG3	SOX4	0.99407	50.97	0.97	rgb(228, 32, 34)	1.9994	None
ETV1	SV2A	0.99338	50.95	0.949	rgb(227, 36, 38)	1.999	None
FEV	BRS3	0.99338	50.95	0.952	rgb(227, 35, 37)	1.999	None
GATA2	FAM171B	0.99338	50.95	0.946	rgb(227, 36, 38)	1.999	None
LMX1A	GFRA3	0.99338	50.95	0.952	rgb(227, 35, 37)	1.999	None
NEUROD1	LOC100507351	0.99338	50.95	0.947	rgb(227, 36, 38)	1.999	None
FEV	SLC18A1	0.99227	50.94	0.945	rgb(227, 37, 38)	1.9988	None
FEV	TUB	0.99227	50.94	0.939	rgb(227, 38, 40)	1.9988	None
HHEX	TTR	0.99227	50.94	0.943	rgb(227, 37, 39)	1.9988	None
ISL1	SGCD	0.99227	50.94	0.945	rgb(227, 37, 38)	1.9988	None
NEUROD1	DUSP26	0.99227	50.94	0.942	rgb(227, 37, 39)	1.9988	None
NEUROD1	HES6	0.99227	50.94	0.936	rgb(227, 38, 40)	1.9988	None
NEUROD1	LOC642366	0.99227	50.96	0.962	rgb(228, 33, 35)	1.9992	None
RFX6	BTBD17	0.99227	50.94	0.94	rgb(227, 37, 39)	1.9988	None
DACH1	AK092048	0.99007	50.96	0.955	rgb(228, 35, 36)	1.9992	2,2
NEUROD1	DSCAML1	0.99007	50.96	0.96	rgb(228, 34, 36)	1.9992	None
