	100_24h(24hpi)	100_24h(48hpi)	100_24h(72hpi)	100_24h(96hpi)	0_24h(24hpi)	0_24h(48hpi)	0_24h(72hpi)	0_24h(96hpi)
5S_rRNA	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
7SK	  5.91	6.8581	6.1117	7.1325	6.3118	6.2874	6.3308	7.0105
A1BG	6.6912	6.7547	6.8583	6.9784	6.3118	6.7027	6.7623	6.5952
A1BG-AS1	6.6642	6.6761	6.6892	6.7455	 6.364	6.7891	6.7427	 6.415
A1CF	8.37625	10.1772	10.0455	10.6565	8.57569	9.45208	10.3354	10.4944
A2M	6.2691	5.8261	5.5414	5.5846	 6.895	6.2828	5.9458	5.6783
A2M-AS1	5.2356	5.1844	5.3515	5.2329	5.4575	 5.619	5.1961	5.2992
A2ML1	4.5706	4.5706	4.9732	4.5706	4.5706	4.8552	4.5706	4.5706
A3GALT2	4.5706	4.8468	4.5706	5.0965	4.5706	 5.062	4.8777	4.8734
A4GALT	6.8564	7.3392	7.7051	7.5726	6.5422	7.2057	7.2189	7.4282
A4GNT	 5.208	5.3893	4.5706	4.8662	5.5262	5.0793	5.1072	 4.963
AAAS	9.4398	 9.292	9.2933	9.0651	9.3351	 9.339	9.1293	8.9575
AACS	10.9448	10.2423	10.2906	9.72104	10.8246	10.4351	10.0805	9.86779
AACSP1	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
AADAC	8.6734	8.7049	7.9241	7.8424	8.7791	8.7304	7.8377	7.8186
AADACL2	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
AADACL3	4.5706	4.8468	4.5706	5.1586	4.5706	4.5706	4.9511	5.0505
AADACL4	4.5706	4.5706	4.5706	4.5706	4.8304	4.9607	4.5706	4.5706
AADAT	7.3648	   6.9	6.4367	6.6006	7.2191	6.4649	6.4645	5.8546
AAED1	6.8765	 6.978	6.5489	6.4226	 6.709	6.6527	6.5664	6.3502
AAGAB	10.3417	10.3446	10.1619	10.2688	10.6248	10.4149	10.1934	10.3092
AAK1	 9.2898	10.0438	9.70127	 10.379	9.85534	9.71808	10.2863	10.0631
AAMDC	7.2903	7.3582	7.6333	7.3235	6.9177	7.5685	7.3926	7.3153
AAMP	11.4754	 11.141	11.3772	11.1036	11.0201	11.3251	11.0687	11.2863
AANAT	4.9667	5.1565	4.8689	 5.164	4.5706	4.8552	4.8401	4.8485
AAR2	9.4676	9.4956	9.2601	9.0224	9.5821	9.3457	9.0185	8.9814
AARD	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
AARS	10.9654	10.6731	11.2338	11.1316	10.8709	10.6927	10.8589	11.2262
AARS2	9.4518	9.4095	9.1565	 9.362	9.2574	9.3707	9.3092	9.4054
AARSD1	8.0518	7.7195	7.7761	7.4075	7.9889	 7.867	7.4426	7.3083
AASDH	8.2619	8.1894	7.8535	7.9119	8.5419	8.0965	8.2875	7.8051
AASDHPPT	9.8439	9.7048	9.3149	 9.276	9.6237	9.6592	9.2872	9.2336
AASS	6.4901	7.9535	7.7207	 8.266	6.6603	 7.774	 8.393	7.6005
AATF	9.4133	9.2708	9.2456	8.9712	 9.503	 9.287	9.0914	9.0694
AATK	11.1813	11.1747	11.3882	11.6435	 10.957	 11.574	11.4966	 11.796
AATK-AS1	4.5706	4.5706	4.5706	4.8662	4.9374	4.5706	4.8521	4.5706
AB000466	6.8175	 7.141	 6.404	6.9395	 6.754	 6.765	6.8875	6.6706
AB007962	5.4455	6.4367	5.6306	6.2313	 5.979	6.2828	6.3295	5.5996
AB062081	5.4018	5.6342	5.3178	5.9783	5.5295	5.3944	5.6379	5.6432
AB062083	 5.208	4.8529	4.9652	5.0807	4.8521	4.8653	5.1005	 4.963
AB073649	5.5997	6.6782	6.0894	6.8729	6.5118	6.1734	6.8599	6.3955
AB074160	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
AB074162	5.0549	 5.242	4.8501	4.9878	5.3416	4.5706	5.2547	5.0949
AB074166	5.2356	5.8801	5.2634	5.8215	5.6034	5.6836	5.6379	5.8185
AB074188	4.5706	 5.532	5.9778	6.0186	4.5706	4.5706	4.5706	4.5706
AB075489	6.5056	 6.567	6.6799	6.7596	 6.502	6.3291	6.6308	7.2031
AB075492	5.3059	5.3603	5.3178	5.7238	5.1483	5.3165	5.3742	5.2451
AB209061	8.8421	9.1207	8.9516	9.5278	8.8544	8.8719	9.4803	9.4672
AB209185	6.7807	6.9115	6.2168	6.9845	7.0817	6.5587	 6.993	6.6923
AB209315	5.3046	5.1565	4.5706	4.5706	5.4575	5.3165	4.5706	5.2451
AB209621	5.0429	4.8468	4.8501	4.8754	5.1043	4.8552	5.0041	5.0505
AB231702	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
AB231710	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
AB231739	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
AB429224	6.1496	6.7519	7.0303	7.3328	6.2399	6.9504	7.3177	7.4726
AB488780	6.0363	6.2941	5.8661	6.0186	6.1072	5.8487	5.9684	5.8352
AB586698	4.8326	4.5706	4.5706	4.9878	4.5706	4.5706	4.8401	4.5706
ABAT	10.5674	10.2861	10.1985	10.2406	10.7631	10.3521	10.3105	10.3623
ABCA1	10.3625	11.1047	10.7831	11.2086	9.76637	10.8487	10.9469	11.0051
ABCA10	6.5576	 7.649	 7.314	7.8335	6.7431	7.1583	7.6142	7.4528
ABCA11P	7.1388	7.2622	6.6117	7.1561	7.2244	7.2333	7.0151	6.8332
ABCA12	5.6343	6.0454	5.7678	5.6528	6.3475	6.1815	 6.497	5.7891
ABCA13	5.4868	6.0299	5.8929	6.2759	5.4486	 5.935	6.2269	6.1277
ABCA17P	4.5706	4.8468	4.8689	4.5706	5.0193	5.2251	5.0566	4.8485
ABCA2	11.6277	11.2399	11.6968	11.7682	11.2634	 11.159	11.7164	11.8765
ABCA3	8.4606	8.5451	8.3945	 8.468	7.7016	7.8714	7.6382	7.7842
ABCA4	5.0924	5.5698	5.2948	5.0008	4.9374	5.0793	5.3084	5.1239
ABCA5	9.85518	11.0529	10.6539	 11.328	 10.094	10.5563	 10.972	10.8835
ABCA6	6.0215	7.1969	6.2947	6.5636	6.3475	6.7404	6.8227	6.4663
ABCA7	11.2226	 11.463	11.7641	 12.192	11.0292	11.3932	11.9663	 11.979
ABCA8	4.5706	4.8529	4.5706	4.9878	4.5706	4.5706	 5.036	4.5706
ABCA9	6.4637	7.5819	6.5792	7.1971	6.0443	6.6237	7.2545	6.6766
ABCB1	5.9321	7.2312	6.7041	6.9354	 6.319	6.9847	6.5112	6.9654
ABCB10	 9.254	9.2536	9.4255	9.4272	9.0971	 9.289	9.1674	9.5808
ABCB11	5.0231	5.3088	5.2948	5.9496	5.3416	5.2623	5.7667	  5.97
ABCB4	5.2524	5.2566	5.4152	5.3682	5.0567	5.4327	5.2775	5.0949
ABCB5	4.9053	4.8341	4.5706	4.8689	5.0567	4.5706	4.5706	4.8734
ABCB6	9.2195	8.9219	9.6325	9.6114	8.8402	9.0986	9.5825	9.8985
ABCB7	9.0232	8.9115	8.9445	8.8929	9.1321	 9.058	8.9301	9.0432
ABCB8	9.4768	9.4478	9.4556	9.5368	9.4936	9.3354	9.2766	9.4122
ABCB9	7.9163	7.5261	7.8293	7.5889	7.7545	7.6266	7.7598	7.5461
ABCC1	11.6753	11.3177	11.0463	10.7123	11.4699	 10.875	10.9751	10.3564
ABCC10	9.87886	10.0587	9.83677	9.94173	9.79615	9.96551	9.71836	9.61864
ABCC11	5.3059	5.4699	5.5603	 5.689	5.3416	 5.458	5.5671	5.8619
ABCC13	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
ABCC2	6.5046	7.0675	 6.818	7.6904	6.6168	6.5587	7.1258	7.5745
ABCC3	13.6324	13.4748	13.4143	13.6937	13.8987	13.4986	 13.761	13.5234
ABCC4	8.1475	 8.021	 7.246	7.0548	8.3457	8.1858	7.1107	6.2928
ABCC5	10.1907	10.6416	 10.618	11.0588	10.2925	10.1964	 11.145	10.9277
ABCC5-AS1	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
ABCC6	8.7603	9.5766	9.5571	9.5101	8.9974	9.6936	9.5821	 9.507
ABCC6P1	7.6147	8.4055	8.2059	8.6194	8.2607	8.4297	 8.744	8.4621
ABCC6P2	6.6777	6.7418	6.6519	6.7042	 6.754	6.8476	6.7427	  6.49
ABCC8	6.79315	8.76748	10.0083	10.1557	4.57063	4.57063	4.85208	4.57063
ABCC9	7.6079	8.6629	7.7051	8.7638	8.3312	7.9844	8.8723	8.3908
ABCD1	8.4861	8.7461	 9.111	8.7763	8.3459	8.8209	8.8012	8.6455
ABCD2	4.8511	4.5706	4.5706	4.8662	4.5706	4.5706	4.5706	4.5706
ABCD3	 11.637	11.4665	11.5122	11.5921	 11.661	11.6392	11.6539	11.7257
ABCD4	10.2225	10.2519	10.4833	10.4869	 10.141	10.3574	10.3933	10.5811
ABCE1	10.3848	9.49711	8.70286	8.53211	10.5229	9.44864	8.66968	8.33966
ABCF1	11.0402	 11.021	11.1115	10.9811	11.0523	10.9676	 10.987	11.1017
ABCF2	9.6957	9.5105	9.2839	8.8377	9.5895	9.4009	8.9124	8.7942
ABCF3	10.0488	10.0432	10.1489	10.0386	 9.9285	10.1441	10.0446	10.0914
ABCG1	9.16156	10.4904	11.3136	11.7091	9.04076	10.8672	11.5544	12.0086
ABCG2	6.2691	6.5467	 6.748	7.5969	5.8769	6.4178	6.2197	7.7418
ABCG4	4.5706	4.5706	4.9652	4.8689	4.5706	4.5706	4.5706	4.5706
ABCG5	4.5706	4.5706	4.8501	4.5706	5.0567	4.8552	5.1814	 5.173
ABCG8	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706	4.5706
ABHD1	4.9406	5.0579	4.8557	4.8689	4.5706	4.8469	4.5706	4.5706
ABHD10	9.0868	8.6929	8.3775	8.3306	8.9504	8.6118	8.3298	8.1924
ABHD11	9.67279	9.95622	 10.487	10.5981	9.68189	9.94663	10.6371	10.8212
ABHD12	10.9615	10.8652	11.7984	11.7638	10.7658	11.2274	11.6838	12.2145
ABHD12B	5.0231	5.0257	4.9652	4.9878	4.5706	4.9607	4.8777	 4.963
ABHD13	9.3302	9.4492	9.2828	9.1595	 9.087	9.1169	9.1912	9.2282
ABHD14A	8.2186	 7.714	7.7896	7.3219	7.9607	 7.795	7.1285	6.8192
ABHD14A-ACY1	4.5706	4.5706	4.5706	5.8215	4.5706	4.5706	 5.412	5.4165
ABHD14B	9.6728	9.4329	9.4319	9.3144	9.2426	9.7739	9.3531	9.4242
ABHD15	9.0005	9.4187	9.4632	9.3729	8.9999	9.2075	 9.168	9.2954
ABHD16A	10.7255	10.6272	10.8283	10.3893	 10.085	10.7074	 10.386	10.5552
