Unnamed: 0	wt_0_8h_8hpi_1	wt_0_8h_8hpi_2	wt_0_8h_8hpi_3	wt_100_8h_8hpi_1	wt_100_8h_8hpi_2	wt_100_8h_8hpi_3	wt_0_8h_24hpi_1	wt_0_8h_24hpi_2	wt_0_8h_24hpi_3	wt_100_8h_24hpi_1	wt_100_8h_24hpi_2	wt_100_8h_24hpi_3	wt_0_8h_48hpi_1	wt_0_8h_48hpi_2	wt_0_8h_48hpi_3	wt_100_8h_48hpi_1	wt_100_8h_48hpi_2	wt_100_8h_48hpi_3	wt_0_8h_72hpi_1	wt_0_8h_72hpi_2	wt_0_8h_72hpi_3	wt_100_8h_72hpi_1	wt_100_8h_72hpi_2	wt_100_8h_72hpi_3
7SK	7.209757257761309	7.170745747475291	7.3633991359549595	7.346645934636821	7.46368046549487	6.88572030005587	7.13683298982988	6.9185209744015	7.1765637345174005	7.537521504996639	7.3286970311271	6.924911431371321	7.284758093546389	7.14531887896669	6.91577213339324	7.2032007604139805	7.34263997499368	7.57218672056713	7.06268952525643	7.26206819501387	7.41884895749625	7.23887368783779	7.46663150737827	7.4555935845357695
A1BG	7.938261023158151	7.97090199389682	7.98669747501158	8.00688970835346	7.90896679613742	7.86158035279315	7.883220775402349	7.946603890424499	7.781735391735509	7.82433885677422	8.02158379514565	7.82608712283356	7.984353029012589	8.147295384924849	7.88422717370949	7.92648335990135	7.76354100398909	8.02660921520446	7.971711626632089	7.82520276641918	8.078161296734999	8.14240151901923	8.028282325838571	8.13568896652383
A1BG-AS1	8.20094691973982	8.18449510354488	8.195410267022119	8.23616749686287	8.28552294544767	8.252777455015941	8.27575029751747	8.171049304881379	8.12738233868704	8.36020042618791	8.15718989888962	8.38168750926407	8.10786399061265	8.300883072314331	8.18842075547395	8.3116401374285	8.11862105572683	8.23108337256721	7.9805663242548	8.23947608807816	8.262866398738309	8.22249120812212	8.271292964233151	8.06707200939289
A1CF	9.0281255874092	9.27866592579391	9.187821768949268	9.41123011563718	8.65960910048303	8.932141571016949	8.43671849938058	8.24804308797474	8.465039309589269	8.560336459034371	8.76469158977558	9.03795642699913	8.73074841632523	8.60814406650977	8.860488999211869	9.51705502260715	9.639659372422619	9.38731443972051	8.9169184337724	8.80607210344883	8.85758688341512	10.5816334856774	10.6768000966656	10.135024257861199
A2M	7.0304272467176405	6.988795385744151	6.97018738566965	6.65455031840025	6.779445901320701	6.835269901544219	6.95448455160183	6.86152975940345	6.869198953601531	6.704620983812459	6.80451454992326	7.1227785021235706	6.938244097653179	6.94617230329013	6.8327217249450305	6.9346719316234005	6.92674372598645	7.04019430433155	6.862478315291151	6.8124270625072505	6.93846288244665	7.22424820784773	7.26736068671919	6.8153917203814105
A2M-AS1	7.06944124189132	7.04028319758049	7.043399627138919	7.02631753872512	7.1137916716576095	7.10444238298233	6.59544306530038	7.01071086722705	6.71519046533688	7.130257013250261	7.107015379832919	7.0348047741460595	7.1289527217684805	6.98246228403421	6.96852492382459	6.98836791043106	7.13485834816533	7.14879570837495	7.300195746882481	7.09374688450459	7.1704888817974295	7.20874543896596	7.0231681328345195	7.31415714311872
A2ML1	6.5381065742473305	6.499571972760969	6.46076830526762	6.22875349832852	6.3443573027876	6.46076830526762	6.52722588969949	6.405025541730129	6.48706660298867	6.35886036554111	6.405025541730129	6.52873187297397	6.59372661415424	6.35660334442651	6.49203663580691	6.32780999638101	6.56493326610874	6.429499974728331	6.35886036554111	6.405025541730129	6.307826228054731	6.598126600288791	6.62799659588012	6.51944851705312
A2MP1	6.31055596514266	6.31055596514266	6.31055596514266	6.31055596514266	6.31055596514266	6.31055596514266	6.26823506301236	6.31055596514266	6.31055596514266	6.26823506301236	6.31055596514266	6.31055596514266	6.31055596514266	6.31055596514266	6.31055596514266	6.31055596514266	6.31055596514266	6.31055596514266	6.26823506301236	6.31055596514266	6.31055596514266	6.43751867153355	6.31055596514266	6.31055596514266
A3GALT2	6.5219672985728705	6.57036112003711	6.48744638348114	6.369137352952349	6.223955888559621	6.47270009822755	6.543825016517871	6.371823527806031	6.2268353013026	6.20766383628418	6.58551189531839	6.6087131771584	6.40202642764421	6.53171329658226	6.48375981216774	6.5654931966912695	6.43580632775322	6.48375981216774	6.598219007648059	6.6058802977405096	6.66103317990898	6.585331388220849	6.371823527806031	6.43845759030099
A4GALT	7.184700693911361	7.074747410977241	7.165768785116941	7.0898769885835895	7.41973683738595	7.146672714966839	7.19293547536646	7.051121484755959	7.119301892298259	7.22057210404297	7.06825467473592	7.28742294586015	7.179358694760361	7.180289100724111	7.17497713329304	7.142630840398481	7.14170043443472	7.1470124018657994	7.1055322527852205	7.24352928498648	7.1303331363714895	7.12493923812302	7.281073625839309	7.1069210957877695
