TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
NHLH1	HLA-DPB1	0	NaN	0.0E+00	rgb(217,217,217)	NaN	None
SPIB	HLA-DPB1	0	NaN	0.0E+00	rgb(217,217,217)	NaN	None
TEAD1	HLA-DPB1	0	NaN	0.0E+00	rgb(217,217,217)	NaN	None
AHR	PEG10	-1	51	-1.0E+00	rgb(  0, 85,255)	2	None
ALX1	CCK	-1	51	-1.0E+00	rgb(  0, 85,255)	2	None
ALX1	LIX1L	-1	51	-1.0E+00	rgb(  1, 85,255)	2	None
ALX1	S100Z	1	51	1	rgb(228, 26, 28)	2	None
ALX4	CHRNA1	-1	51	-1.0E+00	rgb(  1, 85,255)	2	None
ALX4	GRPR	1	51	0.997	rgb(228, 27, 29)	2	None
ARID5A	CTSE	1	51	1	rgb(228, 26, 28)	2	None
ARID5A	HLA-DPB1	0	51	0.0E+00	rgb(217,217,217)	2	None
ARID5A	PDLIM5	1	51	0.995	rgb(228, 27, 29)	2	None
ARNTL	KCNA3	1	51	1	rgb(228, 26, 28)	2	None
ARNTL	NPTX1	-1	51	-1.0E+00	rgb(  0, 85,255)	2	None
ARX	SH3RF2	-1	51	-1.0E+00	rgb(  1, 86,255)	2	None
ASCL1	GPR119	1	51	0.996	rgb(228, 27, 29)	2	None
ASCL2	APCDD1	-1	51	-1.0E+00	rgb(  0, 85,255)	2	None
ASCL2	CA3	1	51	0.996	rgb(228, 27, 29)	2	None
ASCL2	MPHOSPH10	-1	51	-1.0E+00	rgb(  1, 85,255)	2	None
ASCL2	ST6GALNAC5	1	51	0.996	rgb(228, 27, 29)	2	None
ATF6	SNCAIP	1	51	0.998	rgb(228, 26, 28)	2	None
BACH2	HBEGF	-1	51	-1.0E+00	rgb(  0, 85,255)	2	None
BCL6	RASD1	1	51	1	rgb(228, 26, 28)	2	None
BHLHE40	CXCR4	1	51	0.995	rgb(228, 27, 29)	2	None
CDX2	CITED2	1	51	0.999	rgb(228, 26, 28)	2	None
CDX2	NRARP	1	51	1	rgb(228, 26, 28)	2	None
CEBPD	TCN1	-1	51	-1.0E+00	rgb(  1, 86,255)	2	None
CREB5	BANK1	1	51	0.998	rgb(228, 26, 28)	2	None
DLX2	HOXD4	1	51	1	rgb(228, 26, 28)	2	None
DLX5	TFAP2B	1	51	0.997	rgb(228, 27, 29)	2	None
EBF1	ATP12A	-1	51	-1.0E+00	rgb(  1, 86,255)	2	None
EBF1	CCK	1	51	0.998	rgb(228, 26, 28)	2	None
EBF1	RASD1	1	51	1	rgb(228, 26, 28)	2	None
EBF2	APBB2	1	51	0.996	rgb(228, 27, 29)	2	None
EBF2	BCL2	1	51	0.998	rgb(228, 26, 28)	2	None
EBF2	SNCAIP	-1	51	-1.0E+00	rgb(  0, 85,255)	2	None
EBF3	NFASC	1	51	0.997	rgb(228, 26, 28)	2	None
EGR2	RASD1	-1	51	-1.0E+00	rgb(  0, 85,255)	2	None
EGR3	PEG10	1	51	1	rgb(228, 26, 28)	2	None
EGR3	STX11	1	51	0.996	rgb(228, 27, 29)	2	None
EHF	CTSE	1	51	1	rgb(228, 26, 28)	2	None
EHF	NRCAM	1	51	0.997	rgb(228, 27, 29)	2	None
EHF	PRSS1	-1	51	-1.0E+00	rgb(  1, 85,255)	2	None
EHF	RHOB	1	51	0.997	rgb(228, 27, 29)	2	None
EHF	SPRY4	1	51	0.997	rgb(228, 27, 29)	2	None
ELF3	HBEGF	-1	51	-1.0E+00	rgb(  0, 85,255)	2	None
ELF3	NRARP	-1	51	-1.0E+00	rgb(  0, 85,255)	2	None
ELF4	DLL3	-1	51	-1.0E+00	rgb(  1, 86,255)	2	None
ELF4	EID1	-1	51	-1.0E+00	rgb(  1, 85,255)	2	None
ELF4	ESRG	1	51	0.998	rgb(228, 26, 28)	2	None
ELF4	LINC00643	-1	51	-1.0E+00	rgb(  1, 86,255)	2	None
ELF4	LTB	1	51	1	rgb(228, 26, 28)	2	None
ELF4	MMD2	-1	51	-1.0E+00	rgb(  1, 85,255)	2	None
ELF5	FNDC5	1	51	0.997	rgb(228, 27, 29)	2	None
ESRRB	FAXDC2	1	51	0.998	rgb(228, 26, 28)	2	None
ESRRB	GDAP1L1	1	51	0.996	rgb(228, 27, 29)	2	None
ESRRB	SERPINI1	-1	51	-1.0E+00	rgb(  1, 86,255)	2	None
ESRRB	SSTR5	1	51	0.998	rgb(228, 26, 28)	2	None
ESRRB	TUBA4A	1	51	0.997	rgb(228, 27, 29)	2	None
ESRRG	RASD1	-1	51	-1.0E+00	rgb(  0, 85,255)	2	None
ETV1	CPLX2	1	51	0.996	rgb(228, 27, 29)	2	None
ETV1	LIMCH1	1	51	0.995	rgb(228, 27, 29)	2	None
ETV1	MAMLD1	1	51	1	rgb(228, 26, 28)	2	None
ETV1	MMD2	1	51	0.998	rgb(228, 26, 28)	2	None
ETV1	TPPP3	1	51	0.999	rgb(228, 26, 28)	2	None
ETV4	GHRL	1	51	0.999	rgb(228, 26, 28)	2	None
ETV5	ARL4A	1	51	0.997	rgb(228, 27, 29)	2	None
ETV5	DUSP5	1	51	0.997	rgb(228, 27, 29)	2	None
ETV5	LTB	1	51	1	rgb(228, 26, 28)	2	None
ETV5	NPTX1	-1	51	-1.0E+00	rgb(  0, 85,255)	2	None
ETV5	SPRY4	1	51	0.997	rgb(228, 26, 28)	2	None
FEV	ASCL1	1	51	0.996	rgb(228, 27, 29)	2	None
FEV	CA8	1	51	0.998	rgb(228, 26, 28)	2	None
FEV	CHGB	1	51	0.998	rgb(228, 26, 28)	2	None
FEV	CNGA3	1	51	0.995	rgb(228, 27, 29)	2	None
FEV	CPLX2	1	51	0.996	rgb(228, 27, 29)	2	None
FEV	GPD1	1	51	0.997	rgb(228, 27, 29)	2	None
