	TF	Hormone	pos	pos_path	pos_node_length	neg	neg_path	neg_node_length
0	NEUROG3	SST	0.3883011510169018	NEUROG3->SOX9->PAX4->ASCL1->ARX->ETV1->SST	7	-0.1603067963912764	NEUROG3->SOX9->PAX4->ASCL1->ARX->SCRT1->ESRRB->HOXD4->SST	9
1	NEUROG3	GHRL	0.6985839658	NEUROG3->SOX9->GHRL	3	-0.09802503474143727	NEUROG3->SOX9->GFI1->RFX4->NEUROD1->PAX4->GHRL	7
2	NEUROG3	TPH1	0.005768120817949053	NEUROG3->SOX9->GFI1->RFX4->NEUROD1->PAX4->ASCL1->ARX->SCRT1->ESRRB->HOXD4->LMX1A->TPH1	13	-0.03992322367162234	NEUROG3->SOX9->PAX4->ASCL1->ARX->SCRT1->ESRRB->HOXD4->LMX1A->TPH1	10
3	NEUROG3	GAST	0.05736516745192948	NEUROG3->SOX9->PAX4->ASCL1->ARX->SCRT1->ESRRB->IRX1->GAST	9	-0.09809310171296108	NEUROG3->SOX9->PAX4->ASCL1->ARX->SCRT1->ESRRB->HOXD4->LMX1A->GAST	10
4	MAFB	SST	0.006618183456497318	MAFB->INSM1->LHX1->HSF4->ARX->ETV1->SST	7	-0.002732260218807977	MAFB->INSM1->LHX1->HSF4->ARX->SCRT1->ESRRB->HOXD4->SST	9
5	MAFB	GHRL	0.007850565178165781	MAFB->INSM1->LHX1->HSF4->ARX->GHRL	6	-0.0005749300796304677	MAFB->INSM1->LHX1->HSF4->ARX->ETV1->GFI1->RFX4->NEUROD1->PAX4->GHRL	11
6	MAFB	TPH1	3.124081843790786e-05	MAFB->INSM1->LHX1->HSF4->ARX->ETV1->GFI1->RFX4->NEUROD1->PAX4->ASCL1->FEV->HOXD4->LMX1A->TPH1	15	-0.0006804492279809707	MAFB->INSM1->LHX1->HSF4->ARX->SCRT1->ESRRB->HOXD4->LMX1A->TPH1	10
7	MAFB	GAST	0.0009777287582467989	MAFB->INSM1->LHX1->HSF4->ARX->SCRT1->ESRRB->IRX1->GAST	9	-0.0016718934292444829	MAFB->INSM1->LHX1->HSF4->ARX->SCRT1->ESRRB->HOXD4->LMX1A->GAST	10
8	NEUROD1	SST	0.4477287475917568	NEUROD1->PAX4->ASCL1->ARX->ETV1->SST	6	-0.1848409694144553	NEUROD1->PAX4->ASCL1->ARX->SCRT1->ESRRB->HOXD4->SST	8
9	NEUROD1	GHRL	0.7823022165	NEUROD1->PAX4->GHRL	3	-0.11236625871944599	NEUROD1->PAX4->ASCL1->FEV->HOXD4->ETV1->ARX->GHRL	8
10	NEUROD1	TPH1	0.0037297814179632245	NEUROD1->PAX4->ASCL1->ST18->ETV1->ARX->SCRT1->ESRRB->HOXD4->LMX1A->TPH1	11	-0.04603327826227073	NEUROD1->PAX4->ASCL1->ARX->SCRT1->ESRRB->HOXD4->LMX1A->TPH1	9
11	NEUROD1	GAST	0.06614462643590215	NEUROD1->PAX4->ASCL1->ARX->SCRT1->ESRRB->IRX1->GAST	8	-0.11310577231696947	NEUROD1->PAX4->ASCL1->ARX->SCRT1->ESRRB->HOXD4->LMX1A->GAST	9
12	PAX4	SST	0.562437971976329	PAX4->ASCL1->ARX->ETV1->SST	5	-0.23219768785183756	PAX4->ASCL1->ARX->SCRT1->ESRRB->HOXD4->SST	7
13	PAX4	GHRL	0.9827299999999999	PAX4->GHRL	2	-0.1411547751013705	PAX4->ASCL1->FEV->HOXD4->ETV1->ARX->GHRL	7
14	PAX4	TPH1	0.004685360741113277	PAX4->ASCL1->ST18->ETV1->ARX->SCRT1->ESRRB->HOXD4->LMX1A->TPH1	10	-0.05782711922903175	PAX4->ASCL1->ARX->SCRT1->ESRRB->HOXD4->LMX1A->TPH1	8
15	PAX4	GAST	0.08309104507995999	PAX4->ASCL1->ARX->SCRT1->ESRRB->IRX1->GAST	7	-0.14208375393124734	PAX4->ASCL1->ARX->SCRT1->ESRRB->HOXD4->LMX1A->GAST	8
16	ARX	SST	0.7822466882000001	ARX->ETV1->SST	3	-0.3229438291507134	ARX->SCRT1->ESRRB->HOXD4->SST	5
17	ARX	GHRL	0.92791	ARX->GHRL	2	-0.06795477243774073	ARX->ETV1->GFI1->RFX4->NEUROD1->PAX4->GHRL	7
18	ARX	TPH1	0.003692558074333705	ARX->ETV1->GFI1->RFX4->NEUROD1->PAX4->ASCL1->FEV->HOXD4->LMX1A->TPH1	11	-0.0804267755004287	ARX->SCRT1->ESRRB->HOXD4->LMX1A->TPH1	6
19	ARX	GAST	0.11556420098110146	ARX->SCRT1->ESRRB->IRX1->GAST	5	-0.19761209501768784	ARX->SCRT1->ESRRB->HOXD4->LMX1A->GAST	6
20	ST18	SST	0.3181988972	ST18->ETV1->SST	3	-0.08977343338746484	ST18->ETV1->ARX->SCRT1->ESRRB->HOXD4->SST	7
21	ST18	GHRL	0.257944754026208	ST18->ETV1->ARX->GHRL	4	-0.027642346046772383	ST18->ETV1->GFI1->RFX4->NEUROD1->PAX4->GHRL	7
22	ST18	TPH1	0.0016265680712065993	ST18->ETV1->GFI1->RFX4->NEUROD1->PAX4->ASCL1->ARX->SCRT1->ESRRB->HOXD4->LMX1A->TPH1	13	-0.022357410550138627	ST18->ETV1->ARX->SCRT1->ESRRB->HOXD4->LMX1A->TPH1	8
23	ST18	GAST	0.032125076134868126	ST18->ETV1->ARX->SCRT1->ESRRB->IRX1->GAST	7	-0.05493313278436608	ST18->ETV1->ARX->SCRT1->ESRRB->HOXD4->LMX1A->GAST	8
24	FEV	SST	0.6190740653561665	FEV->ASCL1->ARX->ETV1->SST	5	-0.33689948459999997	FEV->HOXD4->SST	3
25	FEV	GHRL	0.95493	FEV->GHRL	2	-0.22178287133133645	FEV->HOXD4->ETV1->ARX->GHRL	5
26	FEV	TPH1	0.005157164818493536	FEV->ASCL1->ST18->ETV1->ARX->SCRT1->ESRRB->HOXD4->LMX1A->TPH1	10	-0.08390232841850999	FEV->HOXD4->LMX1A->TPH1	4
27	FEV	GAST	0.09145810495616434	FEV->ASCL1->ARX->SCRT1->ESRRB->IRX1->GAST	7	-0.20615168011498197	FEV->HOXD4->LMX1A->GAST	4
28	LMX1A	SST	0.6879463635999999	LMX1A->HOXD4->SST	3	-0.4786321375110188	LMX1A->POU3F4->PAX4->ASCL1->ARX->ETV1->SST	7
29	LMX1A	GHRL	0.4528790538884654	LMX1A->HOXD4->ETV1->ARX->GHRL	5	-0.8362987279173238	LMX1A->POU3F4->PAX4->GHRL	4
30	LMX1A	TPH1	0.38865	LMX1A->TPH1	2	0.38865	LMX1A->TPH1	2
31	LMX1A	GAST	0.95493	LMX1A->GAST	2	-0.07071009870635023	LMX1A->POU3F4->PAX4->ASCL1->ARX->SCRT1->ESRRB->IRX1->GAST	9
32	ETV1	SST	0.92791	ETV1->SST	2	-0.26179118566273435	ETV1->ARX->SCRT1->ESRRB->HOXD4->SST	6
33	ETV1	GHRL	0.7522009623999999	ETV1->ARX->GHRL	3	-0.08060873103572955	ETV1->GFI1->RFX4->NEUROD1->PAX4->GHRL	6
34	ETV1	TPH1	0.004743287271686105	ETV1->GFI1->RFX4->NEUROD1->PAX4->ASCL1->ARX->SCRT1->ESRRB->HOXD4->LMX1A->TPH1	12	-0.06519716129166754	ETV1->ARX->SCRT1->ESRRB->HOXD4->LMX1A->TPH1	7
35	ETV1	GAST	0.09368096388332009	ETV1->ARX->SCRT1->ESRRB->IRX1->GAST	6	-0.1601922687051385	ETV1->ARX->SCRT1->ESRRB->HOXD4->LMX1A->GAST	7
36	INSM1	SST	0.04108121326193246	INSM1->LHX1->HSF4->ARX->ETV1->SST	6	-0.01696002618751072	INSM1->LHX1->HSF4->ARX->SCRT1->ESRRB->HOXD4->SST	8
37	INSM1	GHRL	0.04873100669252503	INSM1->LHX1->HSF4->ARX->GHRL	5	-0.0035687776513374787	INSM1->LHX1->HSF4->ARX->ETV1->GFI1->RFX4->NEUROD1->PAX4->GHRL	10
38	INSM1	TPH1	0.00019392190215957708	INSM1->LHX1->HSF4->ARX->ETV1->GFI1->RFX4->NEUROD1->PAX4->ASCL1->FEV->HOXD4->LMX1A->TPH1	14	-0.004223769261210246	INSM1->LHX1->HSF4->ARX->SCRT1->ESRRB->HOXD4->LMX1A->TPH1	9
39	INSM1	GAST	0.006069079815312221	INSM1->LHX1->HSF4->ARX->SCRT1->ESRRB->IRX1->GAST	8	-0.010377985283950855	INSM1->LHX1->HSF4->ARX->SCRT1->ESRRB->HOXD4->LMX1A->GAST	9
40	ASCL1	SST	0.667170377898898	ASCL1->ARX->ETV1->SST	4	-0.2754355624443519	ASCL1->ARX->SCRT1->ESRRB->HOXD4->SST	6
41	ASCL1	GHRL	0.7914051598999999	ASCL1->ARX->GHRL	3	-0.1674394143690191	ASCL1->FEV->HOXD4->ETV1->ARX->GHRL	6
42	ASCL1	TPH1	0.005557828688658962	ASCL1->ST18->ETV1->ARX->SCRT1->ESRRB->HOXD4->LMX1A->TPH1	9	-0.06859519255656063	ASCL1->ARX->SCRT1->ESRRB->HOXD4->LMX1A->TPH1	7
43	ASCL1	GAST	0.09856355137477162	ASCL1->ARX->SCRT1->ESRRB->IRX1->GAST	6	-0.1685413797196358	ASCL1->ARX->SCRT1->ESRRB->HOXD4->LMX1A->GAST	7
44	LHX1	SST	0.02941742179506828	LHX1->HSF4->ARX->SCRT1->ESRRB->HOXD4->SST	7	-0.0712559853987346	LHX1->HSF4->ARX->ETV1->SST	5
45	LHX1	GHRL	0.006190098782955749	LHX1->HSF4->ARX->ETV1->GFI1->RFX4->NEUROD1->PAX4->GHRL	9	-0.08452466774066401	LHX1->HSF4->ARX->GHRL	4
46	LHX1	TPH1	0.007326191631329237	LHX1->HSF4->ARX->SCRT1->ESRRB->HOXD4->LMX1A->TPH1	8	-0.0003363604706772883	LHX1->HSF4->ARX->ETV1->GFI1->RFX4->NEUROD1->PAX4->ASCL1->FEV->HOXD4->LMX1A->TPH1	13
47	LHX1	GAST	0.018000772351743802	LHX1->HSF4->ARX->SCRT1->ESRRB->HOXD4->LMX1A->GAST	8	-0.010526910681685635	LHX1->HSF4->ARX->SCRT1->ESRRB->IRX1->GAST	7
