Hormone	GAST	GHRL	SST	TPH1	GAST	GHRL	SST	TPH1
	pos	pos	pos	pos	neg	neg	neg	neg
TF								
ARX	0.11556420098110146	0.92791	0.7822466882000001	0.003692558074333705	-0.19761209501768784	-0.06795477243774073	-0.3229438291507134	-0.0804267755004287
ASCL1	0.09856355137477162	0.7914051598999999	0.667170377898898	0.005557828688658962	-0.1685413797196358	-0.1674394143690191	-0.2754355624443519	-0.06859519255656063
ETV1	0.09368096388332009	0.7522009623999999	0.92791	0.004743287271686105	-0.1601922687051385	-0.08060873103572955	-0.26179118566273435	-0.06519716129166754
FEV	0.09145810495616434	0.95493	0.6190740653561665	0.005157164818493536	-0.20615168011498197	-0.22178287133133645	-0.33689948459999997	-0.08390232841850999
INSM1	0.006069079815312221	0.04873100669252503	0.04108121326193246	0.00019392190215957708	-0.010377985283950855	-0.0035687776513374787	-0.01696002618751072	-0.004223769261210246
LHX1	0.018000772351743802	0.006190098782955749	0.02941742179506828	0.007326191631329237	-0.010526910681685635	-0.08452466774066401	-0.0712559853987346	-0.0003363604706772883
LMX1A	0.95493	0.4528790538884654	0.6879463635999999	0.38865	-0.07071009870635023	-0.8362987279173238	-0.4786321375110188	0.38865
MAFB	0.0009777287582467989	0.007850565178165781	0.006618183456497318	3.124081843790786e-05	-0.0016718934292444829	-0.0005749300796304677	-0.002732260218807977	-0.0006804492279809707
NEUROD1	0.06614462643590215	0.7823022165	0.4477287475917568	0.0037297814179632245	-0.11310577231696947	-0.11236625871944599	-0.1848409694144553	-0.04603327826227073
NEUROG3	0.05736516745192948	0.6985839658	0.3883011510169018	0.005768120817949053	-0.09809310171296108	-0.09802503474143727	-0.1603067963912764	-0.03992322367162234
PAX4	0.08309104507995999	0.9827299999999999	0.562437971976329	0.004685360741113277	-0.14208375393124734	-0.1411547751013705	-0.23219768785183756	-0.05782711922903175
ST18	0.032125076134868126	0.257944754026208	0.3181988972	0.0016265680712065993	-0.05493313278436608	-0.027642346046772383	-0.08977343338746484	-0.022357410550138627
