	GAST	GHRL	SST	TPH1
ARX	0.11556420098110146	0.92791	0.7822466882000001	0.003692558074333705
ASCL1	0.09856355137477162	0.7914051598999999	0.667170377898898	0.005557828688658962
ETV1	0.09368096388332009	0.7522009623999999	0.92791	0.004743287271686105
FEV	0.09145810495616434	0.95493	0.6190740653561665	0.005157164818493536
INSM1	0.006069079815312221	0.04873100669252503	0.04108121326193246	0.00019392190215957708
LHX1	0.018000772351743802	0.006190098782955749	0.02941742179506828	0.007326191631329237
LMX1A	0.95493	0.4528790538884654	0.6879463635999999	0.38865
MAFB	0.0009777287582467989	0.007850565178165781	0.006618183456497318	3.124081843790786e-05
NEUROD1	0.06614462643590215	0.7823022165	0.4477287475917568	0.0037297814179632245
NEUROG3	0.05736516745192948	0.6985839658	0.3883011510169018	0.005768120817949053
PAX4	0.08309104507995999	0.9827299999999999	0.562437971976329	0.004685360741113277
ST18	0.032125076134868126	0.257944754026208	0.3181988972	0.0016265680712065993
