	CCK	GAST	GCG	GHRL	INS	PYY	SCT	SST	TAC1
ARX	0.25309898100139605	0.5989805349937525	0.4747781379666309	0.92791	0.5976578333867506	0.21382833228963075	0.4593	0.7822466882000001	0.06508899244607708
ASCL1	0.21586558990628066	0.5108645084908215	0.40493352609035976	0.7914051598999999	0.5097363895172257	0.18237204632650317	0.39173237699999996	0.667170377898898	0.10452579251076016
ETV1	0.20517215795897165	0.4855575808873354	0.38487414976126955	0.7522009623999999	0.48448534605663535	0.17333779928726623	0.37232695199999993	0.92791	0.0527637408364879
FEV	0.20030383952993686	0.4740362860737181	0.3798566934401283	0.95493	0.4729894931969288	0.1924571083802979	0.36349238994206995	0.6190740653561665	0.1384502596272172
INSM1	0.04759073147473931	0.08683972958963107	0.08206029182966025	0.07663892686506048	0.07065523077318114	0.05904616392101268	0.04105677580939318	0.10777068919077816	0.027961992969406383
ISL1	0.0073213211520755375	0.013359356525598949	0.6235692899999999	0.011790072960474728	0.010869545803031873	0.009083615978739223	0.006316142489402241	0.01657935908728381	0.004301651271944941
MAFB	0.007666866840580503	0.013989880436889566	0.653	0.012346531117961244	0.011382557677559482	0.009512337007675143	0.006614246582893241	0.01736185802863436	0.0045046770673713675
MLXIPL	0.1582454328481057	0.28875350664903593	0.2728612483529303	0.25483449778898876	0.23493792236876085	0.1963362503192548	0.13651917207352923	0.35835169645134723	0.09297729922659567
NEUROD1	0.27276242415901975	0.6455157666085638	0.5116639953946297	0.7823022165	0.64409030335566	0.23044081030448074	0.26288614176442077	0.4477287475917568	0.07014580341420727
NEUROD2	0.2113514494902005	0.485054894370816	0.3844756984688641	0.46482418139187753	0.4839837696	0.21638690390290602	0.2382640136083879	0.5019420224	0.14303158194494003
NEUROG3	0.23655832649745573	0.5598356516571327	0.56805123	0.6985839658	0.5585993919243994	0.19985411337510647	0.22799293541587276	0.3883011510169018	0.06083526320623393
PAX4	0.3426448390917904	0.810898519701732	0.6427535900943782	0.9827299999999999	0.8091078492	0.2894803219703294	0.33023822845854	0.562437971976329	0.08811733360242104
PAX6	0.35296918751439477	0.6397724368	0.75497	0.45975867359519995	0.37853159213991344	0.13976906133377873	0.37773	0.26312999091857514	0.10054740504193871
RORC	0.16944037281276783	0.2785584506200468	0.2807364577221001	0.33758570218938067	0.3819999592	0.1735360022	0.18007318204195166	0.39983211199999996	0.06466394729780278
ST18	0.07035763640729056	0.1665074056378851	0.1319810434361346	0.257944754026208	0.16613971486974144	0.05944099813158935	0.12767835837983998	0.3181988972	0.018093742007648433
