	CCK	GCG	GHRL	INS	NTS	SCT	SST
ARX	0.24779617419448635	0.495154384563102	0.92791	0.8005858522239059	0.5969880816005816	0.755422793298852	0.7822466882000001
ASCL1	0.25314578894927475	0.42231222305002397	0.7914051598999999	0.682811667503247	0.50916516491632	0.6442925461766578	0.667170377898898
EGR3	0.26689167553744025	0.48210376661198845	0.5797299713062576	0.6560017913962881	0.49370350762648035	0.99803	0.6572306883885896
ETS1	0.1829852661286995	0.23232761834759827	0.4535435759774219	0.21442172054580272	0.2690341757090335	0.2379761695758472	0.2805224347823494
ETV1	0.20087349064901835	0.401391950302233	0.7522009623999999	0.6489869152467871	0.4839424184686954	0.6123759331597813	0.92791
FEV	0.33530575910205007	0.4257216445810596	0.95493	0.6335877743929379	0.49298345390860626	0.5978454965227825	0.6190740653561665
INSM1	0.16312445831164726	0.2975029131514423	0.45486332919336586	0.3745011243816673	0.3740814481338792	0.2514014028089904	0.3229061074160449
ISL1	0.306799477567992	0.6235692899999999	0.5247541657671054	0.4320441163112585	0.72209	0.42126271887807526	0.36753275559630066
LHX1	0.2552433392133697	0.41733346660023696	0.6203013871017735	0.4969125221757031	0.40789518648951656	0.6210441281	0.4436466442354625
LMX1A	0.78087	0.6009938685	0.8073865100224673	0.6802732682000001	0.663997942873449	0.5742118945997292	0.573161251741071
MAFA	0.4652893278	0.46055685645066624	0.7041626005905399	0.5797558711455746	0.5791061807900725	0.5245372246000001	0.5443610552188213
MAFB	0.151255620981983	0.653	0.37489911990293695	0.17724099420316056	0.22238364964108703	0.19671110177139525	0.23187984459109
MAFF	0.4092700742273705	0.5196305889421368	0.5926156719	0.47463483022313707	0.6017295238661088	0.5174274050262173	0.42375697988811784
MLXIPL	0.22673450983889026	0.4671401762560653	0.786911618	0.5504566752042408	0.5362729694366939	0.5194040314573144	0.4335358542956347
NEUROD1	0.26704763845037377	0.5116639953946297	0.7823022165	0.64409030335566	0.6433685180681118	0.43237575338827944	0.4477287475917568
NEUROD2	0.25435730439973037	0.3844756984688641	0.5819664546214101	0.4839837696	0.48344140409241604	0.4777126265511599	0.5237944014632594
NR4A2	0.8528899999999999	0.5348843690082749	0.7553591793	0.8329578852000001	0.619393321978998	0.7388116681	0.5790638577935695
ONECUT2	0.3028203344695104	0.6439063633	0.7638472996000001	0.61078504226908	0.6603152005	0.6671348809078957	0.5589455993336925
ONECUT3	0.2364633145772066	0.5028071619100709	0.596465440838652	0.4769437159566565	0.515620330614435	0.5209456144545486	0.43646385015170047
PAX4	0.3354659109985224	0.6427535900943782	0.9827299999999999	0.8091078492	0.808201140717432	0.5431515022778461	0.562437971976329
PAX6	0.1536982520922721	0.75497	0.37021031646981717	0.30480403865817174	0.3044624668792728	0.37773	0.3332049288940197
ST18	0.09995627715734885	0.1513361944428658	0.257944754026208	0.2225505929764282	0.19029078462650043	0.20999595499915222	0.3181988972
