	genes
NEUROG3	0
RORC	1
EBF1	2
SOX9	0
ATOH7	3
FOXP2	4
NEUROD1	5
NEUROD2	5
RFX4	2
IRX1	2
IRX3	6
PAX6	1
ABCC8	1
IRX2	1
DLX2	7
LHX8	3
HOXA10	8
TBX2	6
ARX	4
ABTB1	1
FOXE3	7
IRF8	1
ZIC5	6
MYCN	4
ACOT12	1
ZIC2	7
ETS1	5
MYBL1	4
GLI1	0
TFAP2B	4
RARB	6
ADAM12	4
ADAMTS15	4
ADAMTS5	8
ADAMTSL1	2
SOHLH2	8
HES6	0
TFAP2A	1
PAX4	7
SPIB	0
ADRA2A	2
ADRA2B	5
AFAP1L2	4
AGT	7
OLIG3	7
HEY2	0
ATOH8	0
AK026379	6
INSM1	6
AK055386	2
AK056625	1
AK094525	4
AK094611	1
AK094963	0
AK123868	3
AK125288	4
AK127224	7
AK131337	0
AL117485	3
AL355711	2
AL832212	1
DLX5	2
ALPK2	6
ALPP	5
ALS2CR11	4
AMBP	0
AMER3	0
ANGPTL2	8
ANGPTL4	8
ANKRD50	4
ANXA1	3
ANXA6	5
GATA3	0
APOC3	0
AQP3	1
ARHGAP9	0
ARID5B	0
ARRDC4	1
ASIC4	8
ATP12A	8
ATP2A3	4
AX747593	4
BAALC	0
BC043529	0
BC070093	3
BC084558	7
BCRP3	7
BHMT	7
BMPER	2
BTG2	0
BX537481	3
C1QL1	0
C1QL3	6
C2CD2L	2
C2CD4A	2
C7	7
CA8	3
CADPS	5
CBX7	4
CCDC80	7
CCK	4
CCNA1	1
CCNE2	7
CD55	4
CDC42P3	1
CDCP1	0
CDH26	1
CDRT4	1
CEBPD	8
CELA3B	1
CERKL	6
CHRNA4	8
CHST6	1
CIDEA	6
CLCA1	7
CLDN5	5
CLEC4G	0
CLIP3	4
CLPS	1
CLRN3	2
CMTM8	0
CNTFR	6
CNTNAP1	8
COL3A1	1
COL6A3	5
COL6A4P2	1
COL9A3	4
CPEB2	0
CPLX2	2
CR627203	3
CRABP2	7
CRB2	3
CRH	1
CRYBA2	2
CSDC2	0
CXCL14	2
CYP19A1	1
CYP27A1	4
CYP2B7P1	1
DCN	1
DCX	0
DDC	1
DGKB	3
DGKG	7
DIO2	1
DKK1	1
DL492557	0
DLL1	1
DLL3	6
DLL4	5
DNAH9	0
DNAJC12	0
DNHD1	1
DOCK5	4
DOCK8	1
DPF3	8
DPP4	3
DPP6	4
DSCAM	1
DSEL	5
DUSP4	4
EDA	0
EDN3	7
EDNRB	4
EGR2	0
ELTD1	2
EMP1	1
ENPP2	4
ENTPD8	0
EPB41L4B	0
EREG	1
ESRG	0
FABP7	7
FAM114A1	2
FAM135B	6
FAM182A	7
FAM182B	7
FAM19A3	8
FAM212B	4
FAM222A	6
FAM46C	5
FAM57B	2
FAM5B	0
FAM64A	3
FAM84A	0
FCHO1	4
FER1L6	3
FFAR2	6
FKBP1A-SDCBP2	7
FNDC1	1
FOSB	8
FOXB1	7
FOXN3	1
FRMPD4	2
FSBP	6
FUT5	7
FZD1	6
FZD10	7
G0S2	6
GABBR2	2
GABRA2	4
GAD2	5
GADD45A	6
GADD45G	8
GAL3ST2	6
GAP43	2
GAS1	5
GAS7	4
GCK	2
GDA	3
GEM	3
GEMIN8P4	5
GFRA1	4
GGT5	0
GHRL	4
GIF	4
GLT8D2	7
GNB3	2
GNG11	5
GP2	0
GPR119	5
GPR123	0
GPR142	0
GPR37L1	7
GPR63	8
GPRIN3	4
GREB1L	1
GREM1	7
GRIK5	7
GRIP2	4
GRM4	0
HAND1	4
HAPLN1	4
HECW2	7
HEPACAM2	5
HHLA1	7
HIF3A	6
HIVEP2	5
HLA-DQA2	3
HMP19	2
HOXA-AS4	8
HOXA9	6
HOXD1	0
HOXD4	7
HPX	1
HRASLS5	7
HRH1	4
HS3ST1	0
HSD3BP4	3
HSPB7	1
HTR7	1
IFFO2	8
IFIH1	6
IGFBPL1	2
IGFN1	2
IL10RA	5
IL1A	4
IMPG1	6
ISL1	2
ITGA4	6
ITPR1	7
JH8	8
JPH4	6
KCNB2	8
KCNF1	1
KCNH3	7
KCNJ5	2
KCNJ8	5
KCNK12	1
KCNK17	5
KCNMB2	0
KCNN2	6
KIAA1211L	0
KIAA1456	0
KIAA1683	4
KIF19	5
KIRREL2	2
KL	1
KLF11	4
KLK12	7
KNDC1	2
KRT15	6
KRT81	0
LAMB3	6
LHFPL3	5
LHFPL3-AS2	4
LHFPL4	1
LINC00242	1
LINC00305	4
LINC00482	4
LINC00526	1
LINC00607	4
LINC00643	0
LINC00890	4
LIPH	8
LIX1	7
LIX1L	1
LOC100507584	3
LOC145845	0
LOC286189	4
LOC338817	5
LOC340508	8
LPPR1	6
LRP1	5
LRP11	0
LRRC10B	2
LRRTM1	7
LRTM1	5
LRTM2	2
LTB	4
LTBP2	5
LUM	4
LZTS1	8
MARCH8	0
MATN2	4
MFAP4	2
MID1IP1	8
MIR137HG	1
MIR7-3HG	2
MKRN3	4
MLN	1
