	ADNP	AHR	AKNA	ALX1	ALX4	ARID5A	ARID5B	ARNTL	ARX	ASCL1	ASCL2	ATF5	ATF6	ATOH7	ATOH8	BACH2	BCL6	BHLHE40	CBX2	CCDC169-SOHLH2	CDX2	CEBPA	CEBPD	CREB5	CXXC5	DACH1	DLX2	DLX5	DMBX1	DPF3	EBF1	EBF2	EBF3	EGR1	EGR2	EGR3	EGR4	EHF	ELF3	ELF4	ELF5	ESRRB	ESRRG	ETS1	ETV1	ETV4	ETV5	FEV	FLI1	FOS	FOSB	FOSL1	FOSL2	FOXA1	FOXA2	FOXB1	FOXC1	FOXC2	FOXE3	FOXJ1	FOXN3	FOXO1	FOXP2	GATA2	GATA3	GATA4	GATA6	GFI1	GLI1	GLIS2	GLIS3	HAND1	HES6	HEY1	HEY2	HHEX	HIC1	HIF1A	HIF3A	HIVEP2	HIVEP3	HMGN3	HOMEZ	HOXA10	HOXA9	HOXB2	HOXB3	HOXB9	HOXD1	HOXD4	HSF2	HSF4	INSM1	IRF4	IRF8	IRX1	IRX2	IRX3	ISL1	JAZF1	JUNB	KLF10	KLF11	KLF7	LHX1	LHX6	LHX8	LMX1A	LMX1B	MAFA	MAFB	MAFF	MECOM	MEF2C	MEIS2	MLXIPL	MNX1	MSX1	MSX2	MXI1	MYBL1	MYC	MYCN	MYRF	MYT1	MYT1L	NEUROD1	NEUROD2	NEUROG3	NFIA	NFKB2	NHLH1	NKX2-2	NKX2-8	NKX6-1	NKX6-2	NPAS1	NPAS3	NPAS4	NR2F1	NR4A2	NR4A3	OLIG3	ONECUT2	ONECUT3	OSR2	PAX4	PAX6	PBX1	PBX3	PDX1	PITX1	POU3F2	POU3F4	POU5F1	POU6F1	PRDM14	PRDM16	PRDM8	PTF1A	RARB	RELB	RFX2	RFX3	RFX4	RFX6	RORC	RUNX1	RXRG	SATB2	SCRT1	SHOX2	SIM1	SIX2	SKOR1	SOHLH2	SOX1	SOX3	SOX4	SOX9	SP5	SPIB	ST18	STAT1	STAT4	TBX2	TBX20	TBX3	TBX4	TCF24	TEAD1	TEAD2	TFAP2A	TFAP2B	TFCP2L1	TGIF2	TP63	TSHZ1	ZBTB4	ZFHX2	ZFP2	ZFP28	ZFP62	ZFP82	ZFP90	ZFP92	ZIC1	ZIC2	ZIC5	ZNF385B	ZNF503	ZNF835
A1CF	0	0	0	0	0	0	0	0	0	0	0.66476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.63964	0	0	0	0	0	0.48774	0.4797	0	0	0	0	0	0.06487	0	0	0	-0.16434	0	0.34517	0	0	0	0	0	0	0	0.87234	0	0	0	0	0	0	0	0	0	0	0	0.74405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.59027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31579	0	0	0	0	0	0	0	0	0	0	0	0.55754	0	0	0	0	0	0.53728	0	0	0	0	0	0	0.97044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.77607	0	0	0.53157	0	0	0	0	0	0	0	0	0.58418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.56642	0	0	0	0	0	0	0	0	0	0	0.054369	0	0	0	0	0	0	0	0	0	0	0	0
AB074166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.37269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.78894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.34482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075581	0	0.047322	0	0	0	0	0	0	0	0	0.30606	0	0	0	0	0	0	0	0	0	0	0	0	-0.87234	0	0	0	0	0	0	0.24626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB074188	0	0	0	0	0	0	0	0	0	0	0	0	0	0.58323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.76691	0	0.17378	0	0	0	0	0	0	0	0	0	0	0	0	0.13295	0	0	0	0	0	0	0	0	0	0	0	0.10469	0	0	0	0	-0.41684	0	0	0	-0.047322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46681	-0.48957	0	0	0	0	0	0	0	0	0	0	0	0	0.084144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92791	0	0	0.75497	0	0	0	0.8408	0.25684	0	0	0	0	0	0	0	0	0	-0.25342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1	0	0	0	0	0	0	0	0	0	0	0.83858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037245	0	0	0	0	0	0	0	-0.021776	0.95493	0	0	0	0	0	0	0	0	0	0	0	0.13474	0	0.87794	0	0	0	0	0.1432	0	0.40042	0	0	0	0	0	0	0	0	0	0	0	0.47326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.71328	0	0	0	0.48122	0.48552	0	0	0	0	0	0	0	0	0	0	0	0	0.30201	0	0.8574	0	0	0	0	0.74027	0	0	-0.91794	0	0	0	0	0	0	0	0	0	0	0	0	-0.71328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.8574	0	0	0	0	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.89116	0	0	0	0	0	0	0	0	0	0	0.72209	0.33862	0	0	-0.091297	0	0	0	0	0	0	0	0	0	0.59098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11853	0	0	0	0	0	0	0	0	0	0	0	0.68421	0	0	0	0	0	0	0	0.15599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.90106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.94753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.49503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG1	0	0	0	0	0	0	0	0	0	0	0.072586	0	0	0	0	0	0.55074	0	0	0	0	0	0	0	0	0	-0.058668	0	0	0	0.53062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.088936	0	0	0	0	0	0.6654	0	0	0	0	0	0	0	0	0	0	0	0.59598	0	0	0	0	0.22777	0	0.1111	0	0	0.012967	0	0	0	0	0	0	-0.024313	-0.74027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.14197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033369	0	0	0	0	0	0	0	0	0.27075	0	-0.26938	0	0	0	0	0	0	0	0	0	0.58851	0	0	0	0	0	0	0	0	0	-0.006272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABLIM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.45765	0	0	0	0	0	0	0	-0.49722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40042	0	0.012509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25828	0	0	0	0	0	0	0	0	0	0	-0.046758	0	0	0	0	0	-0.642	0	0	0	0	0	0	-0.42537	0	0	0	0	-0.048943	0	0	0	0	0.67615	0	0	0	0	0	0	0	0	0	0	0.29295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.84302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13985	0	0	0	0	0	0	0	0	0	0	0	-0.47012	0.75497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABTB1	0	0	0	0	0	0	0	0	0.79524	0	0	0	0	0	0	0	0.56561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.28379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.42537	0	0	0	0.26938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048414	0	0	0	0.30606	0	0	0	0	0	0	-0.66219	0	0	0	0	0	0	0	0	0.074877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.52347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.11388	0	-0.77629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.04549	0	0	0	0	0	0
ACADL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.21984	0	0	0	0	0.62227	0	0	0	0	0	0	-0.19574	0	0	0	0	0	0	0	0.60948	0	0.054616	0	0	0	0	0	0	0	0	0	0.56244	-0.098626	0	0	0	0	0	0	0	0	0.66913	0	0	0	0	0	0	0	-0.67745	0	0	0	0	0	-0.67269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.63041	0	0	0	0.84302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57255	0	0	0	0	0	0.94753	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.53534	0	0	0	0	0	0	0	0	0	-0.028999	0	0	0	0	0	0	0	0.78087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36765	0	0	0
ACO1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008809	0	0	0	0	0	0	0	0.91794	0	0	0	0	0	0	0	0	0	0	-0.2025	0	0	0	0	0	0	0	0	-0.006272	0	0	0	0	0	-0.30201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.45888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.642	0	0	0	0	0	-0.7265	0	0	0	0	0	0	0	0	0	0	0.30891	0	0	0	0	0	0	-0.32206	0	0	-0.59644	-0.78087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.80715	0	0	0	-0.41811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.78087	0	0	0	0	-0.7265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
