TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
ESRRB	ABCC8	0.61411	50.52	0.521	rgb(223,117,119)	1.9904	None
GATA3	ABCC8	-0.03031	47.42	-4.2E-01	rgb(127,162,233)	1.9284	None
MSX2	ABCC8	0.89298	50.75	0.754	rgb(225, 73, 75)	1.995	None
ESRRB	ADAMTS15	-0.27059	48.81	-8.1E-01	rgb( 41,110,248)	1.9562	None
GATA3	ADAMTS15	-0.42609	44.64	-6.4E-01	rgb( 77,132,241)	1.8728	None
ESRRB	ADCY1	0.71746	50.82	0.82	rgb(226, 60, 62)	1.9964	None
MSX2	ADCY1	0.15386	48.05	0.053	rgb(218,207,207)	1.941	None
ESRRB	AK130759	0.63658	50.63	0.628	rgb(224, 97, 98)	1.9926	2,2
MSX2	AK130759	0.12439	38.29	0.288	rgb(220,162,162)	1.7458	2,2
ESRRB	ANKRD18A	-0.36463	49.19	-1.9E-01	rgb(177,192,224)	1.9638	None
MSX2	ANKRD18A	-0.64834	48.64	-6.4E-01	rgb( 77,132,241)	1.9528	None
ESRRB	ANXA13	0.92054	50.98	0.983	rgb(228, 29, 31)	1.9996	None
MSX2	ANXA13	-0.46139	49.79	-7.9E-01	rgb( 46,113,247)	1.9758	None
ESRRB	ANXA9	0.63907	50.64	0.638	rgb(224, 95, 96)	1.9928	None
MSX2	ANXA9	0.88631	50.72	0.725	rgb(225, 79, 80)	1.9944	None
GATA3	AREG	-0.14257	47.97	-9.7E-01	rgb(  6, 88,254)	1.9394	None
MSX2	AREG	0.14484	47.98	0.976	rgb(228, 31, 32)	1.9396	None
ESRRB	ATCAY	0.94964	50.99	0.988	rgb(228, 28, 30)	1.9998	None
MSX2	ATCAY	0.33722	42.88	0.88	rgb(227, 49, 51)	1.8376	None
ESRRB	ATP1A3	0.75609	50.87	0.873	rgb(227, 50, 52)	1.9974	None
MSX2	ATP1A3	0.17566	39.43	0.433	rgb(222,134,135)	1.7686	None
GATA3	ATP2B2	-0.33747	48.97	-9.7E-01	rgb(  7, 89,254)	1.9594	None
MSX2	ATP2B2	0.79773	50.41	0.41	rgb(222,139,140)	1.9882	None
ESRRB	B2M	0.53245	49.94	0.936	rgb(227, 38, 40)	1.9788	None
