TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
FEV	ADAMTSL1	0.53245	49.94	0.941	rgb(227, 37, 39)	1.9788	None
NR4A3	ADAMTSL1	0.40319	44.36	0.364	rgb(221,147,148)	1.8672	None
TBX20	ADAMTSL1	0.82225	50.55	0.919	rgb(227, 42, 43)	1.991	None
FEV	ADCY1	0.92054	50.98	0.978	rgb(228, 30, 32)	1.9996	None
NR4A3	ADCY1	0.93799	50.82	0.818	rgb(226, 61, 62)	1.9964	None
TBX20	ADCY1	0.11237	42	0.016	rgb(217,214,214)	1.82	None
NR4A3	AMER3	0.84885	50.91	0.912	rgb(227, 43, 45)	1.9982	None
TBX20	AMER3	0.85509	50.95	0.948	rgb(227, 36, 38)	1.999	None
ZIC2	AMER3	0.12912	38.36	0.357	rgb(221,149,150)	1.7472	None
FEV	BTBD11	0.45351	49.77	0.773	rgb(226, 69, 71)	1.9754	None
NR4A3	BTBD11	0.80993	50.5	0.499	rgb(222,122,123)	1.99	None
TBX20	BTBD11	-0.82569	50.58	-5.8E-01	rgb( 91,141,239)	1.9916	None
ZIC2	BTBD11	0.62474	48.41	0.415	rgb(222,138,139)	1.9482	None
FEV	CA8	0.87528	50.96	0.961	rgb(228, 33, 35)	1.9992	None
NR4A3	CA8	0.63046	48.48	0.484	rgb(222,124,125)	1.9496	None
TBX20	CA8	-0.58025	47.6	-6.0E-01	rgb( 87,138,240)	1.932	None
NR4A3	CACNA1A	0.59919	47.78	0.775	rgb(226, 69, 70)	1.9356	None
TBX20	CACNA1A	-0.29034	42.03	-2.8E-02	rgb(211,213,218)	1.8206	None
ZIC2	CACNA1A	0.39601	44.23	0.225	rgb(219,174,174)	1.8646	None
FEV	CHGB	0.98266	51	0.998	rgb(228, 26, 28)	2	None
NR4A3	CHGB	0.26531	41.42	0.421	rgb(222,137,137)	1.8084	None
ZIC2	CHGB	0.94678	50.85	0.851	rgb(226, 55, 56)	1.997	None
FEV	CHRNB2	0.30665	48.9	0.904	rgb(227, 44, 46)	1.958	None
NR4A3	CHRNB2	0.97801	50.9	0.896	rgb(227, 46, 48)	1.998	None
TBX20	CHRNB2	0.44336	45.12	0.119	rgb(218,194,195)	1.8824	None
FEV	CHST8	0.75609	50.87	0.866	rgb(227, 52, 53)	1.9974	None
NR4A3	CHST8	-0.070808	37.05	-5.4E-02	rgb(205,210,219)	1.721	None
TBX20	CHST8	-0.55067	47.15	-1.5E-01	rgb(185,197,223)	1.923	None
ZIC2	CHST8	0.86846	50.69	0.69	rgb(225, 85, 87)	1.9938	None
FEV	CKMT1A	0.89841	50.97	0.965	rgb(228, 33, 35)	1.9994	None
TBX20	CKMT1A	-0.85509	50.67	-6.7E-01	rgb( 71,128,243)	1.9934	None
ZIC2	CKMT1A	0.94327	50.84	0.838	rgb(226, 57, 59)	1.9968	None
FEV	CPLX2	-0.59549	50.35	-3.5E-01	rgb(142,171,230)	1.987	None
TBX20	CPLX2	-0.21224	44	-3.5E-01	rgb(140,170,230)	1.86	None
ZIC2	CPLX2	0.48004	45.66	0.655	rgb(224, 92, 93)	1.8932	None
FEV	CRMP1	0.086128	47.76	0.763	rgb(225, 71, 73)	1.9352	None
NR4A3	CRMP1	0.88811	50.73	0.732	rgb(225, 77, 79)	1.9946	None
TBX20	CRMP1	-0.83463	50.6	-6.0E-01	rgb( 86,137,240)	1.992	None
ZIC2	CRMP1	0.61539	48.27	0.273	rgb(220,165,165)	1.9454	None
FEV	CRYBA2	0.78761	50.9	0.895	rgb(227, 46, 48)	1.998	None
NR4A3	CRYBA2	0.91853	50.8	0.796	rgb(226, 65, 67)	1.996	None
TBX20	CRYBA2	-0.91021	50.77	-7.7E-01	rgb( 50,115,246)	1.9954	None
FEV	DDC	0.92054	50.98	0.975	rgb(228, 31, 33)	1.9996	None
NR4A3	DDC	0.85281	50.66	0.665	rgb(224, 90, 91)	1.9932	None
TBX20	DDC	-0.91021	50.77	-7.7E-01	rgb( 50,115,246)	1.9954	None
ZIC2	DDC	0.12732	38.34	0.34	rgb(221,152,153)	1.7468	None
FEV	DISP2	0.55217	49.97	0.97	rgb(228, 32, 34)	1.9794	None
NR4A3	DISP2	0.88631	50.72	0.721	rgb(225, 79, 81)	1.9944	None
TBX20	DISP2	-0.80671	50.45	-4.5E-01	rgb(120,158,234)	1.989	None
FEV	DRC1	0.54535	49.96	0.957	rgb(228, 34, 36)	1.9792	None
NR4A3	DRC1	0.24574	41.1	0.096	rgb(218,199,199)	1.802	None
TBX20	DRC1	-0.31867	42.54	-5.4E-01	rgb(100,146,238)	1.8308	None
FEV	ENPP1	0.56636	49.99	0.99	rgb(228, 28, 30)	1.9798	None
NR4A3	ENPP1	0.079604	37.23	0.234	rgb(220,172,173)	1.7246	None
ZIC2	ENPP1	0.65303	48.67	0.674	rgb(224, 88, 90)	1.9534	None
FEV	ETV5	0.12461	47.91	0.909	rgb(227, 43, 45)	1.9382	None
NR4A3	ETV5	0.74418	49.72	0.723	rgb(225, 79, 80)	1.9744	None
ZIC2	ETV5	0.70856	49.54	0.545	rgb(223,113,114)	1.9708	None
FEV	FBLL1	0.65831	50.7	0.705	rgb(225, 82, 84)	1.994	None
TBX20	FBLL1	-0.40564	44.38	-3.8E-01	rgb(134,166,232)	1.8676	None
ZIC2	FBLL1	-0.035148	36.19	-1.9E-01	rgb(176,192,224)	1.7038	None
NR4A3	FEV	0.45292	45.34	0.336	rgb(221,153,153)	1.8868	None
TBX20	FEV	-0.91552	50.79	-7.9E-01	rgb( 45,112,247)	1.9958	None
ZIC2	FEV	0.379	43.69	0.692	rgb(225, 85, 86)	1.8538	None
FEV	GAS1	-0.4681	49.81	-8.1E-01	rgb( 41,110,248)	1.9762	None
NR4A3	GAS1	-0.75488	49.79	-7.9E-01	rgb( 45,113,247)	1.9758	None
TBX20	GAS1	-0.77526	50.89	-8.9E-01	rgb( 23, 99,251)	1.9978	None
FEV	GCK	0.10104	47.82	0.823	rgb(226, 60, 61)	1.9364	None
NR4A3	GCK	0.84885	50.64	0.641	rgb(224, 95, 96)	1.9928	None
TBX20	GCK	-0.85281	50.66	-6.6E-01	rgb( 74,130,242)	1.9932	None
FEV	GNAO1	0.94964	50.99	0.986	rgb(228, 29, 31)	1.9998	None
NR4A3	GNAO1	0.43599	44.74	0.736	rgb(225, 76, 78)	1.8748	None
TBX20	GNAO1	-0.75488	49.79	-7.9E-01	rgb( 45,112,247)	1.9758	None
FEV	GPD1	0.87528	50.96	0.956	rgb(228, 34, 36)	1.9992	None
NR4A3	GPD1	-0.44259	45.03	-3.0E-02	rgb(211,213,218)	1.8806	None
TBX20	GPD1	-0.87293	50.71	-7.1E-01	rgb( 63,123,244)	1.9942	None
FEV	GPR119	0.81187	50.92	0.923	rgb(227, 41, 43)	1.9984	None
NR4A3	GPR119	0.91277	50.78	0.784	rgb(226, 67, 69)	1.9956	None
ZIC2	GPR119	0.50258	46.29	0.288	rgb(220,162,162)	1.9058	None
FEV	HRH3	0.28708	48.85	0.847	rgb(226, 55, 57)	1.957	None
NR4A3	HRH3	0.94327	50.84	0.843	rgb(226, 56, 58)	1.9968	None
TBX20	HRH3	0.94964	50.99	0.986	rgb(228, 29, 31)	1.9998	None
FEV	IL10RA	0.099835	37.56	0.556	rgb(223,111,112)	1.7312	None
NR4A3	IL10RA	0.26714	41.47	0.473	rgb(222,127,128)	1.8094	None
TBX20	IL10RA	0.89841	50.97	0.971	rgb(228, 31, 33)	1.9994	None
FEV	JAKMIP1	0.56636	49.99	0.986	rgb(228, 29, 31)	1.9798	None
NR4A3	JAKMIP1	0.85281	50.66	0.661	rgb(224, 91, 92)	1.9932	None
TBX20	JAKMIP1	-0.83647	50.61	-6.1E-01	rgb( 84,136,240)	1.9922	None
FEV	KCNH6	0.94964	50.99	0.986	rgb(228, 29, 31)	1.9998	None
NR4A3	KCNH6	0.94327	50.84	0.84	rgb(226, 57, 58)	1.9968	None
ZIC2	KCNH6	0.91021	50.77	0.773	rgb(226, 69, 71)	1.9954	None
FEV	KCNJ6	0.52172	49.92	0.923	rgb(227, 41, 42)	1.9784	None
TBX20	KCNJ6	-0.91021	50.77	-7.7E-01	rgb( 50,116,246)	1.9954	None
ZIC2	KCNJ6	0.51329	46.46	0.458	rgb(222,130,130)	1.9092	None
FEV	KLHDC8A	0.87528	50.96	0.956	rgb(228, 34, 36)	1.9992	None
TBX20	KLHDC8A	-0.79513	50.36	-3.6E-01	rgb(139,170,231)	1.9872	None
ZIC2	KLHDC8A	0.1352	38.45	0.446	rgb(222,132,133)	1.749	None
FEV	MANEAL	0.31028	48.91	0.914	rgb(227, 43, 44)	1.9582	None
NR4A3	MANEAL	0.25739	41.33	0.33	rgb(221,154,155)	1.8066	None
TBX20	MANEAL	-0.94327	50.84	-8.4E-01	rgb( 34,106,249)	1.9968	None
FEV	MAP6	0.49492	49.87	0.871	rgb(227, 51, 52)	1.9774	None
NR4A3	MAP6	0.87293	50.71	0.708	rgb(225, 82, 83)	1.9942	None
TBX20	MAP6	-0.56423	47.42	-4.2E-01	rgb(126,161,233)	1.9284	None
ZIC2	MAP6	0.64427	48.6	0.605	rgb(224,101,103)	1.952	None
FEV	MAPK8IP2	0.7101	50.81	0.811	rgb(226, 62, 64)	1.9962	None
TBX20	MAPK8IP2	-0.74334	49.71	-7.1E-01	rgb( 64,124,244)	1.9742	None
ZIC2	MAPK8IP2	0.99502	50.94	0.943	rgb(227, 37, 39)	1.9988	None
FEV	NFASC	0.94964	50.99	0.991	rgb(228, 28, 30)	1.9998	None
NR4A3	NFASC	0.3024	47.92	0.924	rgb(227, 41, 42)	1.9384	None
TBX20	NFASC	-0.71468	49.57	-5.7E-01	rgb( 93,142,239)	1.9714	None
FEV	PRUNE2	0.64893	50.67	0.667	rgb(224, 90, 91)	1.9934	None
NR4A3	PRUNE2	0.82569	50.58	0.582	rgb(223,106,107)	1.9916	None
TBX20	PRUNE2	-0.79644	50.39	-3.9E-01	rgb(133,166,232)	1.9878	None
NR4A3	RAB26	0.35052	43.28	0.277	rgb(220,164,165)	1.8456	None
TBX20	RAB26	-0.86846	50.69	-6.9E-01	rgb( 68,126,243)	1.9938	None
ZIC2	RAB26	0.075353	37.16	0.16	rgb(219,186,187)	1.7232	None
