TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
POU3F4	ABTB1	0.48367	45.69	0.688	rgb(225, 86, 87)	1.8938	None
LHX6	ACADL	0.7072	49.52	0.524	rgb(223,117,118)	1.9704	None
POU3F4	ACADL	-0.87528	50.96	-9.6E-01	rgb(  8, 90,254)	1.9992	None
LHX6	ACOX3	0.36936	43.58	0.577	rgb(223,107,108)	1.8516	None
POU3F4	ACOX3	-0.88631	50.72	-7.2E-01	rgb( 60,122,244)	1.9944	None
LHX6	ACTA1	0.19263	39.71	0.71	rgb(225, 81, 83)	1.7742	None
MECOM	ACTC1	0.11878	47.89	0.894	rgb(227, 46, 48)	1.9378	None
LHX6	ADAM28	-0.94327	50.84	-8.4E-01	rgb( 34,106,249)	1.9968	None
LHX6	ADAMTS20	-0.94678	50.85	-8.5E-01	rgb( 34,105,249)	1.997	None
LHX6	ADAMTS5	-0.74726	49.75	-9.4E-01	rgb( 12, 92,253)	1.975	None
LHX6	ADAMTS9	0.011985	35.46	0.457	rgb(222,130,131)	1.6892	None
POU3F4	ADAMTS9	-0.52681	49.93	-9.3E-01	rgb( 15, 94,252)	1.9786	None
LHX6	AFF3	-0.77526	50.89	-8.9E-01	rgb( 23, 99,251)	1.9978	None
LHX6	AGTR1	0.37218	43.61	0.606	rgb(224,101,103)	1.8522	None
POU3F4	AHR	0.058714	36.56	0.559	rgb(223,110,111)	1.7112	None
LHX6	AK092048	0.78761	50.9	0.901	rgb(227, 45, 47)	1.998	2,2
POU3F4	AK092048	0.94085	50.83	0.832	rgb(226, 58, 60)	1.9966	2,2
LHX6	AK094525	-0.91277	50.78	-7.8E-01	rgb( 48,114,247)	1.9956	2,2
LHX6	AK096159	-0.64427	48.6	-6.0E-01	rgb( 88,138,240)	1.952	2,2
LHX6	AK097288	0.57284	47.52	0.517	rgb(223,118,119)	1.9304	2,2
LHX6	AK127224	0.26964	41.5	0.499	rgb(222,122,123)	1.81	2,2
LHX6	ALDH1A1	-0.51406	46.48	-4.8E-01	rgb(114,154,235)	1.9096	None
POU3F4	ALDH1A3	-0.38047	49.4	-4.0E-01	rgb(131,165,232)	1.968	None
MECOM	ALK	0.78523	50.25	0.247	rgb(220,170,170)	1.985	None
LHX6	ALPP	-0.96661	50.86	-8.6E-01	rgb( 30,103,250)	1.9972	None
LHX6	ALX4	0.77526	50.89	0.888	rgb(227, 47, 49)	1.9978	None
LHX6	AMER2	-0.28111	41.66	-6.6E-01	rgb( 75,130,242)	1.8132	None
MECOM	AMIGO2	0.4295	49.69	0.693	rgb(225, 85, 86)	1.9738	None
MECOM	ANGPT2	0.34759	48.99	0.987	rgb(228, 29, 30)	1.9598	None
MECOM	ANGPTL2	-0.74334	49.71	-7.1E-01	rgb( 62,123,244)	1.9742	None
LHX6	ANK2	-0.089463	37.39	-3.9E-01	rgb(133,166,232)	1.7278	None
LHX6	ANKRD36C	-0.21946	40.45	-4.5E-01	rgb(120,158,234)	1.789	None
LHX6	ANKRD37	-0.087154	37.35	-3.5E-01	rgb(141,171,230)	1.727	None
LHX6	ANKRD50	0.11574	38.12	0.121	rgb(218,194,194)	1.7424	None
LHX6	APCDD1	-0.13828	46.66	-6.6E-01	rgb( 74,130,242)	1.9132	None
POU3F4	AQP3	-0.028441	47.4	-4.0E-01	rgb(131,164,232)	1.928	None
POU3F4	ARHGEF4	0.87528	50.96	0.956	rgb(228, 34, 36)	1.9992	None
LHX6	ARHGEF6	0.35595	47.41	0.418	rgb(222,137,138)	1.9282	None
LHX6	ATP13A3	0.4667	45.52	0.516	rgb(223,118,119)	1.8904	None
LHX6	ATP2C2	0.48367	45.69	0.692	rgb(225, 85, 86)	1.8938	None
LHX6	AVPR1B	-0.91277	50.78	-7.8E-01	rgb( 48,114,247)	1.9956	None
MECOM	AVPR1B	0.29716	42.2	0.2	rgb(219,179,179)	1.824	None
POU3F4	AVPR1B	0.82327	50.56	0.556	rgb(223,111,112)	1.9912	None
MECOM	AX747593	0.22672	48.66	0.656	rgb(224, 92, 93)	1.9532	2,2
LHX6	B3GAT1	-0.72421	50.83	-8.3E-01	rgb( 36,107,249)	1.9966	None
LHX6	BAAT	0.85281	50.66	0.663	rgb(224, 90, 92)	1.9932	None
MECOM	BC014312	0.36566	43.53	0.53	rgb(223,116,117)	1.8506	2,2
MECOM	BCL2	-0.52172	49.92	-9.2E-01	rgb( 16, 95,252)	1.9784	None
LHX6	BCO2	-0.037566	36.23	-2.3E-01	rgb(166,186,226)	1.7046	None
LHX6	BDNF	0.3337	42.77	0.765	rgb(225, 71, 72)	1.8354	None
MECOM	BHLHE40	0.78761	50.9	0.905	rgb(227, 44, 46)	1.998	None
LHX6	BMP5	-0.5768	47.57	-5.7E-01	rgb( 92,141,239)	1.9314	None
LHX6	BMP6	0.70196	49.49	0.487	rgb(222,124,125)	1.9698	None
MECOM	BMPER	0.21876	45.53	0.527	rgb(223,116,117)	1.8906	None
