TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
ALX4	ADAM12	-0.36309	45.29	-5.0E-01	rgb(109,151,236)	1.8858	None
FOXC1	ADAM12	0.96932	50.87	0.867	rgb(227, 51, 53)	1.9974	None
ALX4	ADAM28	-0.094154	37.46	-4.6E-01	rgb(118,157,234)	1.7292	None
IRF4	ADAM28	-0.4862	49.85	-8.5E-01	rgb( 32,104,249)	1.977	None
FOXC1	ADAMTS5	0.26747	48.8	0.803	rgb(226, 64, 65)	1.956	None
IRF4	ADAMTS5	0.56636	49.99	0.99	rgb(228, 28, 30)	1.9798	None
FOXC1	ADAMTSL1	0.29797	42.23	0.234	rgb(220,172,173)	1.8246	None
IRF4	ADAMTSL1	0.52681	49.93	0.927	rgb(227, 40, 42)	1.9786	None
ALX4	ADH1A	-0.40803	49.6	-6.0E-01	rgb( 87,138,240)	1.972	None
FOXC1	ADH1A	0.042001	47.51	0.506	rgb(223,120,121)	1.9302	None
IRF4	ADH1A	-0.69826	50.79	-7.9E-01	rgb( 46,113,247)	1.9958	None
ALX4	ADH1B	-0.37504	49.34	-3.4E-01	rgb(144,173,230)	1.9668	None
IRF4	ADH1B	-0.18351	48.41	-4.1E-01	rgb(129,163,232)	1.9482	None
ALX4	ADRA2B	0.94964	50.99	0.992	rgb(228, 27, 29)	1.9998	None
IRF4	ADRA2B	0.92054	50.98	0.981	rgb(228, 30, 32)	1.9996	None
ALX4	AF116693	0.61576	50.53	0.526	rgb(223,116,118)	1.9906	2,2
IRF4	AF116693	0.63368	50.62	0.621	rgb(224, 98,100)	1.9924	2,2
ALX4	AGTR1	-0.48118	49.84	-8.4E-01	rgb( 35,106,249)	1.9768	None
IRF4	AGTR1	0.057064	47.61	0.615	rgb(224,100,101)	1.9322	None
ALX4	AK096314	-0.82448	50.57	-5.7E-01	rgb( 94,142,239)	1.9914	2,2
IRF4	AK096314	-0.7971	50.4	-5.9E-01	rgb( 90,140,239)	1.988	2,2
FOXC1	AK097288	0.27722	41.59	0.594	rgb(224,104,105)	1.8118	2,2
IRF4	AK097288	0.89841	50.97	0.972	rgb(228, 31, 33)	1.9994	2,2
FOXC1	AK5	0.25985	41.36	0.365	rgb(221,147,148)	1.8072	None
IRF4	AK5	0.72421	50.83	0.834	rgb(226, 58, 59)	1.9966	None
ALX4	ALPP	-0.067326	47.67	-6.7E-01	rgb( 72,129,242)	1.9334	None
IRF4	ALPP	-0.79963	50.91	-9.1E-01	rgb( 20, 97,251)	1.9982	None
ALX4	ARHGAP24	-0.77526	50.89	-8.9E-01	rgb( 24,100,251)	1.9978	None
IRF4	ARHGAP24	0.11878	47.89	0.893	rgb(227, 46, 48)	1.9378	None
ALX4	ARID5A	0.069782	47.68	0.682	rgb(225, 87, 88)	1.9336	None
IRF4	ARID5A	0.65303	48.67	0.674	rgb(224, 88, 90)	1.9534	None
ALX4	ARNTL	-0.74818	50.86	-8.6E-01	rgb( 29,103,250)	1.9972	None
FOXC1	ARNTL	0.18351	48.41	0.409	rgb(221,139,140)	1.9482	None
ALX4	ATP10D	-0.71629	49.59	-5.9E-01	rgb( 88,139,240)	1.9718	None
FOXC1	ATP10D	0.83647	50.61	0.614	rgb(224,100,101)	1.9922	None
IRF4	ATP10D	0.72278	49.62	0.615	rgb(224,100,101)	1.9724	None
ALX4	ATP2C2	0.20517	48.56	0.557	rgb(223,111,112)	1.9512	None
IRF4	ATP2C2	0.5517	47.23	0.232	rgb(220,173,173)	1.9246	None
ALX4	AX748379	0.15529	48.08	0.082	rgb(218,201,201)	1.9416	2,2
IRF4	AX748379	0.68122	50.76	0.757	rgb(225, 72, 74)	1.9952	2,2
ALX4	B2M	-0.83837	50.62	-6.2E-01	rgb( 82,135,241)	1.9924	None
FOXC1	B2M	0.55851	47.36	0.357	rgb(221,149,150)	1.9272	None
FOXC1	BC014312	0.30511	42.36	0.356	rgb(221,149,150)	1.8272	2,2
IRF4	BC014312	-0.34759	48.99	-9.9E-01	rgb(  3, 87,254)	1.9598	2,2
ALX4	BC021061	-0.15576	48.09	-9.3E-02	rgb(197,205,221)	1.9418	2,2
IRF4	BC021061	0.41854	49.65	0.799	rgb(226, 64, 66)	1.973	2,2
ALX4	BCRP3	-0.94327	50.84	-8.4E-01	rgb( 35,106,249)	1.9968	None
IRF4	BCRP3	-0.79963	50.91	-9.1E-01	rgb( 20, 97,251)	1.9982	None
ALX4	CADM2	0.18025	48.38	0.383	rgb(221,144,145)	1.9476	None
FOXC1	CADM2	-0.40803	49.6	-6.0E-01	rgb( 86,137,240)	1.972	None
ALX4	CALHM3	-0.33747	48.97	-9.7E-01	rgb(  7, 89,254)	1.9594	None
FOXC1	CALHM3	0.37306	43.62	0.624	rgb(224, 98, 99)	1.8524	None
ALX4	CALY	0.42683	49.68	0.682	rgb(225, 87, 88)	1.9736	None
IRF4	CALY	0.87528	50.96	0.961	rgb(228, 34, 35)	1.9992	None
ALX4	CAPSL	-0.63148	50.61	-6.1E-01	rgb( 84,136,240)	1.9922	None
IRF4	CAPSL	0.78761	50.9	0.904	rgb(227, 44, 46)	1.998	None
FOXC1	CCDC50	0.69716	49.45	0.448	rgb(222,131,132)	1.969	None
IRF4	CCDC50	0.31318	42.46	0.459	rgb(222,129,130)	1.8292	None
ALX4	CCL2	-0.5856	50.19	-7.2E-01	rgb( 60,121,245)	1.9838	None
FOXC1	CCL2	0.00744	35.39	0.387	rgb(221,143,144)	1.6878	None
IRF4	CCL2	0.49115	49.86	0.863	rgb(226, 52, 54)	1.9772	None
ALX4	CCNA1	0.92054	50.98	0.977	rgb(228, 30, 32)	1.9996	None
FOXC1	CCNA1	-0.15965	48.14	-1.4E-01	rgb(187,199,222)	1.9428	None
ALX4	CCNE2	-0.94964	50.99	-9.9E-01	rgb(  2, 86,255)	1.9998	None
IRF4	CCNE2	-0.095254	47.8	-8.0E-01	rgb( 44,112,247)	1.936	None
ALX4	CCSER1	-0.4295	49.69	-6.9E-01	rgb( 67,126,243)	1.9738	None
IRF4	CCSER1	0.63148	50.61	0.612	rgb(224,100,101)	1.9922	None
FOXC1	CD36	-0.50211	46.27	-2.7E-01	rgb(159,182,227)	1.9054	None
IRF4	CD36	0.59579	47.74	0.744	rgb(225, 75, 76)	1.9348	None
ALX4	CEBPD	0.7101	50.81	0.813	rgb(226, 62, 63)	1.9962	None
FOXC1	CEBPD	-0.75609	50.87	-8.7E-01	rgb( 29,103,250)	1.9974	None
ALX4	CHL1	-0.30665	48.9	-9.0E-01	rgb( 22, 99,251)	1.958	None
FOXC1	CHL1	0.572	47.5	0.495	rgb(222,122,123)	1.93	None
ALX4	CHRNB2	-0.2114	40.33	-3.3E-01	rgb(145,173,230)	1.7866	None
IRF4	CHRNB2	-0.37585	49.35	-3.5E-01	rgb(140,170,230)	1.967	None
ALX4	CHST6	-0.14484	47.98	-9.8E-01	rgb(  5, 88,254)	1.9396	None
IRF4	CHST6	-0.4862	49.85	-8.5E-01	rgb( 33,105,249)	1.977	None
ALX4	CITED1	0.23211	48.68	0.68	rgb(224, 87, 89)	1.9536	None
IRF4	CITED1	-0.62954	50.6	-6.0E-01	rgb( 87,138,240)	1.992	None
ALX4	CLDN10	-0.65369	48.68	-6.8E-01	rgb( 70,128,243)	1.9536	None
IRF4	CLDN10	0.032545	47.44	0.444	rgb(222,132,133)	1.9288	None
ALX4	CNTN5	-0.53245	49.94	-9.4E-01	rgb( 12, 92,253)	1.9788	None
FOXC1	CNTN5	0.59751	47.76	0.764	rgb(225, 71, 73)	1.9352	None
ALX4	CNTNAP1	0.040902	36.28	0.279	rgb(220,164,164)	1.7056	None
IRF4	CNTNAP1	0.8413	50.94	0.936	rgb(227, 38, 40)	1.9988	None
ALX4	COL9A2	0.89841	50.97	0.967	rgb(228, 32, 34)	1.9994	None
IRF4	COL9A2	-0.02932	36.05	-5.4E-02	rgb(205,210,219)	1.701	None
ALX4	COL9A3	0.82833	50.93	0.926	rgb(227, 40, 42)	1.9986	None
IRF4	COL9A3	0.97544	50.89	0.895	rgb(227, 46, 48)	1.9978	None
ALX4	CR627206	0.54535	49.96	0.964	rgb(228, 33, 35)	1.9792	2,2
IRF4	CR627206	0.89841	50.97	0.974	rgb(228, 31, 33)	1.9994	2,2
ALX4	CTSE	0.76467	50.88	0.876	rgb(227, 50, 51)	1.9976	None
FOXC1	CTSE	0.2015	40.13	0.131	rgb(218,192,192)	1.7826	None
IRF4	CTSE	-0.25655	47.66	-6.6E-01	rgb( 74,130,242)	1.9332	None
ALX4	CXCL6	-0.67253	48.84	-8.4E-01	rgb( 35,106,249)	1.9568	None
FOXC1	CXCL6	0.048598	36.4	0.396	rgb(221,141,142)	1.708	None
ALX4	CYP26A1	0.99168	50.92	0.917	rgb(227, 42, 44)	1.9984	None
FOXC1	CYP26A1	-0.75393	49.78	-7.8E-01	rgb( 48,114,247)	1.9756	None
ALX4	DCDC2	-0.41517	49.63	-6.3E-01	rgb( 80,134,241)	1.9726	None
FOXC1	DCDC2	0.43694	44.77	0.774	rgb(226, 69, 71)	1.8754	None
IRF4	DCDC2	0.81964	50.52	0.515	rgb(223,119,120)	1.9904	None
ALX4	DCHS2	-0.25783	48.77	-7.7E-01	rgb( 49,115,246)	1.9554	None
IRF4	DCHS2	0.87528	50.96	0.961	rgb(228, 33, 35)	1.9992	None
ALX4	DCX	-0.11237	38.02	-2.3E-02	rgb(212,214,218)	1.7404	None
FOXC1	DCX	0.58113	47.61	0.609	rgb(224,101,102)	1.9322	None
ALX4	DEPTOR	-0.94964	50.99	-9.9E-01	rgb(  2, 86,255)	1.9998	None
IRF4	DEPTOR	0.48118	49.84	0.838	rgb(226, 57, 59)	1.9768	None
ALX4	DISP2	-0.13018	47.93	-9.3E-01	rgb( 15, 94,252)	1.9386	None
FOXC1	DISP2	0.21396	40.37	0.371	rgb(221,146,147)	1.7874	None
IRF4	DISP2	0.29899	48.88	0.877	rgb(227, 50, 51)	1.9576	None
ALX4	DKFZp586G0322	0.98266	51	0.996	rgb(228, 27, 29)	2	2,2
IRF4	DKFZp586G0322	0.98266	51	0.996	rgb(228, 27, 29)	2	2,2
FOXC1	DLGAP3	-0.2947	48.87	-8.7E-01	rgb( 28,102,250)	1.9574	None
IRF4	DLGAP3	0.5157	49.91	0.914	rgb(227, 42, 44)	1.9782	None
ALX4	DQ575504	0.8413	50.94	0.942	rgb(227, 37, 39)	1.9988	2,2
IRF4	DQ575504	0.82833	50.93	0.926	rgb(227, 40, 42)	1.9986	2,2
ALX4	DSCAM	-0.17369	48.32	-3.2E-01	rgb(147,174,229)	1.9464	None
IRF4	DSCAM	0.85509	50.95	0.952	rgb(227, 35, 37)	1.999	None
ALX4	DSEL	0.57486	50	1	rgb(228, 26, 28)	1.98	None
IRF4	DSEL	-0.98266	51	-1	rgb(  0, 85,255)	2	None
ALX4	DUSP6	-0.6516	50.68	-6.8E-01	rgb( 70,128,243)	1.9936	None
