TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
EGR2	ACOX3	0.8413	50.94	0.94	rgb(227, 37, 39)	1.9988	None
ESRRG	ACOX3	-0.11757	38.14	-1.4E-01	rgb(187,199,222)	1.7428	None
LHX1	ACOX3	-0.4597	45.42	-4.2E-01	rgb(126,161,233)	1.8884	None
MEF2C	ACOX3	0.59018	47.69	0.688	rgb(225, 86, 87)	1.9338	None
CEBPA	ACTA2	-0.77445	49.92	-9.2E-01	rgb( 18, 96,252)	1.9784	None
EGR2	ACTA2	0.82327	50.56	0.913	rgb(227, 43, 44)	1.9912	None
LHX1	ACTA2	0.5157	49.91	0.913	rgb(227, 43, 44)	1.9782	None
EGR2	ACTC1	0.94085	50.83	0.835	rgb(226, 58, 59)	1.9966	None
ESRRG	ACTC1	-0.5193	46.53	-5.3E-01	rgb(102,147,237)	1.9106	None
MEF2C	ACTC1	0.32252	42.58	0.58	rgb(223,106,107)	1.8316	None
CEBPA	AHR	0.73084	49.67	0.782	rgb(226, 68, 69)	1.9734	None
EGR2	AHR	-0.7072	49.52	-5.2E-01	rgb(103,148,237)	1.9704	None
LHX1	AHR	-0.24523	48.72	-7.2E-01	rgb( 61,122,244)	1.9544	None
CEBPA	ANKS1A	0.29071	48.86	0.861	rgb(226, 53, 54)	1.9572	None
EGR2	ANKS1A	-0.68998	49.34	-3.4E-01	rgb(143,172,230)	1.9668	None
LHX1	ANKS1A	-0.28708	48.85	-8.5E-01	rgb( 33,105,249)	1.957	None
EGR2	B2M	-0.47227	49.82	-8.2E-01	rgb( 39,109,248)	1.9764	None
ESRRG	B2M	0.4681	49.81	0.807	rgb(226, 63, 65)	1.9762	None
MEF2C	B2M	0.74818	50.86	0.864	rgb(227, 52, 54)	1.9972	None
CEBPA	BACH2	-0.85509	50.67	-6.7E-01	rgb( 71,128,243)	1.9934	None
EGR2	BACH2	0.83837	50.62	0.617	rgb(224, 99,100)	1.9924	None
ESRRG	BACH2	-0.91021	50.77	-7.7E-01	rgb( 51,116,246)	1.9954	None
MEF2C	BACH2	0.7864	50.28	0.283	rgb(220,163,163)	1.9856	None
CEBPA	C9orf3	-0.2114	40.33	-3.3E-01	rgb(146,174,229)	1.7866	2,2
EGR2	C9orf3	0.88811	50.73	0.725	rgb(225, 79, 80)	1.9946	2,2
LHX1	C9orf3	0.63907	50.64	0.638	rgb(224, 95, 96)	1.9928	2,2
CEBPA	CCSER1	-0.79586	50.38	-3.8E-01	rgb(134,167,231)	1.9876	None
LHX1	CCSER1	-0.40707	44.4	-4.0E-01	rgb(131,165,232)	1.868	None
MEF2C	CCSER1	0.2619	41.38	0.379	rgb(221,145,145)	1.8076	None
CEBPA	CES1	-0.94327	50.84	-8.4E-01	rgb( 34,106,249)	1.9968	None
EGR2	CES1	0.60971	48.06	0.062	rgb(218,205,205)	1.9412	None
LHX1	CES1	-0.89045	50.74	-7.4E-01	rgb( 57,120,245)	1.9948	None
EGR2	CNN1	0.82569	50.58	0.582	rgb(223,106,107)	1.9916	None
ESRRG	CNN1	-0.32278	42.59	-5.9E-01	rgb( 89,139,239)	1.8318	None
LHX1	CNN1	-0.64427	48.6	-6.0E-01	rgb( 87,138,240)	1.952	None
CEBPA	COL14A1	0.31944	48.93	0.932	rgb(227, 39, 41)	1.9586	None
EGR2	COL14A1	-0.99168	50.92	-9.2E-01	rgb( 18, 96,252)	1.9984	None
LHX1	COL14A1	-0.89841	50.97	-9.7E-01	rgb(  6, 88,254)	1.9994	None
EGR2	COL4A4	0.098113	47.81	0.811	rgb(226, 62, 64)	1.9362	None
ESRRG	COL4A4	-0.83977	50.63	-6.3E-01	rgb( 80,134,241)	1.9926	None
LHX1	COL4A4	-0.55701	47.32	-3.2E-01	rgb(147,174,229)	1.9264	None
CEBPA	COL8A1	-0.30475	42.35	-3.5E-01	rgb(141,171,230)	1.827	None
EGR2	COL8A1	0.94678	50.85	0.851	rgb(226, 54, 56)	1.997	None
ESRRG	COL8A1	0.49841	46.19	0.186	rgb(219,181,182)	1.9038	None
MEF2C	COL8A1	0.64688	48.61	0.613	rgb(224,100,101)	1.9522	None
CEBPA	CORO6	-0.86846	50.69	-6.9E-01	rgb( 67,126,243)	1.9938	None
EGR2	CORO6	0.13649	47.95	0.954	rgb(227, 35, 37)	1.939	None
LHX1	CORO6	0.64222	50.65	0.646	rgb(224, 94, 95)	1.993	None
CEBPA	COTL1	-0.89045	50.74	-7.4E-01	rgb( 57,120,245)	1.9948	None
EGR2	COTL1	0.2221	48.64	0.642	rgb(224, 94, 96)	1.9528	None
LHX1	COTL1	-0.15946	39.14	-1.4E-01	rgb(186,198,222)	1.7628	None
MEF2C	COTL1	0.91853	50.8	0.798	rgb(226, 64, 66)	1.996	None
EGR2	CSPG5	0.84885	50.64	0.644	rgb(224, 94, 95)	1.9928	None
ESRRG	CSPG5	-0.38028	43.72	-7.2E-01	rgb( 60,121,245)	1.8544	None
LHX1	CSPG5	0.75609	50.87	0.872	rgb(227, 50, 52)	1.9974	None
CEBPA	CSRP1	-0.78464	50.22	-2.2E-01	rgb(169,188,225)	1.9844	None
EGR2	CSRP1	0.72358	49.63	0.634	rgb(224, 96, 97)	1.9726	None
LHX1	CSRP1	-0.077515	37.2	-2.0E-01	rgb(174,191,225)	1.724	None
MEF2C	CSRP1	0.88811	50.73	0.914	rgb(227, 42, 44)	1.9946	None
EGR2	CYP27C1	0.49786	46.15	0.15	rgb(219,188,189)	1.903	None
LHX1	CYP27C1	0.11259	38.03	0.028	rgb(217,212,212)	1.7406	None
MEF2C	CYP27C1	0.39699	44.25	0.251	rgb(220,169,170)	1.865	None
EGR2	DAAM2	0.32377	48.94	0.94	rgb(227, 37, 39)	1.9588	None
LHX1	DAAM2	0.29745	42.21	0.209	rgb(219,177,177)	1.8242	None
MEF2C	DAAM2	0.14257	47.97	0.974	rgb(228, 31, 33)	1.9394	None
EGR2	DNAH5	0.68096	49.14	0.142	rgb(219,190,190)	1.9628	None
ESRRG	DNAH5	-0.40748	44.42	-4.2E-01	rgb(127,162,233)	1.8684	None
LHX1	DNAH5	0.50922	49.9	0.9	rgb(227, 45, 47)	1.978	None
MEF2C	DNAH5	0.4762	45.63	0.627	rgb(224, 97, 99)	1.8926	None
EGR2	DYSF	0.86648	50.68	0.68	rgb(224, 87, 89)	1.9936	None
LHX1	DYSF	-0.44849	45.25	-2.5E-01	rgb(162,184,227)	1.885	None
MEF2C	DYSF	0.32172	42.56	0.564	rgb(223,109,110)	1.8312	None
CEBPA	ENTPD3	0.92054	50.98	0.98	rgb(228, 30, 32)	1.9996	None
EGR2	ENTPD3	-0.96661	50.86	-8.6E-01	rgb( 31,104,250)	1.9972	None
LHX1	ENTPD3	-0.43211	49.7	-7.0E-01	rgb( 65,124,244)	1.974	None
EGR2	FGF1	0.70068	49.47	0.465	rgb(222,128,129)	1.9694	None
ESRRG	FGF1	-0.0020524	35.31	-3.1E-01	rgb(149,176,229)	1.6862	None
LHX1	FGF1	0.52681	49.93	0.928	rgb(227, 40, 42)	1.9786	None
EGR2	FLJ16779	0.8508	50.65	0.648	rgb(224, 93, 94)	1.993	2,2
ESRRG	FLJ16779	-0.87084	50.7	-7.0E-01	rgb( 64,124,244)	1.994	2,2
LHX1	FLJ16779	0.68649	50.77	0.77	rgb(225, 70, 72)	1.9954	2,2
EGR2	FOS	0.11548	38.11	0.112	rgb(218,196,196)	1.7422	None
LHX1	FOS	0.2626	47.75	0.754	rgb(225, 73, 74)	1.935	None
MEF2C	FOS	0.037566	36.23	0.228	rgb(220,173,174)	1.7046	None
CEBPA	FOXO1	-0.81081	50.51	-5.1E-01	rgb(106,149,237)	1.9902	None
LHX1	FOXO1	-0.76049	49.8	-8.0E-01	rgb( 44,112,247)	1.976	None
MEF2C	FOXO1	0.87293	50.71	0.714	rgb(225, 81, 82)	1.9942	None
CEBPA	GPC6	-0.91853	50.8	-8.0E-01	rgb( 44,112,247)	1.996	None
EGR2	GPC6	0.80773	50.47	0.468	rgb(222,128,129)	1.9894	None
