TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
LHX1	A1CF	-0.32377	48.94	-9.4E-01	rgb( 12, 92,253)	1.9588	None
EGR2	ABLIM2	0.83463	50.6	0.604	rgb(224,102,103)	1.992	None
LHX1	ACADL	-0.50724	46.38	-3.8E-01	rgb(134,166,232)	1.9076	None
MEF2C	ACADL	0.89841	50.97	0.967	rgb(228, 32, 34)	1.9994	None
EGR2	ACO1	-0.37621	43.66	-6.6E-01	rgb( 74,130,242)	1.8532	None
EGR2	ACOX3	0.8413	50.94	0.94	rgb(227, 37, 39)	1.9988	None
ESRRG	ACOX3	-0.11757	38.14	-1.4E-01	rgb(187,199,222)	1.7428	None
LHX1	ACOX3	-0.4597	45.42	-4.2E-01	rgb(126,161,233)	1.8884	None
MEF2C	ACOX3	0.59018	47.69	0.688	rgb(225, 86, 87)	1.9338	None
EGR2	ACSM3	0.88811	50.73	0.733	rgb(225, 77, 78)	1.9946	None
EGR2	ACTA1	0.96932	50.87	0.868	rgb(227, 51, 53)	1.9974	None
MEF2C	ACTA1	0.66044	48.72	0.722	rgb(225, 79, 81)	1.9544	None
CEBPA	ACTA2	-0.77445	49.92	-9.2E-01	rgb( 18, 96,252)	1.9784	None
EGR2	ACTA2	0.82327	50.56	0.913	rgb(227, 43, 44)	1.9912	None
LHX1	ACTA2	0.5157	49.91	0.913	rgb(227, 43, 44)	1.9782	None
EGR2	ACTC1	0.94085	50.83	0.835	rgb(226, 58, 59)	1.9966	None
ESRRG	ACTC1	-0.5193	46.53	-5.3E-01	rgb(102,147,237)	1.9106	None
MEF2C	ACTC1	0.32252	42.58	0.58	rgb(223,106,107)	1.8316	None
EGR2	ACTG2	0.54228	48.1	0.784	rgb(226, 67, 69)	1.942	None
EGR2	ACVR1C	0.15796	48.12	0.122	rgb(218,194,194)	1.9424	None
CEBPA	ADAM8	-0.79644	50.39	-3.9E-01	rgb(132,165,232)	1.9878	None
EGR2	ADAMTS20	-0.8413	50.94	-9.4E-01	rgb( 14, 93,253)	1.9988	None
CEBPA	ADAMTS9	-0.29716	42.2	-2.0E-01	rgb(173,190,225)	1.824	None
