TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
SOX1	A1CF	-0.55701	47.32	-3.2E-01	rgb(148,175,229)	1.9264	None
IRX1	ABCB1	0.47227	49.82	0.822	rgb(226, 60, 62)	1.9764	None
OSR2	ABCB1	0.8508	50.65	0.646	rgb(224, 94, 95)	1.993	None
ETV1	ABCC8	0.18263	48.4	0.401	rgb(221,140,141)	1.948	None
OSR2	ABCC8	0.68507	49.24	0.243	rgb(220,171,171)	1.9648	None
SOX1	ABCC8	-0.083452	37.3	-3.0E-01	rgb(151,177,229)	1.726	None
ETV1	ABCG1	-0.083269	37.29	-2.9E-01	rgb(155,179,228)	1.7258	None
OSR2	ABCG1	-0.34594	43.2	-2.0E-01	rgb(174,191,224)	1.844	None
SOX1	ABCG1	0.82833	50.93	0.931	rgb(227, 39, 41)	1.9986	None
IRX1	ACSM3	-0.85509	50.95	-9.5E-01	rgb( 12, 92,253)	1.999	None
ETV1	ACTC1	0.89841	50.97	0.974	rgb(228, 31, 33)	1.9994	None
ETV1	ACTG2	-0.45014	49.76	-7.6E-01	rgb( 52,116,246)	1.9752	None
IRX1	ACTG2	-0.88631	50.72	-7.2E-01	rgb( 62,123,244)	1.9944	None
ETV1	ACTL6B	0.70328	50.8	0.797	rgb(226, 65, 66)	1.996	None
OSR2	ACTL6B	0.57405	47.55	0.552	rgb(223,112,113)	1.931	None
ETV1	ACVR1C	0.85509	50.95	0.95	rgb(227, 36, 37)	1.999	None
OSR2	ACVR1C	0.70925	49.55	0.552	rgb(223,112,113)	1.971	None
SOX1	ACVR1C	-0.10075	37.59	-5.9E-01	rgb( 88,139,240)	1.7318	None
ETV1	ADAM28	0.92054	50.98	0.978	rgb(228, 30, 32)	1.9996	None
IRX1	ADAMTS15	-0.79963	50.91	-9.1E-01	rgb( 20, 97,251)	1.9982	None
ETV1	ADAMTS17	-0.67081	48.81	-8.1E-01	rgb( 42,110,248)	1.9562	None
IRX1	ADAP1	-0.1691	39.33	-3.3E-01	rgb(145,173,230)	1.7666	None
IRX1	ADCYAP1	-0.13234	38.41	-4.1E-01	rgb(128,163,233)	1.7482	None
ETV1	ADCYAP1R1	-0.60187	47.81	-8.1E-01	rgb( 41,110,248)	1.9362	None
ETV1	ADRA2A	-0.29071	48.86	-8.6E-01	rgb( 31,104,249)	1.9572	None
OSR2	AK054990	0.68089	49.13	0.132	rgb(218,192,192)	1.9626	2,2
ETV1	AL117485	0.57874	47.59	0.587	rgb(223,105,106)	1.9318	2,2
IRX1	AL355711	0.25197	48.75	0.753	rgb(225, 73, 75)	1.955	2,2
SOX1	AL355711	-0.25959	41.35	-3.5E-01	rgb(142,171,230)	1.807	2,2
ETV1	ALDH1A1	0.92054	50.98	0.981	rgb(228, 30, 32)	1.9996	None
