TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
NKX2-8	ABLIM2	-0.87528	50.96	-9.6E-01	rgb(  9, 90,253)	1.9992	None
NKX2-8	ACO1	0.3735	49.32	0.319	rgb(221,156,157)	1.9664	None
NKX2-8	ACOT12	-0.38135	43.74	-7.4E-01	rgb( 56,119,245)	1.8548	None
NKX2-8	ACSM3	-0.45014	49.76	-7.6E-01	rgb( 51,116,246)	1.9752	None
MAFA	ACTA2	0.14415	47.37	0.579	rgb(223,106,108)	1.9274	None
MAFA	ACVR1C	-0.14257	47.97	-9.7E-01	rgb(  6, 89,254)	1.9394	None
NKX2-8	ACVR1C	0.55921	49.98	0.984	rgb(228, 29, 31)	1.9796	None
MAFA	ADAM28	-0.82833	50.93	-9.3E-01	rgb( 15, 94,252)	1.9986	None
MAFA	ADAMTS15	0.94964	50.99	0.989	rgb(228, 28, 30)	1.9998	None
MAFA	ADAMTS17	0.49954	49.88	0.878	rgb(227, 49, 51)	1.9776	None
MAFA	ADAMTS20	-0.98266	51	-1	rgb(  1, 85,255)	2	None
NKX2-8	ADAMTS9	-0.061939	36.6	-6.0E-01	rgb( 86,137,240)	1.712	None
MAFA	ADCY1	0.54535	49.96	0.963	rgb(228, 33, 35)	1.9792	None
MAFA	ADCYAP1R1	0.85509	50.95	0.946	rgb(227, 36, 38)	1.999	None
MAFA	ADH1A	-0.50401	48.5	-5.0E-01	rgb(107,150,236)	1.95	None
NKX2-8	ADH1A	-0.51974	46.54	-5.4E-01	rgb( 99,145,238)	1.9108	None
MAFA	ADH1B	-0.93799	50.82	-8.2E-01	rgb( 39,109,248)	1.9964	None
MAFA	ADRA2A	0.78761	50.9	0.897	rgb(227, 46, 47)	1.998	None
NKX2-8	ADRA2A	-0.68649	50.77	-7.7E-01	rgb( 49,115,246)	1.9954	None
NKX2-8	ADRA2B	0.5724	47.51	0.509	rgb(223,120,121)	1.9302	None
MAFA	AFAP1L2	-0.26333	48.79	-7.9E-01	rgb( 46,113,247)	1.9558	None
NKX2-8	AFAP1L2	0.23797	48.7	0.701	rgb(225, 83, 84)	1.954	None
NKX2-8	AFF3	-0.44959	45.29	-2.9E-01	rgb(155,179,228)	1.8858	None
NKX2-2	AFP	-0.075573	37.17	-1.7E-01	rgb(180,195,223)	1.7234	None
MAFA	AGAP2-AS1	0.25197	48.75	0.746	rgb(225, 75, 76)	1.955	None
MAFA	AGT	0.75609	50.87	0.872	rgb(227, 50, 52)	1.9974	None
NKX2-8	AGT	-0.94327	50.84	-8.4E-01	rgb( 34,106,249)	1.9968	None
MAFA	AGTR1	-0.025252	47.36	-3.6E-01	rgb(140,170,231)	1.9272	None
MAFA	AJ420422	-0.014697	47.24	-2.4E-01	rgb(164,185,226)	1.9248	2,2
NKX2-2	AJ420422	-0.30475	42.35	-3.5E-01	rgb(140,170,230)	1.827	2,2
MAFA	AK026392	0.02221	47.33	0.334	rgb(221,153,154)	1.9266	2,2
MAFA	AK054990	-0.02954	47.41	-4.1E-01	rgb(127,162,233)	1.9282	2,2
NKX2-8	AK054990	0.63368	50.62	0.615	rgb(224, 99,101)	1.9924	2,2
MAFA	AK094525	-0.29899	48.88	-8.8E-01	rgb( 26,101,250)	1.9576	2,2
MAFA	AK094611	0.42151	49.66	0.656	rgb(224, 92, 93)	1.9732	2,2
MAFA	AK094786	-0.67711	50.75	-7.5E-01	rgb( 55,119,245)	1.995	2,2
NKX2-8	AK096314	-0.02954	47.41	-4.1E-01	rgb(128,163,233)	1.9282	2,2
MAFA	AK097012	-0.014697	47.24	-2.4E-01	rgb(164,185,226)	1.9248	2,2
NKX2-2	AK097012	-0.30475	42.35	-3.5E-01	rgb(140,170,230)	1.827	2,2
MAFA	AK097288	0.048891	47.56	0.559	rgb(223,110,111)	1.9312	2,2
NKX2-8	AK124262	0.4376	49.72	0.717	rgb(225, 80, 82)	1.9744	2,2
NKX2-2	AK128833	-0.57097	47.48	-4.8E-01	rgb(113,154,235)	1.9296	2,2
NKX2-8	AK129672	0.82833	50.93	0.928	rgb(227, 40, 42)	1.9986	2,2
MAFA	AK129879	-0.45351	49.77	-7.7E-01	rgb( 50,115,246)	1.9754	2,2
MAFA	AK308605	0.077918	47.72	0.719	rgb(225, 80, 81)	1.9344	2,2
NKX2-2	AK308605	0.65758	48.71	0.71	rgb(225, 81, 83)	1.9542	2,2
NKX2-8	AK308944	0.074876	37.14	0.144	rgb(219,189,190)	1.7228	2,2
MAFA	AK316321	0.064101	47.65	0.646	rgb(224, 94, 95)	1.933	2,2
