TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
GFI1	A1CF	0.55921	49.98	0.982	rgb(228, 29, 31)	1.9796	None
EBF1	AB074188	0.013084	47.21	0.212	rgb(219,176,177)	1.9242	2,2
GFI1	AB074188	0.7971	50.4	0.395	rgb(221,141,142)	1.988	2,2
LMX1A	AB074188	-0.64083	48.57	-5.7E-01	rgb( 94,142,239)	1.9514	2,2
FOXJ1	ABCB1	0.67187	48.83	0.828	rgb(226, 59, 60)	1.9566	None
EBF3	ABCC8	0.21268	48.6	0.603	rgb(224,102,103)	1.952	None
FOXJ1	ABCC8	0.39355	44.17	0.174	rgb(219,184,184)	1.8634	None
LMX1A	ABCC8	-0.62309	48.39	-3.9E-01	rgb(132,165,232)	1.9478	None
FOXJ1	ABCG1	0.96932	50.87	0.87	rgb(227, 51, 53)	1.9974	None
GFI1	ABCG1	0.85281	50.66	0.657	rgb(224, 92, 93)	1.9932	None
LMX1A	ABCG1	0.63368	50.62	0.616	rgb(224, 99,101)	1.9924	None
EBF1	ABLIM2	0.27385	48.82	0.821	rgb(226, 60, 62)	1.9564	None
LMX1A	ABLIM2	-0.39502	49.51	-5.1E-01	rgb(106,149,236)	1.9702	None
LMX1A	ACADL	-0.4862	49.85	-8.5E-01	rgb( 32,105,249)	1.977	None
LMX1A	ACO1	0.03621	36.21	0.205	rgb(219,178,178)	1.7042	None
LMX1A	ACTA1	-0.58171	50.09	-8.5E-02	rgb(199,206,220)	1.9818	None
GFI1	ACTL6B	0.94327	50.84	0.841	rgb(226, 56, 58)	1.9968	None
LMX1A	ACTL6B	0.11856	47.3	0.301	rgb(220,160,160)	1.926	None
GFI1	ADAM12	0.79963	50.91	0.911	rgb(227, 43, 45)	1.9982	None
LMX1A	ADAM28	-0.36811	49.25	-2.5E-01	rgb(162,184,227)	1.965	None
EBF1	ADAM8	-0.011618	47.19	-1.9E-01	rgb(175,191,224)	1.9238	None
EBF3	ADAMTS12	-0.092322	47.79	-7.9E-01	rgb( 45,112,247)	1.9358	None
LMX1A	ADAMTS12	0.71746	50.82	0.822	rgb(226, 60, 62)	1.9964	None
GFI1	ADAMTS15	-0.071614	47.69	-6.9E-01	rgb( 68,126,243)	1.9338	None
GFI1	ADAMTS17	-0.59699	50.37	-3.7E-01	rgb(136,168,231)	1.9874	None
GFI1	ADAMTS9	-0.81187	50.92	-9.2E-01	rgb( 18, 96,252)	1.9984	None
EBF3	ADAMTSL1	0.78761	50.9	0.901	rgb(227, 45, 47)	1.998	None
FOXJ1	ADAMTSL1	0.52945	46.64	0.642	rgb(224, 94, 96)	1.9128	None
GFI1	ADAMTSL1	0.45248	47.44	0.436	rgb(222,134,135)	1.9288	None
EBF3	ADCY1	0.18626	39.58	0.575	rgb(223,107,108)	1.7716	None
GFI1	ADCYAP1R1	-0.81187	50.92	-9.2E-01	rgb( 17, 95,252)	1.9984	None
GFI1	ADH1B	0.4376	49.72	0.717	rgb(225, 80, 82)	1.9744	None
GFI1	AF116693	-0.17112	48.3	-3.0E-01	rgb(153,178,228)	1.946	2,2
EBF1	AFAP1L2	0.89536	50.76	0.834	rgb(226, 58, 59)	1.9952	None
EBF3	AFAP1L2	0.82107	50.54	0.538	rgb(223,114,115)	1.9908	None
EBF1	AFF3	-0.13861	38.51	-5.1E-01	rgb(107,150,236)	1.7502	None
FOXJ1	AFF3	0.73777	49.7	0.696	rgb(225, 84, 85)	1.974	None
GFI1	AFF3	-0.49492	49.87	-8.7E-01	rgb( 27,102,250)	1.9774	None
LMX1A	AFP	0.35877	49.09	0.089	rgb(218,200,200)	1.9618	None
LMX1A	AGAP2-AS1	0.11831	47.66	0.662	rgb(224, 91, 92)	1.9332	None
FOXJ1	AGT	-0.59813	47.77	-7.7E-01	rgb( 50,115,246)	1.9354	None
GFI1	AHR	0.69826	50.79	0.786	rgb(226, 67, 69)	1.9958	None
GFI1	AK022787	0.59223	50.3	0.303	rgb(220,159,160)	1.986	2,2
LMX1A	AK026392	-0.70925	49.55	-5.5E-01	rgb( 99,145,238)	1.971	2,2
GFI1	AK026777	0.44398	49.74	0.744	rgb(225, 75, 76)	1.9748	2,2
EBF1	AK055386	0.76467	50.88	0.882	rgb(227, 48, 50)	1.9976	2,2
EBF3	AK055386	0.73879	50.85	0.845	rgb(226, 56, 57)	1.997	2,2
GFI1	AK055386	0.97544	50.89	0.89	rgb(227, 47, 49)	1.9978	2,2
FOXJ1	AK056625	-0.26909	41.48	-4.8E-01	rgb(113,153,235)	1.8096	2,2
LMX1A	AK056625	-0.69196	50.78	-7.8E-01	rgb( 48,114,247)	1.9956	2,2
GFI1	AK092048	0.38178	49.41	0.407	rgb(221,139,140)	1.9682	2,2
EBF3	AK094525	0.27279	41.54	0.541	rgb(223,114,115)	1.8108	2,2
GFI1	AK094611	0.21008	48.59	0.588	rgb(223,105,106)	1.9518	2,2
GFI1	AK095045	0.22001	48.63	0.627	rgb(224, 97, 99)	1.9526	2,2
GFI1	AK096159	0.79963	50.91	0.906	rgb(227, 44, 46)	1.9982	2,2
EBF1	AK097288	0.76467	50.88	0.876	rgb(227, 50, 51)	1.9976	2,2
GFI1	AK097288	-0.78761	50.9	-9.0E-01	rgb( 23, 99,251)	1.998	2,2
GFI1	AK126278	-0.16056	48.15	-1.5E-01	rgb(183,197,223)	1.943	2,2
GFI1	AK127270	0.75609	50.87	0.866	rgb(227, 52, 53)	1.9974	2,2
EBF3	AK127555	0.7101	50.81	0.806	rgb(226, 63, 65)	1.9962	2,2
EBF1	AK128833	0.084185	47.75	0.749	rgb(225, 74, 76)	1.935	2,2
GFI1	AK129672	0.61854	50.55	0.552	rgb(223,112,113)	1.991	2,2
GFI1	AK131337	0.47227	49.82	0.821	rgb(226, 60, 62)	1.9764	2,2
GFI1	AK308605	0.58435	50.16	0.156	rgb(219,187,188)	1.9832	2,2
EBF3	AK308944	0.38047	49.4	0.404	rgb(221,140,141)	1.968	2,2
GFI1	AK309255	0.7319	50.84	0.837	rgb(226, 57, 59)	1.9968	2,2
