TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
IRX1	ABCB1	0.47227	49.82	0.822	rgb(226, 60, 62)	1.9764	None
OSR2	ABCB1	0.8508	50.65	0.646	rgb(224, 94, 95)	1.993	None
ETV1	ABCC8	0.18263	48.4	0.401	rgb(221,140,141)	1.948	None
OSR2	ABCC8	0.68507	49.24	0.243	rgb(220,171,171)	1.9648	None
SOX1	ABCC8	-0.083452	37.3	-3.0E-01	rgb(151,177,229)	1.726	None
ETV1	ABCG1	-0.083269	37.29	-2.9E-01	rgb(155,179,228)	1.7258	None
OSR2	ABCG1	-0.34594	43.2	-2.0E-01	rgb(174,191,224)	1.844	None
SOX1	ABCG1	0.82833	50.93	0.931	rgb(227, 39, 41)	1.9986	None
ETV1	ACTG2	-0.45014	49.76	-7.6E-01	rgb( 52,116,246)	1.9752	None
IRX1	ACTG2	-0.88631	50.72	-7.2E-01	rgb( 62,123,244)	1.9944	None
ETV1	ACTL6B	0.70328	50.8	0.797	rgb(226, 65, 66)	1.996	None
OSR2	ACTL6B	0.57405	47.55	0.552	rgb(223,112,113)	1.931	None
ETV1	ACVR1C	0.85509	50.95	0.95	rgb(227, 36, 37)	1.999	None
OSR2	ACVR1C	0.70925	49.55	0.552	rgb(223,112,113)	1.971	None
SOX1	ACVR1C	-0.10075	37.59	-5.9E-01	rgb( 88,139,240)	1.7318	None
IRX1	AL355711	0.25197	48.75	0.753	rgb(225, 73, 75)	1.955	2,2
SOX1	AL355711	-0.25959	41.35	-3.5E-01	rgb(142,171,230)	1.807	2,2
ETV1	ANGPTL2	0.37805	43.68	0.678	rgb(224, 87, 89)	1.8536	None
IRX1	ANGPTL2	-0.4681	49.81	-8.1E-01	rgb( 41,110,248)	1.9762	None
ETV1	ANK2	-0.36778	43.56	-5.6E-01	rgb( 95,143,238)	1.8512	None
OSR2	ANK2	0.79513	50.36	0.364	rgb(221,147,148)	1.9872	None
ETV1	ANKRD50	-0.21668	48.62	-6.2E-01	rgb( 83,135,241)	1.9524	None
SOX1	ANKRD50	0.99692	50.95	0.951	rgb(227, 35, 37)	1.999	None
ETV1	ANXA1	-0.5768	47.57	-5.7E-01	rgb( 94,142,238)	1.9314	None
IRX1	ANXA1	0.012791	35.47	0.469	rgb(222,127,128)	1.6894	None
ETV1	AP3B2	0.16353	48.21	0.206	rgb(219,178,178)	1.9442	None
IRX1	AP3B2	-0.0040315	47.07	-7.3E-02	rgb(201,207,220)	1.9214	None
OSR2	AP3B2	0.73777	49.7	0.7	rgb(225, 83, 85)	1.974	None
SOX1	AP3B2	-0.77354	49.9	-9.0E-01	rgb( 21, 98,251)	1.978	None
IRX1	APLP1	0.607	50.47	0.469	rgb(222,127,128)	1.9894	None
OSR2	APLP1	0.79447	50.35	0.349	rgb(221,150,151)	1.987	None
SOX1	APLP1	-0.94678	50.85	-8.5E-01	rgb( 32,104,249)	1.997	None
ETV1	ARX	0.66579	50.72	0.722	rgb(225, 79, 80)	1.9944	None
OSR2	ARX	0.99329	50.93	0.928	rgb(227, 40, 42)	1.9986	None
ETV1	ASCL1	0.18688	48.44	0.439	rgb(222,133,134)	1.9488	None
OSR2	ASCL1	0.79868	50.43	0.431	rgb(222,135,135)	1.9886	None
SOX1	ASCL1	-0.65369	48.68	-6.8E-01	rgb( 69,127,243)	1.9536	None
IRX1	ASPHD1	0.31446	42.49	0.494	rgb(222,123,124)	1.8298	None
SOX1	ASPHD1	-0.45325	45.35	-3.5E-01	rgb(140,170,230)	1.887	None
