TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
FLI1	ADCYAP1	-0.039949	47.5	-5.0E-01	rgb(109,151,236)	1.93	None
HOXB2	ADCYAP1	-0.65758	48.71	-7.1E-01	rgb( 63,123,244)	1.9542	None
RXRG	ADCYAP1	-0.25783	48.77	-7.7E-01	rgb( 50,115,246)	1.9554	None
FLI1	ADRA2A	-0.16056	48.15	-1.5E-01	rgb(183,197,223)	1.943	None
NR4A2	ADRA2A	0.82448	50.57	0.572	rgb(223,108,109)	1.9914	None
RXRG	ADRA2A	-0.70328	50.8	-8.0E-01	rgb( 43,111,247)	1.996	None
FLI1	AGT	0.65758	48.71	0.705	rgb(225, 82, 84)	1.9542	None
NR4A2	AGT	0.87293	50.71	0.948	rgb(227, 36, 38)	1.9942	None
RXRG	AGT	0.3149	48.92	0.917	rgb(227, 42, 44)	1.9584	None
FLI1	ALPP	0.22672	48.66	0.665	rgb(224, 90, 91)	1.9532	None
HOXB2	ALPP	0.74627	49.74	0.739	rgb(225, 76, 77)	1.9748	None
RXRG	ALPP	0.69196	50.78	0.778	rgb(226, 68, 70)	1.9956	None
FLI1	ALX1	0.43438	49.71	0.711	rgb(225, 81, 83)	1.9742	None
HOXB2	ALX1	0.65369	48.68	0.678	rgb(224, 88, 89)	1.9536	None
RXRG	ALX1	0.34198	48.98	0.984	rgb(228, 29, 31)	1.9596	None
FLI1	AMER2	0.62379	50.57	0.574	rgb(223,107,109)	1.9914	None
HOXB2	AMER2	0.67711	50.75	0.752	rgb(225, 73, 75)	1.995	None
RXRG	AMER2	-0.98036	50.91	-9.1E-01	rgb( 20, 97,252)	1.9982	None
FLI1	ANKRD18A	0.92054	50.98	0.983	rgb(228, 29, 31)	1.9996	None
NR4A2	ANKRD18A	0.32172	42.56	0.559	rgb(223,110,111)	1.8312	None
RXRG	ANKRD18A	-0.30108	42.28	-2.8E-01	rgb(157,180,228)	1.8256	None
HOXB2	ANXA9	-0.14957	38.68	-6.8E-01	rgb( 69,127,243)	1.7536	None
NR4A2	ANXA9	0.85509	50.95	0.952	rgb(227, 35, 37)	1.999	None
RXRG	ANXA9	-0.92054	50.98	-9.8E-01	rgb(  4, 87,254)	1.9996	None
FLI1	APOC3	-0.054279	47.59	-5.9E-01	rgb( 89,139,239)	1.9318	None
HOXB2	APOC3	-0.72784	49.64	-6.4E-01	rgb( 78,132,241)	1.9728	None
NR4A2	APOC3	-0.4862	49.85	-8.5E-01	rgb( 32,104,249)	1.977	None
FLI1	AREG	0.94964	50.99	0.989	rgb(228, 28, 30)	1.9998	None
HOXB2	AREG	0.14484	47.98	0.978	rgb(228, 30, 32)	1.9396	None
NR4A2	AREG	0.58527	50.18	0.182	rgb(219,182,183)	1.9836	None
FLI1	ATP10D	0.20693	48.57	0.57	rgb(223,108,109)	1.9514	None
NR4A2	ATP10D	0.19021	48.47	0.466	rgb(222,128,129)	1.9494	None
RXRG	ATP10D	-0.17658	48.35	-3.5E-01	rgb(141,171,230)	1.947	None
FLI1	BCAN	-0.010885	47.18	-1.8E-01	rgb(179,194,224)	1.9236	None
HOXB2	BCAN	0.41143	44.45	0.447	rgb(222,132,133)	1.869	None
RXRG	BCAN	0.34759	48.99	0.992	rgb(228, 28, 30)	1.9598	None
