TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
EGR3	ACTG2	0.67686	48.9	0.901	rgb(227, 45, 47)	1.958	None
NEUROG3	ACTG2	-0.74818	50.86	-8.6E-01	rgb( 31,104,250)	1.9972	None
GATA2	ADAM12	-0.48935	45.78	-7.8E-01	rgb( 49,115,246)	1.8956	None
HOXD4	ADAM12	-0.10522	37.69	-6.9E-01	rgb( 68,126,243)	1.7338	None
NEUROG3	ADAM12	0.59271	47.71	0.709	rgb(225, 82, 83)	1.9342	None
GATA2	ADAMTS12	-0.044603	47.53	-5.3E-01	rgb(102,147,237)	1.9306	None
LHX8	ADAMTS12	0.47653	49.83	0.826	rgb(226, 59, 61)	1.9766	None
GATA2	ADAMTS17	0.086128	47.76	0.76	rgb(225, 72, 73)	1.9352	None
HOXD4	ADAMTS17	0.87528	50.96	0.958	rgb(228, 34, 36)	1.9992	None
EGR1	ADCY9	-0.26923	41.49	-4.9E-01	rgb(110,152,236)	1.8098	None
GATA2	ADCY9	-0.0068902	35.38	-3.8E-01	rgb(134,166,232)	1.6876	None
NEUROG3	ADCY9	0.83837	50.62	0.62	rgb(224, 99,100)	1.9924	None
EGR3	ADCYAP1R1	-0.75331	49.77	-7.7E-01	rgb( 51,116,246)	1.9754	None
HOXD4	ADCYAP1R1	0.69196	50.78	0.776	rgb(226, 69, 70)	1.9956	None
GATA2	AGT	-0.55624	47.28	-2.8E-01	rgb(157,180,228)	1.9256	None
NEUROG3	AGT	0.21268	48.6	0.596	rgb(224,103,104)	1.952	None
LHX8	AHNAK	0.89298	50.75	0.749	rgb(225, 74, 75)	1.995	None
NEUROG3	AHNAK	-0.79513	50.36	-3.6E-01	rgb(138,169,231)	1.9872	None
EGR3	AK094963	-0.023273	35.66	-6.6E-01	rgb( 74,130,242)	1.6932	2,2
HOXD4	AK094963	-0.1473	38.63	-6.3E-01	rgb( 81,134,241)	1.7526	2,2
NEUROG3	AK094963	-0.15576	39.04	-3.6E-02	rgb(209,212,218)	1.7608	2,2
HOXD4	AK125288	0.19337	48.49	0.493	rgb(222,123,124)	1.9498	2,2
LHX8	AK125288	-0.50453	49.89	-8.9E-01	rgb( 25,100,251)	1.9778	2,2
HOXD4	AK308944	0.0061939	35.37	0.37	rgb(221,146,147)	1.6874	2,2
NEUROG3	AK308944	-0.36529	49.2	-2.0E-01	rgb(173,191,225)	1.964	2,2
EGR3	AL117485	-0.87293	50.71	-7.1E-01	rgb( 64,124,244)	1.9942	2,2
GATA2	AL117485	-0.031409	36.1	-1.0E-01	rgb(195,203,221)	1.702	2,2
