TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
ELF5	A1CF	-0.14374	38.57	-5.7E-01	rgb( 93,142,239)	1.7514	None
TFCP2L1	AB074166	-0.61539	48.27	-2.7E-01	rgb(159,182,227)	1.9454	2,2
PAX6	ABCC8	0.74818	50.86	0.858	rgb(226, 53, 55)	1.9972	None
TFCP2L1	ABCC8	0.45223	45.32	0.32	rgb(221,156,156)	1.8864	None
ELF5	ABCG1	0.0032985	47.06	0.06	rgb(218,206,206)	1.9212	None
TFCP2L1	ABCG1	0.043834	36.33	0.329	rgb(221,154,155)	1.7066	None
TFCP2L1	ABLIM2	0.35151	43.32	0.318	rgb(221,156,157)	1.8464	None
TFCP2L1	ACO1	-0.073117	37.1	-9.9E-02	rgb(195,204,221)	1.722	None
TFCP2L1	ACOT12	-0.43977	44.83	-8.3E-01	rgb( 38,108,248)	1.8766	None
PAX6	ACTG2	-0.76467	50.88	-8.8E-01	rgb( 27,101,250)	1.9976	None
TFCP2L1	ACTG2	0.2262	46.19	0.539	rgb(223,114,115)	1.9038	None
ELF5	ACTL6B	-0.23068	40.58	-5.8E-01	rgb( 90,140,239)	1.7916	None
ELF3	ACVR1C	-0.59751	47.76	-7.6E-01	rgb( 51,116,246)	1.9352	None
ELF3	ADAM28	0.76287	49.83	0.831	rgb(226, 58, 60)	1.9766	None
ELF5	ADAM8	-0.35052	43.28	-2.8E-01	rgb(156,180,228)	1.8456	None
TFCP2L1	ADAMTS12	-0.68488	49.22	-2.2E-01	rgb(168,187,226)	1.9644	None
ELF3	ADAMTS15	0.89841	50.97	0.97	rgb(228, 32, 34)	1.9994	None
PAX6	ADAMTS15	-0.13649	47.95	-9.5E-01	rgb( 10, 91,253)	1.939	None
ELF3	ADAMTS17	-0.83647	50.61	-6.1E-01	rgb( 85,137,240)	1.9922	None
TFCP2L1	ADAMTSL1	0.8508	50.65	0.654	rgb(224, 92, 93)	1.993	None
ELF5	ADAP1	0.61576	50.53	0.53	rgb(223,116,117)	1.9906	None
ELF3	ADCK3	-0.32216	42.57	-5.7E-01	rgb( 94,142,239)	1.8314	2,2
ELF3	ADCYAP1	-0.35235	43.36	-3.6E-01	rgb(138,169,231)	1.8472	None
TFCP2L1	ADCYAP1	0.78725	50.31	0.314	rgb(220,157,158)	1.9862	None
PAX6	AF116693	-0.15071	38.69	-6.9E-01	rgb( 66,125,243)	1.7538	2,2
ELF3	AGAP2-AS1	-0.93799	50.82	-8.2E-01	rgb( 40,109,248)	1.9964	None
TFCP2L1	AHNAK	-0.10313	37.64	-6.4E-01	rgb( 79,133,241)	1.7328	None
ELF5	AHR	-0.48118	49.84	-8.4E-01	rgb( 34,106,249)	1.9768	None
TFCP2L1	AK055386	0.36936	43.58	0.583	rgb(223,106,107)	1.8516	2,2
ELF5	AK094611	-0.76467	50.88	-8.8E-01	rgb( 25,100,251)	1.9976	2,2
PAX6	AK127270	-0.40033	44.31	-3.1E-01	rgb(150,176,229)	1.8662	2,2
TFCP2L1	AK127555	0.73561	49.68	0.681	rgb(224, 87, 88)	1.9736	2,2
TFCP2L1	AK130759	0.80733	50.46	0.458	rgb(222,130,130)	1.9892	2,2
PAX6	AL049415	0.45223	45.32	0.318	rgb(220,156,157)	1.8864	2,2
ELF3	AL355711	-0.91021	50.77	-7.7E-01	rgb( 51,116,246)	1.9954	2,2
ELF5	ALDH1A1	-0.7101	50.81	-8.1E-01	rgb( 41,110,248)	1.9962	None
PAX6	ALDH3A2	0.33344	42.76	0.759	rgb(225, 72, 74)	1.8352	None
TFCP2L1	ALDH3A2	0.39699	44.25	0.251	rgb(220,169,170)	1.865	None
ELF5	ALK	-0.77526	50.89	-8.9E-01	rgb( 25,100,251)	1.9978	None
ELF3	ALX1	0.74627	49.74	0.736	rgb(225, 76, 78)	1.9748	None
TFCP2L1	ALX1	-0.87293	50.71	-7.1E-01	rgb( 63,124,244)	1.9942	None
ELF3	AMER2	-0.70251	49.5	-5.0E-01	rgb(109,151,236)	1.97	None
ELF5	AMER2	-0.54484	46.89	-8.9E-01	rgb( 24,100,251)	1.9178	None
TFCP2L1	AMER2	0.86648	50.68	0.684	rgb(225, 86, 88)	1.9936	None
PAX6	AMPH	0.17445	39.4	0.405	rgb(221,140,140)	1.768	None
ELF5	ANG	0.70925	49.55	0.552	rgb(223,111,113)	1.971	None
TFCP2L1	ANG	-0.76991	49.85	-8.5E-01	rgb( 33,105,249)	1.977	None
ELF3	ANK1	-0.98036	50.91	-9.1E-01	rgb( 20, 97,251)	1.9982	None
ELF3	ANK2	-0.57328	47.53	-5.3E-01	rgb(103,148,237)	1.9306	None
ELF5	ANKRD18A	-0.94964	50.99	-9.9E-01	rgb(  3, 87,254)	1.9998	None
ELF5	ANKRD20A8P	-0.89841	50.97	-9.7E-01	rgb(  6, 89,254)	1.9994	None
ELF3	ANKRD29	0.42107	44.58	0.58	rgb(223,106,107)	1.8716	None
TFCP2L1	ANKRD29	-0.79644	50.39	-3.9E-01	rgb(133,166,232)	1.9878	None
ELF5	ANKRD36C	-0.7319	50.84	-8.4E-01	rgb( 35,106,249)	1.9968	None
PAX6	ANKRD36C	-0.59579	47.74	-7.4E-01	rgb( 56,119,245)	1.9348	None
ELF5	ANKRD37	-0.21008	48.59	-5.9E-01	rgb( 89,139,239)	1.9518	None
PAX6	ANKRD65	0.023639	47.34	0.341	rgb(221,152,153)	1.9268	None
ELF3	ANKS1A	-0.89841	50.97	-9.7E-01	rgb(  7, 89,254)	1.9994	None
TFCP2L1	ANKS1A	0.69826	50.79	0.794	rgb(226, 65, 67)	1.9958	None
ELF5	ANO9	-0.73678	49.69	-6.9E-01	rgb( 67,126,243)	1.9738	None
ELF3	ANXA9	-0.49115	45.85	-8.5E-01	rgb( 34,105,249)	1.897	None
ELF5	ANXA9	0.60224	50.42	0.416	rgb(222,138,138)	1.9884	None
ELF3	APLP1	-0.58215	47.62	-6.2E-01	rgb( 82,135,241)	1.9324	None
TFCP2L1	APLP1	0.82225	50.55	0.548	rgb(223,112,113)	1.991	None
TFCP2L1	APOC3	0.70196	49.49	0.485	rgb(222,124,125)	1.9698	None
ELF5	APOH	0.77526	50.89	0.886	rgb(227, 48, 49)	1.9978	None
ELF3	AQP3	0.039949	47.5	0.498	rgb(222,122,123)	1.93	None
PAX6	AQP3	0.19927	40.08	0.077	rgb(218,202,202)	1.7816	None
TFCP2L1	AREG	-0.91277	50.78	-9.8E-01	rgb(  4, 87,254)	1.9956	None
ELF3	ARHGAP24	0.76049	49.8	0.797	rgb(226, 65, 66)	1.976	None
ELF5	ARHGAP24	-0.34077	43.05	-4.5E-02	rgb(207,211,219)	1.841	None
TFCP2L1	ARHGAP24	-0.11237	38.02	-2.2E-02	rgb(212,214,218)	1.7404	None
ELF3	ARHGEF19	-0.67253	48.84	-8.4E-01	rgb( 35,106,249)	1.9568	None
PAX6	ARHGEF28	0.64427	48.6	0.605	rgb(224,102,103)	1.952	None
TFCP2L1	ARHGEF6	0.11358	38.08	0.079	rgb(218,202,202)	1.7416	None
ELF5	ARL4A	0.82833	50.93	0.925	rgb(227, 40, 42)	1.9986	None
PAX6	ARL4A	0.19153	39.7	0.698	rgb(225, 84, 85)	1.774	None
TFCP2L1	ARL4A	0.94327	50.84	0.843	rgb(226, 56, 58)	1.9968	None
ELF5	ARMC3	-0.92054	50.98	-9.8E-01	rgb(  4, 87,254)	1.9996	None
TFCP2L1	ARNTL	0.53102	46.67	0.665	rgb(224, 90, 91)	1.9134	None
ELF3	ARRDC4	-0.22305	40.49	-4.9E-01	rgb(112,153,235)	1.7898	None
ELF5	ASPHD1	0.66579	50.72	0.722	rgb(225, 79, 80)	1.9944	None
TFCP2L1	ASPHD1	0.1831	39.53	0.525	rgb(223,117,118)	1.7706	None
