TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
MSX2	A1CF	0.94085	50.83	0.826	rgb(226, 59, 61)	1.9966	None
MSX2	ABCB1	0.79513	50.36	0.355	rgb(221,149,150)	1.9872	None
ESRRB	ABCC8	0.61411	50.52	0.521	rgb(223,117,119)	1.9904	None
GATA3	ABCC8	-0.03031	47.42	-4.2E-01	rgb(127,162,233)	1.9284	None
MSX2	ABCC8	0.89298	50.75	0.754	rgb(225, 73, 75)	1.995	None
GATA3	ACTA2	-0.14645	42	-6.0E-01	rgb( 86,137,240)	1.82	None
ESRRB	ACTC1	-0.46	46.62	-6.2E-01	rgb( 82,135,241)	1.9124	None
ESRRB	ACTL6B	0.78761	50.9	0.904	rgb(227, 44, 46)	1.998	None
MSX2	ACVR1C	0.70782	49.53	0.525	rgb(223,117,118)	1.9706	None
ESRRB	ADAM8	0.40319	49.57	0.568	rgb(223,108,110)	1.9714	None
ESRRB	ADAMTS15	-0.27059	48.81	-8.1E-01	rgb( 41,110,248)	1.9562	None
GATA3	ADAMTS15	-0.42609	44.64	-6.4E-01	rgb( 77,132,241)	1.8728	None
MSX2	ADAMTSL1	0.072787	37.08	0.081	rgb(218,202,202)	1.7216	None
ESRRB	ADCK3	0.37926	49.39	0.388	rgb(221,143,144)	1.9678	2,2
ESRRB	ADCY1	0.71746	50.82	0.82	rgb(226, 60, 62)	1.9964	None
MSX2	ADCY1	0.15386	48.05	0.053	rgb(218,207,207)	1.941	None
MSX2	ADCY9	0.50812	46.41	0.411	rgb(222,139,139)	1.9082	None
ESRRB	AFAP1L2	0.7319	50.84	0.845	rgb(226, 56, 57)	1.9968	None
ESRRB	AFF3	-0.38178	49.41	-4.1E-01	rgb(129,163,232)	1.9682	None
GATA3	AHNAK	0.72421	50.83	0.835	rgb(226, 58, 59)	1.9966	None
MSX2	AJ420489	-0.94327	50.84	-8.4E-01	rgb( 35,106,249)	1.9968	2,2
MSX2	AK128833	0.57097	47.48	0.482	rgb(222,125,126)	1.9296	2,2
ESRRB	AK130076	0.45736	45.41	0.407	rgb(221,139,140)	1.8882	2,2
ESRRB	AK130759	0.63658	50.63	0.628	rgb(224, 97, 98)	1.9926	2,2
MSX2	AK130759	0.12439	38.29	0.288	rgb(220,162,162)	1.7458	2,2
ESRRB	ALDH1A3	-0.53623	46.72	-7.2E-01	rgb( 61,122,244)	1.9144	None
MSX2	ALDH3A2	0.49027	45.81	0.807	rgb(226, 63, 64)	1.8962	None
MSX2	ALOX5	0.35532	43.41	0.406	rgb(221,139,140)	1.8482	None
MSX2	ALPK2	-0.33168	42.69	-6.9E-01	rgb( 68,126,243)	1.8338	None
MSX2	ALX4	-0.38263	43.75	-7.5E-01	rgb( 54,118,246)	1.855	None
GATA3	AMBP	0.15224	48.03	0.032	rgb(217,211,211)	1.9406	None
MSX2	AMIGO2	0.040902	36.28	0.283	rgb(220,163,164)	1.7056	None
MSX2	AMPH	-0.40803	49.6	-6.0E-01	rgb( 86,138,240)	1.972	None
ESRRB	ANGPTL2	0.43174	44.7	0.698	rgb(225, 84, 85)	1.874	None
MSX2	ANGPTL4	0.89045	50.74	0.741	rgb(225, 75, 77)	1.9948	None
ESRRB	ANK1	0.27887	48.83	0.834	rgb(226, 58, 59)	1.9566	None
ESRRB	ANKRD18A	-0.36463	49.19	-1.9E-01	rgb(177,192,224)	1.9638	None
MSX2	ANKRD18A	-0.64834	48.64	-6.4E-01	rgb( 77,132,241)	1.9528	None
ESRRB	ANKRD36C	0.31801	42.53	0.529	rgb(223,116,117)	1.8306	None
ESRRB	ANKRD65	0.89841	50.97	0.97	rgb(228, 32, 34)	1.9994	None
ESRRB	ANO3	0.21459	48.61	0.611	rgb(224,100,102)	1.9522	None
MSX2	ANXA1	0.72864	49.65	0.65	rgb(224, 93, 94)	1.973	None
ESRRB	ANXA13	0.92054	50.98	0.983	rgb(228, 29, 31)	1.9996	None
MSX2	ANXA13	-0.46139	49.79	-7.9E-01	rgb( 46,113,247)	1.9758	None
ESRRB	ANXA9	0.63907	50.64	0.638	rgb(224, 95, 96)	1.9928	None
MSX2	ANXA9	0.88631	50.72	0.725	rgb(225, 79, 80)	1.9944	None
ESRRB	AP3B2	0.76467	50.88	0.875	rgb(227, 50, 52)	1.9976	None
ESRRB	APBA1	0.37262	49.31	0.315	rgb(220,157,158)	1.9662	None
MSX2	APLP1	0.2619	41.38	0.38	rgb(221,144,145)	1.8076	None
ESRRB	APOC3	0.52172	49.92	0.915	rgb(227, 42, 44)	1.9784	None
GATA3	AREG	-0.14257	47.97	-9.7E-01	rgb(  6, 88,254)	1.9394	None
MSX2	AREG	0.14484	47.98	0.976	rgb(228, 31, 32)	1.9396	None
GATA3	ARHGAP9	-0.39373	49.5	-5.0E-01	rgb(107,150,236)	1.97	None
ESRRB	ARHGEF4	0.85509	50.95	0.949	rgb(227, 36, 38)	1.999	None
ESRRB	ARHGEF6	0.062672	47.64	0.637	rgb(224, 95, 97)	1.9328	None
ESRRB	ARID5A	-0.53835	49.95	-9.5E-01	rgb( 11, 92,253)	1.979	None
MSX2	ARL6	0.91552	50.79	0.794	rgb(226, 65, 67)	1.9958	None
ESRRB	ARNTL	-0.40418	44.37	-3.7E-01	rgb(136,168,231)	1.8674	None
MSX2	ARRDC4	0.82327	50.56	0.558	rgb(223,110,111)	1.9912	None
GATA3	ASIC4	-0.89841	50.97	-9.7E-01	rgb(  6, 88,254)	1.9994	None
MSX2	ASPHD1	0.55749	47.33	0.33	rgb(221,154,155)	1.9266	None
ESRRB	ATCAY	0.94964	50.99	0.988	rgb(228, 28, 30)	1.9998	None
MSX2	ATCAY	0.33722	42.88	0.88	rgb(227, 49, 51)	1.8376	None
ESRRB	ATOH7	0.94678	50.85	0.847	rgb(226, 55, 57)	1.997	None
MSX2	ATP10D	0.44929	45.28	0.281	rgb(220,163,164)	1.8856	None
ESRRB	ATP1A3	0.75609	50.87	0.873	rgb(227, 50, 52)	1.9974	None
MSX2	ATP1A3	0.17566	39.43	0.433	rgb(222,134,135)	1.7686	None
ESRRB	ATP1B2	0.64222	50.65	0.654	rgb(224, 92, 93)	1.993	None
GATA3	ATP2B2	-0.33747	48.97	-9.7E-01	rgb(  7, 89,254)	1.9594	None
MSX2	ATP2B2	0.79773	50.41	0.41	rgb(222,139,140)	1.9882	None
MSX2	ATP2C2	0.43174	44.7	0.698	rgb(225, 84, 85)	1.874	None
MSX2	ATP8A1	-0.71746	50.82	-8.2E-01	rgb( 38,108,248)	1.9964	None
ESRRB	AX747164	-0.29071	48.86	-8.6E-01	rgb( 31,104,250)	1.9572	2,2
ESRRB	B2M	0.53245	49.94	0.936	rgb(227, 38, 40)	1.9788	None
GATA3	B2M	-0.44669	49.75	-7.5E-01	rgb( 54,118,246)	1.975	None
MSX2	B2M	0.94085	50.83	0.827	rgb(226, 59, 61)	1.9966	None
GATA3	BAALC	-0.7319	50.84	-8.4E-01	rgb( 34,106,249)	1.9968	None
MSX2	BAALC	-0.48118	49.84	-8.4E-01	rgb( 35,106,249)	1.9768	None
GATA3	BACH2	0.7319	50.84	0.843	rgb(226, 56, 58)	1.9968	None
GATA3	BAIAP2L2	0.36668	43.55	0.548	rgb(223,112,113)	1.851	None
ESRRB	BC033961	0.69826	50.79	0.795	rgb(226, 65, 67)	1.9958	2,2
ESRRB	BCAT1	-0.015283	47.25	-2.5E-01	rgb(163,184,227)	1.925	None
ESRRB	BCL6	0.47653	49.83	0.826	rgb(226, 59, 61)	1.9766	None
MSX2	BCL6	0.88811	50.73	0.729	rgb(225, 78, 79)	1.9946	None
GATA3	BCRP3	-0.3735	49.32	-3.2E-01	rgb(148,175,229)	1.9664	None
ESRRB	BDKRB2	0.78761	50.9	0.905	rgb(227, 44, 46)	1.998	None
MSX2	BDKRB2	0.35532	43.41	0.41	rgb(222,139,140)	1.8482	None
GATA3	BDNF	-0.47436	45.6	-6.0E-01	rgb( 86,137,240)	1.892	None
GATA3	BHMT	-0.68649	50.77	-7.7E-01	rgb( 51,116,246)	1.9954	None
MSX2	BHMT	0.68389	49.17	0.165	rgb(219,185,186)	1.9634	None
MSX2	BICC1	0.96661	50.86	0.856	rgb(226, 54, 55)	1.9972	None
MSX2	BMP6	0.25116	41.22	0.219	rgb(219,175,176)	1.8044	None
ESRRB	BTBD11	0.68649	50.77	0.769	rgb(225, 70, 72)	1.9954	None
ESRRB	BX538226	0.60627	50.46	0.464	rgb(222,128,129)	1.9892	2,2
MSX2	C11orf96	0.59751	47.76	0.756	rgb(225, 73, 74)	1.9352	None
ESRRB	C16orf45	0.69826	50.79	0.794	rgb(226, 65, 67)	1.9958	2,2
ESRRB	C19orf77	0.31028	48.91	0.906	rgb(227, 44, 46)	1.9582	2,2
MSX2	C19orf77	0.93487	50.81	0.814	rgb(226, 62, 63)	1.9962	2,2
GATA3	C1QL1	-0.85509	50.95	-9.5E-01	rgb( 11, 92,253)	1.999	None
MSX2	C1QL1	-0.75609	50.87	-8.7E-01	rgb( 27,102,250)	1.9974	None
GATA3	C1QL3	-0.94964	50.99	-9.9E-01	rgb(  3, 87,255)	1.9998	None
GATA3	C1orf173	-0.73879	50.85	-8.5E-01	rgb( 33,105,249)	1.997	2,2
MSX2	C1orf53	-0.59392	50.32	-3.2E-01	rgb(147,175,229)	1.9864	None
ESRRB	C2CD2L	0.39938	49.55	0.548	rgb(223,112,113)	1.971	None
MSX2	C2CD2L	0.88811	50.73	0.733	rgb(225, 77, 78)	1.9946	None
ESRRB	C2CD4A	0.60627	50.46	0.459	rgb(222,129,130)	1.9892	None
MSX2	C2CD4A	0.9982	50.96	0.958	rgb(228, 34, 36)	1.9992	None
ESRRB	C2CD4B	0.74818	50.86	0.863	rgb(226, 52, 54)	1.9972	None
MSX2	C2CD4B	0.88631	50.72	0.716	rgb(225, 80, 82)	1.9944	None
ESRRB	C2CD4C	0.98266	51	1	rgb(228, 26, 28)	2	None
MSX2	C4orf32	0.74521	49.73	0.735	rgb(225, 77, 78)	1.9746	2,2
ESRRB	C5orf38	0.017445	47.27	0.269	rgb(220,166,166)	1.9254	None
MSX2	C5orf46	-0.39465	44.19	-1.9E-01	rgb(175,192,224)	1.8638	None
ESRRB	C5orf54	0.30544	42.37	0.373	rgb(221,146,146)	1.8274	2,2
GATA3	C5orf54	-0.54535	49.96	-9.6E-01	rgb(  9, 91,253)	1.9792	2,2
MSX2	C6	-0.60931	48.01	-1.1E-02	rgb(215,216,217)	1.9402	None
ESRRB	C6orf141	0.3735	49.32	0.319	rgb(221,156,157)	1.9664	None
ESRRB	CA3	-0.4681	49.81	-8.1E-01	rgb( 40,110,248)	1.9762	None
MSX2	CA8	-0.87528	50.96	-9.6E-01	rgb(  8, 90,254)	1.9992	None
MSX2	CACNA1B	-0.11398	47.87	-8.7E-01	rgb( 28,102,250)	1.9374	None
MSX2	CACNA1C	0.44849	45.25	0.254	rgb(220,168,169)	1.885	None
ESRRB	CACNA2D3	0.85509	50.95	0.947	rgb(227, 36, 38)	1.999	None
MSX2	CACNA2D3	0.85281	50.66	0.658	rgb(224, 91, 93)	1.9932	None
ESRRB	CACNG7	0.87528	50.96	0.957	rgb(228, 34, 36)	1.9992	None
ESRRB	CADPS	0.3289	48.95	0.954	rgb(227, 35, 37)	1.959	None
ESRRB	CADPS2	0.79963	50.91	0.91	rgb(227, 43, 45)	1.9982	None
MSX2	CADPS2	0.0012828	35.29	0.29	rgb(220,162,162)	1.6858	None
MSX2	CALB1	0.87293	50.71	0.714	rgb(225, 81, 82)	1.9942	None
MSX2	CALCRL	0.17739	48.36	0.356	rgb(221,149,150)	1.9472	None
GATA3	CALHM3	-0.35356	49	-1	rgb(  1, 85,255)	1.96	None
GATA3	CALN1	-0.53835	49.95	-9.5E-01	rgb( 12, 92,253)	1.979	None
ESRRB	CALY	0.35697	49.04	0.043	rgb(217,209,209)	1.9608	None
MSX2	CALY	0.94085	50.83	0.834	rgb(226, 58, 59)	1.9966	None
MSX2	CAMK2N2	0.30475	42.35	0.353	rgb(221,150,150)	1.827	None
ESRRB	CAPN9	0.037823	47.48	0.484	rgb(222,125,125)	1.9296	None
ESRRB	CAPSL	-0.049954	36.42	-4.2E-01	rgb(125,161,233)	1.7084	None
MSX2	CAPSL	-0.8413	50.94	-9.4E-01	rgb( 12, 92,253)	1.9988	None
ESRRB	CASR	0.89841	50.97	0.971	rgb(228, 32, 33)	1.9994	None
MSX2	CASR	0.48561	45.75	0.754	rgb(225, 73, 74)	1.895	None
ESRRB	CATSPERG	0.59128	47.7	0.702	rgb(225, 83, 84)	1.934	None
ESRRB	CBLN4	-0.8413	50.94	-9.4E-01	rgb( 13, 93,253)	1.9988	None
ESRRB	CBX7	0.61411	50.52	0.523	rgb(223,117,118)	1.9904	None
ESRRB	CCDC162P	0.7101	50.81	0.815	rgb(226, 61, 63)	1.9962	None
MSX2	CCDC162P	0.87084	50.7	0.696	rgb(225, 84, 85)	1.994	None
MSX2	CCDC169-SOHLH2	0.092322	47.79	0.786	rgb(226, 67, 68)	1.9358	None
GATA3	CCDC80	0.67711	50.75	0.746	rgb(225, 75, 76)	1.995	None
MSX2	CCL2	0.49049	45.82	0.817	rgb(226, 61, 63)	1.8964	None
ESRRB	CCNA1	0.73879	50.85	0.851	rgb(226, 55, 56)	1.997	None
MSX2	CCNA1	0.3322	42.71	0.706	rgb(225, 82, 84)	1.8342	None
GATA3	CD163	0.40634	49.59	0.591	rgb(224,104,105)	1.9718	None
MSX2	CD82	0.21565	40.39	0.393	rgb(221,142,143)	1.7878	None
GATA3	CDC42P3	0.4681	49.81	0.811	rgb(226, 62, 64)	1.9762	None
MSX2	CDC42P3	-0.42609	44.64	-6.4E-01	rgb( 78,132,241)	1.8728	None
MSX2	CDH12	0.22305	40.49	0.493	rgb(222,123,124)	1.7898	None
ESRRB	CDH13	-0.083819	37.31	-3.1E-01	rgb(150,176,229)	1.7262	None
ESRRB	CDH26	0.45622	45.38	0.381	rgb(221,144,145)	1.8876	None
MSX2	CDK5R2	0.66359	48.74	0.742	rgb(225, 75, 77)	1.9548	None
ESRRB	CEACAM6	0.22584	40.53	0.525	rgb(223,117,118)	1.7906	None
MSX2	CEACAM6	0.64834	48.64	0.635	rgb(224, 96, 97)	1.9528	None
ESRRB	CELA3A	-0.92054	50.98	-9.8E-01	rgb(  4, 88,254)	1.9996	None
ESRRB	CELA3B	-0.10874	47.85	-8.5E-01	rgb( 33,105,249)	1.937	None
ESRRB	CELF4	0.92054	50.98	0.977	rgb(228, 30, 32)	1.9996	None
MSX2	CELF4	0.72095	49.6	0.596	rgb(224,103,104)	1.972	None
MSX2	CERKL	0.62884	48.46	0.464	rgb(222,128,129)	1.9492	None
ESRRB	CGB7	0.43082	44.68	0.684	rgb(225, 86, 88)	1.8736	None
GATA3	CHGB	-0.92054	50.98	-9.8E-01	rgb(  5, 88,254)	1.9996	None
