TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
ASCL2	AGT	0.3094	42.42	0.423	rgb(222,136,137)	1.8284	None
FLI1	AGT	0.65758	48.71	0.705	rgb(225, 82, 84)	1.9542	None
NR4A2	AGT	0.87293	50.71	0.948	rgb(227, 36, 38)	1.9942	None
RXRG	AGT	0.3149	48.92	0.917	rgb(227, 42, 44)	1.9584	None
ASCL2	ALPP	-0.4862	49.85	-8.5E-01	rgb( 32,105,249)	1.977	None
FLI1	ALPP	0.22672	48.66	0.665	rgb(224, 90, 91)	1.9532	None
HOXB2	ALPP	0.74627	49.74	0.739	rgb(225, 76, 77)	1.9748	None
RXRG	ALPP	0.69196	50.78	0.778	rgb(226, 68, 70)	1.9956	None
FLI1	ALX1	0.43438	49.71	0.711	rgb(225, 81, 83)	1.9742	None
HOXB2	ALX1	0.65369	48.68	0.678	rgb(224, 88, 89)	1.9536	None
PTF1A	ALX1	-0.25783	48.77	-7.7E-01	rgb( 49,115,246)	1.9554	None
RXRG	ALX1	0.34198	48.98	0.984	rgb(228, 29, 31)	1.9596	None
ASCL2	ANKRD18A	0.49115	49.86	0.862	rgb(226, 52, 54)	1.9772	None
FLI1	ANKRD18A	0.92054	50.98	0.983	rgb(228, 29, 31)	1.9996	None
NR4A2	ANKRD18A	0.32172	42.56	0.559	rgb(223,110,111)	1.8312	None
RXRG	ANKRD18A	-0.30108	42.28	-2.8E-01	rgb(157,180,228)	1.8256	None
HOXB2	ANXA9	-0.14957	38.68	-6.8E-01	rgb( 69,127,243)	1.7536	None
NR4A2	ANXA9	0.85509	50.95	0.952	rgb(227, 35, 37)	1.999	None
PTF1A	ANXA9	0.25783	48.77	0.773	rgb(226, 69, 71)	1.9554	None
RXRG	ANXA9	-0.92054	50.98	-9.8E-01	rgb(  4, 87,254)	1.9996	None
ASCL2	AREG	0.88811	50.73	0.733	rgb(225, 77, 78)	1.9946	None
FLI1	AREG	0.94964	50.99	0.989	rgb(228, 28, 30)	1.9998	None
HOXB2	AREG	0.14484	47.98	0.978	rgb(228, 30, 32)	1.9396	None
NR4A2	AREG	0.58527	50.18	0.182	rgb(219,182,183)	1.9836	None
ASCL2	BCAN	-0.94964	50.99	-9.9E-01	rgb(  2, 86,255)	1.9998	None
FLI1	BCAN	-0.010885	47.18	-1.8E-01	rgb(179,194,224)	1.9236	None
HOXB2	BCAN	0.41143	44.45	0.447	rgb(222,132,133)	1.869	None
RXRG	BCAN	0.34759	48.99	0.992	rgb(228, 28, 30)	1.9598	None
ASCL2	BTG2	0.79586	50.38	0.385	rgb(221,144,144)	1.9876	None
FLI1	BTG2	-0.059117	47.62	-6.2E-01	rgb( 82,135,241)	1.9324	None
PTF1A	BTG2	0.22873	40.56	0.56	rgb(223,110,111)	1.7912	None
RXRG	BTG2	-0.062672	47.64	-6.4E-01	rgb( 78,133,241)	1.9328	None
ASCL2	C9orf50	-0.30859	42.4	-4.0E-01	rgb(130,164,232)	1.828	None
NR4A2	C9orf50	-0.74334	49.71	-7.1E-01	rgb( 64,124,244)	1.9742	None
PTF1A	C9orf50	-0.086128	47.76	-7.6E-01	rgb( 52,117,246)	1.9352	None
RXRG	C9orf50	0.53055	46.66	0.659	rgb(224, 91, 92)	1.9132	None
FLI1	CALCA	0.85509	50.95	0.947	rgb(227, 36, 38)	1.999	None
