TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
CDX2	ACO1	0.50453	49.89	0.886	rgb(227, 48, 49)	1.9778	None
RARB	ACO1	0.46773	45.54	0.538	rgb(223,114,115)	1.8908	None
RARB	ADAMTS12	0.0037017	35.33	0.331	rgb(221,154,154)	1.6866	None
SATB2	ADAMTS12	0.73879	50.85	0.849	rgb(226, 55, 57)	1.997	None
FOXC2	ADH1A	-0.31724	46.33	-5.1E-01	rgb(106,150,236)	1.9066	None
RARB	ADH1A	0.29034	42.03	0.03	rgb(217,211,211)	1.8206	None
SATB2	ADH1A	0.31801	42.53	0.531	rgb(223,116,117)	1.8306	None
CDX2	AFF3	-0.010519	35.44	-4.4E-01	rgb(122,159,234)	1.6888	None
RARB	AFF3	-0.86648	50.68	-6.8E-01	rgb( 69,127,243)	1.9936	None
CDX2	AFP	0.44929	45.28	0.279	rgb(220,164,164)	1.8856	None
FOXC2	AFP	0.96661	50.86	0.859	rgb(226, 53, 55)	1.9972	None
RARB	AFP	0.70068	49.47	0.468	rgb(222,128,129)	1.9694	None
SATB2	AFP	0.080301	47.73	0.733	rgb(225, 77, 78)	1.9346	None
RARB	AHNAK	0.93799	50.82	0.815	rgb(226, 61, 63)	1.9964	None
TBX3	AHNAK	0.98266	51	0.996	rgb(228, 27, 29)	2	None
FOXC2	AHR	0.87084	50.7	0.697	rgb(225, 84, 85)	1.994	None
RARB	AHR	0.85509	50.67	0.666	rgb(224, 90, 91)	1.9934	None
TBX3	AHR	0.47653	49.83	0.834	rgb(226, 58, 59)	1.9766	None
CDX2	AK026379	-0.7971	50.4	-4.0E-01	rgb(131,165,232)	1.988	2,2
SATB2	AK026379	-0.4681	49.81	-8.1E-01	rgb( 41,110,248)	1.9762	2,2
FOXC2	ANKRD20A8P	-0.85509	50.95	-9.5E-01	rgb( 10, 91,253)	1.999	None
SATB2	ANKRD20A8P	0.7319	50.84	0.843	rgb(226, 56, 58)	1.9968	None
RARB	ANKRD29	0.64427	48.6	0.599	rgb(224,103,104)	1.952	None
TBX3	ANKRD29	-0.24475	41.04	-4.2E-02	rgb(208,211,219)	1.8008	None
CDX2	ANKS1A	0.61679	48.29	0.288	rgb(220,162,163)	1.9458	None
RARB	ANKS1A	0.55045	47.13	0.132	rgb(218,192,192)	1.9226	None
SATB2	ANKS1A	0.87528	50.96	0.96	rgb(228, 34, 35)	1.9992	None
TBX3	ANKS1A	0.0061939	35.37	0.374	rgb(221,146,146)	1.6874	None
RARB	AREG	-0.88631	50.72	-7.2E-01	rgb( 60,121,245)	1.9944	None
TBX3	AREG	-0.079604	37.23	-2.3E-01	rgb(167,186,226)	1.7246	None
SATB2	ARHGAP9	-0.41279	49.62	-6.2E-01	rgb( 82,135,241)	1.9724	None
TBX3	ARHGAP9	-0.37585	49.35	-3.5E-01	rgb(140,170,230)	1.967	None
FOXC2	ARHGEF19	0.62151	50.56	0.562	rgb(223,110,111)	1.9912	None
TBX3	ARHGEF19	-0.2626	41.4	-4.0E-01	rgb(130,164,232)	1.808	None
SATB2	ATOH7	-0.7319	50.84	-8.4E-01	rgb( 35,106,249)	1.9968	None
TBX3	ATOH7	-0.0040315	47.07	-7.4E-02	rgb(201,207,220)	1.9214	None
FOXC2	ATP10D	0.3735	49.32	0.322	rgb(221,155,156)	1.9664	None
RARB	ATP10D	-0.59549	50.35	-3.5E-01	rgb(142,171,230)	1.987	None
FOXC2	ATP13A3	0.66876	50.73	0.733	rgb(225, 77, 78)	1.9946	None
TBX3	ATP13A3	-0.45699	45.4	-4.0E-01	rgb(130,164,232)	1.888	None
CDX2	AVPR1A	0.6361	48.54	0.54	rgb(223,114,115)	1.9508	None
SATB2	AVPR1A	0.8413	50.94	0.941	rgb(227, 37, 39)	1.9988	None
RARB	B2M	-0.76137	49.81	-8.1E-01	rgb( 41,110,248)	1.9762	None
SATB2	B2M	-0.81187	50.92	-9.2E-01	rgb( 17, 95,252)	1.9984	None
RARB	BAALC	-0.94964	50.99	-9.9E-01	rgb(  2, 86,255)	1.9998	None
TBX3	BAALC	-0.94964	50.99	-9.9E-01	rgb(  2, 86,255)	1.9998	None
FOXC2	BANK1	-0.96661	50.86	-8.6E-01	rgb( 30,103,250)	1.9972	None
SATB2	BANK1	-0.34198	48.98	-9.8E-01	rgb(  4, 87,254)	1.9596	None
FOXC2	BEND7	0.7319	50.84	0.836	rgb(226, 57, 59)	1.9968	None
SATB2	BEND7	-0.023639	47.34	-3.4E-01	rgb(142,172,230)	1.9268	None
FOXC2	BMP5	0.64369	48.59	0.589	rgb(223,104,106)	1.9518	None
SATB2	BMP5	0.87528	50.96	0.959	rgb(228, 34, 36)	1.9992	None
FOXC2	C15orf48	-0.098113	47.81	-8.1E-01	rgb( 42,111,248)	1.9362	None
SATB2	C15orf48	0.040902	36.28	0.275	rgb(220,164,165)	1.7056	None
RARB	C1QL1	-0.85509	50.95	-9.5E-01	rgb( 11, 92,253)	1.999	None
SATB2	C1QL1	-0.033132	41	-1.4E-01	rgb(186,198,222)	1.8	None
CDX2	C3orf58	0.78178	50.89	0.893	rgb(227, 47, 48)	1.9978	2,2
RARB	C3orf58	0.2114	40.33	0.325	rgb(221,155,156)	1.7866	2,2
SATB2	C3orf58	0.58981	50.27	0.265	rgb(220,166,167)	1.9854	2,2
FOXC2	CALCRL	0.11079	47.86	0.859	rgb(226, 53, 55)	1.9372	None
RARB	CALCRL	-0.33707	42.86	-8.6E-01	rgb( 29,103,250)	1.8372	None
FOXC2	CATSPERG	-0.67711	50.75	-7.5E-01	rgb( 54,118,246)	1.995	None
RARB	CATSPERG	0.7072	49.52	0.519	rgb(223,118,119)	1.9704	None
FOXC2	CCBE1	0.78761	50.9	0.895	rgb(227, 46, 48)	1.998	None
TBX3	CCBE1	-0.011985	35.46	-4.6E-01	rgb(117,156,235)	1.6892	None
FOXC2	CCDC173	0.94964	50.99	0.985	rgb(228, 29, 31)	1.9998	None
TBX3	CCDC173	-0.55921	49.98	-9.8E-01	rgb(  3, 87,254)	1.9796	None
FOXC2	CCDC50	0.4681	49.81	0.81	rgb(226, 62, 64)	1.9762	None
TBX3	CCDC50	-0.83463	50.6	-6.0E-01	rgb( 86,137,240)	1.992	None
FOXC2	CCDC80	-0.19461	48.5	-5.0E-01	rgb(108,151,236)	1.95	None
SATB2	CCDC80	0.56592	47.46	0.461	rgb(222,129,130)	1.9292	None
FOXC2	CCDC83	0.61752	50.54	0.543	rgb(223,113,114)	1.9908	None
SATB2	CCDC83	-0.00032985	35.27	-2.7E-01	rgb(158,181,227)	1.6854	None
RARB	CD163	-0.74818	50.86	-8.6E-01	rgb( 30,103,250)	1.9972	None
TBX3	CD163	0.82833	50.93	0.931	rgb(227, 39, 41)	1.9986	None
FOXC2	CD36	0.36243	49.15	0.146	rgb(219,189,189)	1.963	None
SATB2	CD36	-0.68122	50.76	-7.6E-01	rgb( 52,117,246)	1.9952	None
CDX2	CDX2	0.79447	50.35	0.355	rgb(221,149,150)	1.987	None
RARB	CDX2	0.91552	50.79	0.792	rgb(226, 66, 67)	1.9958	None
FOXC2	CEACAM6	-0.94327	50.84	-8.4E-01	rgb( 35,107,249)	1.9968	None
RARB	CEACAM6	-0.81187	50.92	-9.2E-01	rgb( 18, 96,252)	1.9984	None
SATB2	CEACAM6	-0.061939	36.6	-6.0E-01	rgb( 87,138,240)	1.712	None
CDX2	CEBPA	0.94085	50.83	0.834	rgb(226, 58, 59)	1.9966	None
FOXC2	CEBPA	-0.75609	50.87	-8.7E-01	rgb( 29,102,250)	1.9974	None
RARB	CEBPA	0.55023	47.11	0.11	rgb(218,196,196)	1.9222	None
RARB	CEBPA-AS1	0.78369	50.17	0.171	rgb(219,184,185)	1.9834	2,2
SATB2	CEBPA-AS1	0.36163	49.14	0.142	rgb(219,190,190)	1.9628	2,2
FOXC2	CFC1	-0.25197	48.75	-7.5E-01	rgb( 54,118,246)	1.955	None
TBX3	CFC1	0.3878	49.46	0.459	rgb(222,129,130)	1.9692	None
FOXC2	CHL1	0.92054	50.98	0.976	rgb(228, 31, 33)	1.9996	None
RARB	CHL1	-0.055195	36.5	-5.0E-01	rgb(110,152,236)	1.71	None
CDX2	CKB	0.93487	50.89	0.89	rgb(227, 47, 49)	1.9978	None
FOXC2	CKB	-0.64222	50.65	-6.5E-01	rgb( 77,132,242)	1.993	None
RARB	CKB	0.49914	46.24	0.241	rgb(220,171,171)	1.9048	None
FOXC2	CMSS1	0.79963	50.91	0.905	rgb(227, 44, 46)	1.9982	None
RARB	CMSS1	-0.99502	50.94	-9.4E-01	rgb( 13, 93,253)	1.9988	None
TBX3	CMSS1	-0.89841	50.97	-9.7E-01	rgb(  7, 89,254)	1.9994	None
CDX2	COL14A1	0.80924	50.49	0.491	rgb(222,123,124)	1.9898	None
FOXC2	COL14A1	0.86648	50.68	0.676	rgb(224, 88, 89)	1.9936	None
RARB	COL14A1	0.88811	50.73	0.73	rgb(225, 78, 79)	1.9946	None
FOXC2	COMP	-0.27348	41.56	-5.6E-01	rgb( 96,144,238)	1.8112	None
RARB	COMP	0.14484	47.98	0.985	rgb(228, 29, 31)	1.9396	None
FOXC2	CPN1	-0.045593	47.54	-5.4E-01	rgb( 99,145,238)	1.9308	None
RARB	CPN1	0.87293	50.71	0.712	rgb(225, 81, 82)	1.9942	None
CDX2	CRTAC1	-0.87084	50.7	-7.0E-01	rgb( 66,125,243)	1.994	None
