TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
FOXC2	ADH1A	-0.31724	46.33	-5.1E-01	rgb(106,150,236)	1.9066	None
RARB	ADH1A	0.29034	42.03	0.03	rgb(217,211,211)	1.8206	None
SATB2	ADH1A	0.31801	42.53	0.531	rgb(223,116,117)	1.8306	None
CDX2	AFP	0.44929	45.28	0.279	rgb(220,164,164)	1.8856	None
FOXC2	AFP	0.96661	50.86	0.859	rgb(226, 53, 55)	1.9972	None
RARB	AFP	0.70068	49.47	0.468	rgb(222,128,129)	1.9694	None
SATB2	AFP	0.080301	47.73	0.733	rgb(225, 77, 78)	1.9346	None
FOXC2	AHR	0.87084	50.7	0.697	rgb(225, 84, 85)	1.994	None
RARB	AHR	0.85509	50.67	0.666	rgb(224, 90, 91)	1.9934	None
TBX3	AHR	0.47653	49.83	0.834	rgb(226, 58, 59)	1.9766	None
CDX2	ANKS1A	0.61679	48.29	0.288	rgb(220,162,163)	1.9458	None
RARB	ANKS1A	0.55045	47.13	0.132	rgb(218,192,192)	1.9226	None
SATB2	ANKS1A	0.87528	50.96	0.96	rgb(228, 34, 35)	1.9992	None
TBX3	ANKS1A	0.0061939	35.37	0.374	rgb(221,146,146)	1.6874	None
CDX2	C3orf58	0.78178	50.89	0.893	rgb(227, 47, 48)	1.9978	2,2
RARB	C3orf58	0.2114	40.33	0.325	rgb(221,155,156)	1.7866	2,2
SATB2	C3orf58	0.58981	50.27	0.265	rgb(220,166,167)	1.9854	2,2
FOXC2	CEACAM6	-0.94327	50.84	-8.4E-01	rgb( 35,107,249)	1.9968	None
RARB	CEACAM6	-0.81187	50.92	-9.2E-01	rgb( 18, 96,252)	1.9984	None
SATB2	CEACAM6	-0.061939	36.6	-6.0E-01	rgb( 87,138,240)	1.712	None
CDX2	CEBPA	0.94085	50.83	0.834	rgb(226, 58, 59)	1.9966	None
FOXC2	CEBPA	-0.75609	50.87	-8.7E-01	rgb( 29,102,250)	1.9974	None
RARB	CEBPA	0.55023	47.11	0.11	rgb(218,196,196)	1.9222	None
CDX2	CKB	0.93487	50.89	0.89	rgb(227, 47, 49)	1.9978	None
FOXC2	CKB	-0.64222	50.65	-6.5E-01	rgb( 77,132,242)	1.993	None
RARB	CKB	0.49914	46.24	0.241	rgb(220,171,171)	1.9048	None
FOXC2	CMSS1	0.79963	50.91	0.905	rgb(227, 44, 46)	1.9982	None
RARB	CMSS1	-0.99502	50.94	-9.4E-01	rgb( 13, 93,253)	1.9988	None
TBX3	CMSS1	-0.89841	50.97	-9.7E-01	rgb(  7, 89,254)	1.9994	None
CDX2	COL14A1	0.80924	50.49	0.491	rgb(222,123,124)	1.9898	None
FOXC2	COL14A1	0.86648	50.68	0.676	rgb(224, 88, 89)	1.9936	None
RARB	COL14A1	0.88811	50.73	0.73	rgb(225, 78, 79)	1.9946	None
CDX2	CRTAC1	-0.87084	50.7	-7.0E-01	rgb( 66,125,243)	1.994	None
FOXC2	CRTAC1	0.60539	50.45	0.448	rgb(222,131,132)	1.989	None
SATB2	CRTAC1	-0.81187	50.92	-9.2E-01	rgb( 16, 95,252)	1.9984	None
CDX2	CTSC	-0.0020524	35.31	-3.1E-01	rgb(150,176,229)	1.6862	None
FOXC2	CTSC	0.76221	49.82	0.817	rgb(226, 61, 63)	1.9764	None
SATB2	CTSC	0.03031	47.42	0.42	rgb(222,137,138)	1.9284	None
FOXC2	FGB	0.83977	50.63	0.629	rgb(224, 97, 98)	1.9926	None
RARB	FGB	0.88631	50.72	0.717	rgb(225, 80, 81)	1.9944	None
TBX3	FGB	0.2947	48.87	0.871	rgb(227, 51, 52)	1.9574	None
CDX2	FGG	0.077332	37.19	0.19	rgb(219,181,181)	1.7238	None
FOXC2	FGG	0.85281	50.66	0.662	rgb(224, 90, 92)	1.9932	None
RARB	FGG	0.62309	48.39	0.388	rgb(221,143,144)	1.9478	None
TBX3	FGG	0.50889	46.43	0.434	rgb(222,134,135)	1.9086	None
CDX2	FLT1	0.79395	50.33	0.652	rgb(224, 92, 94)	1.9866	None
FOXC2	FLT1	0.73678	49.69	0.691	rgb(225, 85, 86)	1.9738	None
RARB	FLT1	0.72963	49.66	0.665	rgb(224, 90, 91)	1.9732	None
SATB2	FLT1	0.17739	48.36	0.358	rgb(221,149,149)	1.9472	None
TBX3	FLT1	0.52172	49.92	0.924	rgb(227, 41, 42)	1.9784	None
CDX2	FLVCR2	0.78314	50.12	0.116	rgb(218,195,195)	1.9824	None
RARB	FLVCR2	0.16397	39.24	0.24	rgb(220,171,172)	1.7648	None
SATB2	FLVCR2	0.097929	37.54	0.543	rgb(223,113,114)	1.7308	None
TBX3	FLVCR2	0.47008	45.55	0.553	rgb(223,111,112)	1.891	None
FOXC2	FOSL2	-0.89298	50.75	-8.8E-01	rgb( 26,101,250)	1.995	None
RARB	FOSL2	0.87084	50.7	0.696	rgb(225, 84, 85)	1.994	None
SATB2	FOSL2	0.87528	50.96	0.963	rgb(228, 33, 35)	1.9992	None
TBX3	FOSL2	0.70925	49.55	0.551	rgb(223,112,113)	1.971	None
CDX2	FOXN3	0.83647	50.61	0.61	rgb(224,100,102)	1.9922	None
SATB2	FOXN3	0.76467	50.88	0.877	rgb(227, 50, 51)	1.9976	None
TBX3	FOXN3	0.7319	50.84	0.843	rgb(226, 56, 58)	1.9968	None
FOXC2	GALNT3	0.66579	50.72	0.725	rgb(225, 79, 80)	1.9944	None
SATB2	GALNT3	-0.61242	50.51	-5.1E-01	rgb(105,149,237)	1.9902	None
TBX3	GALNT3	-0.82107	50.54	-5.4E-01	rgb(100,146,237)	1.9908	None
FOXC2	GDAP1	-0.37391	43.63	-6.3E-01	rgb( 81,134,241)	1.8526	None
SATB2	GDAP1	-0.4681	49.81	-8.1E-01	rgb( 41,110,248)	1.9762	None
TBX3	GDAP1	-0.4376	49.72	-7.2E-01	rgb( 62,123,244)	1.9744	None
FOXC2	GPR3	0.94964	50.99	0.994	rgb(228, 27, 29)	1.9998	None
SATB2	GPR3	0.37134	43.6	0.6	rgb(224,102,104)	1.852	None
TBX3	GPR3	-0.14484	47.98	-9.8E-01	rgb(  4, 87,254)	1.9396	None
FOXC2	GRASP	-0.62309	48.39	-3.9E-01	rgb(132,165,232)	1.9478	None
RARB	GRASP	-0.82833	50.93	-9.3E-01	rgb( 15, 94,252)	1.9986	None
TBX3	GRASP	-0.15946	39.14	-1.4E-01	rgb(186,198,222)	1.7628	None
CDX2	GRIK2	-0.44336	45.12	-1.2E-01	rgb(191,201,222)	1.8824	None
