TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
EBF2	ADAM8	0.35235	43.36	0.358	rgb(221,149,149)	1.8472	None
TBX4	ADAM8	-0.1543	48.06	-6.4E-02	rgb(203,209,219)	1.9412	None
EBF2	APOC3	0.053473	41	0.469	rgb(222,127,128)	1.8	None
TBX4	APOC3	-0.70328	50.8	-8.0E-01	rgb( 43,111,247)	1.996	None
EBF2	ATP8B1	0.52593	46.62	0.619	rgb(224, 99,100)	1.9124	None
TBX4	ATP8B1	-0.68122	50.76	-7.6E-01	rgb( 52,117,246)	1.9952	None
EBF2	B3GAT1	-0.2947	48.87	-8.7E-01	rgb( 29,102,250)	1.9574	None
TBX4	B3GAT1	0.18886	39.62	0.62	rgb(224, 99,100)	1.7724	None
EBF2	BAIAP3	0.38028	43.72	0.724	rgb(225, 79, 80)	1.8544	None
TBX4	BAIAP3	-0.67337	50.74	-7.4E-01	rgb( 57,120,245)	1.9948	None
EBF2	C19orf77	0.058054	36.54	0.54	rgb(223,114,115)	1.7108	2,2
TBX4	C19orf77	-0.74818	50.86	-8.6E-01	rgb( 30,103,250)	1.9972	2,2
EBF2	C8orf31	-0.51886	46.52	-5.2E-01	rgb(104,148,237)	1.9104	None
TBX4	C8orf31	0.11614	47.88	0.881	rgb(227, 49, 51)	1.9376	None
EBF2	CACNA2D1	0.50922	49.9	0.904	rgb(227, 44, 46)	1.978	None
TBX4	CACNA2D1	-0.43661	44.76	-7.6E-01	rgb( 52,117,246)	1.8752	None
EBF2	CATSPERG	-0.28092	41.65	-6.5E-01	rgb( 75,131,242)	1.813	None
TBX4	CATSPERG	0.69196	50.78	0.784	rgb(226, 67, 69)	1.9956	None
EBF2	CCBE1	0.55162	47.22	0.218	rgb(219,175,176)	1.9244	None
TBX4	CCBE1	-0.49115	49.86	-8.6E-01	rgb( 31,104,250)	1.9772	None
EBF2	DNASE1	0.73879	50.85	0.851	rgb(226, 54, 56)	1.997	None
TBX4	DNASE1	0.023639	47.34	0.344	rgb(221,151,152)	1.9268	None
EBF2	EGR2	-0.31028	48.91	-9.1E-01	rgb( 19, 96,252)	1.9582	None
TBX4	EGR2	0.89045	50.74	0.736	rgb(225, 76, 78)	1.9948	None
EBF2	GALNT14	-0.37555	43.65	-6.5E-01	rgb( 75,131,242)	1.853	None
TBX4	GALNT14	0.2552	48.76	0.756	rgb(225, 73, 74)	1.9552	None
EBF2	GNG3	0.083452	37.3	0.302	rgb(220,159,160)	1.726	None
TBX4	GNG3	-0.92054	50.98	-9.8E-01	rgb(  4, 88,254)	1.9996	None
EBF2	IQSEC3	0.26531	41.42	0.417	rgb(222,137,138)	1.8084	None
TBX4	IQSEC3	-0.22001	48.63	-6.3E-01	rgb( 80,133,241)	1.9526	None
EBF2	LDB3	0.29698	42.19	0.189	rgb(219,181,181)	1.8238	None
TBX4	LDB3	-0.17369	48.32	-3.2E-01	rgb(147,175,229)	1.9464	None
EBF2	MUC13	0.10962	37.8	0.802	rgb(226, 64, 65)	1.736	None
TBX4	MUC13	-0.74818	50.86	-8.6E-01	rgb( 30,103,250)	1.9972	None
EBF2	NEDD9	0.56284	47.38	0.378	rgb(221,145,145)	1.9276	None
TBX4	NEDD9	0.54352	46.83	0.833	rgb(226, 58, 60)	1.9166	None
EBF2	NES	-0.50453	49.89	-8.9E-01	rgb( 24, 99,251)	1.9778	None
TBX4	NES	0.31944	48.93	0.927	rgb(227, 40, 42)	1.9586	None
EBF2	NPHP1	0.71629	49.59	0.589	rgb(223,104,106)	1.9718	None
TBX4	NPHP1	-0.98266	51	-1	rgb(  1, 85,255)	2	None
EBF2	PCDH8	-0.92054	50.98	-9.8E-01	rgb(  4, 88,254)	1.9996	None
TBX4	PCDH8	0.55774	47.34	0.337	rgb(221,153,153)	1.9268	None
EBF2	PDIA2	0.98036	50.91	0.912	rgb(227, 43, 45)	1.9982	None
TBX4	PDIA2	-0.55921	49.98	-9.8E-01	rgb(  4, 88,254)	1.9796	None
EBF2	PTPRH	0.58769	47.67	0.672	rgb(224, 89, 90)	1.9334	None
TBX4	PTPRH	-0.7101	50.81	-8.1E-01	rgb( 40,109,248)	1.9962	None
EBF2	SH2D3C	0.2136	40.36	0.355	rgb(221,149,150)	1.7872	None
