TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
EHF	ABLIM2	-0.82327	50.56	-5.6E-01	rgb( 95,143,238)	1.9912	None
SIX2	ABLIM2	-0.97544	50.89	-8.9E-01	rgb( 25,100,251)	1.9978	None
EHF	AK096314	-0.85509	50.67	-6.7E-01	rgb( 72,129,242)	1.9934	2,2
SIX2	AK096314	0.3985	49.54	0.538	rgb(223,114,115)	1.9708	2,2
EHF	ALDH3A2	0.68649	50.77	0.773	rgb(226, 69, 71)	1.9954	None
RUNX1	ALDH3A2	0.94678	50.85	0.849	rgb(226, 55, 57)	1.997	None
SIX2	ALDH3A2	-0.75228	49.76	-7.6E-01	rgb( 52,117,246)	1.9752	None
TP63	ALDH3A2	0.79421	50.34	0.34	rgb(221,152,153)	1.9868	None
EHF	ANG	-0.11398	47.87	-8.7E-01	rgb( 29,103,250)	1.9374	None
RUNX1	ANG	-0.39183	44.13	-1.3E-01	rgb(189,200,222)	1.8626	None
EHF	ANO9	0.24603	48.73	0.733	rgb(225, 77, 78)	1.9546	None
RUNX1	ANO9	0.91277	50.78	0.784	rgb(226, 67, 69)	1.9956	None
SIX2	ANO9	-0.038593	36.25	-2.5E-01	rgb(163,184,226)	1.705	None
EHF	AREG	0.94085	50.83	0.997	rgb(228, 27, 29)	1.9966	None
SIX2	AREG	0.48118	49.84	0.841	rgb(226, 56, 58)	1.9768	None
EHF	ARHGAP24	-0.85509	50.95	-9.5E-01	rgb( 10, 91,253)	1.999	None
RUNX1	ARHGAP24	-0.57405	47.55	-5.5E-01	rgb( 99,145,238)	1.931	None
SIX2	ARHGAP24	-0.7101	50.81	-8.1E-01	rgb( 41,110,248)	1.9962	None
EHF	ARHGEF28	0.53245	49.94	0.941	rgb(227, 37, 39)	1.9788	None
SIX2	ARHGEF28	-0.89045	50.74	-7.4E-01	rgb( 57,120,245)	1.9948	None
EHF	ARID5A	0.47653	49.83	0.829	rgb(226, 59, 60)	1.9766	None
RUNX1	ARID5A	0.83837	50.62	0.617	rgb(224, 99,100)	1.9924	None
SIX2	ARID5A	0.24603	48.73	0.734	rgb(225, 77, 78)	1.9546	None
EHF	ASPHD1	0.55217	49.97	0.975	rgb(228, 31, 33)	1.9794	None
TP63	ASPHD1	0.085322	37.33	0.334	rgb(221,153,154)	1.7266	None
EHF	ATCAY	0.94964	50.99	0.987	rgb(228, 29, 31)	1.9998	None
TP63	ATCAY	0.83463	50.6	0.598	rgb(224,103,104)	1.992	None
EHF	ATP10D	-0.7971	50.4	-4.0E-01	rgb(131,165,232)	1.988	None
RUNX1	ATP10D	0.82327	50.56	0.557	rgb(223,111,112)	1.9912	None
EHF	ATP13A3	0.55921	49.98	0.979	rgb(228, 30, 32)	1.9796	None
RUNX1	ATP13A3	0.3149	48.92	0.922	rgb(227, 41, 43)	1.9584	None
EHF	ATP2C2	0.75609	50.87	0.874	rgb(227, 50, 52)	1.9974	None
RUNX1	ATP2C2	0.40033	44.31	0.31	rgb(220,158,158)	1.8662	None
SIX2	ATP2C2	0.21268	48.6	0.604	rgb(224,102,103)	1.952	None
EHF	BAAT	-0.25039	41.18	-1.8E-01	rgb(178,193,224)	1.8036	None
SIX2	BAAT	-0.79868	50.43	-4.3E-01	rgb(123,160,233)	1.9886	None
EHF	C2CD4C	0.98266	51	1	rgb(228, 26, 28)	2	None
RUNX1	C2CD4C	0.80924	50.49	0.494	rgb(222,123,124)	1.9898	None
EHF	C6	0.050577	47.57	0.573	rgb(223,108,109)	1.9314	None
RUNX1	C6	0.26964	41.5	0.497	rgb(222,122,123)	1.81	None
EHF	CAMK2N2	0.56636	49.99	0.99	rgb(228, 28, 30)	1.9798	None
