TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
ELF3	AMER2	-0.70251	49.5	-5.0E-01	rgb(109,151,236)	1.97	None
ELF5	AMER2	-0.54484	46.89	-8.9E-01	rgb( 24,100,251)	1.9178	None
TFCP2L1	AMER2	0.86648	50.68	0.684	rgb(225, 86, 88)	1.9936	None
ELF3	ARHGAP24	0.76049	49.8	0.797	rgb(226, 65, 66)	1.976	None
ELF5	ARHGAP24	-0.34077	43.05	-4.5E-02	rgb(207,211,219)	1.841	None
TFCP2L1	ARHGAP24	-0.11237	38.02	-2.2E-02	rgb(212,214,218)	1.7404	None
ELF5	ARL4A	0.82833	50.93	0.925	rgb(227, 40, 42)	1.9986	None
PAX6	ARL4A	0.19153	39.7	0.698	rgb(225, 84, 85)	1.774	None
TFCP2L1	ARL4A	0.94327	50.84	0.843	rgb(226, 56, 58)	1.9968	None
ELF5	B3GAT1	-0.17739	39.45	-4.5E-01	rgb(120,158,234)	1.769	None
PAX6	B3GAT1	0.40271	44.35	0.349	rgb(221,150,151)	1.867	None
TFCP2L1	B3GAT1	0.35532	43.41	0.414	rgb(222,138,139)	1.8482	None
ELF3	BCHE	-0.98266	51	-1	rgb(  1, 86,255)	2	None
ELF5	BCHE	0.14484	47.98	0.981	rgb(228, 30, 32)	1.9396	None
TFCP2L1	BCHE	0.89298	50.75	0.749	rgb(225, 74, 75)	1.995	None
ELF3	BCO2	-0.049954	36.42	-4.2E-01	rgb(126,162,233)	1.7084	None
ELF5	BCO2	0.02932	36.05	0.047	rgb(218,208,208)	1.701	None
TFCP2L1	BCO2	0.1565	39.07	0.067	rgb(218,204,204)	1.7614	None
ELF3	CALB1	0.47653	49.83	0.826	rgb(226, 59, 61)	1.9766	None
ELF5	CALB1	0.82833	50.93	0.927	rgb(227, 40, 42)	1.9986	None
PAX6	CALB1	0.36841	43.57	0.569	rgb(223,108,110)	1.8514	None
ELF3	CCND1	0.87528	50.96	0.964	rgb(228, 33, 35)	1.9992	None
