TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
ETS1	ADRA2B	-0.92054	50.98	-9.8E-01	rgb(  5, 88,254)	1.9996	None
KLF11	ADRA2B	0.98266	51	0.996	rgb(228, 27, 29)	2	None
ETS1	ALOX5	0.36936	43.58	0.583	rgb(223,106,107)	1.8516	None
KLF11	ALOX5	-0.077918	47.72	-7.2E-01	rgb( 61,122,244)	1.9344	None
ETS1	ARL4A	-0.024519	47.35	-3.5E-01	rgb(142,171,230)	1.927	None
IRX3	ARL4A	-0.53245	49.94	-9.4E-01	rgb( 12, 92,253)	1.9788	None
IRX3	AVPR1A	0.69628	49.43	0.427	rgb(222,135,136)	1.9686	None
KLF11	AVPR1A	0.52681	49.93	0.933	rgb(227, 39, 41)	1.9786	None
IRX3	AX747167	0.58376	47.63	0.631	rgb(224, 96, 98)	1.9326	2,2
KLF11	AX747167	0.7319	50.84	0.839	rgb(226, 57, 58)	1.9968	2,2
IRX3	BDNF	-0.48591	45.76	-7.6E-01	rgb( 52,117,246)	1.8952	None
KLF11	BDNF	-0.53245	49.94	-9.4E-01	rgb( 13, 93,253)	1.9788	None
IRX3	C1QTNF1	-0.67187	48.83	-8.3E-01	rgb( 37,108,248)	1.9566	None
KLF11	C1QTNF1	-0.17867	48.37	-3.7E-01	rgb(137,168,231)	1.9474	None
ETS1	C8orf34	0.73879	50.85	0.848	rgb(226, 55, 57)	1.997	None
IRX3	C8orf34	-0.44116	49.73	-7.3E-01	rgb( 58,120,245)	1.9746	None
ETS1	CADPS	0.92054	50.98	0.985	rgb(228, 29, 31)	1.9996	None
KLF11	CADPS	-0.31944	48.93	-9.3E-01	rgb( 15, 94,252)	1.9586	None
IRX3	CARNS1	0.41279	49.62	0.621	rgb(224, 98,100)	1.9724	None
KLF11	CARNS1	0.88811	50.73	0.726	rgb(225, 78, 80)	1.9946	None
IRX3	CASR	0.071614	47.69	0.694	rgb(225, 84, 86)	1.9338	None
KLF11	CASR	0.37717	43.67	0.668	rgb(224, 89, 91)	1.8534	None
IRX3	CDH11	-0.89536	50.76	-7.6E-01	rgb( 52,117,246)	1.9952	None
KLF11	CDH11	-0.63658	50.63	-6.3E-01	rgb( 80,134,241)	1.9926	None
IRX3	CLIP3	0.8413	50.94	0.944	rgb(227, 37, 39)	1.9988	None
KLF11	CLIP3	0.62723	50.59	0.595	rgb(224,103,105)	1.9918	None
ETS1	CORIN	0.48004	45.66	0.664	rgb(224, 90, 91)	1.8932	None
IRX3	CORIN	0.70328	50.8	0.799	rgb(226, 64, 66)	1.996	None
ETS1	CPB1	0.085578	37.34	0.343	rgb(221,151,152)	1.7268	None
IRX3	CPB1	-0.73678	49.69	-6.9E-01	rgb( 67,126,243)	1.9738	None
ETS1	CPN1	-0.79421	50.34	-3.4E-01	rgb(142,172,230)	1.9868	None
IRX3	CPN1	0.94678	50.85	0.852	rgb(226, 54, 56)	1.997	None
KLF11	CPN1	0.065494	47.66	0.664	rgb(224, 90, 92)	1.9332	None
IRX3	DUSP4	-0.059117	47.62	-6.2E-01	rgb( 82,135,241)	1.9324	None
KLF11	DUSP4	-0.75609	50.87	-8.7E-01	rgb( 27,102,250)	1.9974	None
ETS1	ENPP2	0.50453	49.89	0.891	rgb(227, 47, 49)	1.9778	None
IRX3	ENPP2	-0.03654	47.47	-4.7E-01	rgb(114,154,235)	1.9294	None
ETS1	ETS1	0.096793	37.5	0.5	rgb(222,122,123)	1.73	None
IRX3	ETS1	-0.2947	48.87	-8.7E-01	rgb( 27,102,250)	1.9574	None
IRX3	FJX1	-0.91021	50.77	-7.7E-01	rgb( 50,116,246)	1.9954	None
KLF11	FJX1	-0.58461	50.17	-1.7E-01	rgb(180,195,223)	1.9834	None
ETS1	FOXN3	-0.2136	40.36	-3.6E-01	rgb(138,169,231)	1.7872	None
IRX3	FOXN3	0.31724	42.51	0.509	rgb(223,120,121)	1.8302	None
KLF11	FOXN3	0.77526	50.89	0.89	rgb(227, 47, 49)	1.9978	None
ETS1	FOXP2	0.39916	45.92	0.916	rgb(227, 42, 44)	1.8984	None
