TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
NR4A3	A1CF	0.57328	47.53	0.532	rgb(223,115,116)	1.9306	None
TBX2	A1CF	0.54535	49.96	0.957	rgb(228, 34, 36)	1.9792	None
TBX20	A1CF	0.78369	50.17	0.981	rgb(228, 30, 32)	1.9834	None
FEV	AB074166	-0.55661	47.31	-3.1E-01	rgb(149,175,229)	1.9262	2,2
TBX2	AB074166	0.44336	45.12	0.115	rgb(218,195,195)	1.8824	2,2
TBX2	ABTB1	0.74627	49.74	0.743	rgb(225, 75, 77)	1.9748	None
ZIC2	ABTB1	0.46403	45.5	0.496	rgb(222,122,123)	1.89	None
NR4A3	ACOT12	0.44024	44.86	0.861	rgb(226, 53, 54)	1.8772	None
TBX2	ACOT12	-0.97266	50.88	-8.8E-01	rgb( 26,101,251)	1.9976	None
TBX20	ACOT12	0.46502	49.8	0.804	rgb(226, 64, 65)	1.976	None
FEV	ADAMTSL1	0.53245	49.94	0.941	rgb(227, 37, 39)	1.9788	None
NR4A3	ADAMTSL1	0.40319	44.36	0.364	rgb(221,147,148)	1.8672	None
TBX20	ADAMTSL1	0.82225	50.55	0.919	rgb(227, 42, 43)	1.991	None
FEV	ADCY1	0.92054	50.98	0.978	rgb(228, 30, 32)	1.9996	None
NR4A3	ADCY1	0.93799	50.82	0.818	rgb(226, 61, 62)	1.9964	None
TBX20	ADCY1	0.11237	42	0.016	rgb(217,214,214)	1.82	None
TBX2	ADCY9	0.7319	50.84	0.838	rgb(226, 57, 59)	1.9968	None
TBX20	ADCY9	-0.75393	49.78	-7.8E-01	rgb( 48,114,247)	1.9756	None
TBX2	AGAP2-AS1	0.40319	44.36	0.362	rgb(221,148,149)	1.8672	None
ZIC2	AGAP2-AS1	0.63302	48.51	0.51	rgb(223,120,121)	1.9502	None
FEV	AK126278	-0.69657	49.44	-4.4E-01	rgb(121,158,234)	1.9688	2,2
TBX2	AK126278	-0.87084	50.7	-7.0E-01	rgb( 66,125,243)	1.994	2,2
FEV	AL109792	0.30665	48.9	0.895	rgb(227, 46, 48)	1.958	2,2
TBX2	AL109792	0.361	49.13	0.126	rgb(218,193,193)	1.9626	2,2
TBX20	AL109792	-0.91277	50.78	-7.8E-01	rgb( 47,114,247)	1.9956	2,2
TBX2	AL137522	-0.45736	45.41	-4.1E-01	rgb(128,163,233)	1.8882	2,2
TBX20	AL137522	0.49804	46.16	0.164	rgb(219,186,186)	1.9032	2,2
NR4A3	AMER3	0.84885	50.91	0.912	rgb(227, 43, 45)	1.9982	None
TBX2	AMER3	0.92054	50.98	0.98	rgb(228, 30, 32)	1.9996	None
TBX20	AMER3	0.85509	50.95	0.948	rgb(227, 36, 38)	1.999	None
