TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
MYT1L	A1CF	0.94964	50.99	0.993	rgb(228, 27, 29)	1.9998	None
ST18	AB074188	0.24603	48.73	0.732	rgb(225, 77, 79)	1.9546	2,2
MYT1L	AFAP1L2	0.62551	50.58	0.578	rgb(223,107,108)	1.9916	None
ST18	AFAP1L2	0.39007	44.06	0.059	rgb(218,206,206)	1.8612	None
ST18	AK026392	-0.63046	48.48	-4.8E-01	rgb(113,154,235)	1.9496	2,2
MYT1L	AK055386	0.24475	41.04	0.039	rgb(217,210,210)	1.8008	2,2
ST18	AK308944	-0.52538	46.61	-6.1E-01	rgb( 85,137,240)	1.9122	2,2
MYT1L	AL109792	0.85509	50.95	0.952	rgb(227, 35, 37)	1.999	2,2
MYT1L	ALDH3A2	0.77083	49.86	0.858	rgb(226, 53, 55)	1.9772	None
MYT1L	ARHGEF28	0.26964	41.5	0.497	rgb(222,122,123)	1.81	None
ST18	AVPR1B	0.14484	47.98	0.984	rgb(228, 29, 31)	1.9396	None
MYT1L	BCHE	0.94964	50.99	0.992	rgb(228, 27, 29)	1.9998	None
MYT1L	BX538226	0.6007	50.41	0.415	rgb(222,138,139)	1.9882	2,2
MYT1L	C11orf87	0.7101	50.81	0.814	rgb(226, 62, 63)	1.9962	None
ST18	C11orf87	-0.056478	36.52	-5.2E-01	rgb(103,148,237)	1.7104	None
MYT1L	C2CD4A	0.63368	50.62	0.621	rgb(224, 98,100)	1.9924	None
MYT1L	CALB1	0.59018	47.69	0.689	rgb(225, 85, 87)	1.9338	None
MYT1L	CNGA3	0.82225	50.55	0.548	rgb(223,112,114)	1.991	None
ST18	CNGA3	0.59864	50.39	0.391	rgb(221,142,143)	1.9878	None
MYT1L	CNTNAP3B	0.89298	50.75	0.748	rgb(225, 74, 76)	1.995	2,2
MYT1L	CPLX2	0.66395	49.15	0.751	rgb(225, 74, 75)	1.963	None
ST18	CPLX2	0.72421	50.83	0.833	rgb(226, 58, 60)	1.9966	None
ST18	DQ583756	0.033645	47.45	0.452	rgb(222,131,132)	1.929	2,2
ST18	DSCAM	0.048598	36.4	0.398	rgb(221,141,142)	1.708	None
MYT1L	ELMO1	0.48507	45.73	0.727	rgb(225, 78, 80)	1.8946	None
ST18	ENPP2	0.48525	45.74	0.739	rgb(225, 76, 77)	1.8948	None
MYT1L	ERO1LB	0.63148	50.61	0.606	rgb(224,101,102)	1.9922	2,2
ST18	ETS1	0.33421	42.79	0.793	rgb(226, 65, 67)	1.8358	None
MYT1L	ETV1	0.88631	50.72	0.724	rgb(225, 79, 80)	1.9944	None
MYT1L	FAM57B	0.64427	48.6	0.603	rgb(224,102,103)	1.952	2,2
ST18	FAXDC2	-0.85281	50.66	-6.6E-01	rgb( 74,130,242)	1.9932	None
ST18	FLJ46300	0.041488	36.3	0.301	rgb(220,159,160)	1.706	2,2
MYT1L	FSTL5	0.97544	50.89	0.889	rgb(227, 47, 49)	1.9978	None
MYT1L	FZD4	-0.10874	47.85	-8.5E-01	rgb( 32,105,249)	1.937	None
MYT1L	GNG2	0.93487	50.81	0.806	rgb(226, 63, 65)	1.9962	None
MYT1L	GNG4	0.82569	50.58	0.576	rgb(223,107,108)	1.9916	None
MYT1L	GPR111	0.2372	40.7	0.7	rgb(225, 83, 85)	1.794	2,2
MYT1L	GPR112	0.4295	49.69	0.689	rgb(225, 85, 87)	1.9738	2,2
MYT1L	GPR113	0.39938	49.55	0.547	rgb(223,113,114)	1.971	2,2
MYT1L	GPRIN1	0.39465	48.47	0.473	rgb(222,127,128)	1.9494	None
MYT1L	HDAC9	0.91552	50.79	0.786	rgb(226, 67, 68)	1.9958	None
MYT1L	HIST1H2BD	0.040902	36.28	0.284	rgb(220,163,163)	1.7056	2,2
ST18	HIST1H3F	0.1337	47.94	0.935	rgb(227, 38, 40)	1.9388	2,2
MYT1L	HLA-DQA2	0.69584	49.42	0.419	rgb(222,137,138)	1.9684	2,2
MYT1L	HMP19	0.66187	50.71	0.705	rgb(225, 82, 84)	1.9942	2,2
MYT1L	IL13RA2	0.050577	47.57	0.57	rgb(223,108,109)	1.9314	2,2
ST18	IL13RA2	0.27059	48.81	0.813	rgb(226, 62, 63)	1.9562	2,2
MYT1L	IL23A	0.55562	47.26	0.261	rgb(220,167,168)	1.9252	None
ST18	IL23A	0.15159	38.74	0.739	rgb(225, 76, 77)	1.7548	None
MYT1L	KIAA1462	0.41378	44.48	0.482	rgb(222,125,126)	1.8696	2,2
MYT1L	KLHDC8A	0.54994	47.09	0.089	rgb(218,200,200)	1.9218	None
MYT1L	LINC00617	0.91853	50.8	0.801	rgb(226, 64, 66)	1.996	2,2
MYT1L	LMO2	0.98266	51	0.996	rgb(228, 27, 29)	2	None
MYT1L	LOC728392	0.091699	37.43	0.428	rgb(222,135,136)	1.7286	2,2
MYT1L	LPAR3	0.98266	51	0.998	rgb(228, 26, 28)	2	None
ST18	LPAR3	-0.55888	47.37	-3.7E-01	rgb(136,168,231)	1.9274	None
MYT1L	LPPR2	0.38047	49.4	0.404	rgb(221,140,141)	1.968	2,2
MYT1L	LRRC16B	0.53245	49.94	0.94	rgb(227, 37, 39)	1.9788	2,2
MYT1L	LYSMD2	0.31351	42.47	0.472	rgb(222,127,128)	1.8294	None
MYT1L	MARCH4	0.72421	50.83	0.828	rgb(226, 59, 60)	1.9966	2,2
ST18	MARCH4	0.7319	50.84	0.842	rgb(226, 56, 58)	1.9968	2,2
MYT1L	NCAN	0.73777	49.82	0.822	rgb(226, 60, 62)	1.9764	None
MYT1L	NYAP1	-0.00084295	47.03	-2.9E-02	rgb(211,213,218)	1.9206	None
ST18	NYAP1	-0.38519	43.8	-8.0E-01	rgb( 44,112,247)	1.856	None
ST18	OLFM1	-0.21946	40.45	-4.5E-01	rgb(120,158,234)	1.789	None
MYT1L	PAK7	0.083269	37.29	0.293	rgb(220,161,162)	1.7258	2,2
MYT1L	PALM2	0.83463	50.6	0.597	rgb(224,103,104)	1.992	2,2
MYT1L	PLXNA2	0.57284	47.52	0.517	rgb(223,118,119)	1.9304	None
MYT1L	PPM1E	0.52945	46.64	0.637	rgb(224, 95, 97)	1.9128	None
ST18	PTPRB	0.13326	38.44	0.442	rgb(222,133,134)	1.7488	None
MYT1L	PTPRN2	0.7101	50.81	0.811	rgb(226, 62, 64)	1.9962	None
ST18	PVRL4	-0.056771	36.53	-5.3E-01	rgb(101,147,237)	1.7106	2,2
ST18	RABGAP1L	0.59454	47.73	0.729	rgb(225, 78, 79)	1.9346	None
ST18	RFTN1	0.32703	42.64	0.639	rgb(224, 95, 96)	1.8328	None
MYT1L	RHOJ	0.83837	50.62	0.623	rgb(224, 98, 99)	1.9924	None
ST18	RUNX1	0.58769	47.67	0.671	rgb(224, 89, 90)	1.9334	None
MYT1L	S100P	0.24809	48.74	0.741	rgb(225, 75, 77)	1.9548	None
MYT1L	SAMD15	0.99502	50.94	0.94	rgb(227, 38, 39)	1.9988	None
MYT1L	SCG3	0.97544	50.89	0.887	rgb(227, 48, 49)	1.9978	None
ST18	SCG3	0.13018	47.93	0.935	rgb(227, 38, 40)	1.9386	None
MYT1L	SCGN	0.21833	40.42	0.417	rgb(222,137,138)	1.7884	None
ST18	SCGN	0.67711	50.75	0.75	rgb(225, 74, 75)	1.995	None
MYT1L	SEZ6L	-0.60942	48.03	-2.7E-02	rgb(211,213,218)	1.9406	None
MYT1L	SGCD	0.54187	46.77	0.766	rgb(225, 71, 72)	1.9154	None
MYT1L	SST	0.12732	38.34	0.341	rgb(221,152,152)	1.7468	None
MYT1L	STARD9	0.49907	46.23	0.226	rgb(219,174,174)	1.9046	None
MYT1L	SULF1	0.94085	50.83	0.828	rgb(226, 59, 61)	1.9966	None
MYT1L	SV2B	0.39817	44.27	0.273	rgb(220,165,165)	1.8654	None
MYT1L	TCRVB	0.83463	50.6	0.598	rgb(224,103,104)	1.992	2,2
MYT1L	THSD4	0.18802	48.45	0.447	rgb(222,132,132)	1.949	None
MYT1L	TMEM154	0.51237	46.44	0.439	rgb(222,133,134)	1.9088	None
MYT1L	TNFAIP3	0.36566	43.53	0.532	rgb(223,115,116)	1.8506	None
MYT1L	TTLL6	0.572	47.5	0.501	rgb(223,121,122)	1.93	None
MYT1L	WDR63	0.56489	47.44	0.441	rgb(222,133,134)	1.9288	None
