TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
TBX3	A1CF	0.33747	48.97	0.974	rgb(228, 31, 33)	1.9594	None
FOXC2	ABCG1	-0.4578	49.78	-7.8E-01	rgb( 48,114,247)	1.9756	None
CDX2	ABLIM2	0.11285	38.04	0.037	rgb(217,210,210)	1.7408	None
FOXC2	ABTB1	-0.59223	50.3	-3.0E-01	rgb(152,178,228)	1.986	None
FOXC2	ACADL	-0.14484	47.98	-9.8E-01	rgb(  5, 88,254)	1.9396	None
CDX2	ACO1	0.50453	49.89	0.886	rgb(227, 48, 49)	1.9778	None
RARB	ACO1	0.46773	45.54	0.538	rgb(223,114,115)	1.8908	None
RARB	ACTA1	-0.57735	47.58	-5.8E-01	rgb( 91,140,239)	1.9316	None
FOXC2	ACTA2	-0.38736	43.87	-8.7E-01	rgb( 29,103,250)	1.8574	None
RARB	ACTC1	-0.31391	42.48	-4.8E-01	rgb(113,154,235)	1.8296	None
RARB	ADAM12	-0.45351	49.77	-7.7E-01	rgb( 49,115,246)	1.9754	None
RARB	ADAMTS12	0.0037017	35.33	0.331	rgb(221,154,154)	1.6866	None
SATB2	ADAMTS12	0.73879	50.85	0.849	rgb(226, 55, 57)	1.997	None
FOXC2	ADAMTS20	0.98266	51	0.999	rgb(228, 26, 28)	2	None
TBX3	ADAP1	-0.30159	42.31	-3.1E-01	rgb(150,176,229)	1.8262	None
RARB	ADCYAP1	-0.2221	48.64	-6.4E-01	rgb( 79,133,241)	1.9528	None
FOXC2	ADH1A	-0.31724	46.33	-5.1E-01	rgb(106,150,236)	1.9066	None
RARB	ADH1A	0.29034	42.03	0.03	rgb(217,211,211)	1.8206	None
SATB2	ADH1A	0.31801	42.53	0.531	rgb(223,116,117)	1.8306	None
RARB	ADH1B	-0.24504	41.05	-5.2E-02	rgb(206,210,219)	1.801	None
RARB	ADRA2A	-0.85509	50.95	-9.5E-01	rgb( 11, 92,253)	1.999	None
SATB2	AF116693	-0.38307	43.76	-7.6E-01	rgb( 53,117,246)	1.8552	2,2
CDX2	AFF3	-0.010519	35.44	-4.4E-01	rgb(122,159,234)	1.6888	None
RARB	AFF3	-0.86648	50.68	-6.8E-01	rgb( 69,127,243)	1.9936	None
CDX2	AFP	0.44929	45.28	0.279	rgb(220,164,164)	1.8856	None
FOXC2	AFP	0.96661	50.86	0.859	rgb(226, 53, 55)	1.9972	None
RARB	AFP	0.70068	49.47	0.468	rgb(222,128,129)	1.9694	None
SATB2	AFP	0.080301	47.73	0.733	rgb(225, 77, 78)	1.9346	None
RARB	AGTR1	-0.50401	46.35	-3.5E-01	rgb(141,171,230)	1.907	None
RARB	AHNAK	0.93799	50.82	0.815	rgb(226, 61, 63)	1.9964	None
TBX3	AHNAK	0.98266	51	0.996	rgb(228, 27, 29)	2	None
FOXC2	AHR	0.87084	50.7	0.697	rgb(225, 84, 85)	1.994	None
