TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
SIX2	A1CF	-0.10288	37.63	-6.3E-01	rgb( 81,134,241)	1.7326	None
TP63	ABCG1	0.50258	46.29	0.292	rgb(220,161,162)	1.9058	None
EHF	ABLIM2	-0.82327	50.56	-5.6E-01	rgb( 95,143,238)	1.9912	None
SIX2	ABLIM2	-0.97544	50.89	-8.9E-01	rgb( 25,100,251)	1.9978	None
EHF	ABTB1	0.058714	36.56	0.561	rgb(223,110,111)	1.7112	None
EHF	ACADL	0.11398	47.87	0.866	rgb(227, 52, 53)	1.9374	None
RUNX1	ACTG2	0.35235	43.36	0.36	rgb(221,148,149)	1.8472	None
RUNX1	ADAM12	0.43735	44.8	0.798	rgb(226, 64, 66)	1.876	None
SIX2	ADAM28	-0.1352	38.45	-4.5E-01	rgb(120,158,234)	1.749	None
TP63	ADAMTS17	0.97266	50.88	0.882	rgb(227, 49, 50)	1.9976	None
RUNX1	ADAMTS20	0.22353	40.5	0.499	rgb(222,122,123)	1.79	None
EHF	ADAP1	-0.70925	49.55	-5.5E-01	rgb( 98,145,238)	1.971	None
RUNX1	ADCY9	0.57874	47.59	0.59	rgb(223,104,106)	1.9318	None
RUNX1	ADCYAP1	0.16005	39.15	0.154	rgb(219,188,188)	1.763	None
EHF	ADCYAP1R1	-0.35595	43.42	-4.2E-01	rgb(126,162,233)	1.8484	None
SIX2	ADH1B	-0.058384	36.55	-5.5E-01	rgb( 99,145,238)	1.711	None
EHF	ADRA2A	0.33168	46.92	0.919	rgb(227, 41, 43)	1.9184	None
EHF	AFF3	-0.47136	45.58	-5.8E-01	rgb( 91,140,239)	1.8916	None
EHF	AGTR1	-0.096793	37.5	-5.0E-01	rgb(109,151,236)	1.73	None
EHF	AK096314	-0.85509	50.67	-6.7E-01	rgb( 72,129,242)	1.9934	2,2
SIX2	AK096314	0.3985	49.54	0.538	rgb(223,114,115)	1.9708	2,2
SIX2	AK129672	0.18992	39.66	0.662	rgb(224, 91, 92)	1.7732	2,2
RUNX1	AL832212	0.22151	40.47	0.472	rgb(222,127,128)	1.7894	2,2
EHF	ALDH3A2	0.68649	50.77	0.773	rgb(226, 69, 71)	1.9954	None
RUNX1	ALDH3A2	0.94678	50.85	0.849	rgb(226, 55, 57)	1.997	None
SIX2	ALDH3A2	-0.75228	49.76	-7.6E-01	rgb( 52,117,246)	1.9752	None
TP63	ALDH3A2	0.79421	50.34	0.34	rgb(221,152,153)	1.9868	None
SIX2	ALOX5	0.42151	49.66	0.656	rgb(224, 92, 93)	1.9732	None
RUNX1	ALX4	0.10823	37.76	0.76	rgb(225, 72, 73)	1.7352	None
RUNX1	AMER2	0.32769	42.66	0.66	rgb(224, 91, 92)	1.8332	None
EHF	ANG	-0.11398	47.87	-8.7E-01	rgb( 29,103,250)	1.9374	None
RUNX1	ANG	-0.39183	44.13	-1.3E-01	rgb(189,200,222)	1.8626	None
SIX2	ANGPT2	-0.46729	45.53	-5.3E-01	rgb(103,147,237)	1.8906	None
EHF	ANKRD18A	0.32622	42.62	0.619	rgb(224, 99,100)	1.8324	None
EHF	ANKRD29	0.29034	42.03	0.034	rgb(217,211,211)	1.8206	None
TP63	ANKRD65	0.55851	47.36	0.36	rgb(221,148,149)	1.9272	None
EHF	ANKS1B	-0.64688	48.61	-6.1E-01	rgb( 85,136,240)	1.9522	None
EHF	ANO9	0.24603	48.73	0.733	rgb(225, 77, 78)	1.9546	None
RUNX1	ANO9	0.91277	50.78	0.784	rgb(226, 67, 69)	1.9956	None
SIX2	ANO9	-0.038593	36.25	-2.5E-01	rgb(163,184,226)	1.705	None
RUNX1	ANXA9	0.66395	48.75	0.749	rgb(225, 74, 75)	1.955	None
EHF	AREG	0.94085	50.83	0.997	rgb(228, 27, 29)	1.9966	None
SIX2	AREG	0.48118	49.84	0.841	rgb(226, 56, 58)	1.9768	None
EHF	ARHGAP24	-0.85509	50.95	-9.5E-01	rgb( 10, 91,253)	1.999	None
RUNX1	ARHGAP24	-0.57405	47.55	-5.5E-01	rgb( 99,145,238)	1.931	None
SIX2	ARHGAP24	-0.7101	50.81	-8.1E-01	rgb( 41,110,248)	1.9962	None
EHF	ARHGEF19	-0.62001	48.33	-3.3E-01	rgb(145,173,230)	1.9466	None
EHF	ARHGEF28	0.53245	49.94	0.941	rgb(227, 37, 39)	1.9788	None
SIX2	ARHGEF28	-0.89045	50.74	-7.4E-01	rgb( 57,120,245)	1.9948	None
EHF	ARID5A	0.47653	49.83	0.829	rgb(226, 59, 60)	1.9766	None
RUNX1	ARID5A	0.83837	50.62	0.617	rgb(224, 99,100)	1.9924	None
SIX2	ARID5A	0.24603	48.73	0.734	rgb(225, 77, 78)	1.9546	None
EHF	ASPHD1	0.55217	49.97	0.975	rgb(228, 31, 33)	1.9794	None
TP63	ASPHD1	0.085322	37.33	0.334	rgb(221,153,154)	1.7266	None
EHF	ATCAY	0.94964	50.99	0.987	rgb(228, 29, 31)	1.9998	None
TP63	ATCAY	0.83463	50.6	0.598	rgb(224,103,104)	1.992	None
TP63	ATOH8	0.51439	46.49	0.485	rgb(222,124,125)	1.9098	None
EHF	ATP10D	-0.7971	50.4	-4.0E-01	rgb(131,165,232)	1.988	None
RUNX1	ATP10D	0.82327	50.56	0.557	rgb(223,111,112)	1.9912	None
EHF	ATP13A3	0.55921	49.98	0.979	rgb(228, 30, 32)	1.9796	None
RUNX1	ATP13A3	0.3149	48.92	0.922	rgb(227, 41, 43)	1.9584	None
EHF	ATP2C2	0.75609	50.87	0.874	rgb(227, 50, 52)	1.9974	None
RUNX1	ATP2C2	0.40033	44.31	0.31	rgb(220,158,158)	1.8662	None
SIX2	ATP2C2	0.21268	48.6	0.604	rgb(224,102,103)	1.952	None
EHF	ATP8B1	0.87528	50.96	0.962	rgb(228, 33, 35)	1.9992	None
EHF	AX746969	0.017885	35.55	0.545	rgb(223,113,114)	1.691	2,2
EHF	B3GAT1	-0.31904	42.55	-5.5E-01	rgb( 98,144,238)	1.831	None
EHF	BAAT	-0.25039	41.18	-1.8E-01	rgb(178,193,224)	1.8036	None
SIX2	BAAT	-0.79868	50.43	-4.3E-01	rgb(123,160,233)	1.9886	None
TP63	BAI1	0.32172	42.56	0.559	rgb(223,110,111)	1.8312	2,2
SIX2	BAIAP2L2	0.15877	48.13	0.127	rgb(218,193,193)	1.9426	None
RUNX1	BANK1	0.64369	48.59	0.588	rgb(223,105,106)	1.9518	None
EHF	BC032415	0.29419	42.15	0.145	rgb(219,189,190)	1.823	2,2
