TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
PAX6	ABCC8	0.74818	50.86	0.858	rgb(226, 53, 55)	1.9972	None
TFCP2L1	ABCC8	0.45223	45.32	0.32	rgb(221,156,156)	1.8864	None
ELF5	ABCG1	0.0032985	47.06	0.06	rgb(218,206,206)	1.9212	None
TFCP2L1	ABCG1	0.043834	36.33	0.329	rgb(221,154,155)	1.7066	None
PAX6	ACTG2	-0.76467	50.88	-8.8E-01	rgb( 27,101,250)	1.9976	None
TFCP2L1	ACTG2	0.2262	46.19	0.539	rgb(223,114,115)	1.9038	None
ELF3	ADAMTS15	0.89841	50.97	0.97	rgb(228, 32, 34)	1.9994	None
PAX6	ADAMTS15	-0.13649	47.95	-9.5E-01	rgb( 10, 91,253)	1.939	None
ELF3	ADCYAP1	-0.35235	43.36	-3.6E-01	rgb(138,169,231)	1.8472	None
TFCP2L1	ADCYAP1	0.78725	50.31	0.314	rgb(220,157,158)	1.9862	None
PAX6	ALDH3A2	0.33344	42.76	0.759	rgb(225, 72, 74)	1.8352	None
TFCP2L1	ALDH3A2	0.39699	44.25	0.251	rgb(220,169,170)	1.865	None
ELF3	ALX1	0.74627	49.74	0.736	rgb(225, 76, 78)	1.9748	None
TFCP2L1	ALX1	-0.87293	50.71	-7.1E-01	rgb( 63,124,244)	1.9942	None
ELF3	AMER2	-0.70251	49.5	-5.0E-01	rgb(109,151,236)	1.97	None
ELF5	AMER2	-0.54484	46.89	-8.9E-01	rgb( 24,100,251)	1.9178	None
TFCP2L1	AMER2	0.86648	50.68	0.684	rgb(225, 86, 88)	1.9936	None
ELF5	ANG	0.70925	49.55	0.552	rgb(223,111,113)	1.971	None
TFCP2L1	ANG	-0.76991	49.85	-8.5E-01	rgb( 33,105,249)	1.977	None
ELF3	ANKRD29	0.42107	44.58	0.58	rgb(223,106,107)	1.8716	None
TFCP2L1	ANKRD29	-0.79644	50.39	-3.9E-01	rgb(133,166,232)	1.9878	None
ELF5	ANKRD36C	-0.7319	50.84	-8.4E-01	rgb( 35,106,249)	1.9968	None
PAX6	ANKRD36C	-0.59579	47.74	-7.4E-01	rgb( 56,119,245)	1.9348	None
ELF3	ANKS1A	-0.89841	50.97	-9.7E-01	rgb(  7, 89,254)	1.9994	None
TFCP2L1	ANKS1A	0.69826	50.79	0.794	rgb(226, 65, 67)	1.9958	None
ELF3	ANXA9	-0.49115	45.85	-8.5E-01	rgb( 34,105,249)	1.897	None
ELF5	ANXA9	0.60224	50.42	0.416	rgb(222,138,138)	1.9884	None
ELF3	APLP1	-0.58215	47.62	-6.2E-01	rgb( 82,135,241)	1.9324	None
TFCP2L1	APLP1	0.82225	50.55	0.548	rgb(223,112,113)	1.991	None
ELF3	AQP3	0.039949	47.5	0.498	rgb(222,122,123)	1.93	None
PAX6	AQP3	0.19927	40.08	0.077	rgb(218,202,202)	1.7816	None
ELF3	ARHGAP24	0.76049	49.8	0.797	rgb(226, 65, 66)	1.976	None
ELF5	ARHGAP24	-0.34077	43.05	-4.5E-02	rgb(207,211,219)	1.841	None
TFCP2L1	ARHGAP24	-0.11237	38.02	-2.2E-02	rgb(212,214,218)	1.7404	None
ELF5	ARL4A	0.82833	50.93	0.925	rgb(227, 40, 42)	1.9986	None
PAX6	ARL4A	0.19153	39.7	0.698	rgb(225, 84, 85)	1.774	None
TFCP2L1	ARL4A	0.94327	50.84	0.843	rgb(226, 56, 58)	1.9968	None
ELF5	ASPHD1	0.66579	50.72	0.722	rgb(225, 79, 80)	1.9944	None
TFCP2L1	ASPHD1	0.1831	39.53	0.525	rgb(223,117,118)	1.7706	None
ELF3	ATCAY	-0.33421	42.79	-7.9E-01	rgb( 45,112,247)	1.8358	None
PAX6	ATCAY	0.94964	50.99	0.994	rgb(228, 27, 29)	1.9998	None
ELF3	ATP10D	-0.16243	39.22	-2.2E-01	rgb(169,188,225)	1.7644	None
ELF5	ATP10D	-0.51886	46.52	-5.2E-01	rgb(104,148,237)	1.9104	None
ELF5	B2M	-0.25116	41.22	-2.2E-01	rgb(169,188,225)	1.8044	None
TFCP2L1	B2M	0.4059	44.39	0.387	rgb(221,143,144)	1.8678	None
ELF5	B3GAT1	-0.17739	39.45	-4.5E-01	rgb(120,158,234)	1.769	None
PAX6	B3GAT1	0.40271	44.35	0.349	rgb(221,150,151)	1.867	None
TFCP2L1	B3GAT1	0.35532	43.41	0.414	rgb(222,138,139)	1.8482	None
ELF3	BCHE	-0.98266	51	-1	rgb(  1, 86,255)	2	None
ELF5	BCHE	0.14484	47.98	0.981	rgb(228, 30, 32)	1.9396	None
TFCP2L1	BCHE	0.89298	50.75	0.749	rgb(225, 74, 75)	1.995	None
ELF5	BCL2	-0.20693	48.57	-5.7E-01	rgb( 92,141,239)	1.9514	None
TFCP2L1	BCL2	-0.74418	49.72	-7.2E-01	rgb( 61,122,244)	1.9744	None
ELF3	BCO2	-0.049954	36.42	-4.2E-01	rgb(126,162,233)	1.7084	None
ELF5	BCO2	0.02932	36.05	0.047	rgb(218,208,208)	1.701	None
TFCP2L1	BCO2	0.1565	39.07	0.067	rgb(218,204,204)	1.7614	None
PAX6	BICC1	0.60224	47.82	0.82	rgb(226, 60, 62)	1.9364	None
TFCP2L1	BICC1	0.13326	38.44	0.444	rgb(222,132,133)	1.7488	None
ELF5	BMP5	-0.76467	50.88	-8.8E-01	rgb( 26,101,250)	1.9976	None
PAX6	BMP5	0.53245	49.94	0.941	rgb(227, 37, 39)	1.9788	None
PAX6	BTBD17	0.69196	50.78	0.782	rgb(226, 68, 69)	1.9956	None
TFCP2L1	BTBD17	0.088987	37.38	0.382	rgb(221,144,145)	1.7276	None
PAX6	C15orf48	0.0032985	47.06	0.061	rgb(218,205,206)	1.9212	None
TFCP2L1	C15orf48	0.6755	48.85	0.852	rgb(226, 54, 56)	1.957	None
ELF3	C1QTNF1	0.027451	47.39	0.394	rgb(221,142,143)	1.9278	None
TFCP2L1	C1QTNF1	0.37006	43.59	0.594	rgb(224,103,105)	1.8518	None
ELF5	C2CD4B	-0.4232	44.6	-6.0E-01	rgb( 88,138,240)	1.872	None
TFCP2L1	C2CD4B	0.60425	47.85	0.853	rgb(226, 54, 56)	1.937	None
ELF3	C2CD4C	-0.74521	49.73	-7.3E-01	rgb( 58,120,245)	1.9746	None
ELF5	C2CD4C	0.35356	49	0.999	rgb(228, 26, 28)	1.96	None
ELF3	C5orf38	-0.66821	48.8	-8.0E-01	rgb( 44,112,247)	1.956	None
TFCP2L1	C5orf38	0.94678	50.85	0.854	rgb(226, 54, 56)	1.997	None
ELF5	C6	0.1337	47.94	0.942	rgb(227, 37, 39)	1.9388	None
PAX6	C6	0.74418	49.72	0.717	rgb(225, 80, 82)	1.9744	None
ELF3	C6orf141	-0.01422	35.49	-4.9E-01	rgb(111,153,236)	1.6898	None
ELF5	C6orf141	-0.60671	47.89	-8.9E-01	rgb( 23, 99,251)	1.9378	None
ELF3	CACNG7	-0.58699	47.66	-6.6E-01	rgb( 73,129,242)	1.9332	None
PAX6	CACNG7	0.98266	51	0.999	rgb(228, 26, 28)	2	None
ELF3	CALB1	0.47653	49.83	0.826	rgb(226, 59, 61)	1.9766	None
ELF5	CALB1	0.82833	50.93	0.927	rgb(227, 40, 42)	1.9986	None
PAX6	CALB1	0.36841	43.57	0.569	rgb(223,108,110)	1.8514	None
ELF3	CALY	-0.31281	42.45	-4.5E-01	rgb(120,158,234)	1.829	None
PAX6	CALY	0.7101	50.81	0.808	rgb(226, 63, 64)	1.9962	None
ELF3	CAPSL	0.42368	44.61	0.611	rgb(224,100,101)	1.8722	None
ELF5	CAPSL	0.3289	48.95	0.95	rgb(227, 36, 37)	1.959	None
ELF3	CBLN1	-0.35778	49.06	-5.8E-02	rgb(204,209,219)	1.9612	None
PAX6	CBLN1	-0.24754	41.14	-1.4E-01	rgb(187,199,222)	1.8028	None
ELF3	CCBE1	-0.26667	41.46	-4.6E-01	rgb(118,157,234)	1.8092	None
ELF5	CCBE1	-0.26293	41.41	-4.1E-01	rgb(127,163,233)	1.8082	None
ELF3	CCND1	0.87528	50.96	0.964	rgb(228, 33, 35)	1.9992	None
ELF5	CCND1	0.02221	47.33	0.334	rgb(221,153,154)	1.9266	None
TFCP2L1	CCND1	0.27348	41.56	0.56	rgb(223,110,111)	1.8112	None
ELF5	CD82	0.70328	50.8	0.801	rgb(226, 64, 66)	1.996	None
PAX6	CD82	0.29071	48.86	0.862	rgb(226, 52, 54)	1.9572	None
ELF3	CDKN2B	0.098113	47.81	0.809	rgb(226, 63, 64)	1.9362	None
TFCP2L1	CDKN2B	0.45325	45.35	0.347	rgb(221,151,151)	1.887	None
ELF5	CELF3	-0.26714	41.47	-4.7E-01	rgb(116,156,235)	1.8094	None
TFCP2L1	CELF3	0.51439	46.49	0.486	rgb(222,124,125)	1.9098	None
ELF5	CGREF1	-0.68411	49.18	-1.8E-01	rgb(179,194,224)	1.9636	None
TFCP2L1	CGREF1	0.86648	50.68	0.678	rgb(224, 87, 89)	1.9936	None
ELF5	CHGB	-0.38332	43.77	-7.7E-01	rgb( 50,115,246)	1.8554	None
TFCP2L1	CHGB	0.97266	50.88	0.882	rgb(227, 49, 50)	1.9976	None
ELF5	CITED1	-0.79963	50.91	-9.1E-01	rgb( 19, 96,252)	1.9982	None
PAX6	CITED1	-0.017152	35.54	-5.4E-01	rgb(100,146,238)	1.6908	None
ELF5	CLDN10	-0.22551	40.52	-5.2E-01	rgb(105,149,237)	1.7904	None
TFCP2L1	CLDN10	0.99168	50.92	0.916	rgb(227, 42, 44)	1.9984	None
ELF5	CNIH2	-0.24787	41.15	-1.5E-01	rgb(185,197,223)	1.803	None
TFCP2L1	CNIH2	0.55774	47.34	0.336	rgb(221,153,154)	1.9268	None
ELF3	CNTFR	-0.28946	41.85	-8.5E-01	rgb( 32,104,249)	1.817	None
ELF5	CNTFR	0.87528	50.96	0.958	rgb(228, 34, 36)	1.9992	None
ELF5	CNTNAP3	-0.15071	38.69	-6.9E-01	rgb( 68,126,243)	1.7538	None
TFCP2L1	CNTNAP3	0.13612	38.48	0.483	rgb(222,125,126)	1.7496	None
PAX6	COL6A4P2	-0.56529	47.45	-4.5E-01	rgb(120,158,234)	1.929	None
TFCP2L1	COL6A4P2	-0.50258	46.29	-2.9E-01	rgb(155,179,228)	1.9058	None
ELF3	COL9A3	0.17632	48.34	0.336	rgb(221,153,154)	1.9468	None
PAX6	COL9A3	0.10042	37.58	0.583	rgb(223,106,107)	1.7316	None
ELF5	CPA4	-0.1963	48.51	-5.1E-01	rgb(105,149,237)	1.9502	None
TFCP2L1	CPA4	0.22529	43	0.506	rgb(223,120,121)	1.84	None
ELF3	CPB1	0.76137	49.81	0.806	rgb(226, 63, 65)	1.9762	None
ELF5	CPB1	0.12146	47.9	0.896	rgb(227, 46, 48)	1.938	None
ELF3	CRABP2	-0.35279	43.37	-3.7E-01	rgb(136,168,231)	1.8474	None
TFCP2L1	CRABP2	0.48367	45.69	0.689	rgb(225, 85, 87)	1.8938	None
ELF3	CTNNA2	-0.76049	49.8	-8.0E-01	rgb( 44,112,247)	1.976	None
PAX6	CTNNA2	0.82833	50.93	0.934	rgb(227, 39, 40)	1.9986	None
TFCP2L1	CTNNA2	0.080044	37.24	0.242	rgb(220,171,171)	1.7248	None
ELF3	CTSE	-0.91853	50.8	-8.0E-01	rgb( 43,111,247)	1.996	None
PAX6	CTSE	0.53102	46.67	0.673	rgb(224, 88, 90)	1.9134	None
ELF5	CXCL1	0.69196	50.78	0.776	rgb(226, 69, 70)	1.9956	None
TFCP2L1	CXCL1	0.97801	50.9	0.896	rgb(227, 46, 48)	1.998	None
ELF5	CXCL3	-0.32622	42.62	-6.2E-01	rgb( 82,135,241)	1.8324	None
TFCP2L1	CXCL3	0.64427	48.6	0.597	rgb(224,103,104)	1.952	None
ELF5	CXCL6	0.46139	49.79	0.792	rgb(226, 66, 67)	1.9758	None
TFCP2L1	CXCL6	-0.73561	49.68	-1	rgb(  1, 86,255)	1.9736	None
ELF5	CYB5A	0.40942	44.44	0.44	rgb(222,133,134)	1.8688	None
TFCP2L1	CYB5A	-0.83647	50.61	-6.1E-01	rgb( 85,137,240)	1.9922	None
ELF3	CYP27A1	0.23797	48.7	0.701	rgb(225, 83, 84)	1.954	None
TFCP2L1	CYP27A1	0.1473	38.63	0.63	rgb(224, 97, 98)	1.7526	None
ELF3	DLGAP3	-0.51886	46.52	-5.2E-01	rgb(103,148,237)	1.9104	None
