TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
EGR4	ACTA2	0.99985	50.99	0.987	rgb(228, 29, 31)	1.9998	None
NEUROG3	DLL4	0.99985	50.99	0.993	rgb(228, 27, 29)	1.9998	None
NEUROG3	ETS1	0.99985	50.99	0.988	rgb(228, 28, 30)	1.9998	None
SOX9	RAPGEFL1	-0.99985	50.99	-9.9E-01	rgb(  3, 87,254)	1.9998	None
MECOM	CORIN	0.9996	50.98	0.976	rgb(228, 31, 33)	1.9996	None
MSX2	NCCRP1	0.9996	50.98	0.988	rgb(228, 28, 30)	1.9996	None
NEUROG3	SOX9	0.9996	50.98	0.977	rgb(228, 30, 32)	1.9996	None
NPAS1	BC021061	0.9996	50.99	0.986	rgb(228, 29, 31)	1.9998	2,2
RFX4	CELF3	0.9996	50.98	0.979	rgb(228, 30, 32)	1.9996	None
RFX4	HPCA	0.9996	50.98	0.98	rgb(228, 30, 32)	1.9996	None
SOX1	GDAP1L1	-0.9996	50.98	-9.8E-01	rgb(  5, 88,254)	1.9996	None
ALX4	MUC16	0.99905	50.97	0.97	rgb(228, 32, 34)	1.9994	None
ARX	HEY2	0.99905	50.97	0.973	rgb(228, 31, 33)	1.9994	None
EGR3	MT1X	-0.99905	50.97	-9.7E-01	rgb(  6, 88,254)	1.9994	None
FLI1	SGCD	0.99905	50.97	0.969	rgb(228, 32, 34)	1.9994	None
FOXP2	NCCRP1	0.99905	50.97	0.97	rgb(228, 32, 34)	1.9994	None
HOXD4	ANXA6	-0.99905	50.97	-9.7E-01	rgb(  7, 89,254)	1.9994	None
HSF4	ALX4	-0.99905	50.97	-9.7E-01	rgb(  5, 88,254)	1.9994	None
MSX2	SLC32A1	0.99905	50.97	0.971	rgb(228, 31, 33)	1.9994	None
MSX2	SLC8A3	0.99905	50.97	0.966	rgb(228, 33, 34)	1.9994	None
NKX2-2	LEMD1	0.99905	50.97	0.966	rgb(228, 33, 34)	1.9994	None
POU3F2	PDZK1	-0.99905	50.97	-9.7E-01	rgb(  6, 89,254)	1.9994	None
POU5F1	CRYM	-0.99905	50.97	-9.7E-01	rgb(  7, 89,254)	1.9994	None
SIX2	SYT4	-0.99905	50.97	-9.7E-01	rgb(  7, 89,254)	1.9994	None
SOX1	PPFIA3	-0.99905	50.97	-9.7E-01	rgb(  6, 89,254)	1.9994	None
TFCP2L1	CDH20	0.99905	50.97	0.975	rgb(228, 31, 33)	1.9994	None
DMBX1	ILDR2	0.9982	50.96	0.958	rgb(228, 34, 36)	1.9992	None
EBF3	IRX1	0.9982	50.96	0.962	rgb(228, 33, 35)	1.9992	None
EGR2	FOLR1	-0.9982	50.96	-9.6E-01	rgb(  9, 90,253)	1.9992	None
EGR2	USH1C	-0.9982	50.96	-9.6E-01	rgb( 10, 91,253)	1.9992	None
ELF3	DIRAS2	-0.9982	50.96	-9.6E-01	rgb(  9, 90,254)	1.9992	None
FOXJ1	ATP1A3	0.9982	50.96	0.959	rgb(228, 34, 36)	1.9992	None
HOXD1	TMEM154	0.9982	50.96	0.963	rgb(228, 33, 35)	1.9992	None
LHX1	HLA-DPB1	0.9982	50.96	0.958	rgb(228, 34, 36)	1.9992	None
LMX1A	CLEC4GP1	-0.9982	50.96	-9.6E-01	rgb(  8, 90,254)	1.9992	None
LMX1A	KL	-0.9982	50.96	-9.6E-01	rgb(  9, 91,253)	1.9992	None
MEF2C	KAL1	0.9982	50.96	0.955	rgb(228, 35, 37)	1.9992	2,2
MSX2	C2CD4A	0.9982	50.96	0.958	rgb(228, 34, 36)	1.9992	None
MSX2	PLS1	0.9982	50.96	0.958	rgb(228, 34, 36)	1.9992	None
MSX2	SCG2	0.9982	50.96	0.964	rgb(228, 33, 35)	1.9992	None
NKX2-2	GLI1	0.9982	50.96	0.956	rgb(228, 34, 36)	1.9992	None
NR4A3	TFAP2B	-0.9982	50.96	-9.6E-01	rgb(  9, 91,253)	1.9992	None
NR4A3	TMEM196	0.9982	50.96	0.959	rgb(228, 34, 36)	1.9992	None
ONECUT3	SCG2	0.9982	50.96	0.958	rgb(228, 34, 36)	1.9992	None
OSR2	PHGR1	0.9982	50.96	0.964	rgb(228, 33, 35)	1.9992	None
RELB	SCN4B	0.9982	50.96	0.958	rgb(228, 34, 36)	1.9992	None
RFX4	KIRREL2	0.9982	50.96	0.958	rgb(228, 34, 36)	1.9992	None
STAT4	ESRRG	0.9982	50.96	0.956	rgb(228, 34, 36)	1.9992	None
TBX20	CNTNAP5	-0.9982	50.96	-9.6E-01	rgb(  9, 90,253)	1.9992	None
ARID5B	ATP6V0D2	0.99692	50.95	0.955	rgb(228, 35, 37)	1.999	None
CDX2	MAP7D3	0.99692	50.95	0.946	rgb(227, 36, 38)	1.999	None
DLX5	SH3RF3-AS1	0.99692	50.95	0.946	rgb(227, 36, 38)	1.999	None
EHF	LINGO3	0.99692	50.95	0.949	rgb(227, 36, 38)	1.999	None
FLI1	KCNS1	-0.99692	50.95	-9.5E-01	rgb( 10, 91,253)	1.999	None
FLI1	SUSD2	0.99692	50.95	0.948	rgb(227, 36, 38)	1.999	None
FOXJ1	ELF5	0.99692	50.95	0.951	rgb(227, 35, 37)	1.999	None
FOXJ1	SRRM3	0.99692	50.95	0.945	rgb(227, 36, 38)	1.999	None
GATA2	ZAP70	-0.99692	50.95	-9.5E-01	rgb( 10, 91,253)	1.999	None
GFI1	PHYHIPL	0.99692	50.95	0.945	rgb(227, 36, 38)	1.999	None
IRF4	MOXD1	0.99692	50.95	0.954	rgb(227, 35, 37)	1.999	None
IRF4	PRSS1	-0.99692	50.95	-9.7E-01	rgb(  7, 89,254)	1.999	None
LHX8	GRIP2	-0.99692	50.95	-9.5E-01	rgb( 12, 92,253)	1.999	None
MSX2	RGS7	0.99692	50.95	0.947	rgb(227, 36, 38)	1.999	None
MSX2	TUBA4A	0.99692	50.95	0.952	rgb(227, 35, 37)	1.999	None
NEUROG3	ARRDC4	0.99692	50.95	0.949	rgb(227, 36, 38)	1.999	None
NEUROG3	C1QL1	0.99692	50.95	0.952	rgb(227, 35, 37)	1.999	None
NFIA	BTBD17	-0.99692	50.95	-9.5E-01	rgb( 12, 92,253)	1.999	None
OSR2	NOVA2	0.99692	50.95	0.948	rgb(227, 36, 38)	1.999	None
PBX3	KLHDC8A	-0.99692	50.95	-9.5E-01	rgb( 10, 91,253)	1.999	None
RELB	ZNF503	0.99692	50.95	0.952	rgb(227, 35, 37)	1.999	None
RFX4	DLK1	0.99692	50.95	0.946	rgb(227, 36, 38)	1.999	None
RFX4	PPFIBP2	-0.99692	50.95	-9.5E-01	rgb( 10, 91,253)	1.999	None
SCRT1	MUSTN1	0.99692	50.95	0.95	rgb(227, 36, 38)	1.999	None
SHOX2	PRSS12	0.99692	50.95	0.953	rgb(227, 35, 37)	1.999	None
SIX2	NGF	-0.99692	50.95	-9.5E-01	rgb( 12, 92,253)	1.999	None
SOX1	ANKRD50	0.99692	50.95	0.951	rgb(227, 35, 37)	1.999	None
SOX1	CHRNB2	-0.99692	50.95	-9.5E-01	rgb( 10, 91,253)	1.999	None
SOX1	SH3GL2	0.99692	50.95	0.951	rgb(227, 35, 37)	1.999	None
SOX1	TPCN1	0.99692	50.95	0.952	rgb(227, 35, 37)	1.999	None
SP5	LINC00890	-0.99692	50.95	-9.5E-01	rgb( 12, 92,253)	1.999	2,2
STAT4	ONECUT3	0.99692	50.95	0.951	rgb(227, 35, 37)	1.999	None
TBX2	HRH3	0.99692	50.95	0.952	rgb(227, 35, 37)	1.999	None
TBX4	FAM84A	-0.99692	50.95	-9.5E-01	rgb( 10, 91,253)	1.999	2,2
ZIC2	SCG2	0.99692	50.95	0.952	rgb(227, 35, 37)	1.999	None
ALX4	CGREF1	-0.99502	50.94	-9.4E-01	rgb( 12, 92,253)	1.9988	None
ARID5B	SSX2IP	-0.99502	50.94	-9.4E-01	rgb( 13, 93,253)	1.9988	None
BACH2	NPTX1	-0.99502	50.94	-9.4E-01	rgb( 13, 93,253)	1.9988	None
BCL6	SLITRK3	0.99502	50.94	0.943	rgb(227, 37, 39)	1.9988	None
DMBX1	SOX1	0.99502	50.94	0.941	rgb(227, 37, 39)	1.9988	None
EGR1	P2RY2	-0.99502	50.94	-9.4E-01	rgb( 13, 93,253)	1.9988	None
EGR2	MYL4	0.99502	50.94	0.938	rgb(227, 38, 40)	1.9988	None
EGR2	PITX1	-0.99502	50.94	-9.4E-01	rgb( 13, 93,253)	1.9988	None
EGR3	DSEL	-0.99502	50.94	-9.4E-01	rgb( 12, 92,253)	1.9988	None
ETV1	VGF	-0.99502	50.94	-9.4E-01	rgb( 12, 92,253)	1.9988	None
FOXJ1	LRRN3	0.99502	50.94	0.94	rgb(227, 38, 39)	1.9988	2,2
FOXJ1	PLEKHG4	-0.99502	50.94	-9.4E-01	rgb( 14, 94,253)	1.9988	None
FOXJ1	STMN2	0.99502	50.94	0.94	rgb(227, 37, 39)	1.9988	None
HSF4	FOSB	0.99502	50.94	0.944	rgb(227, 37, 39)	1.9988	None
IRF4	WDR66	0.99502	50.94	0.938	rgb(227, 38, 40)	1.9988	None
KLF10	PRRT2	0.99502	50.94	0.942	rgb(227, 37, 39)	1.9988	None
LHX6	MDGA1	0.99502	50.94	0.941	rgb(227, 37, 39)	1.9988	None
LHX6	NAALAD2	-0.99502	50.94	-9.4E-01	rgb( 13, 93,253)	1.9988	None
MAFB	TMEFF2	-0.99502	50.94	-9.4E-01	rgb( 13, 93,253)	1.9988	None
MEF2C	ITGB6	0.99502	50.94	0.938	rgb(227, 38, 40)	1.9988	None
MSX2	GC	0.99502	50.94	0.942	rgb(227, 37, 39)	1.9988	None
MSX2	PCDHB6	-0.99502	50.94	-9.4E-01	rgb( 14, 93,253)	1.9988	None
MYCN	CD163	-0.99502	50.94	-9.4E-01	rgb( 12, 92,253)	1.9988	None
MYT1L	SAMD15	0.99502	50.94	0.94	rgb(227, 38, 39)	1.9988	None
NEUROG3	MAFB	0.99502	50.94	0.941	rgb(227, 37, 39)	1.9988	None
NEUROG3	RAP1GAP2	0.99502	50.95	0.955	rgb(228, 35, 37)	1.999	None
NEUROG3	VWA5B2	0.99502	50.94	0.943	rgb(227, 37, 39)	1.9988	None
NR2F1	GLIPR1	-0.99502	50.94	-9.4E-01	rgb( 13, 93,253)	1.9988	None
NR2F1	SLC15A1	0.99502	50.94	0.939	rgb(227, 38, 39)	1.9988	None
NR4A3	IGFALS	-0.99502	50.94	-9.4E-01	rgb( 14, 94,253)	1.9988	None
OSR2	IRX1	0.99502	50.94	0.944	rgb(227, 37, 39)	1.9988	None
OSR2	MAN1A1	0.99502	50.94	0.945	rgb(227, 37, 38)	1.9988	None
PAX4	SGCD	-0.99502	50.94	-9.4E-01	rgb( 13, 93,253)	1.9988	None
POU3F4	GRIK2	-0.99502	50.94	-9.4E-01	rgb( 13, 93,253)	1.9988	None
RARB	CMSS1	-0.99502	50.94	-9.4E-01	rgb( 13, 93,253)	1.9988	None
RELB	SLC6A15	0.99502	50.94	0.945	rgb(227, 37, 38)	1.9988	None
RELB	ZIC5	0.99502	50.94	0.939	rgb(227, 38, 39)	1.9988	None
RFX4	ISL1	0.99502	50.94	0.942	rgb(227, 37, 39)	1.9988	None
RFX4	RAPGEF4	0.99502	50.94	0.936	rgb(227, 38, 40)	1.9988	None
RFX4	SEZ6L	0.99502	50.94	0.944	rgb(227, 37, 39)	1.9988	None
RFX4	TUBA4A	0.99502	50.94	0.943	rgb(227, 37, 39)	1.9988	None
SHOX2	CORO2B	-0.99502	50.94	-9.4E-01	rgb( 14, 93,253)	1.9988	None
SIX2	IL11	-0.99502	50.94	-9.4E-01	rgb( 13, 93,253)	1.9988	None
SOX1	CPLX1	-0.99502	50.94	-9.4E-01	rgb( 13, 93,253)	1.9988	None
SOX1	FAM57B	-0.99502	50.94	-9.4E-01	rgb( 14, 93,253)	1.9988	2,2
SOX3	COL6A3	-0.99502	50.94	-9.4E-01	rgb( 13, 93,253)	1.9988	None
STAT4	TMOD1	0.99502	50.94	0.943	rgb(227, 37, 39)	1.9988	None
TFAP2B	GPR1	-0.99502	50.94	-9.4E-01	rgb( 13, 93,253)	1.9988	None
TFCP2L1	SLC35D3	0.99502	50.94	0.939	rgb(227, 38, 39)	1.9988	None
TP63	NEURL1B	0.99502	50.94	0.941	rgb(227, 37, 39)	1.9988	None
ZIC2	MAPK8IP2	0.99502	50.94	0.943	rgb(227, 37, 39)	1.9988	None
ZIC2	VSTM2A	0.99502	50.94	0.941	rgb(227, 37, 39)	1.9988	None
EGR3	C15orf59	-0.99329	50.93	-9.3E-01	rgb( 16, 95,252)	1.9986	2,2
EGR3	EPB41L4B	-0.99329	50.93	-9.3E-01	rgb( 16, 95,252)	1.9986	None
ETV4	ACTA2	0.99329	50.93	0.931	rgb(227, 39, 41)	1.9986	None
