TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
FOXA1	SLC16A12	0.99979	50.99	0.988	rgb(228, 28, 30)	1.9998	None
KLF11	MID1IP1	-0.99979	50.99	-9.9E-01	rgb(  2, 86,255)	1.9998	None
NKX2-2	HCN2	0.99979	50.99	0.989	rgb(228, 28, 30)	1.9998	None
RELB	TNC	0.99979	50.99	0.986	rgb(228, 29, 31)	1.9998	None
SOX3	LRTM1	0.99979	50.99	0.986	rgb(228, 29, 31)	1.9998	None
TFAP2B	S100P	0.99979	50.99	0.994	rgb(228, 27, 29)	1.9998	None
EGR4	HCN2	0.99937	50.98	0.984	rgb(228, 29, 31)	1.9996	None
FOXC2	HS3ST5	0.99937	50.98	0.976	rgb(228, 31, 32)	1.9996	None
HOXA9	SGCD	0.99937	50.98	0.98	rgb(228, 30, 32)	1.9996	None
MAFB	IL13RA2	0.99937	50.98	0.976	rgb(228, 31, 33)	1.9996	None
MXI1	HGFAC	-0.99937	50.98	-9.8E-01	rgb(  4, 87,254)	1.9996	None
NEUROG3	NPTX1	0.99937	50.98	1	rgb(228, 26, 28)	1.9996	None
PDX1	SHB	0.99937	50.98	0.976	rgb(228, 31, 33)	1.9996	None
POU3F4	MKRN3	-0.99937	50.98	-9.8E-01	rgb(  5, 88,254)	1.9996	None
SCRT1	TPCN1	0.99937	50.98	0.98	rgb(228, 30, 32)	1.9996	None
TBX4	DPP4	0.99937	50.98	0.978	rgb(228, 30, 32)	1.9996	None
TFCP2L1	OLIG3	0.99937	50.98	0.978	rgb(228, 30, 32)	1.9996	None
TP63	ANK1	0.99937	50.98	0.975	rgb(228, 31, 33)	1.9996	None
ASCL2	RCOR2	0.9981	50.97	0.968	rgb(228, 32, 34)	1.9994	None
BACH2	C6	0.9981	50.97	0.968	rgb(228, 32, 34)	1.9994	None
EGR1	CPA4	0.9981	50.97	0.972	rgb(228, 31, 33)	1.9994	None
EHF	GRPR	-0.9981	50.97	-9.7E-01	rgb(  7, 89,254)	1.9994	None
