TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
NFKB2	RRAS	0.99996	50.96	0.96	rgb(228, 34, 35)	1.9998	None
NEUROG3	KIF19	0.99989	50.955	0.956	rgb(228, 34, 36)	1.9997	None
SATB2	NRARP	-0.99989	50.955	-9.6E-01	rgb( 10, 91,253)	1.9997	None
SATB2	TBL1X	0.99986	50.95	0.95	rgb(227, 36, 38)	1.9996	None
ESRRB	NR2F1-AS1	-0.99979	50.97	-9.7E-01	rgb(  7, 89,254)	2	None
NEUROG3	FAM84A	0.99979	50.97	0.974	rgb(228, 31, 33)	2	None
PDX1	LOC728392	0.99975	50.94	0.94	rgb(227, 37, 39)	1.9994	None
TGIF2	HAND1	-0.99972	50.955	-9.6E-01	rgb( 10, 91,253)	1.9997	None
ZIC5	PDE1C	-0.99968	50.91	-9.1E-01	rgb( 19, 97,252)	1.9988	None
ESRRB	UNC13A	0.99965	50.925	0.924	rgb(227, 40, 42)	1.9991	None
INSM1	SRRM4	0.99961	50.92	0.919	rgb(227, 42, 43)	1.999	None
FOXA2	HIF1A-AS2	-0.99958	50.95	-9.5E-01	rgb( 11, 92,253)	1.9996	None
NFKB2	IL11	0.99954	50.9	0.899	rgb(227, 45, 47)	1.9986	None
MAFB	IL13RA2	0.99951	50.97	0.967	rgb(228, 32, 34)	2	None
CEBPA	PITX1	0.99947	50.915	0.913	rgb(227, 43, 44)	1.9989	None
ESRRB	VSTM2A	0.99937	50.945	0.946	rgb(227, 36, 38)	1.9995	None
GLIS2	SCT	-0.99937	50.945	-2.4E-02	rgb(212,214,218)	1.9995	None
SATB2	CRTAC1	-0.99937	50.945	-9.5E-01	rgb( 12, 92,253)	1.9995	None
HSF2	ADAMTS20	0.99933	50.93	0.929	rgb(227, 40, 41)	1.9992	None
NEUROG3	LOC728392	-0.9993	50.89	-8.9E-01	rgb( 24,100,251)	1.9984	None
GFI1	CDH5	0.99926	50.925	0.054	rgb(218,207,207)	1.9991	None
NPAS1	BC021061	0.99922	50.905	0.904	rgb(227, 44, 46)	1.9987	2,2
NFKB2	RELB	0.99919	50.875	0.873	rgb(227, 50, 52)	1.9981	None
IRF4	GMNN	-0.99915	50.94	-2.3E-02	rgb(212,214,218)	1.9994	None
PTF1A	SLC46A3	0.99912	50.955	0.954	rgb(227, 35, 37)	1.9997	None
PTF1A	FZD1	0.99908	50.925	0.924	rgb(227, 41, 42)	1.9991	None
SOX1	IGFN1	-0.99905	50.95	-9.5E-01	rgb( 11, 92,253)	1.9996	None
RELB	KCNQ5	0.99901	50.885	0.884	rgb(227, 48, 50)	1.9983	None
SATB2	ANKS1A	0.99898	50.915	0.918	rgb(227, 42, 44)	1.9989	None
PTF1A	MUSTN1	0.99894	50.88	0.877	rgb(227, 49, 51)	1.9982	None
HOXB9	SLC6A15	-0.99891	50.895	-8.2E-02	rgb(199,206,220)	1.9985	None
RORC	CHRNB2	0.99887	50.93	0.017	rgb(217,214,214)	1.9992	None
EGR1	EGR3	0.9988	50.87	0.87	rgb(227, 51, 53)	1.998	None
NKX2-2	SEZ6L	0.9988	50.87	0.87	rgb(227, 51, 52)	1.998	None
HSF2	KIF19	0.99877	50.84	0.16	rgb(219,186,187)	1.9974	None
RELB	NFKB2	0.99873	50.935	0.933	rgb(227, 39, 41)	1.9993	None
ESRRB	ADCY1	0.9987	50.93	0.93	rgb(227, 39, 41)	1.9992	None
NFKB2	JUNB	0.99866	50.905	0.903	rgb(227, 45, 46)	1.9987	None
IRF4	ELL2	0.99863	50.85	0.849	rgb(226, 55, 57)	1.9976	None
IRF4	C2CD4A	0.99859	50.915	0.915	rgb(227, 42, 44)	1.9989	None
PRDM16	PRSS1	-0.99856	50.845	-1.4E-01	rgb(186,198,223)	1.9975	None
RARB	SOX9	-0.99852	50.865	-8.6E-01	rgb( 30,103,250)	1.9979	None
RFX3	VWA5B2	0.99848	50.835	0.835	rgb(226, 58, 59)	1.9973	None
RORC	ZFP28	0.99845	50.9	0.898	rgb(227, 45, 47)	1.9986	None
CEBPA	IGF2-AS	-0.99841	50.855	-8.5E-01	rgb( 32,104,249)	1.9977	None
PTF1A	PGM5	0.99838	50.765	0.765	rgb(225, 71, 72)	1.9959	None
NKX2-2	HIST1H2AC	0.99834	50.84	0.84	rgb(226, 57, 58)	1.9974	None
NKX2-2	HLA-DQA2	0.99831	50.875	0.876	rgb(227, 50, 51)	1.9981	None
SIM1	HOXA-AS4	-0.99827	50.885	-8.9E-01	rgb( 25,100,251)	1.9983	2,2
HOXB9	FAM182A	0.99824	50.92	0.018	rgb(217,214,214)	1.999	None
SATB2	HIF1A	0.9982	50.83	0.832	rgb(226, 58, 60)	1.9972	None
NPAS4	IL8	0.99817	50.91	0.912	rgb(227, 43, 45)	1.9988	2,2
ALX4	PRX	0.99813	50.895	0.891	rgb(227, 47, 49)	1.9985	None
ARID5A	HLA-DPB1	0.9981	50.63	0.128	rgb(218,193,193)	1.9933	None
SATB2	GADD45A	-0.99806	50.86	-8.6E-01	rgb( 30,104,250)	1.9978	None
NEUROG3	ATOH7	0.99803	50.84	0.842	rgb(226, 56, 58)	1.9974	None
NFKB2	IL32	0.99799	50.765	0.763	rgb(225, 71, 73)	1.9959	None
NEUROG3	SLC12A2	0.99796	50.88	0.877	rgb(227, 49, 51)	1.9982	None
FOXA1	FAM49A	0.99792	50.895	0.026	rgb(217,212,212)	1.9985	None
PRDM16	KLF10	0.99789	50.74	0.246	rgb(220,170,171)	1.9954	None
HOXB9	LRRTM1	-0.99785	50.915	-3.4E-02	rgb(210,213,218)	1.9989	None
CEBPA	ENTPD3	0.99782	50.905	0.903	rgb(227, 45, 46)	1.9987	None
NKX6-1	SCN8A	-0.99778	50.88	-8.8E-01	rgb( 26,101,250)	1.9982	None
AKNA	CEBPA-AS1	0.99774	50.715	0.713	rgb(225, 81, 82)	1.9949	2,2
FOXC1	SLC15A1	-0.99771	50.84	-1.2E-01	rgb(192,202,221)	1.9974	None
ESRRB	TMEM151A	0.99767	50.87	0.868	rgb(227, 51, 53)	1.998	None
BHLHE40	NGFR	0.99764	50.87	0.049	rgb(218,208,208)	1.998	None
ZFHX2	UBXN10	0.9976	50.39	0.112	rgb(218,196,196)	1.9885	None
NEUROG3	MARCH8	0.99757	50.91	0.91	rgb(227, 43, 45)	1.9988	None
SATB2	GFOD2	-0.99753	50.89	-8.9E-01	rgb( 23, 99,251)	1.9984	None
PRDM16	CXCL6	0.9975	50.86	0.059	rgb(218,206,206)	1.9978	None
IRF4	ESRRG	0.99746	50.84	0.84	rgb(226, 57, 58)	1.9974	None
NEUROG3	HRASLS5	0.99743	50.895	0.892	rgb(227, 47, 48)	1.9985	None
HSF2	DKK1	-0.99739	50.85	-8.0E-02	rgb(200,206,220)	1.9976	None
HOMEZ	CALCB	-0.99736	50.795	-1.7E-01	rgb(180,195,223)	1.9965	None
MYC	SPIB	0.99732	50.845	0.081	rgb(218,201,202)	1.9975	None
SATB2	RBFOX1	-0.99729	50.785	-7.9E-01	rgb( 46,113,247)	1.9963	None
HOXB2	NHLH1	0.99725	50.4	0.9	rgb(227, 45, 47)	1.9887	None
GATA6	KLHL4	0.99722	50.81	0.144	rgb(219,190,190)	1.9968	None
HSF4	SYNPO2	-0.99718	50.715	-2.6E-01	rgb(161,183,227)	1.9949	None
FOXA2	LOC653513	-0.99708	50.865	-2.3E-02	rgb(212,214,218)	1.9979	None
GATA6	ATOH8	-0.99708	50.865	-8.6E-01	rgb( 29,103,250)	1.9979	None
