TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
HIVEP2	SLC2A3	-1	50.99	-9.9E-01	rgb(  3, 87,255)	2	None
HOXA9	ZIC2	1	50.99	0.987	rgb(228, 28, 30)	2	None
NEUROG3	MAFB	1	50.99	0.989	rgb(228, 28, 30)	2	None
NFKB2	HHLA1	1	50.99	0.99	rgb(228, 28, 30)	2	None
ONECUT2	KCNC2	1	50.99	0.988	rgb(228, 28, 30)	2	None
AHR	FZD10	0.99812	50.98	0.981	rgb(228, 30, 32)	1.9998	None
AHR	ZIC5	0.99812	50.98	0.975	rgb(228, 31, 33)	1.9998	None
CDX2	NR2F1	-0.99812	50.98	-9.8E-01	rgb(  4, 87,254)	1.9998	None
EBF2	ODF3B	0.99812	50.98	0.975	rgb(228, 31, 33)	1.9998	None
HOXA9	ZIC5	0.99812	50.98	0.978	rgb(228, 30, 32)	1.9998	None
IRF8	HHLA1	-0.99812	50.98	-9.8E-01	rgb(  5, 88,254)	1.9998	None
NEUROG3	ATOH7	0.99812	50.98	0.982	rgb(228, 30, 31)	1.9998	None
NEUROG3	FZD1	0.99812	50.98	0.977	rgb(228, 30, 32)	1.9998	None
NR2F1	CPN1	0.99812	50.98	0.98	rgb(228, 30, 32)	1.9998	None
RFX4	CELF3	0.99812	50.98	0.983	rgb(228, 29, 31)	1.9998	None
RFX4	RIMBP2	0.99812	50.98	0.977	rgb(228, 30, 32)	1.9998	None
RFX4	TMEM198	0.99812	50.98	0.979	rgb(228, 30, 32)	1.9998	None
RFX4	TUBA3FP	0.99812	50.98	0.984	rgb(228, 29, 31)	1.9998	None
SP5	MT1X	-0.99812	50.98	-9.8E-01	rgb(  4, 87,254)	1.9998	None
TP63	CDKN1A	0.99812	50.98	0.981	rgb(228, 30, 32)	1.9998	None
AHR	CNTFR	0.99623	50.97	0.969	rgb(228, 32, 34)	1.9996	None
AHR	CRABP2	0.99623	50.97	0.966	rgb(228, 32, 34)	1.9996	None
