TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
ATF5	AK094525	-1	50.99	-9.9E-01	rgb(  3, 87,254)	2	2,2
HSF4	COL5A3	-1	50.99	-9.9E-01	rgb(  2, 86,255)	2	None
IRX2	NKX6-1	-1	50.99	-9.9E-01	rgb(  2, 86,255)	2	None
ALX1	CCBE1	0.99814	50.98	0.983	rgb(228, 29, 31)	1.9998	None
HSF4	RGS16	-0.99814	50.98	-9.8E-01	rgb(  4, 88,254)	1.9998	None
NKX2-2	LOC728392	0.99814	50.98	0.977	rgb(228, 30, 32)	1.9998	None
PBX1	ID4	-0.99814	50.98	-9.8E-01	rgb(  5, 88,254)	1.9998	None
RFX6	SLC39A5	-0.99814	50.98	-9.8E-01	rgb(  4, 88,254)	1.9998	None
RXRG	CREBRF	-0.99814	50.98	-9.8E-01	rgb(  5, 88,254)	1.9998	None
TP63	CALB2	-0.99814	50.98	-9.8E-01	rgb(  5, 88,254)	1.9998	None
ZFP92	SKAP1	-0.99814	50.98	-9.8E-01	rgb(  4, 88,254)	1.9998	None
ALX1	CCND1	0.99628	50.97	0.97	rgb(228, 32, 34)	1.9996	None
BHLHE40	RAP1GAP2	-0.99628	50.97	-9.7E-01	rgb(  6, 89,254)	1.9996	None
ELF3	CMTM8	0.99628	50.97	0.966	rgb(228, 32, 34)	1.9996	None
FOXE3	SLC6A4	0.99628	50.97	0.97	rgb(228, 32, 34)	1.9996	None
GATA2	ZBTB4	0.99628	50.97	0.967	rgb(228, 32, 34)	1.9996	None
GFI1	SLC30A8	0.99628	50.97	0.967	rgb(228, 32, 34)	1.9996	None
HSF4	COL28A1	-0.99628	50.97	-9.7E-01	rgb(  6, 88,254)	1.9996	None
HSF4	GADD45A	-0.99628	50.97	-9.7E-01	rgb(  7, 89,254)	1.9996	None
HSF4	KIAA1211L	-0.99628	50.97	-9.7E-01	rgb(  6, 88,254)	1.9996	None
IRX1	COL25A1	-0.99628	50.97	-9.7E-01	rgb(  6, 89,254)	1.9996	None
IRX1	LHX1	-0.99628	50.97	-9.7E-01	rgb(  7, 89,254)	1.9996	None
