PeakID (cmd=annotatePeaks.pl MAFB_merged_hg19.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
19156	chr7	158189439	158190268	+	0	NA	intron (NM_130842, intron 1 of 21)	intron (NM_130842, intron 1 of 21)	135652	NR_030325	693180		NR_030325	ENSG00000207637	MIR595	MIRN595|hsa-mir-595	microRNA 595	ncRNA
20125	chr8	131463917	131465029	+	0	NA	Intergenic	Intergenic	-8553	NM_001362926	50807	Hs.655552	NM_018482	ENSG00000153317	ASAP1	AMAP1|CENTB4|DDEF1|PAG2|PAP|ZG14P	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1	protein-coding
15809	chr5	95401443	95402313	+	0	NA	intron (NR_130776, intron 1 of 4)	intron (NR_130776, intron 1 of 4)	-12964	NR_030309	693168		NR_030309	ENSG00000207578	MIR583	MIRN583|hsa-mir-583	microRNA 583	ncRNA
9887	chr2	59133134	59133741	+	0	NA	intron (NR_033873, intron 3 of 13)	intron (NR_033873, intron 3 of 13)	-311406	NR_110219	101927285	Hs.570209	NR_110219	ENSG00000222030	LINC01793	-	long intergenic non-protein coding RNA 1793	ncRNA
15818	chr5	95562396	95562842	+	0	NA	intron (NR_130776, intron 1 of 4)	intron (NR_130776, intron 1 of 4)	147777	NR_030309	693168		NR_030309	ENSG00000207578	MIR583	MIRN583|hsa-mir-583	microRNA 583	ncRNA
9421	chr2	11529929	11530460	+	0	NA	Intergenic	Intergenic	-3913	NR_047499	100874055	Hs.102428	NR_047499	ENSG00000224177	LINC00570	ncRNA-a5	long intergenic non-protein coding RNA 570	ncRNA
9115	chr19	16830245	16831242	+	0	NA	promoter-TSS (NM_001007525)	promoter-TSS (NM_001007525)	85	NM_001290355	284434	Hs.406014	NM_001007525	ENSG00000188039	NWD1	-	NACHT and WD repeat domain containing 1	protein-coding
5547	chr13	77949643	77950087	+	0	NA	Intergenic	MIRb|SINE|MIR	-48636	NM_015057	23077	Hs.591221	NM_015057	ENSG00000005810	MYCBP2	Myc-bp2|PAM|PHR1|Phr	MYC binding protein 2	protein-coding
16156	chr5	138441301	138441859	+	0	NA	intron (NM_001037633, intron 4 of 10)	intron (NM_001037633, intron 4 of 10)	92477	NM_022464	64374	Hs.483521	NM_022464	ENSG00000120725	SIL1	BAP|MSS|ULG5	SIL1 nucleotide exchange factor	protein-coding
10622	chr2	175892953	175893433	+	0	NA	Intergenic	Intergenic	-23086	NR_038133	1123	Hs.380138	NM_001822	ENSG00000128656	CHN1	ARHGAP2|CHN|DURS2|NC|RHOGAP2	chimerin 1	protein-coding
10091	chr2	86294060	86294549	+	0	NA	intron (NM_015425, intron 13 of 33)	intron (NM_015425, intron 13 of 33)	38705	NM_015425	25885	Hs.531818	NM_015425	ENSG00000068654	POLR1A	A190|AFDCIN|RPA1|RPA194|RPO1-4|RPO14	RNA polymerase I subunit A	protein-coding
3457	chr11	66085790	66086325	+	0	NA	Intergenic	Intergenic	-1542	NM_020404	57124	Hs.195727	NM_020404	ENSG00000174807	CD248	CD164L1|TEM1	CD248 molecule	protein-coding
11875	chr21	40165969	40166439	+	0	NA	Intergenic	Intergenic	-10903	NM_001256295	2114	Hs.644231	NM_005239	ENSG00000157557	ETS2	ETS2IT1	ETS proto-oncogene 2, transcription factor	protein-coding
6015	chr14	58515044	58515436	+	0	NA	intron (NM_001001872, intron 5 of 7)	intron (NM_001001872, intron 5 of 7)	103691	NM_001001872	145407	Hs.26766	NM_001001872	ENSG00000139971	ARMH4	C14orf37|UT2|c14_5376	armadillo like helical domain containing 4	protein-coding
10195	chr2	109233165	109234015	+	0	NA	intron (NM_001193482, intron 1 of 9)	intron (NM_001193482, intron 1 of 9)	-4117	NM_001193484	3987	Hs.597715	NM_004987	ENSG00000169756	LIMS1	PINCH|PINCH-1|PINCH1	LIM zinc finger domain containing 1	protein-coding
8602	chr18	30705458	30706148	+	0	NA	intron (NM_001371120, intron 20 of 23)	L2c|LINE|L2	314732	NM_001371121								
6063	chr14	61991805	61992660	+	0	NA	intron (NM_006255, intron 10 of 13)	intron (NM_006255, intron 10 of 13)	44680	NR_110417	101927780	Hs.254789	NR_110416	ENSG00000250548	LINC01303	-	long intergenic non-protein coding RNA 1303	ncRNA
