PeakID (cmd=annotatePeaks.pl 09-17ngn3_30M_peaksfdr0.05.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr11-1	chr11	2180836	2181068	+	215.5	0.575	TTS (NM_001185098)	TTS (NM_001185098)	1487	NM_000207	3630	Hs.272259	NM_000207	ENSG00000254647	INS	IDDM|IDDM1|IDDM2|ILPR|IRDN|MODY10	insulin	protein-coding
chr11-2	chr11	2181255	2181487	+	211.6	0.563	intron (NM_000207, intron 2 of 2)	intron (NM_000207, intron 2 of 2)	1068	NM_000207	3630	Hs.272259	NM_000207	ENSG00000254647	INS	IDDM|IDDM1|IDDM2|ILPR|IRDN|MODY10	insulin	protein-coding
chr11-3	chr11	2180221	2180453	+	204.1	0.698	TTS (NM_001185098)	TTS (NM_001185098)	2102	NM_000207	3630	Hs.272259	NM_000207	ENSG00000254647	INS	IDDM|IDDM1|IDDM2|ILPR|IRDN|MODY10	insulin	protein-coding
chr10-9	chr10	89378677	89378909	+	54.9	0.939	Intergenic	L2c|LINE|L2	-40683	NM_004670	9060	Hs.524491	NM_004670	ENSG00000198682	PAPSS2	ATPSK2|BCYM4|SK2	3'-phosphoadenosine 5'-phosphosulfate synthase 2	protein-coding
chr20-1	chr20	22504393	22504625	+	50.0	0.835	Intergenic	Intergenic	54771	NR_001558	140828	Hs.9842	NR_001558	ENSG00000259974	LINC00261	ALIEN|C20orf56|DEANR1|HCCDR1|NCRNA00261|TCONS_00027846|onco-lncRNA-17	long intergenic non-protein coding RNA 261	ncRNA
chr6-3	chr6	170747559	170747791	+	48.6	0.958	Intergenic	Intergenic	107826	NR_039787	100616430		NR_039787	ENSG00000266245	MIR4644	-	microRNA 4644	ncRNA
chr1-5	chr1	74808926	74809158	+	47.7	0.842	intron (NM_015978, intron 9 of 24)	intron (NM_015978, intron 9 of 24)	107971	NM_015978	51086	Hs.480085	NM_015978	ENSG00000116783	TNNI3K	CARK|CCDD	TNNI3 interacting kinase	protein-coding
chr7-3	chr7	36985619	36985851	+	46.2	0.800	intron (NM_001206482, intron 16 of 21)	intron (NM_001206482, intron 16 of 21)	-26698	NR_031604	100302113		NR_031604	ENSG00000221325	MIR1200	MIRN1200|hsa-mir-1200	microRNA 1200	ncRNA
chr12-1	chr12	76231578	76231810	+	44.6	0.919	Intergenic	Intergenic	193862	NM_007350	22822	Hs.602085	NM_007350	ENSG00000139289	PHLDA1	DT1P1B11|PHRIP|TDAG51	pleckstrin homology like domain family A member 1	protein-coding
chr10-12	chr10	105336676	105336908	+	44.1	0.888	intron (NM_004210, intron 3 of 5)	intron (NM_004210, intron 3 of 5)	-59593	NR_120676	102724341	Hs.599425	NR_120675	ENSG00000235470	NEURL1-AS1	-	NEURL1 antisense RNA 1	ncRNA
