PeakID (cmd=annotatePeaks.pl RFX6_peak0825_HIOE.filtered.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-3408	chr3	111011127	111011580	+	0	NA	Intergenic	L1PB1|LINE|L1	220690	NM_001243288	25945	Hs.293917	NM_015480	ENSG00000177707	NECTIN3	CD113|CDW113|NECTIN-3|PPR3|PRR3|PVRL3|PVRR3	nectin cell adhesion molecule 3	protein-coding
1-4484	chr14	64560064	64560517	+	0	NA	intron (NM_015180, intron 61 of 114)	intron (NM_015180, intron 61 of 114)	1553	NR_031677	100313830		NR_031677	ENSG00000221537	MIR548H1	MIR548H-1|MIRN548H1	microRNA 548h-1	ncRNA
1-2384	chr22	39680113	39680566	+	0	NA	Intergenic	Intergenic	29577	NR_000028	116938		NR_000028	ENSG00000209480	SNORD83B	RNU83B|U83B	small nucleolar RNA, C/D box 83B	snoRNA
1-5157	chr20	30733820	30734273	+	0	NA	intron (NM_014742, intron 8 of 17)	intron (NM_014742, intron 8 of 17)	36515	NM_001363731	9777	Hs.654665	NM_014742	ENSG00000101337	TM9SF4	dJ836N17.2	transmembrane 9 superfamily member 4	protein-coding
1-3655	chr9	117881116	117881569	+	0	NA	promoter-TSS (NM_002160)	promoter-TSS (NM_002160)	-906	NM_002160	3371	Hs.143250	NM_002160	ENSG00000041982	TNC	150-225|DFNA56|GMEM|GP|HXB|JI|TN|TN-C	tenascin C	protein-coding
1-713	chr4	140656113	140656566	+	0	NA	intron (NM_018717, intron 2 of 4)	CpG	69366	NM_001204368	4258	Hs.81874	NM_002413	ENSG00000085871	MGST2	GST2|MGST-II	microsomal glutathione S-transferase 2	protein-coding
1-5868	chr3	31771523	31771976	+	0	NA	intron (NM_001174060, intron 5 of 10)	AluSc5|SINE|Alu	26044	NR_049771	100874206	Hs.662428	NR_049771	ENSG00000232490	OSBPL10-AS1	-	OSBPL10 antisense RNA 1	ncRNA
1-5691	chr11	108287947	108288400	+	0	NA	intron (NM_001351110, intron 2 of 8)	AluSz6|SINE|Alu	50083	NM_001351110	160140	Hs.653180	NM_152587	ENSG00000166323	C11orf65	-	chromosome 11 open reading frame 65	protein-coding
1-5462	chr17	17279691	17280144	+	0	NA	Intergenic	Intergenic	73230	NM_020201	56953	Hs.513977	NM_020201	ENSG00000205309	NT5M	dNT-2|dNT2|mdN	5',3'-nucleotidase, mitochondrial	protein-coding
1-4346	chr3	56285364	56285817	+	0	NA	intron (NR_132749, intron 3 of 17)	intron (NR_132749, intron 3 of 17)	216905	NM_015576	26059	Hs.476389	NM_015576	ENSG00000187672	ERC2	CAST|CAST1|ELKSL|SPBC110|Spc110	ELKS/RAB6-interacting/CAST family member 2	protein-coding
1-4511	chr16	85145881	85146334	+	0	NA	promoter-TSS (NM_198491)	promoter-TSS (NM_198491)	-29	NM_001366920	339145	Hs.125713	NM_198491	ENSG00000153789	FAM92B	-	family with sequence similarity 92 member B	protein-coding
1-4505	chr16	2083294	2083747	+	0	NA	intron (NM_001252076, intron 1 of 5)	intron (NM_001252076, intron 1 of 5)	225	NM_001252073	9351	Hs.440896	NM_004785	ENSG00000065054	SLC9A3R2	E3KARP|NHE3RF2|NHERF-2|NHERF2|OCTS2|SIP-1|SIP1|TKA-1	SLC9A3 regulator 2	protein-coding
1-3242	chr4	81189309	81189762	+	0	NA	5' UTR (NM_001291812, exon 1 of 3)	5' UTR (NM_001291812, exon 1 of 3)	116	NM_001291812	2250	Hs.37055	NM_004464	ENSG00000138675	FGF5	HBGF-5|Smag-82|TCMGLY	fibroblast growth factor 5	protein-coding
1-5372	chr10	80305508	80305961	+	0	NA	Intergenic	Intergenic	278635	NR_073447	414243	Hs.55047	NR_073447	ENSG00000230417	LINC00595	C10orf101	long intergenic non-protein coding RNA 595	ncRNA
1-2584	chr12	115093625	115094078	+	0	NA	Intergenic	Intergenic	28129	NM_016569	6926	Hs.744016	NM_005996	ENSG00000135111	TBX3	TBX3-ISO|UMS|XHL	T-box transcription factor 3	protein-coding
1-5571	chr3	45151661	45152114	+	0	NA	3' UTR (NM_178181, exon 4 of 4)	3' UTR (NM_178181, exon 4 of 4)	35983	NM_022842	64866	Hs.476093	NM_022842	ENSG00000163814	CDCP1	CD318|SIMA135|TRASK	CUB domain containing protein 1	protein-coding
1-5219	chr2	27632374	27632827	+	0	NA	promoter-TSS (NM_177983)	promoter-TSS (NM_177983)	-142	NM_177983	5496	Hs.643951	NM_177983	ENSG00000115241	PPM1G	PP2CG|PP2CGAMMA|PPP2CG	protein phosphatase, Mg2+/Mn2+ dependent 1G	protein-coding
1-791	chr1	179050916	179051369	+	0	NA	promoter-TSS (NM_022371)	promoter-TSS (NM_022371)	-63	NM_022371	64222	Hs.584957	NM_022371	ENSG00000186283	TOR3A	ADIR|ADIR2	torsin family 3 member A	protein-coding
1-4768	chr13	46189670	46190123	+	0	NA	promoter-TSS (NM_182542)	promoter-TSS (NM_182542)	-22	NM_182542	220081	Hs.668747	NM_182542	ENSG00000165837	ERICH6B	FAM194B	glutamate rich 6B	protein-coding
