PeakID (cmd=annotatePeaks.pl FOXA2_merged_hg19.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
36864	chr4	142074864	142075666	+	0	NA	Intergenic	MIR|SINE|MIR	-20642	NM_020724	57484	Hs.659104	NM_020724	ENSG00000170153	RNF150	-	ring finger protein 150	protein-coding
42799	chr6	66333196	66334050	+	0	NA	intron (NM_001292009, intron 2 of 43)	MIRb|SINE|MIR	-43926	NM_198283	346007	Hs.25067	NM_198283	ENSG00000188107	EYS	C6orf178|C6orf179|C6orf180|EGFL10|EGFL11|RP25|SPAM|bA166P24.2|bA307F22.3|bA74E24.1|dJ1018A4.2|dJ22I17.2|dJ303F19.1	eyes shut homolog	protein-coding
9889	chr11	133989700	133990774	+	0	NA	intron (NM_032801, intron 1 of 8)	intron (NM_032801, intron 1 of 8)	31021	NR_145790	109623486		NR_145790		SNORD153	-	small nucleolar RNA, C/D box 153	snoRNA
22995	chr2	6697620	6698432	+	0	NA	Intergenic	Intergenic	75893	NR_110500	102800315	Hs.729713	NR_110498	ENSG00000236172	LINC01246	-	long intergenic non-protein coding RNA 1246	ncRNA
3396	chr1	197984137	197984767	+	0	NA	Intergenic	Intergenic	97950	NM_001370213	56956	Hs.442578	NM_020204	ENSG00000143355	LHX9	-	LIM homeobox 9	protein-coding
41103	chr5	163826501	163827346	+	0	NA	Intergenic	Intergenic	67485	NR_105064	101927835	Hs.735171	NR_105064	ENSG00000253236	LINC02143	-	long intergenic non-protein coding RNA 2143	ncRNA
10166	chr12	14932987	14934511	+	0	NA	Intergenic	MER90a|LTR|ERV1	6479	NM_177925	55766	Hs.524280	NM_018267	ENSG00000246705	H2AFJ	H2AJ	H2A histone family member J	protein-coding
4605	chr1	245254713	245255931	+	0	NA	intron (NM_001143943, intron 6 of 6)	intron (NM_001143943, intron 6 of 6)	-62965	NM_018012	55083	Hs.143134	NM_018012	ENSG00000162849	KIF26B	-	kinesin family member 26B	protein-coding
15733	chr14	88934670	88935170	+	0	NA	intron (NM_007039, intron 18 of 18)	intron (NM_007039, intron 18 of 18)	82919	NM_018418	55812	Hs.525518	NM_018418	ENSG00000042317	SPATA7	HEL-S-296|HSD-3.1|HSD3|LCA3	spermatogenesis associated 7	protein-coding
53029	chr9	129891628	129892141	+	0	NA	intron (NM_014636, intron 8 of 18)	intron (NM_014636, intron 8 of 18)	-6970	NM_012098	23452	Hs.653262	NM_012098	ENSG00000136859	ANGPTL2	ARP2|HARP	angiopoietin like 2	protein-coding
48449	chr8	17937541	17938097	+	0	NA	intron (NM_001127505, intron 1 of 13)	intron (NM_001127505, intron 1 of 13)	2886	NM_001363743	427	Hs.527412	NM_004315	ENSG00000104763	ASAH1	AC|ACDase|ASAH|PHP|PHP32|SMAPME	N-acylsphingosine amidohydrolase 1	protein-coding
32809	chr3	137920605	137921090	+	0	NA	intron (NM_001363942, intron 2 of 21)	L2c|LINE|L2	14474	NM_001267042	25852	Hs.744868	NM_014154	ENSG00000114098	ARMC8	GID5|HSPC056|S863-2|VID28	armadillo repeat containing 8	protein-coding
40509	chr5	137673138	137674059	+	0	NA	promoter-TSS (NM_001350194)	promoter-TSS (NM_001350194)	352	NM_001135647	51307	Hs.54056	NM_016605	ENSG00000120709	FAM53C	C5orf6	family with sequence similarity 53 member C	protein-coding
32083	chr3	105595550	105596280	+	0	NA	Intergenic	Intergenic	-7670	NR_135810	868	Hs.430589	NM_170662	ENSG00000114423	CBLB	Cbl-b|Nbla00127|RNF56	Cbl proto-oncogene B	protein-coding
278	chr1	14607348	14608201	+	0	NA	Intergenic	Intergenic	138695	NR_149058	105376762	Hs.568591	NR_149058		KAZN-AS1	-	KAZN antisense RNA 1	ncRNA
54032	chrX	96016532	96017099	+	0	NA	intron (NM_007309, intron 4 of 26)	intron (NM_007309, intron 4 of 26)	76974	NM_006729	1730	Hs.226483	NM_006729	ENSG00000147202	DIAPH2	DIA|DIA2|DRF2|POF|POF2|POF2A	diaphanous related formin 2	protein-coding
25193	chr2	122246588	122247676	+	0	NA	intron (NM_015282, intron 8 of 38)	intron (NM_015282, intron 8 of 38)	-41324	NR_023343	100151683	Hs.689638	NR_023343	ENSG00000264229	RNU4ATAC	MOPD1|RFMN|RNU4ATAC1|TALS|U4ATAC	RNA, U4atac small nuclear (U12-dependent splicing)	snRNA
20569	chr17	76334836	76335371	+	0	NA	Intergenic	Intergenic	21057	NM_003955	9021	Hs.527973	NM_003955	ENSG00000184557	SOCS3	ATOD4|CIS3|Cish3|SOCS-3|SSI-3|SSI3	suppressor of cytokine signaling 3	protein-coding
51887	chr9	75597873	75598787	+	0	NA	Intergenic	Intergenic	-30361	NM_000689	216	Hs.76392	NM_000689	ENSG00000165092	ALDH1A1	ALDC|ALDH-E1|ALDH1|ALDH11|HEL-9|HEL-S-53e|HEL12|PUMB1|RALDH1	aldehyde dehydrogenase 1 family member A1	protein-coding
37226	chr4	159033772	159034355	+	0	NA	Intergenic	Intergenic	-57841	NR_147408	285505		NR_147407	ENSG00000248429	FAM198B-AS1	-	FAM198B antisense RNA 1	ncRNA
7205	chr10	128918095	128918678	+	0	NA	intron (NM_001380, intron 25 of 51)	intron (NM_001380, intron 25 of 51)	76469	NM_001039762	642938	Hs.613882	NM_001039762	ENSG00000188916	INSYN2A	C10orf141|FAM196A|INSYN2	inhibitory synaptic factor 2A	protein-coding
41750	chr6	16712813	16713975	+	0	NA	intron (NM_001357857, intron 3 of 8)	intron (NM_001357857, intron 3 of 8)	47021	NR_152114	6310	Hs.434961	NM_000332	ENSG00000124788	ATXN1	ATX1|D6S504E|SCA1	ataxin 1	protein-coding
48714	chr8	29277296	29278604	+	0	NA	Intergenic	MER45A|DNA|hAT-Tip100	-69749	NM_001394	1846	Hs.417962	NM_001394	ENSG00000120875	DUSP4	HVH2|MKP-2|MKP2|TYP	dual specificity phosphatase 4	protein-coding
47479	chr7	122498257	122498920	+	0	NA	intron (NM_001009571, intron 1 of 27)	intron (NM_001009571, intron 1 of 27)	27926	NM_001363400	93664	Hs.649459	NM_017954	ENSG00000081803	CADPS2	CAPS2	calcium dependent secretion activator 2	protein-coding
45224	chr7	7157347	7157789	+	0	NA	Intergenic	MLT1J|LTR|ERVL-MaLR	-21151	NR_034022	100131257	Hs.551110	NR_034022		LOC100131257	-	zinc finger protein 655 pseudogene	pseudo
46628	chr7	82787556	82787916	+	0	NA	intron (NM_014510, intron 1 of 19)	intron (NM_014510, intron 1 of 19)	4464	NM_014510	27445	Hs.12376	NM_014510	ENSG00000186472	PCLO	ACZ|PCH3	piccolo presynaptic cytomatrix protein	protein-coding
53342	chrX	11283350	11283859	+	0	NA	intron (NM_006125, intron 1 of 10)	intron (NM_006125, intron 1 of 10)	508	NM_013423	395	Hs.435291	NM_001174	ENSG00000047648	ARHGAP6	RHOGAP6|RHOGAPX-1	Rho GTPase activating protein 6	protein-coding
28233	chr20	32979705	32980456	+	0	NA	intron (NM_031483, intron 2 of 24)	intron (NM_031483, intron 2 of 24)	29001	NM_001257138	83737	Hs.632272	NM_031483	ENSG00000078747	ITCH	ADMFD|AIF4|AIP4|NAPP1	itchy E3 ubiquitin protein ligase	protein-coding
13019	chr13	42556517	42557025	+	0	NA	Intergenic	Charlie7|DNA|hAT-Charlie	21466	NR_039974	100507240	Hs.147766	NR_039974	ENSG00000278338	VWA8-AS1	-	VWA8 antisense RNA 1 (head to head)	ncRNA
1812	chr1	85743398	85743962	+	0	NA	TTS (NR_045484)	TTS (NR_045484)	-1365	NM_003921	8915	Hs.193516	NM_003921	ENSG00000142867	BCL10	CARMEN|CIPER|CLAP|IMD37|c-E10|mE10	BCL10 immune signaling adaptor	protein-coding
498	chr1	23441547	23442101	+	0	NA	intron (NM_033631, intron 1 of 4)	intron (NM_033631, intron 1 of 4)	53525	NM_033631	7798	Hs.257900	NM_033631	ENSG00000169641	LUZP1	LUZP	leucine zipper protein 1	protein-coding
18266	chr16	55424650	55425427	+	0	NA	Intergenic	Intergenic	66567	NM_024335	79190	Hs.369907	NM_024335	ENSG00000159387	IRX6	IRX-3|IRX7|IRXB3	iroquois homeobox 6	protein-coding
51582	chr9	28428539	28429324	+	0	NA	intron (NM_001354575, intron 4 of 6)	intron (NM_001354575, intron 4 of 6)	290372	NM_152570	158038	Hs.444665	NM_152570	ENSG00000174482	LINGO2	LERN3|LRRN6C	leucine rich repeat and Ig domain containing 2	protein-coding
22142	chr19	1205426	1205940	+	0	NA	promoter-TSS (NM_000455)	promoter-TSS (NM_000455)	-115	NM_000455	6794	Hs.515005	NM_000455	ENSG00000118046	STK11	LKB1|PJS|hLKB1	serine/threonine kinase 11	protein-coding
