PeakID (cmd=annotatePeaks.pl FOXA2_PE_peaks_hg19.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
39508	chr15	61073350	61074350	+	0	NA	intron (NM_134261, intron 1 of 10)	intron (NM_134261, intron 1 of 10)	100082	NR_120318	100996876	Hs.511626	NR_120318		RORA-AS2	-	RORA antisense RNA 2	ncRNA
42466	chr16	67461669	67462669	+	0	NA	Intergenic	Intergenic	-2855	NM_000196	3291	Hs.1376	NM_000196	ENSG00000176387	HSD11B2	AME|AME1|HSD11K|HSD2|SDR9C3	hydroxysteroid 11-beta dehydrogenase 2	protein-coding
28859	chr10	101840912	101841912	+	0	NA	5' UTR (NM_001308, exon 1 of 9)	5' UTR (NM_001308, exon 1 of 9)	214	NM_001308	1369	Hs.2246	NM_001308	ENSG00000120054	CPN1	CPN|SCPN	carboxypeptidase N subunit 1	protein-coding
12599	chr3	196746275	196747275	+	0	NA	intron (NM_033316, intron 6 of 6)	L1ME1|LINE|L1	9913	NM_005929	4241	Hs.184727	NM_005929	ENSG00000163975	MELTF	CD228|MAP97|MFI2|MTF1|MTf	melanotransferrin	protein-coding
35600	chr12	125423243	125424243	+	0	NA	Intergenic	MIRb|SINE|MIR	23650	NR_049820	100847004		NR_049820	ENSG00000265345	MIR5188	mir-5188	microRNA 5188	ncRNA
46213	chr17	71793911	71794911	+	0	NA	intron (NR_040020, intron 5 of 6)	intron (NR_040020, intron 5 of 6)	11450	NR_040020	400620	Hs.348644	NR_040020	ENSG00000234721	LINC02092	-	long intergenic non-protein coding RNA 2092	ncRNA
12645	chr4	611367	612367	+	0	NA	Intergenic	MER70B|LTR|ERVL	-7496	NM_000283	5158	Hs.623810	NM_000283	ENSG00000133256	PDE6B	CSNB3|CSNBAD2|GMP-PDEbeta|PDEB|RP40|rd1	phosphodiesterase 6B	protein-coding
41411	chr16	9324539	9325539	+	0	NA	Intergenic	L3|LINE|CR1	-124406	NR_135195	101927009	Hs.537273	NR_135195	ENSG00000261617	LINC02177	-	long intergenic non-protein coding RNA 2177	ncRNA
48247	chr18	74828373	74829373	+	0	NA	intron (NM_001025100, intron 1 of 3)	MIR|SINE|MIR	15866	NM_001025101	4155	Hs.551713	NM_002385	ENSG00000197971	MBP	-	myelin basic protein	protein-coding
13505	chr4	41753583	41754583	+	0	NA	Intergenic	Intergenic	-3096	NM_003924	8929	Hs.87202	NM_003924	ENSG00000109132	PHOX2B	CCHS|NBLST2|NBPhox|PMX2B	paired like homeobox 2B	protein-coding
9929	chr3	4867257	4868257	+	0	NA	intron (NM_001099952, intron 57 of 58)	intron (NM_001099952, intron 57 of 58)	-74483	NR_004428	100126791	Hs.663059	NR_004428	ENSG00000235947	EGOT	EGO|NCRNA00190	eosinophil granule ontogeny transcript	ncRNA
