PeakID (cmd=annotatePeaks.pl NEUROD1_72hpi_peak0107_HIOE.filtered.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-4077	chr6	157550873	157551170	+	0	NA	Intergenic	L2a|LINE|L2	193460	NM_001363725	57492	Hs.291587	NM_017519	ENSG00000049618	ARID1B	6A3-5|BAF250B|BRIGHT|CSS1|DAN15|ELD/OSA1|MRD12|OSA2|P250R	AT-rich interaction domain 1B	protein-coding
1-2141	chr5	74229781	74230078	+	0	NA	Intergenic	Intergenic	-67138	NM_015566	26049	Hs.91662	NM_015566	ENSG00000198780	FAM169A	SLAP75	family with sequence similarity 169 member A	protein-coding
1-674	chr6	3309732	3310029	+	0	NA	intron (NM_015482, intron 4 of 9)	intron (NM_015482, intron 4 of 9)	50699	NM_001128592	389362	Hs.207069	NM_001128591	ENSG00000180822	PSMG4	C6orf86|PAC4|bA506K6.2	proteasome assembly chaperone 4	protein-coding
1-742	chr7	97880863	97881160	+	0	NA	intron (NM_015395, intron 1 of 25)	intron (NM_015395, intron 1 of 25)	533	NM_015395	25851	Hs.592281	NM_015395	ENSG00000205356	TECPR1	-	tectonin beta-propeller repeat containing 1	protein-coding
1-2231	chr14	51994401	51994698	+	0	NA	intron (NM_001042481, intron 1 of 14)	intron (NM_001042481, intron 1 of 14)	38703	NM_001042481	122786	Hs.434914	NM_152330	ENSG00000139926	FRMD6	C14orf31|EX1|Willin|c14_5320	FERM domain containing 6	protein-coding
1-2634	chr21	45967937	45968234	+	0	NA	intron (NM_001272037, intron 3 of 12)	L1M4|LINE|L1	3303	NR_130165	386679	Hs.664660	NM_198693	ENSG00000205445	KRTAP10-2	KAP10.2|KAP18-2|KAP18.2|KRTAP10.2|KRTAP18-2|KRTAP18.2	keratin associated protein 10-2	protein-coding
1-3518	chr3	149786929	149787226	+	0	NA	Intergenic	Intergenic	-27153	NR_136187	105374313	Hs.151216	NR_136187		LOC105374313	-	uncharacterized LOC105374313	ncRNA
1-3892	chr1	172612034	172612331	+	0	NA	Intergenic	Intergenic	-15966	NM_001302746	356	Hs.2007	NM_000639	ENSG00000117560	FASLG	ALPS1B|APT1LG1|APTL|CD178|CD95-L|CD95L|FASL|TNFSF6|TNLG1A	Fas ligand	protein-coding
1-1131	chr18	20824399	20824696	+	0	NA	intron (NM_001256438, intron 7 of 9)	intron (NM_001256438, intron 7 of 9)	88758	NM_138375	91768	Hs.11108	NM_138375	ENSG00000134508	CABLES1	CABL1|CABLES|HsT2563|IK3-1	Cdk5 and Abl enzyme substrate 1	protein-coding
1-1195	chr7	5598436	5598733	+	0	NA	Intergenic	Intergenic	-28352	NM_001101	60	Hs.520640	NM_001101	ENSG00000075624	ACTB	BRWS1|PS1TP5BP1	actin beta	protein-coding
1-2378	chr3	17028750	17029047	+	0	NA	intron (NM_015184, intron 1 of 5)	L2b|LINE|L2	54210	NR_037465	100500913		NR_037465	ENSG00000283885	MIR3714	-	microRNA 3714	ncRNA
1-3390	chr22	24255908	24256205	+	0	NA	Intergenic	CpG	-14939	NR_038911	284889	Hs.632772	NR_038911		MIF-AS1	MIF-AS	MIF antisense RNA 1	ncRNA
1-34	chr13	113645221	113645518	+	0	NA	intron (NM_001320816, intron 1 of 29)	intron (NM_001320816, intron 1 of 29)	-10659	NM_001320815	23263	Hs.170422	NM_024979	ENSG00000126217	MCF2L	ARHGEF14|DBS|OST	MCF.2 cell line derived transforming sequence like	protein-coding
1-865	chr1	51795097	51795394	+	0	NA	promoter-TSS (NR_123731)	promoter-TSS (NR_123731)	-81	NR_123731	102724097	Hs.568648	NR_123731	ENSG00000261664	TTC39A-AS1	-	TTC39A antisense RNA 1	ncRNA
1-1766	chr16	75279439	75279736	+	0	NA	intron (NM_001170715, intron 1 of 6)	intron (NM_001170715, intron 1 of 6)	2462	NM_001170719	9564	Hs.479747	NM_014567	ENSG00000050820	BCAR1	CAS|CAS1|CASS1|CRKAS|P130Cas	BCAR1 scaffold protein, Cas family member	protein-coding
1-699	chr15	78282978	78283275	+	0	NA	Intergenic	MIRb|SINE|MIR	3441	NR_026998	91450	Hs.406766	NR_026998		LOC91450	-	uncharacterized LOC91450	ncRNA
1-2152	chr6	4357661	4357958	+	0	NA	Intergenic	Intergenic	-131223	NR_149117	105374895	Hs.436882	NR_149117		LINC02533	-	long intergenic non-protein coding RNA 2533	ncRNA
1-313	chr10	79092164	79092461	+	0	NA	intron (NM_001322838, intron 1 of 29)	intron (NM_001322838, intron 1 of 29)	18207	NM_001322838	3778	Hs.144795	NM_002247	ENSG00000156113	KCNMA1	BKTM|CADEDS|KCa1.1|MaxiK|PNKD3|SAKCA|SLO|SLO-ALPHA|SLO1|bA205K10.1|hSlo|mSLO1	potassium calcium-activated channel subfamily M alpha 1	protein-coding
1-2285	chr18	28550111	28550408	+	0	NA	Intergenic	Intergenic	72449	NM_001941	1825	Hs.41690	NM_001941	ENSG00000134762	DSC3	CDHF3|DSC|DSC1|DSC2|DSC4|HT-CP	desmocollin 3	protein-coding
1-1595	chr22	39752498	39752795	+	0	NA	intron (NM_145731, intron 1 of 3)	intron (NM_145731, intron 1 of 3)	6650	NM_004711	9145	Hs.216226	NM_004711	ENSG00000100321	SYNGR1	-	synaptogyrin 1	protein-coding
1-2681	chr1	206899700	206899997	+	0	NA	intron (NM_032960, intron 1 of 9)	intron (NM_032960, intron 1 of 9)	41598	NM_004759	9261	Hs.643566	NM_004759	ENSG00000162889	MAPKAPK2	MAPKAP-K2|MK-2|MK2	MAPK activated protein kinase 2	protein-coding
1-1511	chr10	14879609	14879906	+	0	NA	promoter-TSS (NM_001278205)	promoter-TSS (NM_001278205)	279	NM_001029954	441549	Hs.559067	NM_001029954	ENSG00000185267	CDNF	ARMETL1	cerebral dopamine neurotrophic factor	protein-coding
