PeakID (cmd=annotatePeaks.pl HIOE_RFX6/HIOE_RFX6_0917input_0.05peaks.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr19-1	chr19	51013941	51014395	+	1668.0	0.801	TTS (NM_001114598)	TTS (NM_001114598)	280	NM_001270686	126119	Hs.467151	NM_138334	ENSG00000161677	JOSD2	SBBI54	Josephin domain containing 2	protein-coding
chr1-2	chr1	43613321	43613775	+	1123.8	0.955	promoter-TSS (NM_001101376)	promoter-TSS (NM_001101376)	-27	NM_001101376	440585	Hs.657614	NM_001101376	ENSG00000186973	FAM183A	-	family with sequence similarity 183 member A	protein-coding
chr19-2	chr19	11484196	11484650	+	874.3	0.985	promoter-TSS (NM_175871)	promoter-TSS (NM_175871)	-960	NM_175871	126074	Hs.631619	NM_175871	ENSG00000173928	SWSAP1	C19orf39|SWS1AP1|ZSWIM7AP1	SWIM-type zinc finger 7 associated protein 1	protein-coding
chrUn_gl000220-16	chrUn_gl000220	93612	94066	+	671.5	0.979	Intergenic	Intergenic	-3290	NR_038958	100507412	Hs.426704	NR_038958		LOC100507412	-	uncharacterized LOC100507412	ncRNA
chr21-1	chr21	43916364	43916818	+	632.4	0.942	promoter-TSS (NM_001286506)	promoter-TSS (NM_001286506)	-58	NR_135518	101930094	Hs.670903	NR_135518	ENSG00000239930	LOC101930094	-	uncharacterized LOC101930094	ncRNA
chr2-1	chr2	74648578	74649032	+	611.0	0.944	promoter-TSS (NM_001316764)	promoter-TSS (NM_001316764)	-52	NM_001320824	84058	Hs.643480	NM_032118	ENSG00000005448	WDR54	-	WD repeat domain 54	protein-coding
chr3-1	chr3	39222164	39222618	+	554.3	0.955	Intergenic	CpG	11695	NM_194293	165904	Hs.447868	NM_194293	ENSG00000168334	XIRP1	CMYA1|Xin	xin actin binding repeat containing 1	protein-coding
chr14-1	chr14	88851778	88852232	+	524.1	0.947	promoter-TSS (NM_001040428)	promoter-TSS (NM_001040428)	4	NM_018418	55812	Hs.525518	NM_018418	ENSG00000042317	SPATA7	HEL-S-296|HSD-3.1|HSD3|LCA3	spermatogenesis associated 7	protein-coding
chr3-2	chr3	65939028	65939482	+	507.7	0.944	intron (NR_145422, intron 1 of 2)	intron (NR_145422, intron 1 of 2)	978	NR_145422	151877	Hs.476636	NR_145422	ENSG00000272610	MAGI1-IT1	-	MAGI1 intronic transcript 1	ncRNA
chr2-2	chr2	220462669	220463123	+	493.9	0.971	exon (NM_052902, exon 2 of 25)	exon (NM_052902, exon 2 of 25)	317	NM_052902	114790	Hs.22410	NM_052902	ENSG00000144589	STK11IP	LIP1|LKB1IP|STK11IP1	serine/threonine kinase 11 interacting protein	protein-coding
chr6-2	chr6	52284923	52285377	+	466.1	0.984	promoter-TSS (NM_018100)	promoter-TSS (NM_018100)	10	NM_018100	114327	Hs.403171	NM_018100	ENSG00000096093	EFHC1	EJM1|dJ304B14.2	EF-hand domain containing 1	protein-coding
chr6-4	chr6	144416639	144417093	+	434.6	0.975	promoter-TSS (NM_031287)	promoter-TSS (NM_031287)	-156	NM_031287	83443	Hs.110695	NM_031287	ENSG00000169976	SF3B5	SF3b10|Ysf3	splicing factor 3b subunit 5	protein-coding
chr17-1	chr17	74449180	74449634	+	413.2	0.962	promoter-TSS (NM_022066)	promoter-TSS (NM_022066)	-26	NM_001166579	15	Hs.431417	NM_001088	ENSG00000129673	AANAT	DSPS|SNAT	aralkylamine N-acetyltransferase	protein-coding
chr16-1	chr16	759530	759984	+	412.0	0.950	Intergenic	Intergenic	-3956	NM_153350	146330	Hs.513244	NM_153350	ENSG00000127585	FBXL16	C16orf22|Fbl16|c380A1.1	F-box and leucine rich repeat protein 16	protein-coding
chr19-4	chr19	6066594	6067048	+	405.7	0.968	intron (NM_000635, intron 1 of 17)	intron (NM_000635, intron 1 of 17)	43690	NM_000635	5990	Hs.465709	NM_000635	ENSG00000087903	RFX2	-	regulatory factor X2	protein-coding
chr16-2	chr16	29984677	29985131	+	403.1	0.982	promoter-TSS (NM_001252043)	promoter-TSS (NM_001252043)	-285	NM_016151	9344	Hs.291623	NM_004783	ENSG00000149930	TAOK2	MAP3K17|PSK|PSK1|PSK1-BETA|TAO1|TAO2	TAO kinase 2	protein-coding
chr19-5	chr19	55690588	55691042	+	399.4	0.958	promoter-TSS (NM_001297774)	promoter-TSS (NM_001297774)	-99	NM_001297774	6861	Hs.631566	NM_003180	ENSG00000129990	SYT5	-	synaptotagmin 5	protein-coding
chr3-4	chr3	193830357	193830811	+	395.6	0.979	Intergenic	Intergenic	-23353	NM_005524	3280	Hs.250666	NM_005524	ENSG00000114315	HES1	HES-1|HHL|HRY|bHLHb39	hes family bHLH transcription factor 1	protein-coding
chr6-5	chr6	142468103	142468557	+	393.1	0.967	promoter-TSS (NM_001286371)	promoter-TSS (NM_001286371)	31	NM_001286372	51534	Hs.431367	NM_016485	ENSG00000009844	VTA1	C6orf55|DRG-1|DRG1|HSPC228|LIP5|My012|SBP1	vesicle trafficking 1	protein-coding
chr6-3	chr6	36930652	36931106	+	391.8	0.951	exon (NM_001199159, exon 6 of 8)	exon (NM_001199159, exon 6 of 8)	8365	NM_153370	221476	Hs.25391	NM_153370	ENSG00000164530	PI16	CD364|CRISP9|MSMBBP|PSPBP	peptidase inhibitor 16	protein-coding
chr10-4	chr10	42392504	42392958	+	388.0	0.965	Intergenic	HSATII|Satellite|Satellite	470762	NR_024380	441666	Hs.255729	NR_024380	ENSG00000215146	LOC441666	-	zinc finger protein 91 pseudogene	pseudo
chr2-4	chr2	241771711	241772165	+	380.5	0.946	Intergenic	CpG	-12213	NM_001244008	547	Hs.516802	NM_004321	ENSG00000130294	KIF1A	ATSV|C2orf20|HSN2C|MRD9|SPG30|UNC104	kinesin family member 1A	protein-coding
