PeakID (cmd=annotatePeaks.pl NEUROG3_peak1027-0918_pancreas.filtered.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-10722	chr18	8367382	8367613	+	0	NA	promoter-TSS (NR_024419)	promoter-TSS (NR_024419)	-465	NR_024419	100192426	Hs.666655	NR_024419	ENSG00000266149	LOC100192426	-	uncharacterized LOC100192426	ncRNA
1-9329	chr14	96519865	96520096	+	0	NA	intron (NM_001282463, intron 2 of 2)	intron (NM_001282463, intron 2 of 2)	14281	NM_001252507	56967	Hs.6434	NM_020215	ENSG00000227051	C14orf132	C14orf88	chromosome 14 open reading frame 132	protein-coding
1-9716	chr7	91264193	91264424	+	0	NA	Intergenic	Intergenic	245708	NM_001301135	7978	Hs.532216	NM_006980	ENSG00000127989	MTERF1	MTERF	mitochondrial transcription termination factor 1	protein-coding
1-369	chr15	39548004	39548235	+	0	NA	Intergenic	Intergenic	5249	NR_144508	400360	Hs.376109	NM_207445	ENSG00000175746	C15orf54	-	chromosome 15 open reading frame 54 (putative)	ncRNA
1-3114	chr7	158611149	158611380	+	0	NA	intron (NM_001367773, intron 1 of 22)	intron (NM_001367773, intron 1 of 22)	10936	NM_020728	57488	Hs.490795	NM_020728	ENSG00000117868	ESYT2	CHR2SYT|E-Syt2|FAM62B	extended synaptotagmin 2	protein-coding
1-4910	chr8	128812529	128812760	+	0	NA	intron (NR_003367, intron 1 of 8)	intron (NR_003367, intron 1 of 8)	4436	NR_031609	100302185		NR_031609	ENSG00000283710	MIR1204	hsa-mir-1204	microRNA 1204	ncRNA
1-6266	chr4	101851014	101851245	+	0	NA	Intergenic	MSTC|LTR|ERVL-MaLR	-254859	NR_046811	100874275	Hs.136318	NR_046811	ENSG00000250223	LINC01216	EMCN-IT3	long intergenic non-protein coding RNA 1216	ncRNA
1-7462	chr20	23237752	23237983	+	0	NA	Intergenic	Intergenic	-93561	NM_013248	29107	Hs.516933	NM_013248	ENSG00000132661	NXT1	MTR2|P15	nuclear transport factor 2 like export factor 1	protein-coding
1-3508	chr2	122626346	122626555	+	0	NA	Intergenic	Intergenic	113223	NM_004622	7247	Hs.75066	NM_004622	ENSG00000211460	TSN	BCLF-1|C3PO|RCHF1|REHF-1|TBRBP|TRSLN	translin	protein-coding
1-6529	chr15	89664752	89664983	+	0	NA	intron (NM_007011, intron 7 of 14)	intron (NM_007011, intron 7 of 14)	33180	NM_007011	11057	Hs.122337	NM_007011	ENSG00000140526	ABHD2	HS1-2|LABH2|PHPS1-2	abhydrolase domain containing 2	protein-coding
