PeakID (cmd=annotatePeaks.pl NEUROD1_peak0825_HIOE.filtered.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-457	chr16	4349041	4349368	+	0	NA	Intergenic	Intergenic	-15558	NM_001318918	84662	Hs.592087	NM_032575	ENSG00000126603	GLIS2	NKL|NPHP7	GLIS family zinc finger 2	protein-coding
1-781	chr10	82224891	82225218	+	0	NA	intron (NM_001351268, intron 2 of 9)	intron (NM_001351268, intron 2 of 9)	-2965	NM_001351272	81619	Hs.308615	NM_030927	ENSG00000108219	TSPAN14	DC-TM4F2|TM4SF14|tspan-14	tetraspanin 14	protein-coding
1-174	chr1	22589044	22589371	+	0	NA	Intergenic	Intergenic	-3525	NR_039613	100616433		NR_039613	ENSG00000266564	MIR4418	-	microRNA 4418	ncRNA
1-623	chr12	29324387	29324714	+	0	NA	intron (NM_001271783, intron 1 of 11)	SVA_F|Other|Other	22339	NM_001271783	55711	Hs.684482	NM_018099	ENSG00000064763	FAR2	HEL-S-81|MLSTD1|SDR10E2	fatty acyl-CoA reductase 2	protein-coding
1-1095	chr8	134806909	134807236	+	0	NA	Intergenic	Intergenic	-17477	NR_125422	101927798	Hs.615036	NR_125422	ENSG00000253165	LOC101927798	-	uncharacterized LOC101927798	ncRNA
1-1243	chr12	90515194	90515521	+	0	NA	Intergenic	L1MA4A|LINE|L1	-171738	NR_135018	105369893	Hs.577777	NR_135018		LINC02392	-	long intergenic non-protein coding RNA 2392	ncRNA
1-934	chr3	125732677	125733004	+	0	NA	intron (NM_017836, intron 8 of 10)	intron (NM_017836, intron 8 of 10)	42778	NM_001008487	54946	Hs.573007	NM_017836	ENSG00000114544	SLC41A3	SLC41A1-L2	solute carrier family 41 member 3	protein-coding
1-823	chr1	150953817	150954144	+	0	NA	promoter-TSS (NM_003568)	promoter-TSS (NM_003568)	-788	NM_003568	8416	Hs.3346	NM_003568	ENSG00000143412	ANXA9	ANX31	annexin A9	protein-coding
1-147	chr12	31387971	31388298	+	0	NA	Intergenic	Intergenic	-33965	NR_153414	144203	Hs.524331	NM_173498	ENSG00000177359	OVOS2	-	alpha-2-macroglobulin like 1 pseudogene	pseudo
1-1055	chr2	28416923	28417250	+	0	NA	intron (NR_120504, intron 1 of 2)	L2c|LINE|L2	12742	NR_120504	100505736	Hs.659540	NR_120504		LOC100505736	-	uncharacterized LOC100505736	ncRNA
1-1389	chr14	56943810	56944137	+	0	NA	Intergenic	Intergenic	-37076	NR_135241	101927690	Hs.385477	NR_135241	ENSG00000258803	LOC101927690	-	uncharacterized LOC101927690	ncRNA
1-853	chr6	111351203	111351530	+	0	NA	Intergenic	Intergenic	17391	NR_002932	442245	Hs.551627	NR_002932		GSTM2P1	-	glutathione S-transferase mu 2 pseudogene 1	pseudo
1-213	chr9	130620277	130620604	+	0	NA	Intergenic	Intergenic	-3388	NM_000118	2022	Hs.76753	NM_000118	ENSG00000106991	ENG	END|HHT1|ORW1	endoglin	protein-coding
1-887	chr14	77386349	77386676	+	0	NA	Intergenic	Intergenic	-39469	NR_133913	105370578	Hs.574184	NR_133913	ENSG00000258602	LINC01629	linc-KIAA1737-2	long intergenic non-protein coding RNA 1629	ncRNA
1-347	chr9	94537522	94537849	+	0	NA	intron (NM_001318204, intron 2 of 7)	intron (NM_001318204, intron 2 of 7)	-139058	NR_037489	100500902		NR_037489	ENSG00000283351	MIR3910-2	mir-3910-2	microRNA 3910-2	ncRNA
1-158	chr6	168199975	168200302	+	0	NA	Intergenic	Intergenic	-2599	NR_026773	26238	Hs.520583	NM_014356	ENSG00000146521	LINC01558	C6orf123|HGC6.2|LINC01557|dJ431P23.4	long intergenic non-protein coding RNA 1558	ncRNA
1-591	chr2	7017945	7018272	+	0	NA	exon (NM_080657, exon 1 of 6)	exon (NM_080657, exon 1 of 6)	200	NM_080657	91543	Hs.17518	NM_080657	ENSG00000134321	RSAD2	2510004L01Rik|cig33|cig5|vig1	radical S-adenosyl methionine domain containing 2	protein-coding
1-1328	chr7	27419622	27419949	+	0	NA	Intergenic	Intergenic	-132937	NR_120507	101410536	Hs.687800	NR_120507	ENSG00000253405	EVX1-AS	EVX1-AS1	EVX1 antisense RNA	ncRNA
1-394	chr2	85660857	85661184	+	0	NA	intron (NM_201594, intron 14 of 20)	intron (NM_201594, intron 14 of 20)	14966	NM_201594	284948	Hs.209542	NM_198482	ENSG00000152292	SH2D6	-	SH2 domain containing 6	protein-coding
1-1110	chr11	34277871	34278198	+	0	NA	intron (NM_145804, intron 1 of 16)	intron (NM_145804, intron 1 of 16)	101523	NM_145804	25841	Hs.23361	NM_145804	ENSG00000166016	ABTB2	ABTB2A|BTBD22	ankyrin repeat and BTB domain containing 2	protein-coding
